,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Alvand.Tile,20010408,6301.0,6301.0,6301.0,11285091,1791,1,D,6301.0,6301.0
1,Alvand.Tile,20010409,6302.0,6302.0,6302.0,5911276,938,2,D,6301.0,6302.0
2,Alvand.Tile,20010411,6303.0,6303.0,6303.0,12606000,2000,2,D,6302.0,6303.0
3,Alvand.Tile,20010415,6400.0,6321.0,6400.0,16689000,2620,4,D,6303.0,6400.0
4,Alvand.Tile,20010416,6400.0,6399.0,6400.0,26719600,4175,5,D,6400.0,6400.0
5,Alvand.Tile,20010417,6400.0,6400.0,6400.0,723200,113,2,D,6400.0,6400.0
6,Alvand.Tile,20010421,6500.0,6500.0,6500.0,8125000,1250,1,D,6400.0,6500.0
7,Alvand.Tile,20010424,6502.0,6502.0,6502.0,8127500,1250,1,D,6500.0,6502.0
8,Alvand.Tile,20010425,6505.0,6503.0,6505.0,1788475,275,3,D,6502.0,6505.0
9,Alvand.Tile,20010428,6520.0,6510.0,6520.0,18237167,2800,7,D,6505.0,6520.0
10,Alvand.Tile,20010501,6620.0,6535.0,6620.0,26665000,4050,5,D,6520.0,6620.0
11,Alvand.Tile,20010502,6680.0,6680.0,6680.0,41810120,6259,2,D,6620.0,6680.0
12,Alvand.Tile,20010530,5500.0,5500.0,5500.0,15675000,2850,2,D,6680.0,5500.0
13,Alvand.Tile,20010620,5775.0,5775.0,5775.0,14437500,2500,5,D,5500.0,5775.0
14,Alvand.Tile,20010623,5920.0,5920.0,5920.0,18500000,3125,5,D,5775.0,5920.0
15,Alvand.Tile,20010625,6056.0,6050.0,6055.0,17940775,2965,7,D,5920.0,6055.0
16,Alvand.Tile,20010626,6050.0,6050.0,6050.0,3025000,500,4,D,6055.0,6050.0
17,Alvand.Tile,20010701,6058.0,6057.0,6057.0,7572218,1250,3,D,6050.0,6057.0
18,Alvand.Tile,20010703,6201.0,6057.0,6057.0,289758752,47734,16,D,6057.0,6057.0
19,Alvand.Tile,20010704,6058.0,6058.0,6058.0,1211600,200,1,D,6057.0,6058.0
20,Alvand.Tile,20010708,6067.0,6057.0,6057.0,14157739,2336,6,D,6058.0,6057.0
21,Alvand.Tile,20010709,6050.0,6050.0,6050.0,60500000,10000,1,D,6057.0,6050.0
22,Alvand.Tile,20010710,6051.0,6049.0,6050.0,144431650,23873,3,D,6050.0,6050.0
23,Alvand.Tile,20010715,6057.0,5900.0,6057.0,40041853,6747,13,D,6050.0,6057.0
