,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Arya.Sasol.Polymer,20200527,65119.0,65119.0,65119.0,11939791877932,183353428,3350038,D,1000.0,65119.0
1,Arya.Sasol.Polymer,20200530,68374.0,68374.0,65254.0,4342022496,63504,1334,D,65119.0,68374.0
2,Arya.Sasol.Polymer,20200531,68516.0,68516.0,65516.0,8448982024,123314,2519,D,65254.0,68516.0
3,Arya.Sasol.Polymer,20200601,68791.0,68791.0,68791.0,114630570760,1666360,3406,D,65516.0,68791.0
4,Arya.Sasol.Polymer,20200602,72230.0,72230.0,72230.0,116104813360,1607432,2209,D,68791.0,72230.0
5,Arya.Sasol.Polymer,20200606,75841.0,75841.0,75841.0,123610667306,1629866,2774,D,72230.0,75841.0
6,Arya.Sasol.Polymer,20200607,79633.0,79633.0,79633.0,133918975366,1681702,7892,D,75841.0,79633.0
7,Arya.Sasol.Polymer,20200608,83614.0,83614.0,83614.0,118137468074,1412891,2775,D,79633.0,83614.0
8,Arya.Sasol.Polymer,20200609,87794.0,87794.0,84227.0,17830873606,203099,4329,D,83614.0,87794.0
9,Arya.Sasol.Polymer,20200610,88438.0,88438.0,84777.0,15986760384,180768,3541,D,84227.0,88438.0
10,Arya.Sasol.Polymer,20200613,89015.0,89015.0,85814.0,25700143755,288717,5507,D,84777.0,89015.0
11,Arya.Sasol.Polymer,20200614,90104.0,90104.0,86914.0,27256279792,302498,5956,D,85814.0,90104.0
12,Arya.Sasol.Polymer,20200615,91259.0,91259.0,88014.0,27250028659,298601,5890,D,86914.0,91259.0
13,Arya.Sasol.Polymer,20200616,92414.0,92414.0,89223.0,29941951172,323998,6122,D,88014.0,92414.0
14,Arya.Sasol.Polymer,20200620,93684.0,93684.0,90975.0,41237823120,440180,7998,D,89223.0,93684.0
15,Arya.Sasol.Polymer,20200621,95523.0,95523.0,92506.0,36045986142,377354,7144,D,90975.0,95523.0
16,Arya.Sasol.Polymer,20200622,97131.0,97131.0,93967.0,34378060485,353935,7061,D,92506.0,97131.0
17,Arya.Sasol.Polymer,20200623,98665.0,98665.0,96134.0,51016612885,517069,8318,D,93967.0,98665.0
18,Arya.Sasol.Polymer,20200624,100940.0,100940.0,96807.0,15845056500,156975,3115,D,96134.0,100940.0
19,Arya.Sasol.Polymer,20200627,101647.0,101647.0,98364.0,33788377623,332409,6465,D,96807.0,101647.0
20,Arya.Sasol.Polymer,20200705,94105.0,94105.0,91277.0,38738135040,411648,8118,D,89624.0,94105.0
21,Arya.Sasol.Polymer,20200706,95840.0,95840.0,93388.0,49483437920,516313,10358,D,91277.0,95840.0
22,Arya.Sasol.Polymer,20200707,98057.0,98057.0,94888.0,35154513127,358511,7645,D,93388.0,98057.0
23,Arya.Sasol.Polymer,20200708,99632.0,99632.0,97974.0,72322569904,725897,6486,D,94888.0,99632.0
24,Arya.Sasol.Polymer,20200711,102872.0,102872.0,99788.0,38890039496,378043,7498,D,97974.0,102872.0
25,Arya.Sasol.Polymer,20200712,104777.0,104777.0,101784.0,42782020755,408315,6634,D,99788.0,104777.0
26,Arya.Sasol.Polymer,20200713,106873.0,106873.0,103568.0,38250060446,357902,7807,D,101784.0,106873.0
27,Arya.Sasol.Polymer,20200714,108746.0,108746.0,106926.0,71984958430,661955,8710,D,103568.0,108746.0
28,Arya.Sasol.Polymer,20200715,112272.0,112272.0,107984.0,22673891760,201955,3593,D,106926.0,112272.0
29,Arya.Sasol.Polymer,20200718,113383.0,113383.0,111255.0,63623169705,561135,11008,D,107984.0,113383.0
30,Arya.Sasol.Polymer,20200719,116817.0,116817.0,113580.0,45228855609,387177,7702,D,111255.0,116817.0
31,Arya.Sasol.Polymer,20200720,119259.0,119259.0,115758.0,42362108649,355211,6709,D,113580.0,119259.0
32,Arya.Sasol.Polymer,20200721,121545.0,121545.0,118192.0,47346760845,389541,8478,D,115758.0,121545.0
33,Arya.Sasol.Polymer,20200722,124101.0,124101.0,119959.0,34363566900,276900,5350,D,118192.0,124101.0
34,Arya.Sasol.Polymer,20200725,125956.0,125956.0,122457.0,43731545332,347197,6969,D,119959.0,125956.0
35,Arya.Sasol.Polymer,20200726,128579.0,128579.0,125456.0,52503948860,408340,8185,D,122457.0,128579.0
36,Arya.Sasol.Polymer,20200727,131728.0,131728.0,130618.0,90385430656,686152,11482,D,125456.0,131728.0
37,Arya.Sasol.Polymer,20200728,137148.0,137148.0,134676.0,71054458728,518086,13608,D,130618.0,137148.0
38,Arya.Sasol.Polymer,20200729,141409.0,141409.0,137575.0,50762295775,358975,7364,D,134676.0,141409.0
39,Arya.Sasol.Polymer,20200801,144453.0,144453.0,141484.0,59668045086,413062,8660,D,137575.0,144453.0
40,Arya.Sasol.Polymer,20200802,148558.0,148558.0,144853.0,51428996904,346188,7293,D,141484.0,148558.0
41,Arya.Sasol.Polymer,20200803,152095.0,152095.0,148495.0,55599544010,365558,8463,D,144853.0,152095.0
42,Arya.Sasol.Polymer,20200804,155919.0,155919.0,153006.0,68857416537,441623,13370,D,148495.0,155919.0
43,Arya.Sasol.Polymer,20200805,160656.0,160656.0,157029.0,61405133040,382215,6971,D,153006.0,160656.0
44,Arya.Sasol.Polymer,20200809,164880.0,164880.0,163299.0,83855659680,508586,10527,D,157029.0,164880.0
45,Arya.Sasol.Polymer,20200810,171463.0,171463.0,170382.0,94736565297,552519,12728,D,163299.0,171463.0
46,Arya.Sasol.Polymer,20200812,178901.0,178901.0,178901.0,229744127497,1284197,13652,D,170382.0,178901.0
47,Arya.Sasol.Polymer,20200815,187846.0,187846.0,187846.0,167104044680,889580,17174,D,178901.0,187846.0
48,Arya.Sasol.Polymer,20200816,197238.0,190000.0,197140.0,5379004345167,27285156,30515,D,187846.0,197237.0
49,Arya.Sasol.Polymer,20200817,206000.0,187283.0,193861.0,2262277211553,11669612,45827,D,197140.0,187283.0
50,Arya.Sasol.Polymer,20200818,184168.0,184168.0,184168.0,169546718312,920609,4515,D,193861.0,184168.0
51,Arya.Sasol.Polymer,20200819,174960.0,174960.0,174960.0,99347536800,567830,2816,D,184168.0,174960.0
52,Arya.Sasol.Polymer,20200822,166212.0,166212.0,166212.0,132744382740,798645,1917,D,174960.0,166212.0
53,Arya.Sasol.Polymer,20200823,157902.0,157902.0,160204.0,65253948912,413256,1236,D,166212.0,157902.0
54,Arya.Sasol.Polymer,20200824,152194.0,152194.0,155087.0,55567703534,365111,1648,D,160204.0,152194.0
55,Arya.Sasol.Polymer,20200825,162841.0,147333.0,162050.0,4275214237521,26382024,122523,D,155087.0,159250.0
56,Arya.Sasol.Polymer,20200826,170152.0,156000.0,168225.0,3684743543928,21903672,122109,D,162050.0,170152.0
57,Arya.Sasol.Polymer,20200831,159814.0,159814.0,159814.0,562946413140,3522510,10729,D,168225.0,159814.0
58,Arya.Sasol.Polymer,20200901,151824.0,151824.0,151824.0,93124438704,613371,1899,D,159814.0,151824.0
59,Arya.Sasol.Polymer,20200902,144233.0,144233.0,144233.0,113519159582,787054,1623,D,151824.0,144233.0
60,Arya.Sasol.Polymer,20200905,149888.0,137022.0,141522.0,3640750595411,25725762,212105,D,144233.0,148960.0
61,Arya.Sasol.Polymer,20200906,148598.0,138000.0,144700.0,1738905876434,12017295,92776,D,141522.0,139950.0
62,Arya.Sasol.Polymer,20200907,139950.0,137465.0,137640.0,1643331562697,11939341,79158,D,144700.0,137468.0
63,Arya.Sasol.Polymer,20200908,136561.0,130758.0,131063.0,1636094123284,12483250,87771,D,137640.0,130758.0
64,Arya.Sasol.Polymer,20200909,137616.0,133300.0,137107.0,761503941510,5554080,58376,D,131063.0,137616.0
65,Arya.Sasol.Polymer,20200912,143962.0,143962.0,143962.0,160499346826,1114873,16854,D,137107.0,143962.0
66,Arya.Sasol.Polymer,20200913,151160.0,151160.0,151160.0,295843549800,1957155,23501,D,143962.0,151160.0
67,Arya.Sasol.Polymer,20200914,158718.0,158718.0,158718.0,207428712918,1306901,17382,D,151160.0,158718.0
68,Arya.Sasol.Polymer,20200915,166653.0,166653.0,166653.0,160220860812,961404,17742,D,158718.0,166653.0
69,Arya.Sasol.Polymer,20200916,174985.0,174985.0,174985.0,1123332831075,6419595,46025,D,166653.0,174985.0
70,Arya.Sasol.Polymer,20200919,183734.0,166850.0,180541.0,5413828724458,29986676,177347,D,174985.0,183734.0
71,Arya.Sasol.Polymer,20200920,182990.0,171514.0,173652.0,2111076922537,12156929,121797,D,180541.0,171514.0
72,Arya.Sasol.Polymer,20200921,182334.0,167900.0,176147.0,2333575041030,13247911,66497,D,173652.0,182334.0
73,Arya.Sasol.Polymer,20200922,184954.0,176147.0,184715.0,3328771777395,18021125,38855,D,176147.0,184954.0
74,Arya.Sasol.Polymer,20200923,193950.0,185010.0,192140.0,2919059869251,15192357,57723,D,184715.0,193950.0
75,Arya.Sasol.Polymer,20200926,200000.0,182551.0,190088.0,2025468728757,10655406,54411,D,192140.0,185010.0
76,Arya.Sasol.Polymer,20200927,180900.0,180584.0,180596.0,1004068420068,5559750,13442,D,190088.0,180584.0
77,Arya.Sasol.Polymer,20200928,174013.0,171567.0,171576.0,989543676610,5767383,19456,D,180596.0,173500.0
78,Arya.Sasol.Polymer,20200929,180154.0,169601.0,178214.0,1281896835126,7193024,46049,D,171576.0,180154.0
79,Arya.Sasol.Polymer,20200930,187124.0,179000.0,185614.0,989041174501,5328491,30755,D,178214.0,187124.0
80,Arya.Sasol.Polymer,20201003,194207.0,178900.0,185837.0,1774922134552,9550955,47686,D,185614.0,183000.0
81,Arya.Sasol.Polymer,20201004,188490.0,176546.0,180051.0,1642816132497,9124163,35043,D,185837.0,176546.0
82,Arya.Sasol.Polymer,20201005,176544.0,171049.0,171585.0,996029525997,5804869,30478,D,180051.0,171400.0
83,Arya.Sasol.Polymer,20201007,180164.0,173000.0,179069.0,1121777030908,6264490,35517,D,171585.0,180164.0
84,Arya.Sasol.Polymer,20201010,181000.0,172500.0,176123.0,933701865529,5301429,30540,D,179069.0,173210.0
85,Arya.Sasol.Polymer,20201011,184929.0,175340.0,181358.0,1073060804097,5916816,33288,D,176123.0,176600.0
86,Arya.Sasol.Polymer,20201012,186900.0,176900.0,181680.0,1073910602209,5911008,31567,D,181358.0,180100.0
87,Arya.Sasol.Polymer,20201013,186052.0,178090.0,182811.0,938044865559,5131231,30588,D,181680.0,182470.0
88,Arya.Sasol.Polymer,20201014,182724.0,175000.0,177182.0,514587278780,2904288,23459,D,182811.0,176012.0
89,Arya.Sasol.Polymer,20201018,173500.0,168323.0,168572.0,889498406010,5276672,22747,D,177182.0,168560.0
90,Arya.Sasol.Polymer,20201019,165000.0,160144.0,160525.0,682381758749,4250943,17105,D,168572.0,160144.0
91,Arya.Sasol.Polymer,20201020,166100.0,152600.0,158919.0,983245233574,6187082,26430,D,160525.0,164300.0
92,Arya.Sasol.Polymer,20201021,166864.0,162500.0,166667.0,690525582334,4143148,17847,D,158919.0,166864.0
93,Arya.Sasol.Polymer,20201024,169990.0,158334.0,159588.0,966574487421,6056679,19784,D,166667.0,158334.0
94,Arya.Sasol.Polymer,20201026,158900.0,152800.0,153982.0,642980457752,4175681,23801,D,159588.0,155000.0
95,Arya.Sasol.Polymer,20201027,158520.0,146300.0,149235.0,680196439687,4557893,20038,D,153982.0,150800.0
96,Arya.Sasol.Polymer,20201028,156696.0,146011.0,155107.0,778047035285,5016192,18957,D,149235.0,156696.0
97,Arya.Sasol.Polymer,20201031,162862.0,156500.0,161706.0,883188426293,5461676,20328,D,155107.0,162862.0
98,Arya.Sasol.Polymer,20201101,161990.0,154400.0,157296.0,481635476708,3061973,13249,D,161706.0,154580.0
99,Arya.Sasol.Polymer,20201102,160000.0,151720.0,157754.0,315512567046,2000035,12526,D,157296.0,158700.0
100,Arya.Sasol.Polymer,20201104,165641.0,160000.0,165614.0,370702622576,2238349,10569,D,157754.0,165641.0
101,Arya.Sasol.Polymer,20201107,165040.0,157334.0,157586.0,791770820999,5024378,5618,D,165614.0,157560.0
102,Arya.Sasol.Polymer,20201108,152990.0,149707.0,150173.0,601803955768,4007395,5863,D,157586.0,149707.0
103,Arya.Sasol.Polymer,20201109,157670.0,149500.0,152901.0,600193708156,3925385,18565,D,150173.0,157231.0
104,Arya.Sasol.Polymer,20201110,159999.0,154010.0,156785.0,386829941965,2467256,15183,D,152901.0,158000.0
105,Arya.Sasol.Polymer,20201111,164624.0,152950.0,160541.0,647485598985,4033136,18397,D,156785.0,164624.0
106,Arya.Sasol.Polymer,20201114,168568.0,164600.0,168414.0,340635713429,2022615,9396,D,160541.0,168568.0
107,Arya.Sasol.Polymer,20201115,176600.0,161200.0,168941.0,763527802322,4519499,17607,D,168414.0,167001.0
108,Arya.Sasol.Polymer,20201116,171980.0,161660.0,168807.0,535071601464,3169731,15138,D,168941.0,168942.0
109,Arya.Sasol.Polymer,20201117,175000.0,168000.0,170833.0,657307952994,3847665,16900,D,168807.0,171610.0
110,Arya.Sasol.Polymer,20201118,174000.0,169000.0,171910.0,607246472623,3532344,19720,D,170833.0,172130.0
111,Arya.Sasol.Polymer,20201121,172800.0,163315.0,166743.0,852336544265,5111667,19809,D,171910.0,163320.0
112,Arya.Sasol.Polymer,20201122,171900.0,158500.0,165628.0,547715321903,3306895,14958,D,166743.0,167201.0
113,Arya.Sasol.Polymer,20201123,170000.0,163000.0,164631.0,430759945072,2616523,15544,D,165628.0,164000.0
114,Arya.Sasol.Polymer,20201124,164000.0,157000.0,159284.0,536291211619,3366880,18662,D,164631.0,159000.0
115,Arya.Sasol.Polymer,20201125,167248.0,156570.0,164714.0,739109753690,4487234,21717,D,159284.0,167246.0
