,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ardekan.Ceramic,20040703,3500.0,3500.0,3500.0,1548886500,442539,319,D,0.0,3500.0
1,Ardekan.Ceramic,20040710,3675.0,3675.0,3675.0,85627500,23300,20,D,3500.0,3675.0
2,Ardekan.Ceramic,20040711,3858.0,3709.0,3709.0,14660251,3800,6,D,3675.0,3709.0
3,Ardekan.Ceramic,20040712,3894.0,3894.0,3894.0,77880000,20000,11,D,3709.0,3894.0
4,Ardekan.Ceramic,20040713,4088.0,3952.0,3952.0,24679120,6037,6,D,3894.0,3952.0
5,Ardekan.Ceramic,20040714,4149.0,3983.0,3983.0,13276634,3200,5,D,3952.0,3983.0
6,Ardekan.Ceramic,20040717,4182.0,4000.0,4000.0,7527418,1800,4,D,3983.0,4000.0
7,Ardekan.Ceramic,20040718,4200.0,4188.0,4188.0,79073388,18827,11,D,4000.0,4188.0
8,Ardekan.Ceramic,20040719,4397.0,4219.0,4219.0,13190822,3000,3,D,4188.0,4219.0
9,Ardekan.Ceramic,20040720,4429.0,4429.0,4429.0,110503550,24950,4,D,4219.0,4429.0
10,Ardekan.Ceramic,20040724,4650.0,4522.0,4522.0,39143572,8418,9,D,4429.0,4522.0
11,Ardekan.Ceramic,20040726,4748.0,4522.0,4522.0,949374,200,3,D,4522.0,4522.0
12,Ardekan.Ceramic,20040727,4748.0,4526.0,4526.0,1768784,373,3,D,4522.0,4526.0
13,Ardekan.Ceramic,20040731,4752.0,4667.0,4667.0,59370638,12494,9,D,4526.0,4667.0
14,Ardekan.Ceramic,20040801,4900.0,4721.0,4721.0,23077210,4710,8,D,4667.0,4721.0
15,Ardekan.Ceramic,20040802,4957.0,4767.0,4767.0,19627820,3960,3,D,4721.0,4767.0
16,Ardekan.Ceramic,20040803,5005.0,4932.0,4932.0,69473675,13881,19,D,4767.0,4932.0
17,Ardekan.Ceramic,20040804,5178.0,5021.0,5021.0,37901390,7320,9,D,4932.0,5021.0
18,Ardekan.Ceramic,20040807,5272.0,5122.0,5122.0,42754420,8110,6,D,5021.0,5122.0
19,Ardekan.Ceramic,20040808,5378.0,5378.0,5378.0,190149946,35357,24,D,5122.0,5378.0
20,Ardekan.Ceramic,20040809,5646.0,5469.0,5469.0,38447490,6810,20,D,5378.0,5469.0
21,Ardekan.Ceramic,20040811,5742.0,5742.0,5742.0,253796400,44200,12,D,5469.0,5742.0
22,Ardekan.Ceramic,20040814,6029.0,5455.0,5711.0,664235735,116295,60,D,5742.0,5711.0
23,Ardekan.Ceramic,20040815,5427.0,5426.0,5426.0,217638863,40110,32,D,5711.0,5426.0
24,Ardekan.Ceramic,20040816,5310.0,5200.0,5247.0,235559972,44888,25,D,5426.0,5247.0
25,Ardekan.Ceramic,20040817,5506.0,5100.0,5164.0,114868246,22244,15,D,5247.0,5164.0
26,Ardekan.Ceramic,20040818,5164.0,5000.0,5093.0,55849501,11086,10,D,5164.0,5093.0
27,Ardekan.Ceramic,20040823,5092.0,5090.0,5092.0,101820,20,2,D,5093.0,5092.0
28,Ardekan.Ceramic,20040828,4916.0,4840.0,4916.0,67276760,13900,7,D,5092.0,4916.0
29,Ardekan.Ceramic,20040908,4894.0,4671.0,4894.0,8269900,1770,3,D,4916.0,4894.0
30,Ardekan.Ceramic,20040912,4874.0,4671.0,4874.0,16988780,3551,4,D,4894.0,4874.0
31,Ardekan.Ceramic,20040914,4818.0,4631.0,4788.0,201826187,42150,16,D,4874.0,4788.0
32,Ardekan.Ceramic,20040915,4783.0,4700.0,4783.0,4747830,1010,2,D,4788.0,4783.0
33,Ardekan.Ceramic,20040921,4773.0,4544.0,4773.0,3682930,810,2,D,4783.0,4773.0
