,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Asia.Bime,20091223,1486.0,1486.0,1486.0,67470789800,45404300,522,D,1000.0,1486.0
1,Asia.Bime,20091228,1538.0,1538.0,1522.0,385038300,250350,94,D,1486.0,1538.0
2,Asia.Bime,20091229,1575.0,1575.0,1557.0,382964400,243152,57,D,1522.0,1575.0
3,Asia.Bime,20091230,1611.0,1611.0,1573.0,171410400,106400,43,D,1557.0,1611.0
4,Asia.Bime,20100102,1628.0,1628.0,1599.0,278783604,171243,50,D,1573.0,1628.0
5,Asia.Bime,20100103,1654.0,1654.0,1619.0,219394830,132645,41,D,1599.0,1654.0
6,Asia.Bime,20100104,1675.0,1675.0,1675.0,28589238350,17068202,4289,D,1619.0,1675.0
7,Asia.Bime,20100105,1733.0,1733.0,1733.0,8896017565,5133305,777,D,1675.0,1733.0
8,Asia.Bime,20100106,1793.0,1793.0,1793.0,6499648309,3625013,269,D,1733.0,1793.0
9,Asia.Bime,20100109,1855.0,1855.0,1855.0,8201186875,4421125,270,D,1793.0,1855.0
10,Asia.Bime,20100110,1919.0,1802.0,1895.0,57862020697,30531848,4873,D,1855.0,1810.0
11,Asia.Bime,20100111,1961.0,1829.0,1931.0,51582678990,26712549,2327,D,1895.0,1961.0
12,Asia.Bime,20100112,1998.0,1909.0,1995.0,39621535757,19864191,1798,D,1931.0,1998.0
13,Asia.Bime,20100113,2064.0,2025.0,2063.0,28402057062,13768849,985,D,1995.0,2064.0
14,Asia.Bime,20100116,2135.0,2074.0,2124.0,59709655098,28111449,701,D,2063.0,2135.0
15,Asia.Bime,20100117,2198.0,2140.0,2186.0,10997328716,5031686,626,D,2124.0,2140.0
16,Asia.Bime,20100118,2150.0,2110.0,2111.0,5943953100,2816127,275,D,2186.0,2110.0
17,Asia.Bime,20100119,2038.0,2038.0,2038.0,1404065834,688943,54,D,2111.0,2038.0
18,Asia.Bime,20100120,2040.0,1967.0,1985.0,11551182136,5818584,741,D,2038.0,2040.0
19,Asia.Bime,20100123,2054.0,1981.0,2016.0,45507258981,22578141,1295,D,1985.0,2054.0
20,Asia.Bime,20100124,2086.0,2026.0,2069.0,14081840143,6805501,495,D,2016.0,2031.0
21,Asia.Bime,20100125,2050.0,2000.0,2011.0,4187612444,2082454,207,D,2069.0,2007.0
22,Asia.Bime,20100126,2020.0,1986.0,2001.0,4372745022,2185048,282,D,2011.0,2000.0
23,Asia.Bime,20100127,2005.0,1999.0,2000.0,3325735700,1662529,146,D,2001.0,2000.0
24,Asia.Bime,20100130,2010.0,1930.0,1951.0,3486378176,1787078,161,D,2000.0,1940.0
25,Asia.Bime,20100131,2019.0,1920.0,2018.0,16469600490,8162896,427,D,1951.0,2019.0
26,Asia.Bime,20100201,2080.0,2030.0,2059.0,2436705976,1183245,170,D,2018.0,2050.0
27,Asia.Bime,20100202,2090.0,2011.0,2063.0,1197940094,580580,88,D,2059.0,2040.0
28,Asia.Bime,20100203,2080.0,2040.0,2061.0,1786037417,866670,112,D,2063.0,2042.0
29,Asia.Bime,20100206,2080.0,2001.0,2052.0,3739220436,1822632,181,D,2061.0,2080.0
30,Asia.Bime,20100207,2070.0,2013.0,2051.0,999381129,487355,77,D,2052.0,2060.0
31,Asia.Bime,20100208,2122.0,2050.0,2111.0,18564335870,8793885,517,D,2051.0,2122.0
32,Asia.Bime,20100209,2184.0,2129.0,2183.0,16153477097,7398571,292,D,2111.0,2184.0
33,Asia.Bime,20100210,2259.0,2240.0,2259.0,28960681282,12820622,591,D,2183.0,2259.0
34,Asia.Bime,20100214,2338.0,2200.0,2304.0,1935076888,840023,122,D,2259.0,2338.0
35,Asia.Bime,20100216,2384.0,2250.0,2382.0,23891407459,10030619,351,D,2304.0,2384.0
36,Asia.Bime,20100217,2465.0,2321.0,2464.0,43014098919,17453564,643,D,2382.0,2465.0
37,Asia.Bime,20100220,2550.0,2411.0,2505.0,5914497441,2360991,208,D,2464.0,2416.0
38,Asia.Bime,20100221,2496.0,2418.0,2429.0,3201890410,1318058,177,D,2505.0,2428.0
39,Asia.Bime,20100222,2469.0,2345.0,2351.0,5440053631,2313610,209,D,2429.0,2345.0
40,Asia.Bime,20100223,2380.0,2273.0,2283.0,5906571688,2587295,106,D,2351.0,2335.0
