,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pardis.Invsetment,20011223,1000.0,1000.0,1000.0,1000000,1000,1,D,0.0,1000.0
1,Pardis.Invsetment,20020129,1000.0,1000.0,1000.0,10000,10,1,D,1000.0,1000.0
2,Pardis.Invsetment,20020902,1000.0,1000.0,1000.0,1000000,1000,1,D,1000.0,1000.0
3,Pardis.Invsetment,20030224,1000.0,1000.0,1000.0,2000000,2000,1,D,1000.0,1000.0
4,Pardis.Invsetment,20030318,1000.0,1000.0,1000.0,50000,50,1,D,1000.0,1000.0
5,Pardis.Invsetment,20030430,1000.0,1000.0,1000.0,100000,100,1,D,1000.0,1000.0
6,Pardis.Invsetment,20030812,1000.0,1000.0,1000.0,500000,500,1,D,1000.0,1000.0
7,Pardis.Invsetment,20030826,1000.0,1000.0,1000.0,100000,100,1,D,1000.0,1000.0
8,Pardis.Invsetment,20030930,983.0,950.0,983.0,1862330,1960,2,D,1000.0,983.0
9,Pardis.Invsetment,20031005,999.0,985.0,985.0,1058800,1060,2,D,983.0,985.0
10,Pardis.Invsetment,20040405,983.0,970.0,983.0,798440,823,2,D,985.0,983.0
11,Pardis.Invsetment,20040412,985.0,983.0,983.0,2077345,2109,2,D,983.0,983.0
12,Pardis.Invsetment,20040414,985.0,983.0,983.0,887465,901,3,D,983.0,983.0
13,Pardis.Invsetment,20050227,1100.0,1100.0,1100.0,2200000,2000,1,D,983.0,1100.0
14,Pardis.Invsetment,20050302,1155.0,1107.0,1107.0,1220355,1057,2,D,1100.0,1107.0
15,Pardis.Invsetment,20050306,3855.0,1113.0,1113.0,38305563370,9937298,7,D,1107.0,1113.0
16,Pardis.Invsetment,20050712,2000.0,2000.0,2000.0,2000000,1000,1,D,1113.0,2000.0
17,Pardis.Invsetment,20050724,2000.0,2000.0,2000.0,2000000,1000,1,D,2000.0,2000.0
18,Pardis.Invsetment,20050807,2000.0,2000.0,2000.0,500000,250,1,D,2000.0,2000.0
19,Pardis.Invsetment,20050828,2000.0,2000.0,2000.0,11200000,5600,2,D,2000.0,2000.0
20,Pardis.Invsetment,20050910,2000.0,2000.0,2000.0,600000,300,2,D,2000.0,2000.0
21,Pardis.Invsetment,20060920,1381.0,1380.0,1380.0,1150923000,834000,86,D,2000.0,1380.0
22,Pardis.Invsetment,20060923,1380.0,1380.0,1380.0,29044860,21047,11,D,1380.0,1380.0
23,Pardis.Invsetment,20060924,1380.0,1380.0,1380.0,20700000,15000,14,D,1380.0,1380.0
24,Pardis.Invsetment,20061203,1050.0,1045.0,1049.0,12642450,12050,3,D,1380.0,1049.0
25,Pardis.Invsetment,20061204,1049.0,1047.0,1049.0,1057490,1010,2,D,1049.0,1049.0
26,Pardis.Invsetment,20061220,1049.0,1048.0,1049.0,15732050,15000,4,D,1049.0,1049.0
27,Pardis.Invsetment,20061223,1049.0,1049.0,1049.0,5245000,5000,1,D,1049.0,1049.0
28,Pardis.Invsetment,20061224,1069.0,1049.0,1068.0,170950680,160010,18,D,1049.0,1068.0
29,Pardis.Invsetment,20061226,1068.0,1068.0,1068.0,10680000,10000,1,D,1068.0,1068.0
30,Pardis.Invsetment,20070101,1068.0,1068.0,1068.0,10680000,10000,1,D,1068.0,1068.0
31,Pardis.Invsetment,20070102,1068.0,1068.0,1068.0,10680000,10000,1,D,1068.0,1068.0
32,Pardis.Invsetment,20070103,1068.0,1068.0,1068.0,8554680,8010,2,D,1068.0,1068.0
33,Pardis.Invsetment,20070106,1068.0,1068.0,1068.0,4272000,4000,1,D,1068.0,1068.0
34,Pardis.Invsetment,20070107,1068.0,1068.0,1068.0,26700000,25000,3,D,1068.0,1068.0
35,Pardis.Invsetment,20070109,1068.0,1068.0,1068.0,26700000,25000,3,D,1068.0,1068.0
36,Pardis.Invsetment,20070113,1068.0,1068.0,1068.0,5519424,5168,2,D,1068.0,1068.0
37,Pardis.Invsetment,20070115,1068.0,1068.0,1068.0,53400000,50000,5,D,1068.0,1068.0
38,Pardis.Invsetment,20070116,1068.0,1068.0,1068.0,44108400,41300,9,D,1068.0,1068.0
39,Pardis.Invsetment,20070117,1068.0,1068.0,1068.0,56604000,53000,18,D,1068.0,1068.0
40,Pardis.Invsetment,20070120,1068.0,1068.0,1068.0,21360000,20000,11,D,1068.0,1068.0
41,Pardis.Invsetment,20070121,1068.0,1068.0,1068.0,35244000,33000,10,D,1068.0,1068.0
42,Pardis.Invsetment,20070122,1068.0,1068.0,1068.0,45603600,42700,16,D,1068.0,1068.0
43,Pardis.Invsetment,20070123,1068.0,1068.0,1068.0,26700000,25000,10,D,1068.0,1068.0
