,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Azarab.Ind.,20010425,3700.0,3700.0,3700.0,370000,100,1,D,3700.0,3700.0
1,S*Azarab.Ind.,20010501,3700.0,3700.0,3700.0,1665000,450,1,D,3700.0,3700.0
2,S*Azarab.Ind.,20010505,3702.0,3702.0,3702.0,1851000,500,1,D,3700.0,3702.0
3,S*Azarab.Ind.,20010507,3702.0,3702.0,3702.0,2776500,750,1,D,3702.0,3702.0
4,S*Azarab.Ind.,20010508,3702.0,3702.0,3702.0,1851000,500,1,D,3702.0,3702.0
5,S*Azarab.Ind.,20010526,3885.0,3850.0,3885.0,6970600,1806,2,D,3702.0,3885.0
6,S*Azarab.Ind.,20010820,3501.0,3501.0,3501.0,350100,100,1,D,3885.0,3501.0
7,S*Azarab.Ind.,20010827,3676.0,3676.0,3676.0,4043600,1100,4,D,3501.0,3676.0
8,S*Azarab.Ind.,20010828,3681.0,3681.0,3681.0,1012275,275,1,D,3676.0,3681.0
9,S*Azarab.Ind.,20010903,3683.0,3682.0,3682.0,2025375,550,2,D,3681.0,3682.0
10,S*Azarab.Ind.,20010910,3800.0,3702.0,3800.0,25908050,6825,3,D,3682.0,3800.0
11,S*Azarab.Ind.,20010915,3803.0,3803.0,3803.0,1045825,275,1,D,3800.0,3803.0
12,S*Azarab.Ind.,20010916,3804.0,3804.0,3804.0,1046100,275,1,D,3803.0,3804.0
13,S*Azarab.Ind.,20010923,3805.0,3804.0,3805.0,4813050,1265,2,D,3804.0,3805.0
14,S*Azarab.Ind.,20010924,3809.0,3809.0,3809.0,1047475,275,1,D,3805.0,3809.0
15,S*Azarab.Ind.,20010929,3818.0,3817.0,3818.0,4199550,1100,5,D,3809.0,3818.0
16,S*Azarab.Ind.,20011008,3822.0,3822.0,3822.0,1051050,275,1,D,3818.0,3822.0
17,S*Azarab.Ind.,20011022,3834.0,3834.0,3834.0,1054350,275,1,D,3822.0,3834.0
18,S*Azarab.Ind.,20011023,3835.0,3835.0,3835.0,1054625,275,1,D,3834.0,3835.0
19,S*Azarab.Ind.,20011029,3861.0,3861.0,3861.0,579150,150,1,D,3835.0,3861.0
20,S*Azarab.Ind.,20011031,3888.0,3881.0,3888.0,1456075,375,2,D,3861.0,3888.0
21,S*Azarab.Ind.,20011103,3900.0,3900.0,3900.0,1072500,275,1,D,3888.0,3900.0
22,S*Azarab.Ind.,20011113,4095.0,4095.0,4095.0,2252250,550,2,D,3900.0,4095.0
23,S*Azarab.Ind.,20011201,4097.0,4097.0,4097.0,1126675,275,1,D,4095.0,4097.0
24,S*Azarab.Ind.,20020119,4301.0,4301.0,4301.0,3548325,825,3,D,4097.0,4301.0
25,S*Azarab.Ind.,20020130,4516.0,4516.0,4516.0,2483800,550,1,D,4301.0,4516.0
26,S*Azarab.Ind.,20020210,4741.0,4741.0,4741.0,2607550,550,2,D,4516.0,4741.0
27,S*Azarab.Ind.,20020224,4978.0,4978.0,4978.0,2737900,550,2,D,4741.0,4978.0
28,S*Azarab.Ind.,20020310,5226.0,5226.0,5226.0,2874300,550,2,D,4978.0,5226.0
29,S*Azarab.Ind.,20020327,5830.0,5533.0,5821.0,2898833300,500000,138,D,5226.0,5821.0
30,S*Azarab.Ind.,20020330,5966.0,5840.0,5840.0,3008779640,514500,105,D,5821.0,5840.0
31,S*Azarab.Ind.,20020331,5986.0,5880.0,5986.0,1498158000,253000,71,D,5840.0,5986.0
