,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Saipa.Azin,20011028,4531.0,4500.0,4500.0,8480283500,1880000,431,D,4512.0,4500.0
1,Saipa.Azin,20011029,4552.0,4500.0,4552.0,560618100,124300,60,D,4500.0,4552.0
2,Saipa.Azin,20011030,4553.0,4520.0,4552.0,104173991,22900,25,D,4552.0,4552.0
3,Saipa.Azin,20011031,4556.0,4551.0,4552.0,305020090,67000,40,D,4552.0,4552.0
4,Saipa.Azin,20011103,4620.0,4552.0,4620.0,143682300,31200,14,D,4552.0,4620.0
5,Saipa.Azin,20011104,4800.0,4680.0,4752.0,464426055,97370,52,D,4620.0,4752.0
6,Saipa.Azin,20011105,4810.0,4751.0,4788.0,379431421,79155,41,D,4752.0,4788.0
7,Saipa.Azin,20011106,4850.0,4804.0,4849.0,457135960,94447,57,D,4788.0,4849.0
8,Saipa.Azin,20011107,4840.0,4720.0,4835.0,275187710,57569,42,D,4849.0,4835.0
9,Saipa.Azin,20011110,4819.0,4800.0,4814.0,256406708,53352,40,D,4835.0,4814.0
10,Saipa.Azin,20011111,4814.0,4770.0,4770.0,230866440,48160,20,D,4814.0,4770.0
11,Saipa.Azin,20011112,4799.0,4770.0,4798.0,262046715,54670,29,D,4770.0,4798.0
12,Saipa.Azin,20011113,4798.0,4788.0,4790.0,323515793,67473,29,D,4798.0,4790.0
13,Saipa.Azin,20011114,4788.0,4755.0,4755.0,222774493,46702,26,D,4790.0,4755.0
14,Saipa.Azin,20011117,4750.0,4700.0,4749.0,65207720,13850,11,D,4755.0,4749.0
15,Saipa.Azin,20011118,4749.0,4748.0,4748.0,10067670,2120,2,D,4749.0,4748.0
16,Saipa.Azin,20011119,4738.0,4720.0,4738.0,18898000,4000,5,D,4748.0,4738.0
17,Saipa.Azin,20011120,4738.0,4736.0,4738.0,74781600,15787,10,D,4738.0,4738.0
18,Saipa.Azin,20011121,4790.0,4738.0,4789.0,378488250,79233,22,D,4738.0,4789.0
