,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Bahonar.Copper,20010415,6300.0,6100.0,6300.0,9240374,1500,4,D,6100.0,6300.0
1,Bahonar.Copper,20010416,6300.0,6297.0,6297.0,7975002,1266,3,D,6300.0,6297.0
2,Bahonar.Copper,20010418,6297.0,6297.0,6297.0,1675002,266,1,D,6297.0,6297.0
3,Bahonar.Copper,20010422,6196.0,6000.0,6196.0,12075876,1981,6,D,6297.0,6196.0
4,Bahonar.Copper,20010423,6200.0,6189.0,6200.0,31901210,5151,12,D,6196.0,6200.0
5,Bahonar.Copper,20010425,6260.0,6168.0,6260.0,66417083,10694,14,D,6200.0,6260.0
6,Bahonar.Copper,20010501,6007.0,6006.0,6006.0,31418386,5231,9,D,6260.0,6006.0
7,Bahonar.Copper,20010502,6008.0,6006.0,6007.0,76706688,12769,17,D,6006.0,6007.0
8,Bahonar.Copper,20010505,6023.0,6007.0,6023.0,22524498,3745,10,D,6007.0,6023.0
9,Bahonar.Copper,20010506,6038.0,6026.0,6038.0,6322036,1049,5,D,6023.0,6038.0
10,Bahonar.Copper,20010507,6257.0,6150.0,6257.0,22975363,3680,13,D,6038.0,6257.0
11,Bahonar.Copper,20010508,6380.0,6258.0,6380.0,17981609,2829,9,D,6257.0,6380.0
12,Bahonar.Copper,20010509,6401.0,6399.0,6401.0,73256807,11446,24,D,6380.0,6401.0
13,Bahonar.Copper,20010512,6403.0,6401.0,6401.0,17663459,2759,5,D,6401.0,6401.0
14,Bahonar.Copper,20010513,6457.0,6450.0,6457.0,12430146,1926,5,D,6401.0,6457.0
15,Bahonar.Copper,20010515,6480.0,6480.0,6480.0,10685520,1649,1,D,6457.0,6480.0
16,Bahonar.Copper,20010516,6720.0,6480.0,6720.0,19166496,2876,6,D,6480.0,6720.0
17,Bahonar.Copper,20010519,6742.0,6740.0,6740.0,12787524,1897,5,D,6720.0,6740.0
18,Bahonar.Copper,20010521,6800.0,6741.0,6800.0,13432306,1985,4,D,6740.0,6800.0
19,Bahonar.Copper,20010523,6800.0,6800.0,6800.0,8574800,1261,2,D,6800.0,6800.0
20,Bahonar.Copper,20010526,6801.0,6798.0,6801.0,42859768,6303,8,D,6800.0,6801.0
21,Bahonar.Copper,20010527,6850.0,6802.0,6850.0,21014598,3081,8,D,6801.0,6850.0
22,Bahonar.Copper,20010528,6900.0,6850.0,6900.0,622122400,90163,3,D,6850.0,6900.0
23,Bahonar.Copper,20010529,6912.0,6906.0,6912.0,27621270,3997,7,D,6900.0,6912.0
24,Bahonar.Copper,20010530,6912.0,6912.0,6912.0,29673216,4293,6,D,6912.0,6912.0
25,Bahonar.Copper,20010602,6912.0,6900.0,6900.0,10082484,1460,4,D,6912.0,6900.0
26,Bahonar.Copper,20010603,6890.0,6889.0,6890.0,35483347,5150,5,D,6900.0,6890.0
27,Bahonar.Copper,20010606,6889.0,6879.0,6889.0,35958884,5223,15,D,6890.0,6889.0
28,Bahonar.Copper,20010609,6889.0,6889.0,6889.0,6889000,1000,3,D,6889.0,6889.0
29,Bahonar.Copper,20010611,6889.0,6888.0,6889.0,8831198,1282,5,D,6889.0,6889.0
30,Bahonar.Copper,20010612,6889.0,6887.0,6889.0,9003057,1307,6,D,6889.0,6889.0
31,Bahonar.Copper,20010613,6889.0,6889.0,6889.0,9782380,1420,6,D,6889.0,6889.0
32,Bahonar.Copper,20010616,6889.0,6889.0,6889.0,4822300,700,4,D,6889.0,6889.0
33,Bahonar.Copper,20010618,6888.0,6887.0,6887.0,3361244,488,3,D,6889.0,6887.0
34,Bahonar.Copper,20010710,6500.0,6000.0,6500.0,370432000,58528,22,D,6887.0,6500.0
35,Bahonar.Copper,20010711,6500.0,6478.0,6478.0,457206980,70479,13,D,6500.0,6478.0
36,Bahonar.Copper,20010715,6439.0,6439.0,6439.0,7404850,1150,1,D,6478.0,6439.0
37,Bahonar.Copper,20010716,6350.0,6180.0,6180.0,25230000,4000,6,D,6439.0,6180.0
38,Bahonar.Copper,20010718,6250.0,6140.0,6250.0,48904940,7868,20,D,6180.0,6250.0
39,Bahonar.Copper,20010721,6250.0,6232.0,6232.0,13876500,2226,4,D,6250.0,6232.0
40,Bahonar.Copper,20010722,6160.0,6100.0,6100.0,34931700,5697,5,D,6232.0,6100.0
41,Bahonar.Copper,20010723,6000.0,6000.0,6000.0,6000000,1000,2,D,6100.0,6000.0
42,Bahonar.Copper,20010724,6000.0,5999.0,6000.0,3575934,596,6,D,6000.0,6000.0
43,Bahonar.Copper,20010725,6000.0,6000.0,6000.0,3000000,500,1,D,6000.0,6000.0
44,Bahonar.Copper,20010728,6000.0,6000.0,6000.0,8442000,1407,4,D,6000.0,6000.0
45,Bahonar.Copper,20010731,6000.0,5908.0,6000.0,48846271,8194,16,D,6000.0,6000.0
46,Bahonar.Copper,20010801,6300.0,6300.0,6300.0,7137900,1133,2,D,6000.0,6300.0
47,Bahonar.Copper,20010804,6615.0,6500.0,6615.0,4120279070,633300,24,D,6300.0,6615.0
48,Bahonar.Copper,20010805,6615.0,6550.0,6550.0,12491500,1900,5,D,6615.0,6550.0
49,Bahonar.Copper,20010812,6876.0,6400.0,6550.0,1031435322,150646,25,D,6550.0,6550.0
50,Bahonar.Copper,20010813,6550.0,6550.0,6550.0,3930000,600,1,D,6550.0,6550.0
51,Bahonar.Copper,20010814,6877.0,6615.0,6877.0,49303240,7176,10,D,6550.0,6877.0
52,Bahonar.Copper,20010818,7220.0,7051.0,7220.0,14696446,2038,6,D,6877.0,7220.0
53,Bahonar.Copper,20010819,7223.0,7220.0,7223.0,20246500,2804,6,D,7220.0,7223.0
54,Bahonar.Copper,20010820,7220.0,7098.0,7100.0,61674622,8651,15,D,7223.0,7100.0
55,Bahonar.Copper,20010821,7100.0,7099.0,7100.0,4969888,700,3,D,7100.0,7100.0
56,Bahonar.Copper,20010822,7000.0,7000.0,7000.0,35000000,5000,2,D,7100.0,7000.0
57,Bahonar.Copper,20010825,7000.0,7000.0,7000.0,8862000,1266,5,D,7000.0,7000.0
58,Bahonar.Copper,20010826,7001.0,7000.0,7001.0,19511000,2787,5,D,7000.0,7001.0
59,Bahonar.Copper,20010827,7000.0,7000.0,7000.0,9891000,1413,2,D,7001.0,7000.0
60,Bahonar.Copper,20010828,6999.0,6999.0,6999.0,321954,46,1,D,7000.0,6999.0
61,Bahonar.Copper,20010902,7000.0,6990.0,7000.0,21770597,3111,9,D,6999.0,7000.0
62,Bahonar.Copper,20010903,7002.0,7000.0,7000.0,14709778,2101,5,D,7000.0,7000.0
63,Bahonar.Copper,20010904,6997.0,6994.0,6994.0,200714406,28698,5,D,7000.0,6994.0
64,Bahonar.Copper,20010912,7000.0,6645.0,7000.0,229648344,33116,40,D,6994.0,7000.0
65,Bahonar.Copper,20010917,6700.0,6700.0,6700.0,4020000000,600000,1,D,7000.0,6700.0
66,Bahonar.Copper,20010919,6702.0,6700.0,6702.0,5447498,813,3,D,6700.0,6702.0
67,Bahonar.Copper,20010922,6702.0,6702.0,6702.0,187656,28,1,D,6702.0,6702.0
68,Bahonar.Copper,20010923,6703.0,6702.0,6703.0,13392362,1998,3,D,6702.0,6703.0
69,Bahonar.Copper,20010924,6703.0,6701.0,6701.0,18940678,2826,7,D,6703.0,6701.0
70,Bahonar.Copper,20010925,6700.0,6690.0,6690.0,13533800,2020,5,D,6701.0,6690.0
71,Bahonar.Copper,20010930,6640.0,6640.0,6640.0,3320000,500,1,D,6690.0,6640.0
72,Bahonar.Copper,20011003,6608.0,6356.0,6608.0,62595474,9664,9,D,6640.0,6608.0
73,Bahonar.Copper,20011007,6608.0,6599.0,6608.0,14530327,2200,12,D,6608.0,6608.0
74,Bahonar.Copper,20011016,6554.0,6535.0,6549.0,29109494,4447,12,D,6608.0,6549.0
75,Bahonar.Copper,20011017,6278.0,6278.0,6278.0,12556000,2000,5,D,6549.0,6278.0
76,Bahonar.Copper,20011020,6277.0,6150.0,6220.0,68060182,10934,28,D,6278.0,6220.0
77,Bahonar.Copper,20011022,6500.0,6315.0,6500.0,9504724,1474,5,D,6220.0,6500.0
78,Bahonar.Copper,20011023,6700.0,6562.0,6700.0,19280141,2900,7,D,6500.0,6700.0
79,Bahonar.Copper,20011024,6709.0,6709.0,6709.0,187852,28,1,D,6700.0,6709.0
80,Bahonar.Copper,20011027,6723.0,6721.0,6721.0,17544930,2610,4,D,6709.0,6721.0
81,Bahonar.Copper,20011030,6717.0,6700.0,6715.0,15535537,2315,6,D,6721.0,6715.0
82,Bahonar.Copper,20011031,6800.0,6760.0,6800.0,76040000,11200,6,D,6715.0,6800.0
