,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Buali.Inv.,20031208,2420.0,2420.0,2420.0,18150000000,7500000,2156,D,2420.0,2420.0
1,Buali.Inv.,20031209,2541.0,2541.0,2541.0,100801719018,39670098,5796,D,2420.0,2541.0
2,Buali.Inv.,20031210,2668.0,2541.0,2541.0,2693410,1010,2,D,2541.0,2541.0
3,Buali.Inv.,20031228,2498.0,2280.0,2401.0,54060947959,22512881,2429,D,2541.0,2401.0
4,Buali.Inv.,20031229,2521.0,2454.0,2521.0,61599612658,25093698,121,D,2401.0,2521.0
5,Buali.Inv.,20031230,2647.0,2585.0,2585.0,202521350,76510,34,D,2521.0,2585.0
6,Buali.Inv.,20031231,2714.0,2609.0,2609.0,75990950,28000,28,D,2585.0,2609.0
7,Buali.Inv.,20040103,2739.0,2620.0,2731.0,25796890648,9445367,2510,D,2609.0,2731.0
8,Buali.Inv.,20040104,2800.0,2652.0,2732.0,9112954366,3335015,929,D,2731.0,2732.0
9,Buali.Inv.,20040105,2730.0,2651.0,2690.0,6547089926,2433379,655,D,2732.0,2690.0
10,Buali.Inv.,20040106,2799.0,2660.0,2721.0,6032938154,2219042,515,D,2690.0,2721.0
11,Buali.Inv.,20040107,2857.0,2750.0,2850.0,4574611566,1605114,466,D,2721.0,2850.0
12,Buali.Inv.,20040110,2860.0,2721.0,2817.0,3473519376,1232801,363,D,2850.0,2817.0
13,Buali.Inv.,20040111,2792.0,2720.0,2749.0,9265748600,3369828,370,D,2817.0,2749.0
14,Buali.Inv.,20040112,2760.0,2651.0,2723.0,3020833001,1109218,321,D,2749.0,2723.0
15,Buali.Inv.,20040113,2770.0,2700.0,2740.0,1322870663,482667,178,D,2723.0,2740.0
16,Buali.Inv.,20040114,2845.0,2740.0,2802.0,2739913210,977810,307,D,2740.0,2802.0
17,Buali.Inv.,20040117,2881.0,2801.0,2834.0,5833723989,2058141,432,D,2802.0,2834.0
18,Buali.Inv.,20040118,2860.0,2830.0,2845.0,4081599404,1434605,362,D,2834.0,2845.0
19,Buali.Inv.,20040119,2880.0,2790.0,2831.0,6681010421,2351973,257,D,2845.0,2831.0
20,Buali.Inv.,20040120,2831.0,2790.0,2805.0,1612011291,574564,217,D,2831.0,2805.0
21,Buali.Inv.,20040121,2839.0,2800.0,2826.0,2013153667,712262,238,D,2805.0,2826.0
22,Buali.Inv.,20040124,2879.0,2825.0,2851.0,2634842747,924054,242,D,2826.0,2851.0
23,Buali.Inv.,20040125,2851.0,2800.0,2832.0,1868588763,659811,200,D,2851.0,2832.0
24,Buali.Inv.,20040126,2818.0,2770.0,2794.0,695740602,249595,116,D,2832.0,2794.0
25,Buali.Inv.,20040127,2776.0,2699.0,2724.0,1445421727,530563,159,D,2794.0,2724.0
26,Buali.Inv.,20040128,2737.0,2668.0,2692.0,897480179,333356,115,D,2724.0,2692.0
27,Buali.Inv.,20040131,2750.0,2680.0,2717.0,820356082,301869,131,D,2692.0,2717.0
28,Buali.Inv.,20040201,2690.0,2582.0,2613.0,1407953156,538668,143,D,2717.0,2613.0
29,Buali.Inv.,20040203,2640.0,2597.0,2618.0,1273359987,486251,158,D,2613.0,2618.0
30,Buali.Inv.,20040204,2648.0,2595.0,2616.0,2163492234,822359,80,D,2618.0,2616.0
31,Buali.Inv.,20040207,2746.0,2681.0,2727.0,976860419,358205,102,D,2616.0,2727.0
32,Buali.Inv.,20040208,2829.0,2700.0,2773.0,23786518124,8793370,199,D,2727.0,2773.0
33,Buali.Inv.,20040214,2900.0,2738.0,2793.0,2201515274,788164,211,D,2773.0,2793.0
34,Buali.Inv.,20040215,2739.0,2654.0,2685.0,836721110,311601,109,D,2793.0,2685.0
35,Buali.Inv.,20040216,2710.0,2620.0,2676.0,950138142,355004,136,D,2685.0,2676.0
36,Buali.Inv.,20040217,2750.0,2685.0,2711.0,7619878297,2820528,99,D,2676.0,2711.0
37,Buali.Inv.,20040218,2736.0,2698.0,2705.0,1172080996,433227,119,D,2711.0,2705.0
38,Buali.Inv.,20040221,2739.0,2700.0,2721.0,1545301249,567871,149,D,2705.0,2721.0
39,Buali.Inv.,20040222,2799.0,2715.0,2739.0,1111166847,405555,123,D,2721.0,2739.0
40,Buali.Inv.,20040223,2739.0,2651.0,2706.0,709218171,262400,101,D,2739.0,2706.0
41,Buali.Inv.,20040224,2719.0,2651.0,2684.0,817579794,304557,116,D,2706.0,2684.0
42,Buali.Inv.,20040225,2687.0,2610.0,2638.0,876408875,332104,121,D,2684.0,2638.0
43,Buali.Inv.,20040228,2720.0,2600.0,2686.0,35027273401,13452124,149,D,2638.0,2686.0
