,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Bank.Melli.Inv.,20010325,3100.0,3080.0,3100.0,25560300,8263,3,D,3080.0,3100.0
1,Bank.Melli.Inv.,20010326,3100.0,3100.0,3100.0,4609700,1487,2,D,3100.0,3100.0
2,Bank.Melli.Inv.,20010327,3104.0,3100.0,3104.0,14345751,4624,6,D,3100.0,3104.0
3,Bank.Melli.Inv.,20010328,3108.0,3106.0,3107.0,11651711,3750,4,D,3104.0,3107.0
4,Bank.Melli.Inv.,20010331,3106.0,3016.0,3100.0,34355800,11098,7,D,3107.0,3100.0
5,Bank.Melli.Inv.,20010403,3100.0,3100.0,3100.0,1984000,640,1,D,3100.0,3100.0
6,Bank.Melli.Inv.,20010407,3100.0,3100.0,3100.0,46825500,15105,6,D,3100.0,3100.0
7,Bank.Melli.Inv.,20010408,3104.0,3100.0,3100.0,74579653,24051,17,D,3100.0,3100.0
8,Bank.Melli.Inv.,20010409,3100.0,3080.0,3080.0,43634400,14114,10,D,3100.0,3080.0
9,Bank.Melli.Inv.,20010410,3085.0,3080.0,3081.0,115241725,37404,29,D,3080.0,3081.0
10,Bank.Melli.Inv.,20010411,3096.0,3079.0,3096.0,167218820,54284,21,D,3081.0,3096.0
11,Bank.Melli.Inv.,20010414,3101.0,3093.0,3101.0,49747190,16060,10,D,3096.0,3101.0
12,Bank.Melli.Inv.,20010415,3112.0,3105.0,3106.0,110284713,35478,19,D,3101.0,3106.0
13,Bank.Melli.Inv.,20010416,3150.0,3108.0,3130.0,150488178,48061,41,D,3106.0,3130.0
14,Bank.Melli.Inv.,20010417,3227.0,3130.0,3222.0,1082359504,336515,60,D,3130.0,3222.0
15,Bank.Melli.Inv.,20010418,3383.0,3240.0,3340.0,1138121367,338733,82,D,3222.0,3340.0
16,Bank.Melli.Inv.,20010421,3408.0,3383.0,3395.0,2896316910,853320,99,D,3340.0,3395.0
17,Bank.Melli.Inv.,20010422,3433.0,3411.0,3433.0,1559224940,455005,115,D,3395.0,3433.0
18,Bank.Melli.Inv.,20010423,3454.0,3433.0,3450.0,885930790,256769,110,D,3433.0,3450.0
19,Bank.Melli.Inv.,20010424,3471.0,3451.0,3467.0,2204705175,636500,63,D,3450.0,3467.0
20,Bank.Melli.Inv.,20010425,3600.0,3469.0,3515.0,3230600050,906153,161,D,3467.0,3515.0
21,Bank.Melli.Inv.,20010428,3665.0,3529.0,3620.0,1487780377,407209,131,D,3515.0,3620.0
22,Bank.Melli.Inv.,20010429,3668.0,3637.0,3665.0,4948146935,1350015,232,D,3620.0,3665.0
23,Bank.Melli.Inv.,20010430,3700.0,3672.0,3672.0,2562246929,695070,161,D,3665.0,3672.0
24,Bank.Melli.Inv.,20010501,3701.0,3680.0,3688.0,1339494929,362807,145,D,3672.0,3688.0
25,Bank.Melli.Inv.,20010502,3700.0,3686.0,3688.0,213050853,57703,44,D,3688.0,3688.0
26,Bank.Melli.Inv.,20010505,3700.0,3685.0,3691.0,489312854,132567,69,D,3688.0,3691.0
27,Bank.Melli.Inv.,20010506,3720.0,3700.0,3700.0,438392846,118235,77,D,3691.0,3700.0
28,Bank.Melli.Inv.,20010507,3765.0,3704.0,3763.0,2678939716,712038,39,D,3700.0,3763.0
29,Bank.Melli.Inv.,20010508,3803.0,3767.0,3773.0,835104894,220723,99,D,3763.0,3773.0
30,Bank.Melli.Inv.,20010509,3802.0,3789.0,3789.0,1102095545,290585,97,D,3773.0,3789.0
31,Bank.Melli.Inv.,20010512,3796.0,3773.0,3773.0,320967534,84697,34,D,3789.0,3773.0
32,Bank.Melli.Inv.,20010513,3773.0,3708.0,3708.0,121326973,32538,28,D,3773.0,3708.0
33,Bank.Melli.Inv.,20010515,3700.0,3697.0,3700.0,44138660,11937,15,D,3708.0,3700.0
34,Bank.Melli.Inv.,20010516,3701.0,3670.0,3700.0,209411692,56855,37,D,3700.0,3700.0
35,Bank.Melli.Inv.,20010519,3763.0,3705.0,3707.0,304131381,82037,51,D,3700.0,3707.0
36,Bank.Melli.Inv.,20010520,3750.0,3706.0,3720.0,386306644,103815,53,D,3707.0,3720.0
37,Bank.Melli.Inv.,20010521,3720.0,3706.0,3707.0,168159178,45296,32,D,3720.0,3707.0
38,Bank.Melli.Inv.,20010523,3730.0,3707.0,3730.0,201556800,54220,32,D,3707.0,3730.0
39,Bank.Melli.Inv.,20010526,3840.0,3730.0,3840.0,5369759432,1419058,220,D,3730.0,3840.0
40,Bank.Melli.Inv.,20010527,4032.0,3885.0,3933.0,10140074559,2554154,453,D,3840.0,3933.0
41,Bank.Melli.Inv.,20010528,4040.0,3970.0,4030.0,6174460170,1540250,300,D,3933.0,4030.0
42,Bank.Melli.Inv.,20010529,4149.0,4032.0,4119.0,5561034603,1361695,372,D,4030.0,4119.0
43,Bank.Melli.Inv.,20010530,4200.0,4150.0,4169.0,3466831239,829910,276,D,4119.0,4169.0
44,Bank.Melli.Inv.,20010602,4223.0,4169.0,4205.0,5375316509,1281092,384,D,4169.0,4205.0
45,Bank.Melli.Inv.,20010603,4222.0,4208.0,4215.0,2911759030,690812,214,D,4205.0,4215.0
46,Bank.Melli.Inv.,20010606,4228.0,4211.0,4215.0,864237532,204772,95,D,4215.0,4215.0
47,Bank.Melli.Inv.,20010609,4215.0,4150.0,4175.0,783036550,187586,115,D,4215.0,4175.0
48,Bank.Melli.Inv.,20010611,4199.0,4175.0,4180.0,620272770,148324,99,D,4175.0,4180.0
49,Bank.Melli.Inv.,20010612,4180.0,4080.0,4080.0,467679076,113937,73,D,4180.0,4080.0
50,Bank.Melli.Inv.,20010613,4080.0,4020.0,4075.0,551278061,135681,70,D,4080.0,4075.0
51,Bank.Melli.Inv.,20010616,4070.0,4050.0,4056.0,526472326,129782,57,D,4075.0,4056.0
52,Bank.Melli.Inv.,20010617,4050.0,4022.0,4050.0,463075241,114572,71,D,4056.0,4050.0
53,Bank.Melli.Inv.,20010618,4059.0,4011.0,4050.0,646271401,160570,74,D,4050.0,4050.0
54,Bank.Melli.Inv.,20010619,4090.0,4048.0,4090.0,340836660,84047,58,D,4050.0,4090.0
55,Bank.Melli.Inv.,20010620,4150.0,4089.0,4140.0,3403350195,822258,89,D,4090.0,4140.0
56,Bank.Melli.Inv.,20010623,4141.0,4130.0,4140.0,379377800,91658,61,D,4140.0,4140.0
57,Bank.Melli.Inv.,20010624,4140.0,4080.0,4096.0,330371830,80438,53,D,4140.0,4096.0
58,Bank.Melli.Inv.,20010625,4070.0,4040.0,4050.0,430262816,105963,69,D,4096.0,4050.0
59,Bank.Melli.Inv.,20010626,4048.0,4010.0,4033.0,262094316,65113,44,D,4050.0,4033.0
60,Bank.Melli.Inv.,20010627,4054.0,4029.0,4050.0,174281876,43082,39,D,4033.0,4050.0
61,Bank.Melli.Inv.,20010630,4150.0,4089.0,4090.0,1135174364,275432,75,D,4050.0,4090.0
62,Bank.Melli.Inv.,20010701,4120.0,4090.0,4093.0,197601718,48248,38,D,4090.0,4093.0
63,Bank.Melli.Inv.,20010702,4101.0,4092.0,4093.0,416340647,101651,59,D,4093.0,4093.0
64,Bank.Melli.Inv.,20010703,4105.0,4090.0,4090.0,133306789,32542,31,D,4093.0,4090.0
65,Bank.Melli.Inv.,20010704,4090.0,4070.0,4070.0,237204930,58151,28,D,4090.0,4070.0
66,Bank.Melli.Inv.,20010707,4066.0,4021.0,4050.0,374530591,92530,41,D,4070.0,4050.0
67,Bank.Melli.Inv.,20010708,4045.0,4030.0,4038.0,252903678,62662,53,D,4050.0,4038.0
68,Bank.Melli.Inv.,20010709,4110.0,4030.0,4110.0,772864314,189402,79,D,4038.0,4110.0
69,Bank.Melli.Inv.,20010710,4109.0,4049.0,4050.0,398667000,98425,52,D,4110.0,4050.0
70,Bank.Melli.Inv.,20010711,4100.0,4050.0,4099.0,856318456,209442,72,D,4050.0,4099.0
71,Bank.Melli.Inv.,20010714,4103.0,4075.0,4103.0,383265557,93477,63,D,4099.0,4103.0
72,Bank.Melli.Inv.,20010715,4110.0,4100.0,4109.0,1483507461,361293,91,D,4103.0,4109.0
73,Bank.Melli.Inv.,20010716,4118.0,4109.0,4113.0,145114642,35284,23,D,4109.0,4113.0
74,Bank.Melli.Inv.,20010717,4150.0,4115.0,4140.0,1692343071,408612,130,D,4113.0,4140.0
75,Bank.Melli.Inv.,20010718,4175.0,4141.0,4141.0,550855567,132483,73,D,4140.0,4141.0
76,Bank.Melli.Inv.,20010721,4150.0,4000.0,4100.0,291477461,71087,46,D,4141.0,4100.0
77,Bank.Melli.Inv.,20010722,4100.0,4060.0,4065.0,128213020,31449,36,D,4100.0,4065.0
78,Bank.Melli.Inv.,20010723,4090.0,4066.0,4090.0,93245682,22850,17,D,4065.0,4090.0
79,Bank.Melli.Inv.,20010724,4150.0,4088.0,4100.0,4446077386,1072244,52,D,4090.0,4100.0
80,Bank.Melli.Inv.,20010725,4150.0,4101.0,4150.0,1357574929,327323,65,D,4100.0,4150.0
81,Bank.Melli.Inv.,20010728,4160.0,4150.0,4150.0,877710137,211197,78,D,4150.0,4150.0
82,Bank.Melli.Inv.,20010729,4150.0,4100.0,4148.0,457197541,110350,49,D,4150.0,4148.0
83,Bank.Melli.Inv.,20010730,4160.0,4114.0,4150.0,576007340,138963,65,D,4148.0,4150.0
84,Bank.Melli.Inv.,20010731,4201.0,4150.0,4180.0,705313830,168250,89,D,4150.0,4180.0
85,Bank.Melli.Inv.,20010801,4250.0,4191.0,4212.0,4931526920,1168986,113,D,4180.0,4212.0
86,Bank.Melli.Inv.,20010804,4311.0,4250.0,4300.0,2835435882,659510,181,D,4212.0,4300.0
87,Bank.Melli.Inv.,20010805,4350.0,4290.0,4345.0,1297903052,300449,109,D,4300.0,4345.0
88,Bank.Melli.Inv.,20010806,4400.0,4350.0,4360.0,3134975535,719605,113,D,4345.0,4360.0
89,Bank.Melli.Inv.,20010807,4400.0,4363.0,4363.0,325331994,74319,54,D,4360.0,4363.0
90,Bank.Melli.Inv.,20010808,4366.0,4300.0,4360.0,540778160,124336,60,D,4363.0,4360.0
91,Bank.Melli.Inv.,20010811,4380.0,4350.0,4380.0,1694385325,387228,61,D,4360.0,4380.0
92,Bank.Melli.Inv.,20010812,4450.0,4400.0,4427.0,1460505782,330495,117,D,4380.0,4427.0
93,Bank.Melli.Inv.,20010813,4608.0,4449.0,4516.0,5131271922,1133598,250,D,4427.0,4516.0
94,Bank.Melli.Inv.,20010814,4605.0,4533.0,4580.0,6476425635,1415785,216,D,4516.0,4580.0
95,Bank.Melli.Inv.,20010815,4652.0,4580.0,4610.0,3524531330,765094,218,D,4580.0,4610.0
96,Bank.Melli.Inv.,20010818,4651.0,4601.0,4620.0,4148003488,897530,247,D,4610.0,4620.0
97,Bank.Melli.Inv.,20010819,4670.0,4630.0,4630.0,3794919274,819289,213,D,4620.0,4630.0
98,Bank.Melli.Inv.,20010820,4670.0,4632.0,4632.0,2674909959,575725,161,D,4630.0,4632.0
99,Bank.Melli.Inv.,20010821,4670.0,4635.0,4660.0,4112418279,882696,191,D,4632.0,4660.0
100,Bank.Melli.Inv.,20010822,4740.0,4660.0,4710.0,3877570263,823455,233,D,4660.0,4710.0
101,Bank.Melli.Inv.,20010825,4800.0,4740.0,4771.0,6283820944,1318840,441,D,4710.0,4771.0
102,Bank.Melli.Inv.,20010826,4886.0,4790.0,4880.0,8838482148,1827179,585,D,4771.0,4880.0
103,Bank.Melli.Inv.,20010827,4980.0,4901.0,4910.0,8397326282,1702070,589,D,4880.0,4910.0
