,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Fajr.E.Persia.Gulf,20160217,11500.0,11500.0,11500.0,2294365402500,199510035,32443,D,1000.0,11500.0
1,Fajr.E.Persia.Gulf,20160220,12075.0,12075.0,12075.0,10926027525,904847,211,D,11500.0,12075.0
2,Fajr.E.Persia.Gulf,20160221,12678.0,12678.0,12678.0,12075604830,952485,294,D,12075.0,12678.0
3,Fajr.E.Persia.Gulf,20160222,13311.0,13311.0,13311.0,66187935864,4972424,582,D,12678.0,13311.0
4,Fajr.E.Persia.Gulf,20160223,13976.0,13976.0,13976.0,332836147936,23814836,1858,D,13311.0,13976.0
5,Fajr.E.Persia.Gulf,20160224,14674.0,14674.0,14674.0,265214589024,18073776,3796,D,13976.0,14674.0
6,Fajr.E.Persia.Gulf,20160227,15407.0,15407.0,15407.0,82190875515,5334645,2384,D,14674.0,15407.0
7,Fajr.E.Persia.Gulf,20160228,16177.0,15933.0,16147.0,2004161643562,124118147,43170,D,15407.0,16177.0
8,Fajr.E.Persia.Gulf,20160229,16200.0,15503.0,15744.0,283751069059,18022584,8778,D,16147.0,15550.0
9,Fajr.E.Persia.Gulf,20160301,15579.0,15102.0,15355.0,178399788438,11618400,5290,D,15744.0,15300.0
10,Fajr.E.Persia.Gulf,20160302,16100.0,15202.0,15798.0,225921088334,14300887,5629,D,15355.0,15880.0
11,Fajr.E.Persia.Gulf,20160307,16166.0,15744.0,15919.0,112930899142,7093910,1992,D,15798.0,15800.0
12,Fajr.E.Persia.Gulf,20160308,15800.0,15351.0,15543.0,84698359104,5449410,2305,D,15919.0,15380.0
13,Fajr.E.Persia.Gulf,20160309,15450.0,15280.0,15333.0,60957349561,3975534,1360,D,15543.0,15323.0
14,Fajr.E.Persia.Gulf,20160312,16000.0,15250.0,15640.0,56093911264,3586676,1469,D,15333.0,15526.0
15,Fajr.E.Persia.Gulf,20160314,16100.0,15550.0,15826.0,60229387241,3805763,2128,D,15640.0,15650.0
16,Fajr.E.Persia.Gulf,20160315,15949.0,15501.0,15724.0,47578645832,3025777,997,D,15826.0,15660.0
17,Fajr.E.Persia.Gulf,20160316,15700.0,15303.0,15459.0,53357159336,3451430,1048,D,15724.0,15499.0
18,Fajr.E.Persia.Gulf,20160326,15803.0,15422.0,15693.0,12492306812,796066,454,D,15459.0,15803.0
19,Fajr.E.Persia.Gulf,20160327,15800.0,15505.0,15640.0,37569013709,2402108,564,D,15693.0,15700.0
20,Fajr.E.Persia.Gulf,20160328,15670.0,15504.0,15589.0,10586530898,679112,383,D,15640.0,15621.0
21,Fajr.E.Persia.Gulf,20160329,15989.0,15526.0,15778.0,37563965369,2380817,850,D,15589.0,15930.0
22,Fajr.E.Persia.Gulf,20160330,16566.0,15777.0,16523.0,121423171227,7348572,1533,D,15778.0,16566.0
23,Fajr.E.Persia.Gulf,20160402,16598.0,16150.0,16470.0,31969414427,1941079,653,D,16523.0,16480.0
24,Fajr.E.Persia.Gulf,20160403,16500.0,16162.0,16354.0,37885675587,2316636,634,D,16470.0,16448.0
25,Fajr.E.Persia.Gulf,20160404,16490.0,16312.0,16347.0,22527760910,1378129,472,D,16354.0,16322.0
26,Fajr.E.Persia.Gulf,20160405,16480.0,16232.0,16337.0,36960322640,2262408,537,D,16347.0,16375.0
27,Fajr.E.Persia.Gulf,20160406,16399.0,16211.0,16300.0,29116109110,1786226,491,D,16337.0,16274.0
28,Fajr.E.Persia.Gulf,20160409,16448.0,16255.0,16350.0,16925458491,1035187,423,D,16300.0,16346.0
29,Fajr.E.Persia.Gulf,20160410,16328.0,16300.0,16315.0,37282638691,2285159,404,D,16350.0,16324.0
30,Fajr.E.Persia.Gulf,20160411,16499.0,16251.0,16372.0,25525399011,1559114,423,D,16315.0,16365.0
31,Fajr.E.Persia.Gulf,20160412,16499.0,16301.0,16416.0,29375231832,1789404,381,D,16372.0,16362.0
32,Fajr.E.Persia.Gulf,20160413,16351.0,16120.0,16261.0,31566884359,1941206,321,D,16416.0,16290.0
33,Fajr.E.Persia.Gulf,20160416,16399.0,15500.0,15937.0,51399606495,3225133,495,D,16261.0,15800.0
34,Fajr.E.Persia.Gulf,20160417,16000.0,15602.0,15895.0,7421758564,467298,182,D,15937.0,15751.0
35,Fajr.E.Persia.Gulf,20160418,16250.0,15862.0,16152.0,10229086658,633283,202,D,15895.0,16152.0
36,Fajr.E.Persia.Gulf,20160419,16161.0,15820.0,16009.0,22639616577,1414222,253,D,16152.0,16000.0
37,Fajr.E.Persia.Gulf,20160420,16100.0,15800.0,15990.0,13828628974,864835,172,D,16009.0,16032.0
38,Fajr.E.Persia.Gulf,20160423,16089.0,15860.0,16025.0,22431045882,1399711,196,D,15990.0,15982.0
39,Fajr.E.Persia.Gulf,20160424,16470.0,15902.0,16054.0,8823358140,549450,226,D,16025.0,16002.0
40,Fajr.E.Persia.Gulf,20160425,16150.0,15991.0,16013.0,17591982834,1098625,241,D,16054.0,16000.0
41,Fajr.E.Persia.Gulf,20160426,16500.0,15821.0,16306.0,10156462264,622819,265,D,16013.0,16163.0
42,Fajr.E.Persia.Gulf,20160427,16450.0,16051.0,16275.0,7010300930,431098,189,D,16306.0,16248.0
43,Fajr.E.Persia.Gulf,20160430,16449.0,16151.0,16262.0,7012334019,431345,154,D,16275.0,16234.0
44,Fajr.E.Persia.Gulf,20160501,16339.0,16206.0,16263.0,16844903704,1035757,200,D,16262.0,16220.0
45,Fajr.E.Persia.Gulf,20160502,16300.0,16150.0,16195.0,22361426828,1380720,215,D,16263.0,16279.0
46,Fajr.E.Persia.Gulf,20160503,16250.0,16145.0,16192.0,13966673248,862573,165,D,16195.0,16190.0
47,Fajr.E.Persia.Gulf,20160504,16200.0,16062.0,16185.0,43033265749,2658914,158,D,16192.0,16170.0
48,Fajr.E.Persia.Gulf,20160507,16450.0,16060.0,16202.0,28303291793,1746938,240,D,16185.0,16159.0
49,Fajr.E.Persia.Gulf,20160508,16101.0,15922.0,16058.0,12279186363,764676,211,D,16202.0,16000.0
50,Fajr.E.Persia.Gulf,20160509,16288.0,16058.0,16174.0,10424544271,644523,188,D,16058.0,16200.0
51,Fajr.E.Persia.Gulf,20160510,16295.0,16000.0,16048.0,10207512251,636045,178,D,16174.0,16002.0
52,Fajr.E.Persia.Gulf,20160511,16099.0,15900.0,16000.0,12092208105,755759,190,D,16048.0,15983.0
53,Fajr.E.Persia.Gulf,20160514,16030.0,15981.0,16008.0,12039204251,752073,163,D,16000.0,16007.0
54,Fajr.E.Persia.Gulf,20160515,16150.0,16002.0,16112.0,70745517093,4390753,220,D,16008.0,16088.0
55,Fajr.E.Persia.Gulf,20160516,16150.0,15985.0,16094.0,9063706823,563223,154,D,16112.0,16082.0
56,Fajr.E.Persia.Gulf,20160517,16120.0,16001.0,16101.0,10854297374,674155,207,D,16094.0,16087.0
