,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pars.Int..Mfg.,20030902,8500.0,8500.0,8500.0,2312000,272,1,D,8500.0,8500.0
1,Pars.Int..Mfg.,20030903,8500.0,8500.0,8500.0,5397500,635,2,D,8500.0,8500.0
2,Pars.Int..Mfg.,20030908,12645.0,8500.0,8500.0,6907647235,546827,8,D,8500.0,8500.0
3,Pars.Int..Mfg.,20030913,8500.0,8500.0,8500.0,11568500,1361,4,D,8500.0,8500.0
4,Pars.Int..Mfg.,20030914,8500.0,8500.0,8500.0,2312000,272,1,D,8500.0,8500.0
5,Pars.Int..Mfg.,20030915,8500.0,8500.0,8500.0,2312000,272,1,D,8500.0,8500.0
6,Pars.Int..Mfg.,20030922,8500.0,8500.0,8500.0,3085500,363,1,D,8500.0,8500.0
7,Pars.Int..Mfg.,20030930,8500.0,8500.0,8500.0,3085500,363,1,D,8500.0,8500.0
8,Pars.Int..Mfg.,20031001,8500.0,8500.0,8500.0,2312000,272,1,D,8500.0,8500.0
9,Pars.Int..Mfg.,20031008,8500.0,8500.0,8500.0,2312000,272,1,D,8500.0,8500.0
10,Pars.Int..Mfg.,20060802,14205.0,10500.0,13705.0,58564252,4273,15,D,8500.0,13705.0
11,Pars.Int..Mfg.,20060805,13979.0,13759.0,13759.0,4554954,326,3,D,13705.0,13759.0
12,Pars.Int..Mfg.,20060807,14034.0,13783.0,13783.0,5232172,373,2,D,13759.0,13783.0
13,Pars.Int..Mfg.,20060809,14058.0,13807.0,13807.0,5241124,373,2,D,13783.0,13807.0
14,Pars.Int..Mfg.,20060812,14083.0,13832.0,13832.0,5250449,373,3,D,13807.0,13832.0
15,Pars.Int..Mfg.,20060815,14108.0,13907.0,13907.0,15488574,1098,5,D,13832.0,13907.0
16,Pars.Int..Mfg.,20060819,14185.0,13944.0,13944.0,7742600,546,4,D,13907.0,13944.0
17,Pars.Int..Mfg.,20060826,14222.0,13981.0,13981.0,7762802,546,3,D,13944.0,13981.0
18,Pars.Int..Mfg.,20060827,14260.0,14006.0,14006.0,5430520,381,3,D,13981.0,14006.0
19,Pars.Int..Mfg.,20061111,20000.0,15000.0,17196.0,163296960,9496,5,D,14006.0,17196.0
20,Pars.Int..Mfg.,20061114,17196.0,17196.0,17196.0,93735396,5451,5,D,17196.0,17196.0
21,Pars.Int..Mfg.,20061115,17190.0,16853.0,17004.0,40107590,2377,9,D,17196.0,17004.0
22,Pars.Int..Mfg.,20061118,17005.0,17004.0,17004.0,1870540,110,2,D,17004.0,17004.0
23,Pars.Int..Mfg.,20061120,16892.0,16664.0,16892.0,22098744,1326,5,D,17004.0,16892.0
24,Pars.Int..Mfg.,20061121,16744.0,16555.0,16744.0,29422625,1777,6,D,16892.0,16744.0
25,Pars.Int..Mfg.,20061122,16744.0,16744.0,16744.0,33822880,2020,8,D,16744.0,16744.0
26,Pars.Int..Mfg.,20061125,16744.0,16744.0,16744.0,7936656,474,1,D,16744.0,16744.0
