,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Pasargad.Bank,20110816,2190.0,2106.0,2150.0,552815139036,257128080,5341,D,1000.0,2190.0
1,S*Pasargad.Bank,20110817,2236.0,2236.0,2236.0,526470707776,235452016,4933,D,2150.0,2236.0
2,S*Pasargad.Bank,20110820,2323.0,2252.0,2281.0,200986845259,88131720,6528,D,2236.0,2252.0
3,S*Pasargad.Bank,20110821,2295.0,2252.0,2281.0,194518835417,85266840,3916,D,2281.0,2294.0
4,S*Pasargad.Bank,20110823,2310.0,2284.0,2291.0,42088553825,18371511,1157,D,2281.0,2299.0
5,S*Pasargad.Bank,20110824,2299.0,2290.0,2294.0,206623858819,90072537,1101,D,2291.0,2298.0
6,S*Pasargad.Bank,20110827,2299.0,2292.0,2295.0,48315196745,21050127,1160,D,2294.0,2295.0
7,S*Pasargad.Bank,20110828,2298.0,2293.0,2295.0,73357384819,31963406,1329,D,2295.0,2295.0
8,S*Pasargad.Bank,20110829,2305.0,2296.0,2297.0,34808346996,15153211,733,D,2295.0,2305.0
9,S*Pasargad.Bank,20110830,2300.0,2279.0,2297.0,148068359332,64458341,1586,D,2297.0,2297.0
10,S*Pasargad.Bank,20110903,2298.0,2296.0,2297.0,127356346651,55444471,1761,D,2297.0,2297.0
11,S*Pasargad.Bank,20110904,2300.0,2275.0,2297.0,113100903077,49246693,1464,D,2297.0,2297.0
12,S*Pasargad.Bank,20110905,2349.0,2280.0,2299.0,93737115687,40776540,1936,D,2297.0,2330.0
13,S*Pasargad.Bank,20110906,2390.0,2311.0,2375.0,34671277273,14600577,1066,D,2299.0,2390.0
14,S*Pasargad.Bank,20110907,2409.0,2300.0,2310.0,142291782655,61593442,2466,D,2375.0,2322.0
15,S*Pasargad.Bank,20110910,2338.0,2280.0,2303.0,193872411889,84198742,2317,D,2310.0,2284.0
16,S*Pasargad.Bank,20110911,2288.0,2251.0,2263.0,41297890110,18245930,1066,D,2303.0,2265.0
17,S*Pasargad.Bank,20110912,2279.0,2255.0,2261.0,61380934522,27150238,920,D,2263.0,2279.0
18,S*Pasargad.Bank,20110913,2270.0,2240.0,2245.0,113879914441,50728847,1538,D,2261.0,2270.0
19,S*Pasargad.Bank,20110914,2270.0,2255.0,2260.0,19922368031,8813403,411,D,2245.0,2264.0
20,S*Pasargad.Bank,20110917,2280.0,2245.0,2262.0,18901677325,8357210,629,D,2260.0,2280.0
21,S*Pasargad.Bank,20110918,2270.0,2249.0,2257.0,23710791674,10505132,463,D,2262.0,2255.0
22,S*Pasargad.Bank,20110919,2272.0,2236.0,2261.0,45077533844,19941004,1021,D,2257.0,2270.0
23,S*Pasargad.Bank,20110920,2260.0,2235.0,2251.0,51226965345,22757061,1444,D,2261.0,2245.0
24,S*Pasargad.Bank,20110921,2269.0,2240.0,2253.0,65014407873,28859921,815,D,2251.0,2269.0
25,S*Pasargad.Bank,20110925,2259.0,2220.0,2241.0,12632261316,5643052,444,D,2253.0,2235.0
26,S*Pasargad.Bank,20110926,2230.0,2200.0,2215.0,11481837029,5202782,492,D,2241.0,2210.0
27,S*Pasargad.Bank,20110927,2250.0,2220.0,2230.0,12429968888,5565580,389,D,2215.0,2240.0
28,S*Pasargad.Bank,20110928,2249.0,2227.0,2232.0,14914279405,6683190,418,D,2230.0,2234.0
29,S*Pasargad.Bank,20111001,2240.0,2173.0,2217.0,35863002810,16179676,877,D,2232.0,2235.0
30,S*Pasargad.Bank,20111002,2229.0,2160.0,2180.0,27556384781,12638146,747,D,2217.0,2170.0
31,S*Pasargad.Bank,20111003,2197.0,2158.0,2177.0,64374105677,29572959,1204,D,2180.0,2169.0
32,S*Pasargad.Bank,20111004,2170.0,2109.0,2131.0,22405408406,10512029,876,D,2177.0,2130.0
33,S*Pasargad.Bank,20111005,2142.0,2113.0,2125.0,42856430209,20163051,1095,D,2131.0,2142.0
34,S*Pasargad.Bank,20111008,2150.0,2110.0,2125.0,33545133500,15787202,1400,D,2125.0,2130.0
35,S*Pasargad.Bank,20111009,2140.0,2090.0,2123.0,36315185109,17106306,610,D,2125.0,2119.0
36,S*Pasargad.Bank,20111010,2130.0,2091.0,2106.0,18924376868,8986225,855,D,2123.0,2100.0
37,S*Pasargad.Bank,20111011,2110.0,2040.0,2067.0,109458920432,52962604,2199,D,2106.0,2079.0
38,S*Pasargad.Bank,20111012,2090.0,2051.0,2069.0,15885592893,7678560,887,D,2067.0,2070.0
39,S*Pasargad.Bank,20111015,2089.0,2040.0,2047.0,32459670000,15860677,779,D,2069.0,2043.0
40,S*Pasargad.Bank,20111016,2053.0,1980.0,2025.0,48681279746,24041331,1138,D,2047.0,1987.0
41,S*Pasargad.Bank,20111017,2000.0,1953.0,1967.0,28269963443,14373219,1164,D,2025.0,1990.0
42,S*Pasargad.Bank,20111018,1990.0,1960.0,1970.0,11630554294,5903313,580,D,1967.0,1970.0
43,S*Pasargad.Bank,20111019,2019.0,1970.0,1994.0,49861346738,25003871,1572,D,1970.0,1996.0
44,S*Pasargad.Bank,20111022,2000.0,1945.0,1960.0,12255914276,6263950,487,D,1994.0,1952.0
45,S*Pasargad.Bank,20111023,1987.0,1949.0,1968.0,35313018814,17943100,1427,D,1960.0,1970.0
46,S*Pasargad.Bank,20111024,1985.0,1960.0,1969.0,34405857174,17476771,1064,D,1968.0,1970.0
47,S*Pasargad.Bank,20111025,1982.0,1969.0,1974.0,36440881685,18455817,1051,D,1969.0,1979.0
48,S*Pasargad.Bank,20111026,2000.0,1970.0,1993.0,56873579646,28531218,1727,D,1974.0,1995.0
49,S*Pasargad.Bank,20111029,2052.0,2020.0,2042.0,39218949407,19201611,1062,D,1993.0,2048.0
50,S*Pasargad.Bank,20111030,2085.0,2049.0,2072.0,31366518096,15139613,1191,D,2042.0,2077.0
51,S*Pasargad.Bank,20111031,2153.0,2080.0,2130.0,54166909571,25425140,1544,D,2072.0,2152.0
52,S*Pasargad.Bank,20111101,2180.0,2148.0,2173.0,43049039264,19811050,1739,D,2130.0,2178.0
53,S*Pasargad.Bank,20111102,2199.0,2160.0,2181.0,27411005527,12567126,1197,D,2173.0,2169.0
54,S*Pasargad.Bank,20111105,2199.0,2179.0,2192.0,112668573132,51405813,3930,D,2181.0,2190.0
55,S*Pasargad.Bank,20111106,2193.0,2105.0,2145.0,73459824542,34247977,1440,D,2192.0,2119.0
56,S*Pasargad.Bank,20111108,2144.0,2060.0,2131.0,85021241217,39893469,1078,D,2145.0,2060.0
57,S*Pasargad.Bank,20111109,2149.0,2070.0,2141.0,182554580974,85255716,3152,D,2131.0,2147.0
58,S*Pasargad.Bank,20111112,2190.0,2145.0,2177.0,110204283761,50612386,1640,D,2141.0,2150.0
59,S*Pasargad.Bank,20111113,2185.0,2136.0,2179.0,99086640164,45476140,2034,D,2177.0,2158.0
60,S*Pasargad.Bank,20111114,2177.0,2120.0,2171.0,55183707627,25417669,950,D,2179.0,2135.0
61,S*Pasargad.Bank,20111116,2185.0,2137.0,2179.0,156950540686,72015909,2746,D,2171.0,2166.0
62,S*Pasargad.Bank,20111119,2195.0,2132.0,2188.0,147104430500,67225027,2218,D,2179.0,2138.0
63,S*Pasargad.Bank,20111120,2240.0,2139.0,2203.0,155744397353,70703004,4911,D,2188.0,2148.0
64,S*Pasargad.Bank,20111127,2195.0,2115.0,2177.0,116205900217,53367956,244,D,2203.0,2115.0
65,S*Pasargad.Bank,20111128,2090.0,2090.0,2176.0,134545840,64376,17,D,2177.0,2090.0
