,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Post.Bank,20101102,3000.0,2301.0,2302.0,64199787150,27887150,628,D,1000.0,2301.0
1,Post.Bank,20101103,2394.0,2394.0,2339.0,434487060,181490,14,D,2302.0,2394.0
2,Post.Bank,20101106,2432.0,2432.0,2341.0,27724800,11400,7,D,2339.0,2432.0
3,Post.Bank,20101107,2434.0,2434.0,2342.0,14604000,6000,3,D,2341.0,2434.0
4,Post.Bank,20101108,2435.0,2435.0,2347.0,64527500,26500,14,D,2342.0,2435.0
5,Post.Bank,20101109,2440.0,2440.0,2348.0,8540000,3500,4,D,2347.0,2440.0
6,Post.Bank,20101110,2441.0,2441.0,2349.0,11838850,4850,4,D,2348.0,2441.0
7,Post.Bank,20101113,2442.0,2442.0,2352.0,34554300,14150,24,D,2349.0,2442.0
8,Post.Bank,20101114,2446.0,2446.0,2354.0,17733500,7250,5,D,2352.0,2446.0
9,Post.Bank,20101115,2448.0,2448.0,2357.0,38800800,15850,7,D,2354.0,2448.0
10,Post.Bank,20101116,2451.0,2451.0,2359.0,22870281,9331,7,D,2357.0,2451.0
11,Post.Bank,20101120,2453.0,2453.0,2361.0,23646920,9640,6,D,2359.0,2453.0
12,Post.Bank,20101121,2455.0,2455.0,2455.0,14730000,6000,4,D,2361.0,2455.0
13,Post.Bank,20101122,2553.0,2553.0,2553.0,3829500,1500,2,D,2455.0,2553.0
14,Post.Bank,20101123,2655.0,2655.0,2655.0,3268305,1231,2,D,2553.0,2655.0
15,Post.Bank,20101124,2761.0,2761.0,2761.0,24849000,9000,4,D,2655.0,2761.0
16,Post.Bank,20101127,2871.0,2871.0,2871.0,67468500,23500,10,D,2761.0,2871.0
17,Post.Bank,20101128,2985.0,2985.0,2877.0,67132650,22490,13,D,2871.0,2985.0
18,Post.Bank,20101129,2992.0,2992.0,2992.0,16456000,5500,4,D,2877.0,2992.0
19,Post.Bank,20101130,3111.0,3111.0,3111.0,32976600,10600,7,D,2992.0,3111.0
20,Post.Bank,20101201,3235.0,3235.0,3235.0,37202500,11500,5,D,3111.0,3235.0
21,Post.Bank,20101204,3364.0,3364.0,3364.0,14297000,4250,3,D,3235.0,3364.0
22,Post.Bank,20101205,3498.0,3498.0,3498.0,65937300,18850,8,D,3364.0,3498.0
23,Post.Bank,20101206,3637.0,3637.0,3506.0,93252680,25640,15,D,3498.0,3637.0
24,Post.Bank,20101207,3646.0,3646.0,3646.0,43569700,11950,10,D,3506.0,3646.0
25,Post.Bank,20101208,3791.0,3791.0,3791.0,75895820,20020,11,D,3646.0,3791.0
26,Post.Bank,20101211,3942.0,3942.0,3942.0,56764800,14400,9,D,3791.0,3942.0
27,Post.Bank,20101212,4099.0,4099.0,4099.0,91407700,22300,11,D,3942.0,4099.0
28,Post.Bank,20101213,4262.0,4262.0,4262.0,767164262,180001,93,D,4099.0,4262.0
29,Post.Bank,20101214,4432.0,4432.0,4337.0,881857200,198975,96,D,4262.0,4432.0
30,Post.Bank,20101218,4510.0,4510.0,4510.0,10175741620,2256262,183,D,4337.0,4510.0
31,Post.Bank,20101219,4690.0,4690.0,4690.0,38142222300,8132670,1966,D,4510.0,4690.0
32,Post.Bank,20101220,4877.0,4877.0,4877.0,58098086713,11912669,3692,D,4690.0,4877.0
33,Post.Bank,20101221,5072.0,5072.0,5072.0,29593628832,5834706,783,D,4877.0,5072.0
34,Post.Bank,20101222,5274.0,5274.0,5274.0,26698058622,5062203,236,D,5072.0,5274.0
35,Post.Bank,20101225,5484.0,5484.0,5484.0,27661844400,5044100,200,D,5274.0,5484.0
36,Post.Bank,20101226,5703.0,5703.0,5491.0,76996203,13501,11,D,5484.0,5703.0
37,Post.Bank,20101227,5710.0,5710.0,5710.0,16051540880,2811128,120,D,5491.0,5710.0
38,Post.Bank,20101228,5938.0,5938.0,5722.0,136585876,23002,21,D,5710.0,5938.0
39,Post.Bank,20101229,6426.0,6179.0,6426.0,146146851107,22743892,2842,D,5722.0,6426.0
40,Post.Bank,20110101,6650.0,6200.0,6382.0,58781043723,9210801,2103,D,6426.0,6320.0
41,Post.Bank,20110102,6637.0,6310.0,6553.0,43241105043,6598647,1170,D,6382.0,6637.0
42,Post.Bank,20110103,6815.0,6690.0,6813.0,112155778485,16461187,1681,D,6553.0,6815.0
43,Post.Bank,20110104,7085.0,6852.0,7009.0,29207085689,4166978,676,D,6813.0,7085.0
44,Post.Bank,20110105,7289.0,7289.0,7073.0,743091683,101947,25,D,7009.0,7289.0
45,Post.Bank,20110108,7355.0,7355.0,7123.0,580000590,78858,9,D,7073.0,7355.0
46,Post.Bank,20110109,7407.0,7407.0,7124.0,7407000,1000,1,D,7123.0,7407.0
47,Post.Bank,20110110,7408.0,7408.0,7408.0,11055602896,1492387,70,D,7124.0,7408.0
48,Post.Bank,20110111,7704.0,7704.0,7704.0,18078106248,2346587,106,D,7408.0,7704.0
49,Post.Bank,20110112,8652.0,8320.0,8646.0,37749187228,4365836,370,D,7704.0,8652.0
50,Post.Bank,20110115,8991.0,8950.0,8991.0,76457742326,8503841,771,D,8646.0,8991.0
51,Post.Bank,20110116,9299.0,8900.0,9168.0,71966636126,7849491,1545,D,8991.0,8995.0
52,Post.Bank,20110117,8994.0,8802.0,8830.0,24803859050,2809169,478,D,9168.0,8802.0
53,Post.Bank,20110118,8800.0,8477.0,8535.0,79893945192,9360647,1373,D,8830.0,8740.0
54,Post.Bank,20110119,8876.0,8872.0,8876.0,18599638420,2095545,184,D,8535.0,8876.0
55,Post.Bank,20110122,9231.0,9231.0,9231.0,7901615997,855987,99,D,8876.0,9231.0
56,Post.Bank,20110123,9600.0,9600.0,9481.0,2925542400,304744,31,D,9231.0,9600.0
57,Post.Bank,20110124,9860.0,9860.0,9500.0,223782560,22696,15,D,9481.0,9860.0
58,Post.Bank,20110126,9880.0,9600.0,9848.0,136945292019,13906214,1696,D,9500.0,9670.0
59,Post.Bank,20110129,9620.0,9455.0,9467.0,55392245211,5851271,777,D,9848.0,9455.0
60,Post.Bank,20110130,9845.0,9197.0,9688.0,60182482257,6212148,944,D,9467.0,9845.0
61,Post.Bank,20110131,10075.0,9850.0,10052.0,27000806750,2686180,427,D,9688.0,10075.0
62,Post.Bank,20110201,10454.0,10454.0,10224.0,2007931142,192073,32,D,10052.0,10454.0
63,Post.Bank,20110205,10632.0,10632.0,10350.0,1469491248,138214,36,D,10224.0,10632.0
64,Post.Bank,20110206,10764.0,10764.0,10580.0,2683971108,249347,38,D,10350.0,10764.0
65,Post.Bank,20110207,11003.0,11003.0,10714.0,1567663428,142476,20,D,10580.0,11003.0
66,Post.Bank,20110208,11142.0,10310.0,10986.0,144871107894,13186678,2335,D,10714.0,10500.0
67,Post.Bank,20110209,11140.0,10547.0,10721.0,43352186705,4043550,890,D,10986.0,10811.0
