,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Boroujerd.T.,20010327,1534.0,1518.0,1534.0,17662876,11546,14,D,1529.0,1534.0
1,Boroujerd.T.,20010328,1534.0,1534.0,1534.0,1534000,1000,1,D,1534.0,1534.0
2,Boroujerd.T.,20010408,1534.0,1534.0,1534.0,6005610,3915,2,D,1534.0,1534.0
3,Boroujerd.T.,20010410,1534.0,1534.0,1534.0,4141800,2700,1,D,1534.0,1534.0
4,Boroujerd.T.,20010411,1550.0,1534.0,1550.0,13006850,8455,4,D,1534.0,1550.0
5,Boroujerd.T.,20010414,1610.0,1605.0,1610.0,3210560,2000,5,D,1550.0,1610.0
6,Boroujerd.T.,20010415,1610.0,1610.0,1610.0,48300,30,1,D,1610.0,1610.0
7,Boroujerd.T.,20010416,1610.0,1610.0,1610.0,885500,550,1,D,1610.0,1610.0
8,Boroujerd.T.,20010417,1609.0,1609.0,1609.0,643600,400,2,D,1610.0,1609.0
9,Boroujerd.T.,20010421,1610.0,1609.0,1610.0,3947410,2452,5,D,1609.0,1610.0
10,Boroujerd.T.,20010422,1690.0,1640.0,1690.0,4682000,2800,8,D,1610.0,1690.0
11,Boroujerd.T.,20010423,1774.0,1690.0,1774.0,7093620,4098,2,D,1690.0,1774.0
12,Boroujerd.T.,20010429,1776.0,1774.0,1774.0,14955357,8422,10,D,1774.0,1774.0
13,Boroujerd.T.,20010430,1774.0,1770.0,1770.0,7835974,4419,5,D,1774.0,1770.0
14,Boroujerd.T.,20010515,1750.0,1750.0,1750.0,262500,150,2,D,1770.0,1750.0
15,Boroujerd.T.,20010516,1750.0,1750.0,1750.0,3969000,2268,3,D,1750.0,1750.0
16,Boroujerd.T.,20010520,1747.0,1746.0,1747.0,5141006,2943,5,D,1750.0,1747.0
17,Boroujerd.T.,20010526,1735.0,1735.0,1735.0,9542500,5500,7,D,1747.0,1735.0
18,Boroujerd.T.,20010602,1400.0,1400.0,1400.0,7144200,5103,3,D,1735.0,1400.0
19,Boroujerd.T.,20010603,1390.0,1390.0,1390.0,11256220,8098,3,D,1400.0,1390.0
20,Boroujerd.T.,20010611,1390.0,1390.0,1390.0,19820010,14259,8,D,1390.0,1390.0
21,Boroujerd.T.,20010616,1390.0,1390.0,1390.0,8909900,6410,4,D,1390.0,1390.0
22,Boroujerd.T.,20010617,1395.0,1395.0,1395.0,1355940,972,2,D,1390.0,1395.0
23,Boroujerd.T.,20010618,1390.0,1390.0,1390.0,4990100,3590,2,D,1395.0,1390.0
24,Boroujerd.T.,20010620,1390.0,1390.0,1390.0,2481150,1785,1,D,1390.0,1390.0
25,Boroujerd.T.,20010624,1390.0,1389.0,1390.0,4007450,2885,5,D,1390.0,1390.0
26,Boroujerd.T.,20010626,1390.0,1390.0,1390.0,1130070,813,1,D,1390.0,1390.0
27,Boroujerd.T.,20010627,1391.0,1390.0,1390.0,24741865,17791,9,D,1390.0,1390.0
