,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Saderat.Bank,20090609,1002.0,1001.0,1001.0,983488599500,982499500,545,D,1001.0,1001.0
1,Saderat.Bank,20090610,1031.0,1020.0,1021.0,54893697467,53760812,2406,D,1001.0,1025.0
2,Saderat.Bank,20090613,1025.0,1006.0,1023.0,123460074455,120700223,5411,D,1021.0,1024.0
3,Saderat.Bank,20090614,1026.0,1019.0,1024.0,40854431828,39890423,1995,D,1023.0,1025.0
4,Saderat.Bank,20090615,1026.0,1025.0,1025.0,35538526668,34669556,1561,D,1024.0,1025.0
5,Saderat.Bank,20090616,1026.0,1025.0,1025.0,25008297555,24396883,1111,D,1025.0,1025.0
6,Saderat.Bank,20090617,1028.0,1026.0,1026.0,3325634884,3240451,709,D,1025.0,1027.0
7,Saderat.Bank,20090620,1028.0,1026.0,1026.0,2644752388,2577307,214,D,1026.0,1026.0
8,Saderat.Bank,20090621,1028.0,1027.0,1027.0,5686445502,5536464,290,D,1026.0,1027.0
9,Saderat.Bank,20090622,1028.0,1027.0,1027.0,24913506252,24258365,1018,D,1027.0,1027.0
10,Saderat.Bank,20090623,1029.0,1028.0,1027.0,2240967913,2179546,140,D,1027.0,1028.0
11,Saderat.Bank,20090624,1049.0,1028.0,1028.0,1182911354,1142372,104,D,1027.0,1037.0
12,Saderat.Bank,20090627,1033.0,1029.0,1029.0,6086215506,5912810,320,D,1028.0,1031.0
13,Saderat.Bank,20090628,1030.0,1029.0,1029.0,2706724544,2629857,142,D,1029.0,1030.0
14,Saderat.Bank,20090629,1032.0,1030.0,1030.0,6097270102,5919228,280,D,1029.0,1032.0
15,Saderat.Bank,20090630,1033.0,1030.0,1030.0,1594834991,1547168,99,D,1030.0,1030.0
16,Saderat.Bank,20090701,1035.0,1031.0,1031.0,2063347633,1999331,126,D,1030.0,1035.0
17,Saderat.Bank,20090704,1038.0,1032.0,1035.0,13758475630,13297346,174,D,1031.0,1033.0
18,Saderat.Bank,20090705,1039.0,1035.0,1035.0,619108481,597481,58,D,1035.0,1036.0
19,Saderat.Bank,20090707,1041.0,1036.0,1036.0,2052160322,1974402,100,D,1035.0,1040.0
20,Saderat.Bank,20090711,1067.0,1040.0,1044.0,3485207937,3311408,147,D,1036.0,1067.0
21,Saderat.Bank,20090712,1070.0,1045.0,1046.0,42561608437,40694115,206,D,1044.0,1055.0
22,Saderat.Bank,20090713,1060.0,1050.0,1049.0,2209353271,2089882,140,D,1046.0,1050.0
23,Saderat.Bank,20090714,1080.0,1050.0,1068.0,5213210028,4849687,272,D,1049.0,1080.0
24,Saderat.Bank,20090715,1100.0,1090.0,1091.0,5894802203,5372999,292,D,1068.0,1098.0
25,Saderat.Bank,20090718,1104.0,1074.0,1099.0,121668276822,110684921,713,D,1091.0,1092.0
26,Saderat.Bank,20090726,1044.0,997.0,1000.0,31100604858,31095904,1551,D,997.0,1001.0
27,Saderat.Bank,20090727,1003.0,1000.0,1000.0,7759768195,7758909,452,D,1000.0,1000.0
28,Saderat.Bank,20090728,1003.0,1000.0,1000.0,27040136040,27037952,1203,D,1000.0,1000.0
29,Saderat.Bank,20090729,1003.0,1000.0,1000.0,2375068128,2373819,135,D,1000.0,1000.0
30,Saderat.Bank,20090801,1001.0,1000.0,1000.0,3757051071,3755495,212,D,1000.0,1001.0
31,Saderat.Bank,20090802,1002.0,1000.0,1000.0,1892917926,1891291,105,D,1000.0,1001.0
32,Saderat.Bank,20090803,1001.0,1000.0,1000.0,14919428443,14913689,560,D,1000.0,1000.0
33,Saderat.Bank,20090804,1001.0,977.0,999.0,2390002259,2399264,102,D,1000.0,980.0
34,Saderat.Bank,20090805,990.0,972.0,995.0,1054396231,1081151,73,D,999.0,972.0
35,Saderat.Bank,20090808,985.0,966.0,991.0,990128448,1023973,93,D,995.0,966.0
36,Saderat.Bank,20090809,998.0,962.0,987.0,1135211775,1174644,106,D,991.0,962.0
37,Saderat.Bank,20090810,970.0,958.0,979.0,1751919291,1826935,194,D,987.0,969.0
38,Saderat.Bank,20090811,963.0,951.0,976.0,953349040,996919,65,D,979.0,951.0
39,Saderat.Bank,20090812,1000.0,947.0,979.0,3052009136,3106409,134,D,976.0,999.0
40,Saderat.Bank,20090815,999.0,977.0,980.0,411697723,415896,53,D,979.0,994.0
41,Saderat.Bank,20090816,994.0,983.0,981.0,910915180,922219,82,D,980.0,987.0
42,Saderat.Bank,20090817,990.0,982.0,981.0,373804435,379325,38,D,981.0,984.0
43,Saderat.Bank,20090818,984.0,962.0,980.0,450444752,463664,36,D,981.0,971.0
44,Saderat.Bank,20090819,978.0,963.0,980.0,305511048,313410,32,D,980.0,965.0
45,Saderat.Bank,20090822,970.0,962.0,979.0,475420622,491179,53,D,980.0,966.0
46,Saderat.Bank,20090823,970.0,952.0,976.0,1180367922,1229583,74,D,979.0,960.0
47,Saderat.Bank,20090824,966.0,954.0,974.0,968757241,1008367,62,D,976.0,960.0
48,Saderat.Bank,20090825,961.0,955.0,972.0,765282643,798292,49,D,974.0,955.0
49,Saderat.Bank,20090826,960.0,946.0,970.0,622044197,655029,74,D,972.0,946.0
50,Saderat.Bank,20090829,999.0,941.0,969.0,1808821514,1874394,125,D,970.0,999.0
51,Saderat.Bank,20090830,980.0,945.0,971.0,2705644824,2774873,48,D,969.0,980.0
52,Saderat.Bank,20090831,962.0,953.0,971.0,193977465,202498,34,D,971.0,955.0
53,Saderat.Bank,20090901,978.0,950.0,970.0,716335618,747885,55,D,971.0,968.0
54,Saderat.Bank,20090902,968.0,946.0,969.0,368662347,388475,35,D,970.0,946.0
55,Saderat.Bank,20090905,980.0,946.0,970.0,3037493747,3130885,150,D,969.0,980.0
56,Saderat.Bank,20090906,970.0,943.0,967.0,762449932,805084,75,D,970.0,943.0
57,Saderat.Bank,20090907,956.0,950.0,967.0,192695020,202398,30,D,967.0,955.0
58,Saderat.Bank,20090908,951.0,946.0,966.0,289206120,304398,26,D,967.0,950.0
59,Saderat.Bank,20090909,978.0,943.0,966.0,302826305,315154,34,D,966.0,978.0
60,Saderat.Bank,20090913,965.0,938.0,965.0,466921339,493762,53,D,966.0,941.0
61,Saderat.Bank,20090914,978.0,937.0,964.0,3226597879,3350709,204,D,965.0,970.0
62,Saderat.Bank,20090915,972.0,960.0,964.0,280204848,289053,31,D,964.0,972.0
63,Saderat.Bank,20090916,964.0,942.0,964.0,246577894,258143,19,D,964.0,964.0
64,Saderat.Bank,20090919,978.0,940.0,963.0,1226065141,1281407,76,D,964.0,977.0
65,Saderat.Bank,20090921,958.0,946.0,963.0,47940817,50506,21,D,963.0,946.0
