,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Tejarat.Bank,20090518,1241.0,1200.0,1204.0,737313616800,612322042,1632,D,1000.0,1201.0
1,S*Tejarat.Bank,20090519,1240.0,1240.0,1240.0,181017205080,145981617,3938,D,1204.0,1240.0
2,S*Tejarat.Bank,20090520,1277.0,1255.0,1271.0,131954707643,103791602,5598,D,1240.0,1277.0
3,S*Tejarat.Bank,20090523,1290.0,1256.0,1269.0,17314104651,13641791,1129,D,1271.0,1257.0
4,S*Tejarat.Bank,20090524,1269.0,1231.0,1256.0,158824644494,126463300,6182,D,1269.0,1260.0
5,S*Tejarat.Bank,20090525,1273.0,1255.0,1256.0,36845487356,29336312,1377,D,1256.0,1255.0
6,S*Tejarat.Bank,20090526,1263.0,1249.0,1256.0,27565253218,21938798,1210,D,1256.0,1260.0
7,S*Tejarat.Bank,20090527,1271.0,1259.0,1264.0,6640717956,5252030,447,D,1256.0,1261.0
8,S*Tejarat.Bank,20090530,1273.0,1261.0,1267.0,11265636962,8891604,547,D,1264.0,1267.0
9,S*Tejarat.Bank,20090531,1268.0,1260.0,1261.0,31510197955,24984387,1246,D,1267.0,1260.0
10,S*Tejarat.Bank,20090601,1257.0,1232.0,1240.0,19544283445,15759128,1705,D,1261.0,1240.0
11,S*Tejarat.Bank,20090602,1245.0,1234.0,1240.0,20942873001,16889158,1450,D,1240.0,1242.0
12,S*Tejarat.Bank,20090603,1255.0,1240.0,1245.0,4644912535,3728915,307,D,1240.0,1241.0
13,S*Tejarat.Bank,20090606,1243.0,1234.0,1240.0,17268863877,13926707,2085,D,1245.0,1236.0
14,S*Tejarat.Bank,20090607,1241.0,1234.0,1240.0,21417889521,17274139,2752,D,1240.0,1240.0
15,S*Tejarat.Bank,20090608,1241.0,1232.0,1240.0,18921635318,15259974,2628,D,1240.0,1240.0
16,S*Tejarat.Bank,20090609,1241.0,1230.0,1239.0,26513593630,21397315,3405,D,1240.0,1240.0
17,S*Tejarat.Bank,20090610,1244.0,1239.0,1240.0,17009085917,13715539,2347,D,1239.0,1241.0
18,S*Tejarat.Bank,20090613,1241.0,1205.0,1234.0,13146819975,10650085,2445,D,1240.0,1211.0
