,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Charkheshgar,20010508,3860.0,3860.0,3860.0,2895000,750,5,D,3860.0,3860.0
1,Charkheshgar,20010509,3863.0,3862.0,3863.0,7725000,2000,2,D,3860.0,3863.0
2,Charkheshgar,20010512,4056.0,4056.0,4056.0,12078768,2978,2,D,3863.0,4056.0
3,Charkheshgar,20010513,4157.0,4157.0,4157.0,4157000,1000,2,D,4056.0,4157.0
4,Charkheshgar,20011119,4000.0,4000.0,4000.0,4000000,1000,1,D,4157.0,4000.0
5,Charkheshgar,20011120,4200.0,4200.0,4200.0,4200000,1000,3,D,4000.0,4200.0
6,Charkheshgar,20011121,4410.0,4410.0,4410.0,4410000,1000,1,D,4200.0,4410.0
7,Charkheshgar,20011124,4630.0,4630.0,4630.0,4630000,1000,1,D,4410.0,4630.0
8,Charkheshgar,20011125,4861.0,4861.0,4861.0,4861000,1000,2,D,4630.0,4861.0
9,Charkheshgar,20011127,5104.0,5104.0,5104.0,10208000,2000,2,D,4861.0,5104.0
10,Charkheshgar,20011128,5359.0,5359.0,5359.0,5359000,1000,1,D,5104.0,5359.0
11,Charkheshgar,20011205,5626.0,5626.0,5626.0,11252000,2000,1,D,5359.0,5626.0
12,Charkheshgar,20011208,5907.0,5907.0,5907.0,11814000,2000,5,D,5626.0,5907.0
13,Charkheshgar,20011209,6202.0,6202.0,6202.0,11628750,1875,3,D,5907.0,6202.0
14,Charkheshgar,20011211,6512.0,6512.0,6512.0,6512000,1000,1,D,6202.0,6512.0
15,Charkheshgar,20020106,6674.0,6674.0,6674.0,8142280,1220,1,D,6512.0,6674.0
16,Charkheshgar,20020121,6840.0,6840.0,6840.0,129960000,19000,17,D,6674.0,6840.0
17,Charkheshgar,20020203,7011.0,7011.0,7011.0,7011000,1000,6,D,6840.0,7011.0
18,Charkheshgar,20020204,7186.0,7186.0,7186.0,7186000,1000,2,D,7011.0,7186.0
19,Charkheshgar,20020205,7365.0,7365.0,7365.0,11047500,1500,2,D,7186.0,7365.0
20,Charkheshgar,20020206,7549.0,7549.0,7549.0,8303900,1100,1,D,7365.0,7549.0
21,Charkheshgar,20020210,7624.0,7624.0,7624.0,7624000,1000,8,D,7549.0,7624.0
22,Charkheshgar,20020212,7700.0,7700.0,7700.0,3850000,500,1,D,7624.0,7700.0
23,Charkheshgar,20020213,7777.0,7777.0,7777.0,4666200,600,3,D,7700.0,7777.0
24,Charkheshgar,20020216,7854.0,7854.0,7854.0,3927000,500,1,D,7777.0,7854.0
25,Charkheshgar,20020225,7932.0,7932.0,7932.0,3966000,500,2,D,7854.0,7932.0
26,Charkheshgar,20020302,8011.0,8011.0,8011.0,4005500,500,1,D,7932.0,8011.0
27,Charkheshgar,20020305,8091.0,8091.0,8091.0,4045500,500,1,D,8011.0,8091.0
28,Charkheshgar,20020306,8171.0,8171.0,8171.0,5719700,700,2,D,8091.0,8171.0
29,Charkheshgar,20020309,8252.0,8252.0,8252.0,2087756,253,2,D,8171.0,8252.0
30,Charkheshgar,20020310,8334.0,8334.0,8334.0,2500200,300,2,D,8252.0,8334.0
31,Charkheshgar,20020312,8417.0,8417.0,8417.0,6733600,800,3,D,8334.0,8417.0
32,Charkheshgar,20020316,8501.0,8501.0,8501.0,8501000,1000,1,D,8417.0,8501.0
33,Charkheshgar,20020317,8586.0,8586.0,8586.0,6868800,800,4,D,8501.0,8586.0
34,Charkheshgar,20020318,8671.0,8671.0,8671.0,8671000,1000,2,D,8586.0,8671.0
35,Charkheshgar,20020326,8757.0,8757.0,8757.0,8757000,1000,1,D,8671.0,8757.0
36,Charkheshgar,20020331,8844.0,8844.0,8844.0,13266000,1500,2,D,8757.0,8844.0
37,Charkheshgar,20020410,8932.0,8932.0,8932.0,8932000,1000,1,D,8844.0,8932.0
38,Charkheshgar,20020807,20000.0,14000.0,17425.0,192353750,11370,20,D,8932.0,17425.0
39,Charkheshgar,20020810,17860.0,17860.0,17860.0,149738240,8384,23,D,17425.0,17860.0
40,Charkheshgar,20020811,18306.0,18306.0,18306.0,19349442,1057,4,D,17860.0,18306.0
41,Charkheshgar,20020814,18763.0,18000.0,18763.0,172817300,9300,33,D,18306.0,18763.0
