,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,producing.CHDN,20170912,1950.0,1950.0,1950.0,156000000000,80000000,101332,D,1000.0,1950.0
1,producing.CHDN,20170913,2047.0,2047.0,2047.0,1128296165,551195,160,D,1950.0,2047.0
2,producing.CHDN,20170916,2149.0,2149.0,2149.0,1785230174,830726,148,D,2047.0,2149.0
3,producing.CHDN,20170917,2256.0,2256.0,2256.0,2276624352,1009142,268,D,2149.0,2256.0
4,producing.CHDN,20170918,2368.0,2368.0,2368.0,9252479296,3907297,448,D,2256.0,2368.0
5,producing.CHDN,20170919,2486.0,2486.0,2486.0,37967340532,15272462,2785,D,2368.0,2486.0
6,producing.CHDN,20170920,2610.0,2544.0,2609.0,83953870411,32179159,22909,D,2486.0,2610.0
7,producing.CHDN,20170923,2739.0,2610.0,2689.0,186024509753,69168773,56096,D,2609.0,2736.0
8,producing.CHDN,20170924,2823.0,2712.0,2793.0,145380573834,52056714,9624,D,2689.0,2823.0
9,producing.CHDN,20170925,2932.0,2852.0,2919.0,71509547220,24495421,3542,D,2793.0,2932.0
10,producing.CHDN,20170926,3064.0,3064.0,3064.0,3718185448,1213507,217,D,2919.0,3064.0
11,producing.CHDN,20170927,3217.0,3151.0,3215.0,138614878410,43112490,5862,D,3064.0,3217.0
12,producing.CHDN,20171002,3311.0,3055.0,3103.0,105035077555,33847049,8946,D,3215.0,3055.0
13,producing.CHDN,20171003,2948.0,2948.0,2948.0,2738075868,928791,149,D,3103.0,2948.0
14,producing.CHDN,20171004,3094.0,2850.0,2985.0,77084705740,25820666,8645,D,2948.0,3038.0
15,producing.CHDN,20171007,3049.0,2836.0,2892.0,42327006336,14637958,4357,D,2985.0,2836.0
16,producing.CHDN,20171008,2830.0,2748.0,2752.0,25618042252,9308338,1677,D,2892.0,2748.0
17,producing.CHDN,20171009,2797.0,2619.0,2682.0,34379191913,12816912,3882,D,2752.0,2660.0
18,producing.CHDN,20171010,2720.0,2610.0,2646.0,22701746898,8580213,1958,D,2682.0,2625.0
19,producing.CHDN,20171011,2658.0,2530.0,2563.0,23825533202,9297529,2037,D,2646.0,2551.0
20,producing.CHDN,20171014,2691.0,2567.0,2665.0,14201416653,5328250,1026,D,2563.0,2691.0
21,producing.CHDN,20171015,2790.0,2666.0,2719.0,23698327270,8714819,1980,D,2665.0,2700.0
22,producing.CHDN,20171016,2720.0,2642.0,2664.0,18198787879,6830289,1603,D,2719.0,2650.0
23,producing.CHDN,20171017,2780.0,2602.0,2706.0,28894897766,10676896,2997,D,2664.0,2721.0
24,producing.CHDN,20171018,2786.0,2652.0,2690.0,11133444209,4138546,1686,D,2706.0,2681.0
25,producing.CHDN,20171021,2765.0,2648.0,2680.0,12738253341,4752291,1189,D,2690.0,2670.0
26,producing.CHDN,20171022,2650.0,2553.0,2602.0,21940262430,8432583,1490,D,2680.0,2590.0
27,producing.CHDN,20171023,2610.0,2502.0,2539.0,15023191227,5917250,1362,D,2602.0,2507.0
28,producing.CHDN,20171024,2535.0,2451.0,2480.0,19058458009,7684349,1381,D,2539.0,2464.0
29,producing.CHDN,20171025,2547.0,2481.0,2503.0,8434689662,3369174,967,D,2480.0,2502.0
30,producing.CHDN,20171028,2628.0,2503.0,2612.0,26089393928,9989822,1543,D,2503.0,2628.0
31,producing.CHDN,20171029,2690.0,2541.0,2622.0,16503552514,6295024,1125,D,2612.0,2541.0
