,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Chadormalu,20031019,2991.0,2900.0,2916.0,5833615016,2000000,667,D,0.0,2916.0
1,Chadormalu,20031020,3061.0,3061.0,3061.0,22957500000,7500000,1277,D,2916.0,3061.0
2,Chadormalu,20031021,3214.0,3214.0,3214.0,19284000000,6000000,1102,D,3061.0,3214.0
3,Chadormalu,20031022,3374.0,3374.0,3374.0,10122000000,3000000,670,D,3214.0,3374.0
4,Chadormalu,20031025,3542.0,3542.0,3542.0,33039067600,9327800,1540,D,3374.0,3542.0
5,Chadormalu,20031026,3719.0,3719.0,3719.0,1765253102,474658,204,D,3542.0,3719.0
6,Chadormalu,20031027,3904.0,3901.0,3903.0,28339504578,7259120,1896,D,3719.0,3903.0
7,Chadormalu,20031028,4098.0,3950.0,4091.0,9915245272,2423245,801,D,3903.0,4091.0
8,Chadormalu,20031029,4295.0,3955.0,4188.0,6359968080,1518260,338,D,4091.0,4188.0
9,Chadormalu,20031101,4397.0,4291.0,4291.0,656079707,149211,102,D,4188.0,4291.0
10,Chadormalu,20031102,4505.0,4304.0,4304.0,86611120,19226,21,D,4291.0,4304.0
11,Chadormalu,20031103,4519.0,4314.0,4314.0,63675179,14091,21,D,4304.0,4314.0
12,Chadormalu,20031104,4529.0,4339.0,4339.0,160854593,35517,28,D,4314.0,4339.0
13,Chadormalu,20031105,4555.0,4347.0,4347.0,54357290,11934,25,D,4339.0,4347.0
14,Chadormalu,20031108,4564.0,4376.0,4376.0,184885760,40510,32,D,4347.0,4376.0
15,Chadormalu,20031109,4594.0,4403.0,4403.0,172084736,37459,38,D,4376.0,4403.0
16,Chadormalu,20031110,4623.0,4500.0,4500.0,613937793,132801,106,D,4403.0,4500.0
17,Chadormalu,20031111,4725.0,4569.0,4569.0,438988740,92908,72,D,4500.0,4569.0
18,Chadormalu,20031112,4797.0,4620.0,4620.0,325445898,67844,48,D,4569.0,4620.0
19,Chadormalu,20031115,4851.0,4851.0,4851.0,5466926619,1126969,374,D,4620.0,4851.0
20,Chadormalu,20031117,5093.0,4610.0,4958.0,12013627650,2422692,625,D,4851.0,4958.0
21,Chadormalu,20031118,5205.0,5019.0,5019.0,386969070,74346,52,D,4958.0,5019.0
22,Chadormalu,20031119,5269.0,5023.0,5023.0,29909653,5677,7,D,5019.0,5023.0
23,Chadormalu,20031122,5274.0,5025.0,5025.0,12823878,2432,4,D,5023.0,5025.0
24,Chadormalu,20031123,5276.0,5044.0,5044.0,122369224,23194,23,D,5025.0,5044.0
25,Chadormalu,20031124,5296.0,5069.0,5069.0,158925394,30009,22,D,5044.0,5069.0
26,Chadormalu,20031125,5322.0,5077.0,5077.0,52722604,9907,16,D,5069.0,5077.0
27,Chadormalu,20031129,5330.0,5096.0,5096.0,123515080,23174,29,D,5077.0,5096.0
28,Chadormalu,20031130,5350.0,3175.0,5350.0,23900061575,4621364,1742,D,5096.0,5350.0
29,Chadormalu,20031201,5617.0,5617.0,5617.0,23535786083,4190099,1249,D,5350.0,5617.0
30,Chadormalu,20031202,5897.0,5897.0,5897.0,29057774144,4927552,1230,D,5617.0,5897.0
31,Chadormalu,20031203,6191.0,6191.0,6191.0,17886306662,2889082,625,D,5897.0,6191.0
32,Chadormalu,20031206,6500.0,6003.0,6396.0,16033318985,2506573,795,D,6191.0,6396.0
33,Chadormalu,20031207,6715.0,6398.0,6671.0,12687620405,1901789,627,D,6396.0,6671.0
34,Chadormalu,20031208,6590.0,6340.0,6455.0,8896588426,1378160,515,D,6671.0,6455.0
35,Chadormalu,20031209,6600.0,6202.0,6363.0,11956445354,1878769,627,D,6455.0,6363.0
36,Chadormalu,20031210,6681.0,6670.0,6680.0,9338262527,1397761,385,D,6363.0,6680.0
37,Chadormalu,20031213,7014.0,7000.0,7012.0,3646037260,519903,189,D,6680.0,7012.0
38,Chadormalu,20031214,7362.0,7253.0,7361.0,6492595814,881994,338,D,7012.0,7361.0
39,Chadormalu,20031215,7729.0,7411.0,7707.0,8983537503,1165562,442,D,7361.0,7707.0
40,Chadormalu,20031216,8049.0,7370.0,7697.0,2676608534,347730,172,D,7707.0,7697.0
41,Chadormalu,20031217,7690.0,7313.0,7346.0,2915689934,396891,189,D,7697.0,7346.0
42,Chadormalu,20031221,7313.0,7000.0,7228.0,3416163259,472602,282,D,7346.0,7228.0
43,Chadormalu,20031222,7589.0,7214.0,7289.0,12926538680,1773391,577,D,7228.0,7289.0
44,Chadormalu,20031223,7653.0,7653.0,7653.0,5109762693,667681,226,D,7289.0,7653.0
45,Chadormalu,20031224,8035.0,7899.0,8030.0,19302113301,2403608,604,D,7653.0,8030.0
46,Chadormalu,20031227,7987.0,7699.0,7712.0,6184014964,801827,247,D,8030.0,7712.0
47,Chadormalu,20031228,7850.0,7500.0,7584.0,23737679188,3106964,499,D,7712.0,7584.0
48,Chadormalu,20031229,7959.0,7600.0,7672.0,21742547335,2833659,544,D,7584.0,7672.0
49,Chadormalu,20031230,8055.0,7732.0,7977.0,27183345153,3407419,732,D,7672.0,7977.0
50,Chadormalu,20031231,8375.0,8000.0,8102.0,26784403180,3305861,741,D,7977.0,8102.0
51,Chadormalu,20040103,8507.0,8158.0,8452.0,13287546807,1571939,532,D,8102.0,8452.0
52,Chadormalu,20040104,8874.0,8700.0,8873.0,10722004914,1208311,378,D,8452.0,8873.0
53,Chadormalu,20040105,9316.0,9315.0,9315.0,10571953162,1134817,534,D,8873.0,9315.0
54,Chadormalu,20040106,9669.0,8900.0,9171.0,5470921706,596502,404,D,9315.0,9171.0
55,Chadormalu,20040107,9390.0,9100.0,9273.0,8318461661,897135,373,D,9171.0,9273.0
56,Chadormalu,20040110,9340.0,9100.0,9259.0,6948397569,750415,358,D,9273.0,9259.0
57,Chadormalu,20040111,9240.0,8797.0,8891.0,6980142922,785041,370,D,9259.0,8891.0
58,Chadormalu,20040112,8800.0,8541.0,8642.0,7168239943,829411,346,D,8891.0,8642.0
59,Chadormalu,20040113,9000.0,8300.0,8638.0,7052402294,816368,321,D,8642.0,8638.0
60,Chadormalu,20040114,9069.0,8750.0,9005.0,8943547569,993135,389,D,8638.0,9005.0
61,Chadormalu,20040117,9340.0,8930.0,9113.0,3467830305,380504,236,D,9005.0,9113.0
62,Chadormalu,20040118,9050.0,8700.0,8844.0,4936767308,558191,231,D,9113.0,8844.0
63,Chadormalu,20040119,8705.0,8410.0,8522.0,7549978450,885920,300,D,8844.0,8522.0
64,Chadormalu,20040120,8948.0,8509.0,8736.0,4612788700,527982,228,D,8522.0,8736.0
65,Chadormalu,20040121,8959.0,8701.0,8786.0,2396468379,272547,135,D,8736.0,8786.0
