,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Cement.INV..Co.,20141116,1500.0,1500.0,1500.0,594932610000,396621740,22351,D,1000.0,1500.0
1,Cement.INV..Co.,20141117,1560.0,1560.0,1560.0,2505361560,1606001,211,D,1500.0,1560.0
2,Cement.INV..Co.,20141118,1622.0,1622.0,1622.0,11478636102,7076841,735,D,1560.0,1622.0
3,Cement.INV..Co.,20141119,1686.0,1650.0,1685.0,225469389331,133782085,13236,D,1622.0,1686.0
4,Cement.INV..Co.,20141122,1732.0,1651.0,1682.0,185888003657,110495855,20911,D,1685.0,1655.0
5,Cement.INV..Co.,20141123,1709.0,1635.0,1675.0,107877889560,64409260,11478,D,1682.0,1672.0
6,Cement.INV..Co.,20141124,1727.0,1655.0,1685.0,76349250148,45310218,6889,D,1675.0,1661.0
7,Cement.INV..Co.,20141125,1645.0,1618.0,1623.0,75228375190,46361846,6123,D,1685.0,1620.0
8,Cement.INV..Co.,20141126,1687.0,1618.0,1669.0,64602763240,38695892,4312,D,1623.0,1687.0
9,Cement.INV..Co.,20141129,1735.0,1650.0,1711.0,101214855961,59146372,6888,D,1669.0,1670.0
10,Cement.INV..Co.,20141130,1680.0,1643.0,1646.0,14510420612,8818114,1042,D,1711.0,1643.0
11,Cement.INV..Co.,20141201,1665.0,1602.0,1624.0,27646275316,17027802,2668,D,1646.0,1625.0
12,Cement.INV..Co.,20141202,1670.0,1610.0,1638.0,30599540975,18684588,2792,D,1624.0,1655.0
13,Cement.INV..Co.,20141203,1680.0,1614.0,1634.0,27562220416,16864240,2402,D,1638.0,1624.0
14,Cement.INV..Co.,20141206,1630.0,1573.0,1594.0,17877933696,11217028,1687,D,1634.0,1578.0
15,Cement.INV..Co.,20141207,1578.0,1535.0,1546.0,15133009433,9787446,1400,D,1594.0,1551.0
16,Cement.INV..Co.,20141208,1596.0,1556.0,1569.0,14827975988,9452571,1338,D,1546.0,1596.0
17,Cement.INV..Co.,20141209,1595.0,1540.0,1558.0,8519285840,5466401,775,D,1569.0,1547.0
18,Cement.INV..Co.,20141210,1564.0,1534.0,1542.0,9873730340,6402147,1343,D,1558.0,1546.0
19,Cement.INV..Co.,20141214,1549.0,1504.0,1521.0,25447808970,16726536,2095,D,1542.0,1540.0
20,Cement.INV..Co.,20141215,1570.0,1500.0,1529.0,21472942065,14043608,1971,D,1521.0,1570.0
21,Cement.INV..Co.,20141216,1575.0,1540.0,1555.0,8338800515,5361151,817,D,1529.0,1553.0
22,Cement.INV..Co.,20141217,1602.0,1536.0,1576.0,21097767188,13390683,5914,D,1555.0,1600.0
23,Cement.INV..Co.,20141220,1639.0,1561.0,1626.0,19046679913,11717104,1847,D,1576.0,1639.0
24,Cement.INV..Co.,20141222,1691.0,1645.0,1686.0,26926920662,15973665,2070,D,1626.0,1690.0
25,Cement.INV..Co.,20141224,1680.0,1621.0,1638.0,10842524631,6618103,779,D,1686.0,1622.0
26,Cement.INV..Co.,20141227,1630.0,1585.0,1606.0,6710296906,4178516,985,D,1638.0,1621.0
27,Cement.INV..Co.,20141228,1660.0,1619.0,1631.0,11319448299,6938783,1699,D,1606.0,1650.0
28,Cement.INV..Co.,20141229,1641.0,1596.0,1623.0,7736366429,4766701,3567,D,1631.0,1611.0
29,Cement.INV..Co.,20141230,1610.0,1582.0,1593.0,4761718162,2988372,370,D,1623.0,1595.0
30,Cement.INV..Co.,20141231,1588.0,1560.0,1568.0,4330507727,2761932,482,D,1593.0,1565.0
31,Cement.INV..Co.,20150103,1600.0,1547.0,1570.0,2986169616,1902518,385,D,1568.0,1570.0
32,Cement.INV..Co.,20150104,1572.0,1550.0,1557.0,4137887849,2657997,479,D,1570.0,1555.0
33,Cement.INV..Co.,20150105,1570.0,1535.0,1540.0,3676986791,2387845,394,D,1557.0,1546.0
34,Cement.INV..Co.,20150106,1565.0,1510.0,1526.0,5189013411,3400941,566,D,1540.0,1525.0
35,Cement.INV..Co.,20150107,1545.0,1510.0,1520.0,5215811126,3432180,547,D,1526.0,1525.0
36,Cement.INV..Co.,20150110,1521.0,1485.0,1501.0,28905808923,19254016,1112,D,1520.0,1501.0
37,Cement.INV..Co.,20150111,1538.0,1480.0,1504.0,27129862191,18034569,1332,D,1501.0,1523.0
38,Cement.INV..Co.,20150112,1564.0,1515.0,1554.0,5600162036,3603861,640,D,1504.0,1564.0
39,Cement.INV..Co.,20150113,1560.0,1502.0,1516.0,4867043592,3209499,429,D,1554.0,1511.0
40,Cement.INV..Co.,20150114,1509.0,1491.0,1500.0,32456002301,21634399,1889,D,1516.0,1500.0
41,Cement.INV..Co.,20150117,1529.0,1500.0,1509.0,4892746370,3241309,569,D,1500.0,1507.0
42,Cement.INV..Co.,20150118,1524.0,1500.0,1501.0,4195504964,2794223,376,D,1509.0,1500.0
43,Cement.INV..Co.,20150119,1505.0,1490.0,1500.0,17423831383,11615805,659,D,1501.0,1501.0
44,Cement.INV..Co.,20150120,1510.0,1500.0,1500.0,5978926438,3984838,259,D,1500.0,1500.0
45,Cement.INV..Co.,20150121,1508.0,1500.0,1500.0,23089876427,15392640,769,D,1500.0,1500.0
46,Cement.INV..Co.,20150124,1514.0,1500.0,1500.0,5258055783,3504798,306,D,1500.0,1500.0
47,Cement.INV..Co.,20150125,1516.0,1500.0,1502.0,4001922099,2663706,261,D,1500.0,1502.0
48,Cement.INV..Co.,20150126,1501.0,1500.0,1500.0,9415077023,6276631,332,D,1502.0,1500.0
49,Cement.INV..Co.,20150127,1502.0,1500.0,1500.0,11843499269,7895107,411,D,1500.0,1501.0
50,Cement.INV..Co.,20150128,1539.0,1500.0,1510.0,6272644032,4154379,408,D,1500.0,1530.0
51,Cement.INV..Co.,20150131,1550.0,1506.0,1528.0,4171209461,2729241,366,D,1510.0,1526.0
52,Cement.INV..Co.,20150201,1520.0,1500.0,1501.0,6539655054,4356441,397,D,1528.0,1500.0
53,Cement.INV..Co.,20150202,1510.0,1500.0,1501.0,6049906460,4031189,283,D,1501.0,1500.0
54,Cement.INV..Co.,20150203,1504.0,1500.0,1501.0,4645438829,3095786,344,D,1501.0,1500.0
55,Cement.INV..Co.,20150204,1530.0,1500.0,1504.0,8483999157,5639609,497,D,1501.0,1510.0
56,Cement.INV..Co.,20150207,1525.0,1500.0,1514.0,5474867711,3617260,693,D,1504.0,1505.0
57,Cement.INV..Co.,20150208,1520.0,1500.0,1500.0,7535211783,5022155,368,D,1514.0,1505.0
58,Cement.INV..Co.,20150209,1507.0,1500.0,1500.0,4983811949,3321688,598,D,1500.0,1500.0
59,Cement.INV..Co.,20150210,1510.0,1500.0,1500.0,3855945094,2570159,243,D,1500.0,1500.0
60,Cement.INV..Co.,20150214,1520.0,1500.0,1501.0,1959175754,1305381,186,D,1500.0,1500.0
61,Cement.INV..Co.,20150215,1519.0,1500.0,1500.0,5370827748,3580092,278,D,1501.0,1500.0
62,Cement.INV..Co.,20150216,1513.0,1500.0,1500.0,4064739826,2709452,241,D,1500.0,1501.0
63,Cement.INV..Co.,20150217,1510.0,1500.0,1500.0,5056091168,3370468,295,D,1500.0,1500.0
64,Cement.INV..Co.,20150218,1507.0,1500.0,1500.0,3843294239,2561979,254,D,1500.0,1500.0
65,Cement.INV..Co.,20150221,1503.0,1500.0,1500.0,4176228983,2783798,255,D,1500.0,1500.0
66,Cement.INV..Co.,20150222,1503.0,1500.0,1500.0,8024362194,5349491,315,D,1500.0,1500.0
67,Cement.INV..Co.,20150223,1502.0,1500.0,1500.0,4808690046,3205748,212,D,1500.0,1500.0
68,Cement.INV..Co.,20150224,1502.0,1500.0,1500.0,4587369862,3058105,244,D,1500.0,1500.0
69,Cement.INV..Co.,20150225,1501.0,1500.0,1500.0,4754168790,3169362,239,D,1500.0,1500.0
