,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Combine,20011024,1000.0,1000.0,1000.0,1000000,1000,1,D,1000.0,1000.0
1,Iran.Combine,20011125,1000.0,1000.0,1000.0,1000000,1000,3,D,1000.0,1000.0
2,Iran.Combine,20020601,1000.0,1000.0,1000.0,100000,100,6,D,1000.0,1000.0
3,Iran.Combine,20020731,1100.0,1100.0,1100.0,1100000,1000,1,D,1000.0,1100.0
4,Iran.Combine,20021223,1600.0,1500.0,1600.0,1516000,1010,2,D,1100.0,1600.0
5,Iran.Combine,20021229,1680.0,1680.0,1680.0,2536800,1510,2,D,1600.0,1680.0
6,Iran.Combine,20030514,3000.0,3000.0,3000.0,1500000,500,1,D,1680.0,3000.0
7,Iran.Combine,20030706,3150.0,2075.0,3150.0,1662537875,800705,417,D,3000.0,3150.0
8,Iran.Combine,20030716,3400.0,3400.0,3400.0,1700000,500,1,D,3150.0,3400.0
9,Iran.Combine,20030719,3570.0,3570.0,3570.0,1285200000,360000,70,D,3400.0,3570.0
10,Iran.Combine,20030720,3748.0,3748.0,3748.0,9894720000,2640000,403,D,3570.0,3748.0
11,Iran.Combine,20030721,3935.0,3935.0,3935.0,2046573825,520095,182,D,3748.0,3935.0
12,Iran.Combine,20030722,4131.0,4131.0,4131.0,2478600000,600000,249,D,3935.0,4131.0
13,Iran.Combine,20030723,4337.0,4337.0,4337.0,1734800000,400000,242,D,4131.0,4337.0
14,Iran.Combine,20030726,4553.0,4553.0,4553.0,910600000,200000,110,D,4337.0,4553.0
15,Iran.Combine,20030727,4780.0,4780.0,4780.0,956000000,200000,179,D,4553.0,4780.0
16,Iran.Combine,20030729,5019.0,5019.0,5019.0,100380000,20000,12,D,4780.0,5019.0
17,Iran.Combine,20030730,6999.0,5269.0,6650.0,5253929610,871570,355,D,5019.0,6650.0
18,Iran.Combine,20030803,6664.0,6000.0,6350.0,1636277427,265928,170,D,6650.0,6350.0
19,Iran.Combine,20030804,7700.0,6350.0,7689.0,830138006,115899,122,D,6350.0,7689.0
20,Iran.Combine,20030805,7660.0,6201.0,6400.0,1676501113,252015,145,D,7689.0,6400.0
21,Iran.Combine,20030806,7400.0,6400.0,7201.0,1140806872,157652,105,D,6400.0,7201.0
22,Iran.Combine,20030809,7201.0,6800.0,6921.0,776034484,110353,60,D,7201.0,6921.0
23,Iran.Combine,20030810,6920.0,6800.0,6898.0,458077882,66986,62,D,6921.0,6898.0
24,Iran.Combine,20030811,7150.0,6302.0,6981.0,1740662537,255611,127,D,6898.0,6981.0
25,Iran.Combine,20030812,7050.0,7000.0,7000.0,2829904739,404160,98,D,6981.0,7000.0
26,Iran.Combine,20030813,7050.0,6999.0,7050.0,1665689125,236357,59,D,7000.0,7050.0
27,Iran.Combine,20030816,7200.0,7060.0,7139.0,2403075912,337401,132,D,7050.0,7139.0
28,Iran.Combine,20030817,7210.0,7140.0,7200.0,1530582637,212747,85,D,7139.0,7200.0
29,Iran.Combine,20030818,7500.0,7300.0,7395.0,767700349,103788,44,D,7200.0,7395.0
30,Iran.Combine,20030819,7553.0,7413.0,7550.0,403506260,53623,43,D,7395.0,7550.0
31,Iran.Combine,20030820,7927.0,7550.0,7550.0,717788410,92948,61,D,7550.0,7550.0
32,Iran.Combine,20030823,7899.0,7300.0,7484.0,839725759,112208,56,D,7550.0,7484.0
33,Iran.Combine,20030824,7484.0,7200.0,7484.0,338954711,46907,25,D,7484.0,7484.0
34,Iran.Combine,20030825,7484.0,7110.0,7484.0,437319374,61370,32,D,7484.0,7484.0
35,Iran.Combine,20030826,7484.0,7110.0,7484.0,4956044,697,2,D,7484.0,7484.0
36,Iran.Combine,20030830,7484.0,7110.0,7484.0,5723924,805,4,D,7484.0,7484.0
37,Iran.Combine,20030831,7484.0,7110.0,7484.0,24938510,3507,6,D,7484.0,7484.0
38,Iran.Combine,20030901,7484.0,7110.0,7484.0,7021310,987,2,D,7484.0,7484.0
39,Iran.Combine,20030902,7484.0,7110.0,7484.0,12275600,1726,4,D,7484.0,7484.0
40,Iran.Combine,20030903,7484.0,7110.0,7484.0,465890,65,2,D,7484.0,7484.0
41,Iran.Combine,20030907,7110.0,7110.0,7110.0,4955670,697,1,D,7484.0,7110.0
42,Iran.Combine,20030908,7110.0,6755.0,7110.0,9987440,1478,2,D,7110.0,7110.0
43,Iran.Combine,20030914,6755.0,6755.0,6755.0,14888020,2204,1,D,7110.0,6755.0
44,Iran.Combine,20030922,6418.0,6418.0,6418.0,160450000,25000,16,D,6755.0,6418.0
