,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Abouraihan.P.,20010325,12900.0,12800.0,12900.0,15959700,1243,3,D,12800.0,12900.0
1,Abouraihan.P.,20010327,13000.0,13000.0,13000.0,26000000,2000,3,D,12900.0,13000.0
2,Abouraihan.P.,20010328,13650.0,13650.0,13650.0,13650000,1000,4,D,13000.0,13650.0
3,Abouraihan.P.,20010408,14000.0,14000.0,14000.0,28714000,2051,4,D,13650.0,14000.0
4,Abouraihan.P.,20010409,14001.0,14000.0,14000.0,51703000,3693,5,D,14000.0,14000.0
5,Abouraihan.P.,20010410,14000.0,14000.0,14000.0,1568000,112,1,D,14000.0,14000.0
6,Abouraihan.P.,20010416,14000.0,13997.0,14000.0,92404561,6601,14,D,14000.0,14000.0
7,Abouraihan.P.,20010417,13999.0,13998.0,13999.0,15062174,1076,3,D,14000.0,13999.0
8,Abouraihan.P.,20010418,14000.0,13998.0,14000.0,76630276,5474,9,D,13999.0,14000.0
9,Abouraihan.P.,20010422,14100.0,14000.0,14000.0,139167200,9881,8,D,14000.0,14000.0
10,Abouraihan.P.,20010428,14000.0,14000.0,14000.0,3780000,270,2,D,14000.0,14000.0
11,Abouraihan.P.,20010429,14002.0,14002.0,14002.0,14002000,1000,2,D,14000.0,14002.0
12,Abouraihan.P.,20010430,14003.0,14002.0,14002.0,155108691,11077,7,D,14002.0,14002.0
13,Abouraihan.P.,20010501,14101.0,14002.0,14101.0,107567102,7644,6,D,14002.0,14101.0
14,Abouraihan.P.,20010502,14100.0,14100.0,14100.0,7050000,500,1,D,14101.0,14100.0
15,Abouraihan.P.,20010505,14100.0,14100.0,14100.0,16920000,1200,4,D,14100.0,14100.0
16,Abouraihan.P.,20010506,14101.0,14100.0,14101.0,37055531,2628,13,D,14100.0,14101.0
17,Abouraihan.P.,20010507,14003.0,14003.0,14003.0,21004500,1500,2,D,14101.0,14003.0
18,Abouraihan.P.,20010508,14000.0,14000.0,14000.0,11200000,800,11,D,14003.0,14000.0
19,Abouraihan.P.,20010512,14001.0,14001.0,14001.0,18201300,1300,3,D,14000.0,14001.0
20,Abouraihan.P.,20010513,14700.0,14700.0,14700.0,31575600,2148,2,D,14001.0,14700.0
