,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,DPI,20010403,4608.0,4608.0,4608.0,4608000,1000,1,D,4608.0,4608.0
1,DPI,20010407,4611.0,4611.0,4611.0,10144200,2200,1,D,4608.0,4611.0
2,DPI,20010410,4625.0,4624.0,4624.0,10086944,2181,2,D,4611.0,4624.0
3,DPI,20010411,4625.0,4621.0,4625.0,38074547,8233,9,D,4624.0,4625.0
4,DPI,20010415,4600.0,4600.0,4600.0,36326200,7897,3,D,4625.0,4600.0
5,DPI,20010417,4599.0,4599.0,4599.0,9887850,2150,1,D,4600.0,4599.0
6,DPI,20010418,4598.0,4597.0,4598.0,212877975,46300,8,D,4599.0,4598.0
7,DPI,20010421,4580.0,4580.0,4580.0,9892800,2160,2,D,4598.0,4580.0
8,DPI,20010422,4620.0,4500.0,4500.0,122562000,27000,7,D,4580.0,4500.0
9,DPI,20010423,4500.0,4497.0,4500.0,154603287,34363,10,D,4500.0,4500.0
10,DPI,20010424,4501.0,4500.0,4501.0,35214625,7825,4,D,4500.0,4501.0
11,DPI,20010425,4504.0,4503.0,4503.0,29271500,6500,5,D,4501.0,4503.0
12,DPI,20010428,4521.0,4520.0,4520.0,41588200,9200,7,D,4503.0,4520.0
13,DPI,20010429,4550.0,4519.0,4550.0,299075000,66120,20,D,4520.0,4550.0
14,DPI,20010430,4580.0,4535.0,4550.0,116911393,25683,17,D,4550.0,4550.0
15,DPI,20010501,4590.0,4553.0,4580.0,93279400,20430,9,D,4550.0,4580.0
16,DPI,20010502,4589.0,4580.0,4580.0,203858660,44462,22,D,4580.0,4580.0
17,DPI,20010505,4600.0,4598.0,4598.0,99536764,21645,11,D,4580.0,4598.0
18,DPI,20010506,4640.0,4598.0,4640.0,79306400,17110,7,D,4598.0,4640.0
19,DPI,20010507,4691.0,4640.0,4691.0,327450110,70027,19,D,4640.0,4691.0
20,DPI,20010508,4703.0,4691.0,4703.0,25955310,5530,5,D,4691.0,4703.0
21,DPI,20010509,4721.0,4710.0,4720.0,38841720,8240,7,D,4703.0,4720.0
22,DPI,20010512,4800.0,4800.0,4800.0,16992000,3540,4,D,4720.0,4800.0
23,DPI,20010513,4801.0,4800.0,4800.0,36206857,7542,7,D,4800.0,4800.0
24,DPI,20010515,4800.0,4800.0,4800.0,2976000,620,1,D,4800.0,4800.0
25,DPI,20010516,4800.0,4796.0,4799.0,154863520,32280,14,D,4800.0,4799.0
26,DPI,20010519,4900.0,4800.0,4900.0,141047000,29000,10,D,4799.0,4900.0
27,DPI,20010520,4901.0,4901.0,4901.0,211100773,43073,7,D,4900.0,4901.0
28,DPI,20010521,4904.0,4901.0,4904.0,265292983,54122,16,D,4901.0,4904.0
29,DPI,20010527,5000.0,4950.0,4950.0,141954900,28580,16,D,4904.0,4950.0
30,DPI,20010528,5040.0,5040.0,5040.0,16102800,3195,6,D,4950.0,5040.0
31,DPI,20010529,5040.0,5038.0,5039.0,1055630723,209532,7,D,5040.0,5039.0
32,DPI,20010530,5039.0,5039.0,5039.0,14280526,2834,1,D,5039.0,5039.0
33,DPI,20010602,5039.0,5034.0,5034.0,29119520,5780,5,D,5039.0,5034.0
34,DPI,20010603,5035.0,5033.0,5035.0,429829200,85400,21,D,5034.0,5035.0
35,DPI,20010606,5035.0,5035.0,5035.0,18569080,3688,2,D,5035.0,5035.0
36,DPI,20010609,5010.0,5000.0,5000.0,145280000,29000,7,D,5035.0,5000.0
37,DPI,20010611,5000.0,5000.0,5000.0,20000000,4000,3,D,5000.0,5000.0
38,DPI,20010612,5000.0,5000.0,5000.0,15000000,3000,3,D,5000.0,5000.0
39,DPI,20010613,4960.0,4950.0,4950.0,56945350,11493,7,D,5000.0,4950.0
40,DPI,20010617,4945.0,4944.0,4944.0,348054245,70399,27,D,4950.0,4944.0
41,DPI,20010618,4942.0,4942.0,4942.0,12355000,2500,1,D,4944.0,4942.0
42,DPI,20010619,4930.0,4928.0,4928.0,205116880,41616,8,D,4942.0,4928.0
43,DPI,20010620,4927.0,4889.0,4889.0,101649661,20757,7,D,4928.0,4889.0
44,DPI,20010623,4889.0,4887.0,4887.0,108569794,22216,9,D,4889.0,4887.0
45,DPI,20010624,4874.0,4800.0,4800.0,26841542,5583,3,D,4887.0,4800.0
46,DPI,20010625,4795.0,4601.0,4601.0,166107225,35025,14,D,4800.0,4601.0
47,DPI,20010626,4600.0,4510.0,4510.0,83691500,18375,4,D,4601.0,4510.0
48,DPI,20010627,4550.0,4500.0,4500.0,165087060,36506,10,D,4510.0,4500.0
49,DPI,20010630,4500.0,4500.0,4500.0,27144000,6032,4,D,4500.0,4500.0
50,DPI,20010701,4504.0,4500.0,4504.0,34448320,7654,8,D,4500.0,4504.0
51,DPI,20010702,4550.0,4480.0,4550.0,198170530,43855,16,D,4504.0,4550.0
52,DPI,20010703,4501.0,4501.0,4501.0,13503000,3000,2,D,4550.0,4501.0
53,DPI,20010704,4600.0,4600.0,4600.0,46000000,10000,2,D,4501.0,4600.0
54,DPI,20010707,4602.0,4600.0,4600.0,72512744,15762,15,D,4600.0,4600.0
55,DPI,20010708,4510.0,4505.0,4510.0,49605000,11000,5,D,4600.0,4510.0
56,DPI,20010709,4510.0,4510.0,4510.0,52383650,11615,6,D,4510.0,4510.0
57,DPI,20010711,4510.0,4491.0,4510.0,32628420,7250,6,D,4510.0,4510.0
58,DPI,20010714,4510.0,4509.0,4509.0,2097008,465,3,D,4510.0,4509.0
59,DPI,20010715,4508.0,4498.0,4508.0,256338759,56973,23,D,4509.0,4508.0
60,DPI,20010805,4300.0,4300.0,4300.0,21500000,5000,3,D,4508.0,4300.0
61,DPI,20010821,4085.0,4085.0,4085.0,8170000,2000,2,D,4300.0,4085.0
62,DPI,20010828,3881.0,3881.0,3881.0,3881000,1000,1,D,4085.0,3881.0
63,DPI,20010908,3687.0,3687.0,3687.0,20647200,5600,1,D,3881.0,3687.0
64,DPI,20010909,3503.0,3503.0,3503.0,13090711,3737,2,D,3687.0,3503.0
65,DPI,20010910,3503.0,3501.0,3502.0,15976612,4563,4,D,3503.0,3502.0
66,DPI,20010911,3490.0,3480.0,3480.0,60516280,17361,9,D,3502.0,3480.0
67,DPI,20010919,3437.0,3437.0,3437.0,24059000,7000,2,D,3480.0,3437.0
68,DPI,20010925,3432.0,3432.0,3432.0,1956240,570,1,D,3437.0,3432.0
69,DPI,20011006,3426.0,3426.0,3426.0,8907600,2600,1,D,3432.0,3426.0
70,DPI,20011009,3414.0,3414.0,3414.0,17070000,5000,1,D,3426.0,3414.0
71,DPI,20011014,3406.0,3406.0,3406.0,7939386,2331,1,D,3414.0,3406.0
72,DPI,20011016,3405.0,3405.0,3405.0,9925575,2915,2,D,3406.0,3405.0
73,DPI,20011017,3401.0,3401.0,3401.0,6802000,2000,1,D,3405.0,3401.0
74,DPI,20011023,3396.0,3396.0,3396.0,13617960,4010,1,D,3401.0,3396.0
75,DPI,20011027,3370.0,3370.0,3370.0,4937050,1465,1,D,3396.0,3370.0
76,DPI,20011103,3202.0,3202.0,3202.0,6404000,2000,2,D,3370.0,3202.0
77,DPI,20011106,3053.0,3050.0,3052.0,59612168,19534,17,D,3202.0,3052.0
78,DPI,20011111,3200.0,3082.0,3200.0,24828099,7789,3,D,3052.0,3200.0
