,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Alborz.Darou,20010328,7000.0,7000.0,7000.0,7000000,1000,1,D,7000.0,7000.0
1,Alborz.Darou,20010331,6990.0,6990.0,6990.0,4543500,650,1,D,7000.0,6990.0
2,Alborz.Darou,20010408,6990.0,6990.0,6990.0,5592000,800,2,D,6990.0,6990.0
3,Alborz.Darou,20010409,6991.0,6991.0,6991.0,19574800,2800,2,D,6990.0,6991.0
4,Alborz.Darou,20010410,6990.0,6990.0,6990.0,23004090,3291,7,D,6991.0,6990.0
5,Alborz.Darou,20010411,6990.0,6990.0,6990.0,13232070,1893,5,D,6990.0,6990.0
6,Alborz.Darou,20010414,6990.0,6990.0,6990.0,13658460,1954,3,D,6990.0,6990.0
7,Alborz.Darou,20010415,6991.0,6990.0,6991.0,5054236,723,4,D,6990.0,6991.0
8,Alborz.Darou,20010416,6991.0,6991.0,6991.0,4362384,624,3,D,6991.0,6991.0
9,Alborz.Darou,20010417,6991.0,6991.0,6991.0,3495500,500,2,D,6991.0,6991.0
10,Alborz.Darou,20010418,6995.0,6991.0,6994.0,12557760,1796,4,D,6991.0,6994.0
11,Alborz.Darou,20010421,7060.0,7050.0,7060.0,14110000,2000,2,D,6994.0,7060.0
12,Alborz.Darou,20010422,7062.0,7050.0,7050.0,18226450,2585,9,D,7060.0,7050.0
13,Alborz.Darou,20010423,7050.0,7049.0,7050.0,16320650,2315,5,D,7050.0,7050.0
14,Alborz.Darou,20010424,7051.0,7050.0,7050.0,21151000,3000,4,D,7050.0,7050.0
15,Alborz.Darou,20010428,7063.0,7063.0,7063.0,706300,100,1,D,7050.0,7063.0
16,Alborz.Darou,20010429,7070.0,7070.0,7070.0,1414000,200,1,D,7063.0,7070.0
17,Alborz.Darou,20010501,7100.0,7100.0,7100.0,4387800,618,1,D,7070.0,7100.0
18,Alborz.Darou,20010502,7101.0,7101.0,7101.0,5205033,733,1,D,7100.0,7101.0
19,Alborz.Darou,20010505,7300.0,7150.0,7150.0,12739000,1750,3,D,7101.0,7150.0
20,Alborz.Darou,20010506,7200.0,7200.0,7200.0,2304000,320,1,D,7150.0,7200.0
21,Alborz.Darou,20010507,7250.0,7221.0,7250.0,7223436,999,3,D,7200.0,7250.0
22,Alborz.Darou,20010508,7450.0,7450.0,7450.0,7450000,1000,3,D,7250.0,7450.0
23,Alborz.Darou,20010512,7822.0,7822.0,7822.0,15644000,2000,2,D,7450.0,7822.0
24,Alborz.Darou,20010515,8213.0,8200.0,8213.0,41859000,5100,7,D,7822.0,8213.0
25,Alborz.Darou,20010516,8418.0,8418.0,8418.0,21045000,2500,3,D,8213.0,8418.0
26,Alborz.Darou,20010519,8628.0,8628.0,8628.0,8628000,1000,3,D,8418.0,8628.0
27,Alborz.Darou,20010520,8843.0,8843.0,8843.0,8975645,1015,3,D,8628.0,8843.0
28,Alborz.Darou,20010521,9064.0,9064.0,9064.0,9154640,1010,6,D,8843.0,9064.0
29,Alborz.Darou,20010523,9154.0,9154.0,9154.0,9337080,1020,7,D,9064.0,9154.0
30,Alborz.Darou,20010526,9245.0,9245.0,9245.0,20024670,2166,2,D,9154.0,9245.0
31,Alborz.Darou,20010527,9337.0,9337.0,9337.0,53006149,5677,8,D,9245.0,9337.0
32,Alborz.Darou,20010528,9430.0,9430.0,9430.0,296950700,31490,28,D,9337.0,9430.0
33,Alborz.Darou,20010529,9400.0,9336.0,9336.0,26296650,2810,5,D,9430.0,9336.0
34,Alborz.Darou,20010530,9245.0,9243.0,9243.0,150898400,16324,18,D,9336.0,9243.0
35,Alborz.Darou,20010602,9154.0,9151.0,9154.0,51757068,5655,9,D,9243.0,9154.0
36,Alborz.Darou,20010606,9063.0,9063.0,9063.0,30161664,3328,7,D,9154.0,9063.0
37,Alborz.Darou,20010609,9058.0,8973.0,9000.0,4275400,475,3,D,9063.0,9000.0
38,Alborz.Darou,20010611,9000.0,8998.0,9000.0,58821301,6536,13,D,9000.0,9000.0
39,Alborz.Darou,20010612,9090.0,8999.0,9000.0,58847302,6520,10,D,9000.0,9000.0
40,Alborz.Darou,20010613,9089.0,8990.0,9089.0,41631610,4622,12,D,9000.0,9089.0
41,Alborz.Darou,20010616,9179.0,9003.0,9179.0,69149059,7632,21,D,9089.0,9179.0
42,Alborz.Darou,20010617,9270.0,9179.0,9270.0,13418371,1449,3,D,9179.0,9270.0
43,Alborz.Darou,20010619,9270.0,9270.0,9270.0,8648910,933,1,D,9270.0,9270.0
44,Alborz.Darou,20010620,9270.0,9270.0,9270.0,14832000,1600,7,D,9270.0,9270.0
45,Alborz.Darou,20010623,9271.0,9270.0,9270.0,9585284,1034,5,D,9270.0,9270.0
46,Alborz.Darou,20010624,9289.0,9284.0,9289.0,29253350,3150,7,D,9270.0,9289.0
47,Alborz.Darou,20010812,9500.0,9500.0,9500.0,9500000,1000,3,D,9289.0,9500.0
48,Alborz.Darou,20010821,9737.0,9737.0,9737.0,11684400,1200,4,D,9500.0,9737.0
49,Alborz.Darou,20010822,9980.0,9980.0,9980.0,15259420,1529,3,D,9737.0,9980.0
50,Alborz.Darou,20010826,10229.0,10229.0,10229.0,40916000,4000,8,D,9980.0,10229.0
51,Alborz.Darou,20010828,10484.0,10484.0,10484.0,14887280,1420,5,D,10229.0,10484.0
