,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Daroupakhsh,20010328,3300.0,3300.0,3300.0,3300000,1000,1,D,0.0,3300.0
1,Daroupakhsh,20010331,3300.0,3300.0,3300.0,1980000,600,1,D,3300.0,3300.0
2,Daroupakhsh,20010407,3300.0,3300.0,3300.0,2415600,732,1,D,3300.0,3300.0
3,Daroupakhsh,20010408,3310.0,3303.0,3310.0,7526540,2275,4,D,3300.0,3310.0
4,Daroupakhsh,20010409,3316.0,3306.0,3306.0,39823714,12030,19,D,3310.0,3306.0
5,Daroupakhsh,20010410,3306.0,3306.0,3306.0,7570740,2290,2,D,3306.0,3306.0
6,Daroupakhsh,20010414,3320.0,3319.0,3320.0,3651000,1100,2,D,3306.0,3320.0
7,Daroupakhsh,20010415,3345.0,3324.0,3345.0,8598294,2585,5,D,3320.0,3345.0
8,Daroupakhsh,20010416,3380.0,3353.0,3380.0,6196980,1842,3,D,3345.0,3380.0
9,Daroupakhsh,20010417,3549.0,3500.0,3549.0,18479566,5236,7,D,3380.0,3549.0
10,Daroupakhsh,20010418,3650.0,3611.0,3650.0,13462532,3712,5,D,3549.0,3650.0
11,Daroupakhsh,20010421,3741.0,3729.0,3730.0,75967595,20345,30,D,3650.0,3730.0
12,Daroupakhsh,20010422,3735.0,3730.0,3730.0,22730335,6093,6,D,3730.0,3730.0
13,Daroupakhsh,20010423,3729.0,3724.0,3724.0,3237156,869,2,D,3730.0,3724.0
14,Daroupakhsh,20010424,3720.0,3719.0,3720.0,34222625,9200,9,D,3724.0,3720.0
15,Daroupakhsh,20010425,3710.0,3650.0,3650.0,13171207,3586,6,D,3720.0,3650.0
16,Daroupakhsh,20010428,3640.0,3560.0,3560.0,43858500,12250,12,D,3650.0,3560.0
17,Daroupakhsh,20010429,3720.0,3549.0,3720.0,647830790,175631,56,D,3560.0,3720.0
18,Daroupakhsh,20010430,3724.0,3700.0,3724.0,76015060,20461,10,D,3720.0,3724.0
19,Daroupakhsh,20010501,3750.0,3720.0,3723.0,76303181,20498,26,D,3724.0,3723.0
20,Daroupakhsh,20010502,3750.0,3723.0,3750.0,51295441,13756,18,D,3723.0,3750.0
21,Daroupakhsh,20010505,3801.0,3799.0,3800.0,23647445,6223,12,D,3750.0,3800.0
22,Daroupakhsh,20010506,3851.0,3800.0,3800.0,77438525,20245,26,D,3800.0,3800.0
23,Daroupakhsh,20010507,3801.0,3800.0,3800.0,38122000,10032,11,D,3800.0,3800.0
24,Daroupakhsh,20010508,3801.0,3800.0,3800.0,38942800,10248,11,D,3800.0,3800.0
25,Daroupakhsh,20010509,3830.0,3800.0,3830.0,17011800,4461,3,D,3800.0,3830.0
26,Daroupakhsh,20010512,3852.0,3850.0,3852.0,38975144,10122,13,D,3830.0,3852.0
27,Daroupakhsh,20010513,3880.0,3880.0,3880.0,4954760,1277,2,D,3852.0,3880.0
28,Daroupakhsh,20010515,3971.0,3914.0,3971.0,11073600,2800,5,D,3880.0,3971.0
29,Daroupakhsh,20010516,4070.0,4070.0,4070.0,45225840,11112,11,D,3971.0,4070.0
30,Daroupakhsh,20010519,4106.0,4078.0,4100.0,111914766,27359,16,D,4070.0,4100.0
31,Daroupakhsh,20010520,4141.0,4110.0,4141.0,25520330,6187,6,D,4100.0,4141.0
32,Daroupakhsh,20010521,4182.0,4182.0,4182.0,31841748,7614,8,D,4141.0,4182.0
33,Daroupakhsh,20010523,4223.0,4223.0,4223.0,11663926,2762,2,D,4182.0,4223.0
34,Daroupakhsh,20010526,4265.0,4265.0,4265.0,7514930,1762,4,D,4223.0,4265.0
35,Daroupakhsh,20010527,4307.0,4307.0,4307.0,44814335,10405,12,D,4265.0,4307.0
36,Daroupakhsh,20010528,4350.0,4350.0,4350.0,70174200,16132,25,D,4307.0,4350.0
37,Daroupakhsh,20010529,4393.0,4307.0,4307.0,118980399,27557,35,D,4350.0,4307.0
38,Daroupakhsh,20010530,4307.0,4265.0,4307.0,55374392,12928,17,D,4307.0,4307.0
39,Daroupakhsh,20010602,4306.0,4289.0,4304.0,50569450,11750,15,D,4307.0,4304.0
40,Daroupakhsh,20010603,4307.0,4305.0,4305.0,38835408,9020,16,D,4304.0,4305.0
41,Daroupakhsh,20010606,4306.0,4305.0,4305.0,29834650,6930,12,D,4305.0,4305.0
42,Daroupakhsh,20010609,4305.0,4302.0,4302.0,14349411,3334,4,D,4305.0,4302.0
43,Daroupakhsh,20010611,4304.0,4300.0,4302.0,63334256,14723,24,D,4302.0,4302.0
44,Daroupakhsh,20010612,4304.0,4302.0,4304.0,72430320,16830,16,D,4302.0,4304.0
45,Daroupakhsh,20010613,4311.0,4304.0,4311.0,32384610,7519,9,D,4304.0,4311.0
46,Daroupakhsh,20010616,4316.0,4310.0,4312.0,153975536,35701,36,D,4311.0,4312.0
47,Daroupakhsh,20010617,4340.0,4340.0,4340.0,12803000,2950,7,D,4312.0,4340.0
48,Daroupakhsh,20010619,4350.0,4342.0,4342.0,37841546,8712,13,D,4340.0,4342.0
49,Daroupakhsh,20010620,4404.0,4400.0,4404.0,29842262,6780,8,D,4342.0,4404.0
50,Daroupakhsh,20010623,4408.0,4400.0,4400.0,52342929,11880,20,D,4404.0,4400.0
51,Daroupakhsh,20010624,4402.0,4350.0,4350.0,33976853,7735,14,D,4400.0,4350.0
52,Daroupakhsh,20010625,4345.0,4345.0,4345.0,4914195,1131,1,D,4350.0,4345.0
53,Daroupakhsh,20010626,4337.0,4250.0,4250.0,103956615,24449,20,D,4345.0,4250.0
54,Daroupakhsh,20010627,4252.0,4150.0,4250.0,83333378,19830,24,D,4250.0,4250.0
55,Daroupakhsh,20010725,4676.0,4060.0,4676.0,3521548670,774303,134,D,4250.0,4676.0
56,Daroupakhsh,20010728,4792.0,4676.0,4792.0,5975715600,1277900,8,D,4676.0,4792.0
57,Daroupakhsh,20010729,4911.0,4911.0,4911.0,37407087,7617,16,D,4792.0,4911.0
58,Daroupakhsh,20010730,5033.0,5033.0,5033.0,74035430,14710,19,D,4911.0,5033.0
59,Daroupakhsh,20010731,5158.0,4908.0,5000.0,5416315244,1100373,73,D,5033.0,5000.0
60,Daroupakhsh,20010801,5017.0,4990.0,5000.0,343365552,68607,41,D,5000.0,5000.0
61,Daroupakhsh,20010804,5057.0,5000.0,5057.0,42022350,8326,5,D,5000.0,5057.0
62,Daroupakhsh,20010805,5183.0,5070.0,5074.0,128273278,24881,28,D,5057.0,5074.0
63,Daroupakhsh,20010806,5150.0,5081.0,5113.0,58453984,11433,11,D,5074.0,5113.0
64,Daroupakhsh,20010807,5157.0,5126.0,5156.0,148409798,28867,25,D,5113.0,5156.0
65,Daroupakhsh,20010808,5200.0,5156.0,5200.0,50671923,9775,13,D,5156.0,5200.0
66,Daroupakhsh,20010811,5330.0,5203.0,5330.0,146186538,27616,33,D,5200.0,5330.0
67,Daroupakhsh,20010812,5463.0,5400.0,5463.0,102602418,18843,21,D,5330.0,5463.0
68,Daroupakhsh,20010813,5517.0,5517.0,5517.0,19099854,3462,4,D,5463.0,5517.0
69,Daroupakhsh,20010814,5572.0,5572.0,5572.0,223704656,40148,48,D,5517.0,5572.0
70,Daroupakhsh,20010815,5627.0,5627.0,5627.0,27639824,4912,10,D,5572.0,5627.0
71,Daroupakhsh,20010818,5683.0,5683.0,5683.0,43048725,7575,9,D,5627.0,5683.0
72,Daroupakhsh,20010820,5739.0,5739.0,5739.0,98268897,17123,16,D,5683.0,5739.0
73,Daroupakhsh,20010821,5796.0,5738.0,5739.0,227306342,39391,61,D,5739.0,5739.0
74,Daroupakhsh,20010822,5739.0,5682.0,5682.0,33974303,5933,11,D,5739.0,5682.0
75,Daroupakhsh,20010825,5626.0,5626.0,5626.0,17035528,3028,3,D,5682.0,5626.0
76,Daroupakhsh,20010826,5570.0,5570.0,5570.0,7675460,1378,3,D,5626.0,5570.0
77,Daroupakhsh,20010827,5431.0,5431.0,5431.0,168361000,31000,20,D,5570.0,5431.0
78,Daroupakhsh,20010918,3150.0,3000.0,3150.0,3315000,1100,2,D,5431.0,3150.0
79,Daroupakhsh,20010919,3307.0,3200.0,3307.0,42780122,13205,13,D,3150.0,3307.0
80,Daroupakhsh,20010922,3389.0,3389.0,3389.0,90452410,26690,11,D,3307.0,3389.0
81,Daroupakhsh,20010923,3473.0,3473.0,3473.0,1479498,426,3,D,3389.0,3473.0
82,Daroupakhsh,20010924,3507.0,3507.0,3507.0,27330051,7793,13,D,3473.0,3507.0
83,Daroupakhsh,20010925,3542.0,3542.0,3542.0,20695906,5843,17,D,3507.0,3542.0
84,Daroupakhsh,20010926,3577.0,3577.0,3577.0,7690550,2150,3,D,3542.0,3577.0
85,Daroupakhsh,20010929,3612.0,3612.0,3612.0,7270956,2013,2,D,3577.0,3612.0
86,Daroupakhsh,20010930,3648.0,3648.0,3648.0,15478464,4243,11,D,3612.0,3648.0
87,Daroupakhsh,20011002,3684.0,3684.0,3684.0,3684000,1000,12,D,3648.0,3684.0
88,Daroupakhsh,20011003,3720.0,3720.0,3720.0,3720000,1000,1,D,3684.0,3720.0
89,Daroupakhsh,20011006,3757.0,3757.0,3757.0,9956050,2650,3,D,3720.0,3757.0
90,Daroupakhsh,20011007,3794.0,3794.0,3794.0,5554416,1464,3,D,3757.0,3794.0
91,Daroupakhsh,20011008,3831.0,3831.0,3831.0,96809370,25270,37,D,3794.0,3831.0
92,Daroupakhsh,20011009,3869.0,3869.0,3869.0,122941344,31776,21,D,3831.0,3869.0
93,Daroupakhsh,20011010,3907.0,3831.0,3831.0,241625279,62267,79,D,3869.0,3831.0
94,Daroupakhsh,20011013,3869.0,3830.0,3869.0,62921466,16356,16,D,3831.0,3869.0
95,Daroupakhsh,20011014,3907.0,3907.0,3907.0,31900655,8165,16,D,3869.0,3907.0
96,Daroupakhsh,20011016,3946.0,3946.0,3946.0,23676000,6000,6,D,3907.0,3946.0
97,Daroupakhsh,20011017,3985.0,3985.0,3985.0,33446105,8393,8,D,3946.0,3985.0
98,Daroupakhsh,20011020,4024.0,4024.0,4024.0,40240000,10000,8,D,3985.0,4024.0
99,Daroupakhsh,20011021,4064.0,4064.0,4064.0,11350752,2793,3,D,4024.0,4064.0
100,Daroupakhsh,20011022,4104.0,4104.0,4104.0,4104000,1000,2,D,4064.0,4104.0
101,Daroupakhsh,20011023,4145.0,4145.0,4145.0,4145000,1000,1,D,4104.0,4145.0
102,Daroupakhsh,20011024,4186.0,4186.0,4186.0,35999600,8600,12,D,4145.0,4186.0
103,Daroupakhsh,20011027,4227.0,4227.0,4227.0,29233932,6916,9,D,4186.0,4227.0
104,Daroupakhsh,20011028,4269.0,4269.0,4269.0,4269000,1000,1,D,4227.0,4269.0
105,Daroupakhsh,20011029,4311.0,4311.0,4311.0,16136073,3743,5,D,4269.0,4311.0
106,Daroupakhsh,20011030,4354.0,4354.0,4354.0,9813916,2254,4,D,4311.0,4354.0
107,Daroupakhsh,20011103,4397.0,4397.0,4397.0,14817890,3370,6,D,4354.0,4397.0
108,Daroupakhsh,20011104,4440.0,4440.0,4440.0,9998880,2252,5,D,4397.0,4440.0
109,Daroupakhsh,20011105,4484.0,4484.0,4484.0,12828724,2861,5,D,4440.0,4484.0
110,Daroupakhsh,20011107,4528.0,4528.0,4528.0,5116640,1130,2,D,4484.0,4528.0
111,Daroupakhsh,20011110,4573.0,4573.0,4573.0,4262036,932,8,D,4528.0,4573.0
112,Daroupakhsh,20011111,4618.0,4573.0,4575.0,313578264,67998,55,D,4573.0,4575.0
113,Daroupakhsh,20011112,4618.0,4530.0,4530.0,232244163,50514,47,D,4575.0,4530.0
114,Daroupakhsh,20011113,4485.0,4485.0,4485.0,7445100,1660,4,D,4530.0,4485.0
115,Daroupakhsh,20011114,4484.0,4441.0,4441.0,14203961,3188,8,D,4485.0,4441.0
116,Daroupakhsh,20011117,4397.0,4397.0,4397.0,9233700,2100,8,D,4441.0,4397.0
117,Daroupakhsh,20011118,4354.0,4354.0,4354.0,174160000,40000,18,D,4397.0,4354.0
118,Daroupakhsh,20011119,4397.0,4311.0,4370.0,271941301,62215,63,D,4354.0,4370.0
119,Daroupakhsh,20011120,4413.0,4413.0,4413.0,84323604,19108,16,D,4370.0,4413.0
120,Daroupakhsh,20011121,4457.0,4457.0,4457.0,7309480,1640,3,D,4413.0,4457.0
121,Daroupakhsh,20011124,4501.0,4501.0,4501.0,48273225,10725,5,D,4457.0,4501.0
122,Daroupakhsh,20011125,4546.0,4546.0,4546.0,46210090,10165,9,D,4501.0,4546.0
123,Daroupakhsh,20011126,4591.0,4501.0,4591.0,377399623,82313,44,D,4546.0,4591.0
124,Daroupakhsh,20011127,4636.0,4546.0,4636.0,190101989,41421,24,D,4591.0,4636.0
125,Daroupakhsh,20011128,4682.0,4636.0,4682.0,18590000,4000,4,D,4636.0,4682.0
126,Daroupakhsh,20011201,4728.0,4728.0,4728.0,78768480,16660,34,D,4682.0,4728.0
127,Daroupakhsh,20011202,4775.0,4775.0,4775.0,66573050,13942,3,D,4728.0,4775.0
128,Daroupakhsh,20011203,4822.0,4822.0,4822.0,75797018,15719,13,D,4775.0,4822.0
129,Daroupakhsh,20011204,4870.0,4870.0,4870.0,48700000,10000,1,D,4822.0,4870.0
130,Daroupakhsh,20011205,4918.0,4917.0,4918.0,103660504,21078,43,D,4870.0,4918.0
131,Daroupakhsh,20011208,4918.0,4869.0,4869.0,152705751,31153,35,D,4918.0,4869.0
132,Daroupakhsh,20011209,4870.0,4839.0,4840.0,43193000,8890,8,D,4869.0,4840.0
133,Daroupakhsh,20011210,4792.0,4792.0,4792.0,30501080,6365,7,D,4840.0,4792.0
134,Daroupakhsh,20011211,4823.0,4745.0,4823.0,248381960,51968,49,D,4792.0,4823.0
135,Daroupakhsh,20011212,4871.0,4840.0,4871.0,58116103,11935,16,D,4823.0,4871.0
136,Daroupakhsh,20011215,4919.0,4919.0,4919.0,3551518,722,3,D,4871.0,4919.0
137,Daroupakhsh,20011217,4968.0,4968.0,4968.0,92727720,18665,13,D,4919.0,4968.0
