,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Jaber.Hayan.P.,20010325,9450.0,9450.0,9450.0,1833300,194,2,D,9450.0,9450.0
1,Jaber.Hayan.P.,20010326,9450.0,9450.0,9450.0,5159700,546,3,D,9450.0,9450.0
2,Jaber.Hayan.P.,20010327,9450.0,9449.0,9449.0,2844275,301,2,D,9450.0,9449.0
3,Jaber.Hayan.P.,20010403,9450.0,9449.0,9450.0,18898036,2000,4,D,9449.0,9450.0
4,Jaber.Hayan.P.,20010407,9600.0,9450.0,9600.0,68063196,7104,4,D,9450.0,9600.0
5,Jaber.Hayan.P.,20010408,9600.0,9600.0,9600.0,864000,90,1,D,9600.0,9600.0
6,Jaber.Hayan.P.,20010409,9600.0,9600.0,9600.0,480000,50,1,D,9600.0,9600.0
7,Jaber.Hayan.P.,20010411,9600.0,9599.0,9600.0,14226998,1482,12,D,9600.0,9600.0
8,Jaber.Hayan.P.,20010414,9601.0,9600.0,9601.0,6432107,670,6,D,9600.0,9601.0
9,Jaber.Hayan.P.,20010415,9604.0,9601.0,9604.0,1728333,180,4,D,9601.0,9604.0
10,Jaber.Hayan.P.,20010416,9605.0,9602.0,9603.0,6914162,720,12,D,9604.0,9603.0
11,Jaber.Hayan.P.,20010417,9605.0,9603.0,9604.0,16979204,1768,9,D,9603.0,9604.0
12,Jaber.Hayan.P.,20010418,9604.0,9603.0,9604.0,10948139,1140,17,D,9604.0,9604.0
13,Jaber.Hayan.P.,20010421,9700.0,9605.0,9700.0,11597487,1197,16,D,9604.0,9700.0
14,Jaber.Hayan.P.,20010422,9701.0,9700.0,9701.0,4394151,453,4,D,9700.0,9701.0
15,Jaber.Hayan.P.,20010424,9713.0,9709.0,9713.0,1485681,153,3,D,9701.0,9713.0
16,Jaber.Hayan.P.,20010425,9730.0,9722.0,9729.0,34949190,3594,38,D,9713.0,9729.0
17,Jaber.Hayan.P.,20010428,9731.0,9729.0,9730.0,28284610,2907,12,D,9729.0,9730.0
18,Jaber.Hayan.P.,20010429,9741.0,9730.0,9741.0,60554915,6222,11,D,9730.0,9741.0
19,Jaber.Hayan.P.,20010430,9745.0,9744.0,9744.0,34818606,3573,7,D,9741.0,9744.0
20,Jaber.Hayan.P.,20010501,9751.0,9740.0,9751.0,53150165,5454,22,D,9744.0,9751.0
21,Jaber.Hayan.P.,20010502,9763.0,9750.0,9763.0,41311825,4236,9,D,9751.0,9763.0
22,Jaber.Hayan.P.,20010505,9850.0,9775.0,9850.0,220500504,22404,10,D,9763.0,9850.0
23,Jaber.Hayan.P.,20010506,9932.0,9851.0,9932.0,24270434,2457,9,D,9850.0,9932.0
24,Jaber.Hayan.P.,20010507,10005.0,9940.0,10005.0,1525614,153,3,D,9932.0,10005.0
25,Jaber.Hayan.P.,20010509,10245.0,10165.0,10245.0,13456141,1319,12,D,10005.0,10245.0
26,Jaber.Hayan.P.,20010512,10305.0,10280.0,10305.0,10953625,1064,4,D,10245.0,10305.0
27,Jaber.Hayan.P.,20010513,10562.0,10315.0,10562.0,22856679,2179,8,D,10305.0,10562.0
28,Jaber.Hayan.P.,20010515,10826.0,10826.0,10826.0,4417008,408,8,D,10562.0,10826.0
29,Jaber.Hayan.P.,20010516,11096.0,11096.0,11096.0,17820176,1606,5,D,10826.0,11096.0
30,Jaber.Hayan.P.,20010523,17500.0,13100.0,16900.0,638896926,38092,61,D,11096.0,16900.0
