,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Doode.Sanati,20010328,12645.0,12645.0,12645.0,5639670,446,1,D,12645.0,12645.0
1,Doode.Sanati,20010415,12645.0,12645.0,12645.0,1062180,84,1,D,12645.0,12645.0
2,Doode.Sanati,20010422,12646.0,12645.0,12645.0,13163945,1041,3,D,12645.0,12645.0
3,Doode.Sanati,20010428,12648.0,12648.0,12648.0,69564000,5500,4,D,12645.0,12648.0
4,Doode.Sanati,20010429,12649.0,12649.0,12649.0,7728539,611,1,D,12648.0,12649.0
5,Doode.Sanati,20010506,12680.0,12680.0,12680.0,50720000,4000,1,D,12649.0,12680.0
6,Doode.Sanati,20010508,12705.0,12705.0,12705.0,6098400,480,2,D,12680.0,12705.0
7,Doode.Sanati,20010515,12832.0,12832.0,12832.0,5158464,402,1,D,12705.0,12832.0
8,Doode.Sanati,20010613,11000.0,11000.0,11000.0,11000000,1000,1,D,12832.0,11000.0
9,Doode.Sanati,20010616,11550.0,11550.0,11550.0,11550000,1000,3,D,11000.0,11550.0
10,Doode.Sanati,20010617,12127.0,12127.0,12127.0,12127000,1000,1,D,11550.0,12127.0
11,Doode.Sanati,20010618,12733.0,12733.0,12733.0,12733000,1000,1,D,12127.0,12733.0
12,Doode.Sanati,20010703,13369.0,13369.0,13369.0,17352962,1298,4,D,12733.0,13369.0
13,Doode.Sanati,20010821,14037.0,14037.0,14037.0,28368777,2021,9,D,13369.0,14037.0
14,Doode.Sanati,20010901,14738.0,14738.0,14738.0,14738000,1000,5,D,14037.0,14738.0
15,Doode.Sanati,20010902,15474.0,15474.0,15474.0,23211000,1500,6,D,14738.0,15474.0
16,Doode.Sanati,20010904,15860.0,15860.0,15860.0,15860000,1000,2,D,15474.0,15860.0
17,Doode.Sanati,20010905,16018.0,16018.0,16018.0,16018000,1000,4,D,15860.0,16018.0
18,Doode.Sanati,20010912,16178.0,16178.0,16178.0,62786818,3881,8,D,16018.0,16178.0
19,Doode.Sanati,20010915,16339.0,16178.0,16178.0,119167132,7308,23,D,16178.0,16178.0
20,Doode.Sanati,20010924,16017.0,16017.0,16017.0,8008500,500,1,D,16178.0,16017.0
21,Doode.Sanati,20010925,15857.0,15857.0,15857.0,10307050,650,3,D,16017.0,15857.0
22,Doode.Sanati,20010926,15856.0,15855.0,15855.0,5153075,325,3,D,15857.0,15855.0
