,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Zahravi.Phar.,20020305,7232.0,7150.0,7201.0,5387268470,751000,710,D,0.0,7201.0
1,Zahravi.Phar.,20020310,7273.0,7273.0,7273.0,684483849,94113,263,D,7201.0,7273.0
2,Zahravi.Phar.,20020311,7345.0,7345.0,7345.0,6044935,823,3,D,7273.0,7345.0
3,Zahravi.Phar.,20020316,7418.0,7418.0,7418.0,3709000,500,2,D,7345.0,7418.0
4,Zahravi.Phar.,20020317,7492.0,7492.0,7492.0,15313648,2044,4,D,7418.0,7492.0
5,Zahravi.Phar.,20020318,7566.0,7566.0,7566.0,45396000,6000,3,D,7492.0,7566.0
6,Zahravi.Phar.,20020319,7641.0,7641.0,7641.0,39351150,5150,9,D,7566.0,7641.0
7,Zahravi.Phar.,20020331,7717.0,7717.0,7717.0,3858500,500,1,D,7641.0,7717.0
8,Zahravi.Phar.,20020403,7794.0,7794.0,7794.0,12704220,1630,3,D,7717.0,7794.0
9,Zahravi.Phar.,20020407,7871.0,7871.0,7871.0,9523910,1210,4,D,7794.0,7871.0
10,Zahravi.Phar.,20020409,7949.0,7949.0,7949.0,7949000,1000,1,D,7871.0,7949.0
11,Zahravi.Phar.,20020410,8028.0,8028.0,8028.0,81925740,10205,35,D,7949.0,8028.0
12,Zahravi.Phar.,20020413,8108.0,8108.0,8108.0,9121500,1125,3,D,8028.0,8108.0
13,Zahravi.Phar.,20020416,8189.0,8189.0,8189.0,12283500,1500,2,D,8108.0,8189.0
14,Zahravi.Phar.,20020420,8270.0,8270.0,8270.0,12065930,1459,5,D,8189.0,8270.0
15,Zahravi.Phar.,20020421,8352.0,8352.0,8352.0,11692800,1400,2,D,8270.0,8352.0
16,Zahravi.Phar.,20020423,8435.0,8435.0,8435.0,13580350,1610,18,D,8352.0,8435.0
