,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Fold-R,20120923,2170.0,2010.0,2057.0,7032190,3419,2,D,1000.0,2170.0
1,Iran.Fold-R,20120924,2221.0,2221.0,2221.0,40908599,18419,14,D,2057.0,2221.0
2,Iran.Fold-R,20120925,2398.0,2398.0,2398.0,67261502,28049,8,D,2221.0,2398.0
3,Iran.Fold-R,20120926,2589.0,2589.0,2589.0,190863669,73721,28,D,2398.0,2589.0
4,Iran.Fold-R,20120929,2796.0,2650.0,2768.0,331058218,119592,48,D,2589.0,2796.0
5,Iran.Fold-R,20120930,2800.0,2547.0,2588.0,258516629,99908,40,D,2768.0,2547.0
6,Iran.Fold-R,20121001,2420.0,2381.0,2383.0,40584459,17030,8,D,2588.0,2381.0
7,Iran.Fold-R,20121002,2415.0,2196.0,2323.0,1297566196,558561,87,D,2383.0,2400.0
8,Iran.Fold-R,20121003,2502.0,2351.0,2446.0,721665900,295074,77,D,2323.0,2351.0
9,Iran.Fold-R,20121006,2338.0,2260.0,2301.0,965608116,419727,42,D,2446.0,2331.0
10,Iran.Fold-R,20121007,2349.0,2153.0,2251.0,613443349,272464,48,D,2301.0,2250.0
11,Iran.Fold-R,20121008,2387.0,2300.0,2357.0,713072880,302472,49,D,2251.0,2300.0
12,Iran.Fold-R,20121009,2375.0,2235.0,2291.0,244083411,106559,36,D,2357.0,2286.0
13,Iran.Fold-R,20121010,2300.0,2118.0,2223.0,405803830,182559,26,D,2291.0,2261.0
14,Iran.Fold-R,20121013,2215.0,2113.0,2149.0,460953890,214543,31,D,2223.0,2113.0
15,Iran.Fold-R,20121014,2320.0,2111.0,2220.0,977167695,440246,110,D,2149.0,2268.0
16,Iran.Fold-R,20121015,2397.0,2240.0,2308.0,2163755039,937677,158,D,2220.0,2243.0
17,Iran.Fold-R,20121016,2397.0,2271.0,2308.0,393982325,170722,42,D,2308.0,2339.0
18,Iran.Fold-R,20121017,2367.0,2151.0,2326.0,382780645,164573,77,D,2308.0,2330.0
19,Iran.Fold-R,20121020,2512.0,2512.0,2512.0,202120544,80462,31,D,2326.0,2512.0
20,Iran.Fold-R,20130127,5300.0,5024.0,5179.0,833800000,161000,10,D,2512.0,5300.0
21,Iran.Fold-R,20130130,5025.0,5025.0,5025.0,4959172500,986900,15,D,5179.0,5025.0
22,Iran.Fold-R,20150412,561.0,510.0,530.0,473485543,892856,352,D,5025.0,561.0
