,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Amirkabir.Steel,20040816,2732.0,2601.0,2678.0,4426716336,1653000,1269,D,2732.0,2678.0
1,Amirkabir.Steel,20040818,2811.0,2811.0,2811.0,1172187000,417000,280,D,2678.0,2811.0
2,Amirkabir.Steel,20040821,2951.0,2951.0,2951.0,5016700000,1700000,813,D,2811.0,2951.0
3,Amirkabir.Steel,20040822,3098.0,3000.0,3097.0,24610341839,7944792,1983,D,2951.0,3097.0
4,Amirkabir.Steel,20040823,3250.0,3070.0,3101.0,6107482929,1954319,449,D,3097.0,3101.0
5,Amirkabir.Steel,20040824,3240.0,3000.0,3103.0,2243793564,723029,352,D,3101.0,3103.0
6,Amirkabir.Steel,20040825,3080.0,2948.0,2988.0,1484694924,496745,280,D,3103.0,2988.0
7,Amirkabir.Steel,20040828,3086.0,2839.0,2889.0,1021999996,353745,163,D,2988.0,2889.0
8,Amirkabir.Steel,20040829,2900.0,2745.0,2813.0,799784217,284228,143,D,2889.0,2813.0
9,Amirkabir.Steel,20040831,2881.0,2673.0,2757.0,824712852,299049,148,D,2813.0,2757.0
10,Amirkabir.Steel,20040901,2894.0,2837.0,2837.0,226246357,78706,61,D,2757.0,2837.0
11,Amirkabir.Steel,20040904,2978.0,2898.0,2974.0,1405046408,472416,111,D,2837.0,2974.0
12,Amirkabir.Steel,20040905,3033.0,2980.0,3013.0,702526559,233094,119,D,2974.0,3013.0
13,Amirkabir.Steel,20040906,3000.0,2863.0,2945.0,284792673,97052,63,D,3013.0,2945.0
14,Amirkabir.Steel,20040907,2887.0,2798.0,2877.0,158904762,56584,26,D,2945.0,2877.0
15,Amirkabir.Steel,20040908,2795.0,2734.0,2742.0,600061744,218801,72,D,2877.0,2742.0
16,Amirkabir.Steel,20040911,2850.0,2745.0,2795.0,535919436,191735,87,D,2742.0,2795.0
17,Amirkabir.Steel,20040912,2876.0,2751.0,2788.0,523913752,187857,69,D,2795.0,2788.0
18,Amirkabir.Steel,20040914,2927.0,2800.0,2912.0,1015171856,348559,110,D,2788.0,2912.0
19,Amirkabir.Steel,20040915,2912.0,2767.0,2863.0,184810827,65366,37,D,2912.0,2863.0
20,Amirkabir.Steel,20040918,2900.0,2760.0,2840.0,613387173,215916,95,D,2863.0,2840.0
21,Amirkabir.Steel,20040919,2982.0,2799.0,2908.0,468363143,161024,59,D,2840.0,2908.0
22,Amirkabir.Steel,20040920,2907.0,2765.0,2887.0,105593212,37092,28,D,2908.0,2887.0
