,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khorasan.Steel.Co.,20071030,4011.0,3700.0,3815.0,526082597214,137879600,13373,D,0.0,3815.0
1,Khorasan.Steel.Co.,20071031,3891.0,3891.0,3891.0,12838420647,3299517,1565,D,3815.0,3891.0
2,Khorasan.Steel.Co.,20071103,3968.0,3814.0,3931.0,123145975483,31326197,8121,D,3891.0,3931.0
3,Khorasan.Steel.Co.,20071104,3853.0,3853.0,3853.0,65489598973,16997041,2599,D,3931.0,3853.0
4,Khorasan.Steel.Co.,20071105,3776.0,3776.0,3776.0,3969048000,1051125,177,D,3853.0,3776.0
5,Khorasan.Steel.Co.,20071107,3701.0,3701.0,3701.0,3567534538,963938,232,D,3776.0,3701.0
6,Khorasan.Steel.Co.,20071110,3627.0,3627.0,3627.0,2469573522,680886,112,D,3701.0,3627.0
7,Khorasan.Steel.Co.,20071111,3555.0,3555.0,3555.0,2586155850,727470,196,D,3627.0,3555.0
8,Khorasan.Steel.Co.,20071112,3626.0,3484.0,3532.0,35029598436,9916595,2764,D,3555.0,3532.0
9,Khorasan.Steel.Co.,20071113,3602.0,3465.0,3565.0,11331649137,3178405,916,D,3532.0,3565.0
10,Khorasan.Steel.Co.,20071114,3560.0,3494.0,3498.0,7119521302,2034785,493,D,3565.0,3498.0
11,Khorasan.Steel.Co.,20071117,3451.0,3429.0,3429.0,10708344871,3122663,611,D,3498.0,3429.0
12,Khorasan.Steel.Co.,20071118,3420.0,3361.0,3361.0,13648272699,4060617,649,D,3429.0,3361.0
13,Khorasan.Steel.Co.,20071119,3400.0,3294.0,3297.0,6162819736,1868784,512,D,3361.0,3297.0
14,Khorasan.Steel.Co.,20071120,3362.0,3297.0,3360.0,1693362287,503937,109,D,3297.0,3360.0
15,Khorasan.Steel.Co.,20071121,3427.0,3427.0,3427.0,1768503350,516050,118,D,3360.0,3427.0
16,Khorasan.Steel.Co.,20071124,3495.0,3370.0,3475.0,9031634663,2598829,628,D,3427.0,3475.0
17,Khorasan.Steel.Co.,20071125,3421.0,3406.0,3407.0,3196178253,937851,282,D,3475.0,3407.0
18,Khorasan.Steel.Co.,20071126,3475.0,3339.0,3375.0,1324969749,393616,137,D,3407.0,3375.0
19,Khorasan.Steel.Co.,20071127,3423.0,3311.0,3387.0,2035778088,601046,172,D,3375.0,3387.0
20,Khorasan.Steel.Co.,20071128,3409.0,3357.0,3391.0,1153172729,339807,101,D,3387.0,3391.0
21,Khorasan.Steel.Co.,20071201,3370.0,3334.0,3370.0,901013133,268763,95,D,3391.0,3370.0
22,Khorasan.Steel.Co.,20071202,3352.0,3303.0,3304.0,6586770033,1993501,414,D,3370.0,3304.0
