,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khouz..Steel,20070807,3350.0,3350.0,3350.0,322940000000,96400000,9051,D,3350.0,3350.0
1,Khouz..Steel,20070808,3417.0,3417.0,3417.0,12301200000,3600000,2082,D,3350.0,3417.0
2,Khouz..Steel,20070812,3485.0,3485.0,3485.0,10524316650,3019890,2158,D,3417.0,3485.0
3,Khouz..Steel,20070813,3554.0,3554.0,3554.0,10722702320,3017080,2061,D,3485.0,3554.0
4,Khouz..Steel,20070814,3625.0,3625.0,3625.0,13211743875,3644619,2207,D,3554.0,3625.0
5,Khouz..Steel,20070815,3697.0,3662.0,3662.0,2062459828,557874,626,D,3625.0,3662.0
6,Khouz..Steel,20070818,3735.0,3735.0,3735.0,68615658855,18370993,6209,D,3662.0,3735.0
7,Khouz..Steel,20070819,3809.0,3739.0,3739.0,209315277,54953,46,D,3735.0,3739.0
8,Khouz..Steel,20070820,3813.0,3744.0,3744.0,267759609,70223,74,D,3739.0,3744.0
9,Khouz..Steel,20070821,3818.0,3768.0,3768.0,1329461462,348209,346,D,3744.0,3768.0
10,Khouz..Steel,20070822,3843.0,3776.0,3776.0,477553568,124266,159,D,3768.0,3776.0
11,Khouz..Steel,20070825,3851.0,3780.0,3780.0,248943334,64644,98,D,3776.0,3780.0
12,Khouz..Steel,20070826,3855.0,3797.0,3797.0,969404705,251467,192,D,3780.0,3797.0
13,Khouz..Steel,20070827,3872.0,3814.0,3814.0,961080156,248213,205,D,3797.0,3814.0
14,Khouz..Steel,20070828,3890.0,3828.0,3828.0,785153090,201839,135,D,3814.0,3828.0
15,Khouz..Steel,20070901,3904.0,3840.0,3840.0,670632384,171781,168,D,3828.0,3840.0
16,Khouz..Steel,20070902,3916.0,3846.0,3846.0,363255292,92762,85,D,3840.0,3846.0
17,Khouz..Steel,20070903,3922.0,3865.0,3865.0,1062328038,270864,181,D,3846.0,3865.0
18,Khouz..Steel,20070904,3942.0,3871.0,3871.0,321800518,81634,99,D,3865.0,3871.0
19,Khouz..Steel,20070905,3948.0,3875.0,3875.0,235089826,59547,54,D,3871.0,3875.0
20,Khouz..Steel,20070908,3952.0,3880.0,3880.0,302872656,76638,65,D,3875.0,3880.0
21,Khouz..Steel,20070909,3957.0,3882.0,3882.0,136139835,34405,25,D,3880.0,3882.0
22,Khouz..Steel,20070910,3959.0,3887.0,3887.0,306311069,77371,68,D,3882.0,3887.0
23,Khouz..Steel,20070911,3964.0,3890.0,3890.0,163415160,41225,33,D,3887.0,3890.0
24,Khouz..Steel,20070912,3967.0,2175.0,3893.0,247576413595,98687886,45,D,3890.0,3893.0
25,Khouz..Steel,20070915,3970.0,3907.0,3907.0,800426800,201619,137,D,3893.0,3907.0
26,Khouz..Steel,20070916,3985.0,3933.0,3933.0,1475565280,370280,278,D,3907.0,3933.0
27,Khouz..Steel,20070917,4011.0,3995.0,3995.0,3485041421,868871,448,D,3933.0,3995.0
28,Khouz..Steel,20070918,4074.0,4002.0,4002.0,418806480,102800,96,D,3995.0,4002.0
29,Khouz..Steel,20070919,4082.0,4004.0,4004.0,120667222,29561,28,D,4002.0,4004.0
30,Khouz..Steel,20070922,4084.0,4007.0,4007.0,152520294,37346,19,D,4004.0,4007.0
31,Khouz..Steel,20070923,4087.0,4014.0,4014.0,376743017,92181,86,D,4007.0,4014.0
32,Khouz..Steel,20070924,4094.0,4016.0,4016.0,94853106,23169,14,D,4014.0,4016.0
33,Khouz..Steel,20070925,4096.0,4019.0,4019.0,172965118,42228,33,D,4016.0,4019.0
34,Khouz..Steel,20070926,4099.0,4039.0,4039.0,1112107288,271312,116,D,4019.0,4039.0
35,Khouz..Steel,20070929,4119.0,4040.0,4040.0,76180115,18495,14,D,4039.0,4040.0
36,Khouz..Steel,20070930,4120.0,4042.0,4042.0,115400420,28010,21,D,4040.0,4042.0
37,Khouz..Steel,20071001,4122.0,4044.0,4044.0,98865390,23985,18,D,4042.0,4044.0
38,Khouz..Steel,20071002,4124.0,4047.0,4047.0,178073550,43180,31,D,4044.0,4047.0
39,Khouz..Steel,20071006,4127.0,4052.0,4052.0,290783543,70459,61,D,4047.0,4052.0
40,Khouz..Steel,20071007,4133.0,4058.0,4058.0,309465891,74877,41,D,4052.0,4058.0
41,Khouz..Steel,20071008,4139.0,4064.0,4064.0,323387598,78132,57,D,4058.0,4064.0
42,Khouz..Steel,20071009,4145.0,4065.0,4065.0,70795800,17080,17,D,4064.0,4065.0
43,Khouz..Steel,20071010,4146.0,4074.0,4074.0,530571192,127972,83,D,4065.0,4074.0
44,Khouz..Steel,20071014,4155.0,4077.0,4077.0,187979730,45242,38,D,4074.0,4077.0
45,Khouz..Steel,20071015,4158.0,4158.0,4158.0,24923052,5994,9,D,4077.0,4158.0
46,Khouz..Steel,20071016,4241.0,4241.0,4241.0,63212105,14905,12,D,4158.0,4241.0
47,Khouz..Steel,20071017,4325.0,4325.0,4325.0,9882625,2285,2,D,4241.0,4325.0
48,Khouz..Steel,20071020,4411.0,4411.0,4411.0,36840672,8352,10,D,4325.0,4411.0
49,Khouz..Steel,20071021,4499.0,4499.0,4499.0,274434501,60999,18,D,4411.0,4499.0
50,Khouz..Steel,20071022,4588.0,4501.0,4501.0,124457806,27127,21,D,4499.0,4501.0
51,Khouz..Steel,20071023,4591.0,4591.0,4591.0,229545409,49999,48,D,4501.0,4591.0
52,Khouz..Steel,20071024,4682.0,4682.0,4682.0,46820000,10000,11,D,4591.0,4682.0
53,Khouz..Steel,20071027,4775.0,4775.0,4775.0,33425000,7000,4,D,4682.0,4775.0
54,Khouz..Steel,20071028,4870.0,4870.0,4870.0,428467470,87981,78,D,4775.0,4870.0
55,Khouz..Steel,20071029,4967.0,4967.0,4967.0,225998500,45500,28,D,4870.0,4967.0
56,Khouz..Steel,20071030,5066.0,4970.0,4970.0,187319456,36976,25,D,4967.0,4970.0
57,Khouz..Steel,20071031,5069.0,5069.0,5069.0,136761620,26980,25,D,4970.0,5069.0
58,Khouz..Steel,20071111,5290.0,4760.0,4889.0,197225173236,40336634,10542,D,5069.0,4889.0
59,Khouz..Steel,20071112,4986.0,4920.0,4920.0,1726915398,346353,176,D,4889.0,4920.0
60,Khouz..Steel,20071113,5018.0,4962.0,4962.0,2330760080,464480,182,D,4920.0,4962.0
61,Khouz..Steel,20071114,5061.0,4863.0,4971.0,43192319207,8688849,2013,D,4962.0,4971.0
62,Khouz..Steel,20071117,5070.0,4950.0,5037.0,41431275380,8224887,2100,D,4971.0,5037.0
63,Khouz..Steel,20071118,4939.0,4937.0,4937.0,26533984234,5374449,1211,D,5037.0,4937.0
64,Khouz..Steel,20071119,4841.0,4839.0,4839.0,31457065090,6500720,1314,D,4937.0,4839.0
65,Khouz..Steel,20071120,4935.0,4850.0,4919.0,7471193539,1518558,455,D,4839.0,4919.0
66,Khouz..Steel,20071121,5017.0,4943.0,4943.0,1323784880,263860,95,D,4919.0,4943.0
67,Khouz..Steel,20071124,5041.0,4881.0,5007.0,35777567384,7144335,1612,D,4943.0,5007.0
68,Khouz..Steel,20071125,4970.0,4907.0,4915.0,11766987052,2393730,572,D,5007.0,4915.0
69,Khouz..Steel,20071126,4930.0,4821.0,4910.0,4916945275,1001369,279,D,4915.0,4910.0
70,Khouz..Steel,20071127,5008.0,4871.0,5006.0,25062048095,5009423,839,D,4910.0,5006.0
71,Khouz..Steel,20071128,5091.0,5001.0,5015.0,6183307774,1229772,226,D,5006.0,5015.0
72,Khouz..Steel,20071201,5028.0,4921.0,4992.0,2818347951,566897,178,D,5015.0,4992.0
73,Khouz..Steel,20071202,4971.0,4893.0,4971.0,1114087761,227665,70,D,4992.0,4971.0
74,Khouz..Steel,20071203,4872.0,4872.0,4872.0,11106951744,2279752,401,D,4971.0,4872.0
75,Khouz..Steel,20071204,4819.0,4775.0,4779.0,13535647996,2831809,707,D,4872.0,4779.0
76,Khouz..Steel,20071205,4874.0,4874.0,4874.0,10887282878,2233747,306,D,4779.0,4874.0
77,Khouz..Steel,20071208,4971.0,4876.0,4876.0,110186236,22166,14,D,4874.0,4876.0
78,Khouz..Steel,20071209,4973.0,4878.0,4878.0,126144168,25366,10,D,4876.0,4878.0
79,Khouz..Steel,20071210,4975.0,4878.0,4878.0,15222530,3060,5,D,4878.0,4878.0
80,Khouz..Steel,20071211,4975.0,4879.0,4879.0,81564165,16395,4,D,4878.0,4879.0
81,Khouz..Steel,20071212,4976.0,4903.0,4903.0,1338951302,269082,103,D,4879.0,4903.0
82,Khouz..Steel,20071215,5001.0,4911.0,4911.0,455165115,91015,47,D,4903.0,4911.0
83,Khouz..Steel,20071216,5009.0,5009.0,5009.0,27620046756,5514084,799,D,4911.0,5009.0
84,Khouz..Steel,20071217,5061.0,4909.0,4957.0,10955555266,2209683,610,D,5009.0,4957.0
85,Khouz..Steel,20071218,4988.0,4882.0,4930.0,2487124423,507618,140,D,4957.0,4930.0
