,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Zar.Spring,20010602,4300.0,4300.0,4300.0,8600000,2000,4,D,4300.0,4300.0
1,Zar.Spring,20010603,4300.0,4300.0,4300.0,8600000,2000,3,D,4300.0,4300.0
2,Zar.Spring,20010612,4085.0,4085.0,4085.0,10212500,2500,4,D,4300.0,4085.0
3,Zar.Spring,20010619,4085.0,4085.0,4085.0,7696140,1884,3,D,4085.0,4085.0
4,Zar.Spring,20010620,4085.0,4085.0,4085.0,2230410,546,1,D,4085.0,4085.0
5,Zar.Spring,20010626,4080.0,4070.0,4070.0,19673352,4827,9,D,4085.0,4070.0
6,Zar.Spring,20010627,4067.0,4067.0,4067.0,4880400,1200,2,D,4070.0,4067.0
7,Zar.Spring,20010703,3867.0,3867.0,3867.0,6225870,1610,2,D,4067.0,3867.0
8,Zar.Spring,20010707,3867.0,3867.0,3867.0,1276110,330,1,D,3867.0,3867.0
9,Zar.Spring,20010708,3800.0,3800.0,3800.0,38228000,10060,5,D,3867.0,3800.0
10,Zar.Spring,20010711,3800.0,3800.0,3800.0,190000,50,1,D,3800.0,3800.0
11,Zar.Spring,20010714,3900.0,3800.0,3900.0,3805000,1000,2,D,3800.0,3900.0
12,Zar.Spring,20010805,4100.0,4100.0,4100.0,4100000,1000,1,D,3900.0,4100.0
13,Zar.Spring,20010806,3900.0,3900.0,3900.0,19500000,5000,3,D,4100.0,3900.0
14,Zar.Spring,20010911,3849.0,3849.0,3849.0,19245000,5000,3,D,3900.0,3849.0
15,Zar.Spring,20010912,3848.0,3848.0,3848.0,2097160,545,109,D,3849.0,3848.0
16,Zar.Spring,20011007,3790.0,3789.0,3790.0,13261811,3500,4,D,3848.0,3790.0
17,Zar.Spring,20011009,3787.0,3786.0,3787.0,18930334,5000,2,D,3790.0,3787.0
18,Zar.Spring,20011017,3787.0,3773.0,3787.0,52920841,14000,13,D,3787.0,3787.0
19,Zar.Spring,20011029,3598.0,3598.0,3598.0,7196000,2000,2,D,3787.0,3598.0
20,Zar.Spring,20011031,3598.0,3597.0,3598.0,35601854,9897,8,D,3598.0,3598.0
