,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Behshahr.Group,20040315,2100.0,2100.0,2100.0,7224000000,3440000,1135,D,2100.0,2100.0
1,Behshahr.Group,20040317,2205.0,2102.0,2102.0,3307397,1500,4,D,2100.0,2102.0
2,Behshahr.Group,20040327,2207.0,2207.0,2207.0,20431386366,9257538,7446,D,2102.0,2207.0
3,Behshahr.Group,20040329,2317.0,2317.0,2317.0,139020000,60000,36,D,2207.0,2317.0
4,Behshahr.Group,20040330,2432.0,2432.0,2432.0,145920000,60000,33,D,2317.0,2432.0
5,Behshahr.Group,20040403,2553.0,2553.0,2553.0,204240000,80000,55,D,2432.0,2553.0
6,Behshahr.Group,20040405,2680.0,2562.0,2562.0,16347882,6100,10,D,2553.0,2562.0
7,Behshahr.Group,20040406,2690.0,2567.0,2567.0,8607877,3200,8,D,2562.0,2567.0
8,Behshahr.Group,20040407,2695.0,2695.0,2695.0,215600000,80000,41,D,2567.0,2695.0
9,Behshahr.Group,20040410,2829.0,2829.0,2829.0,226320000,80000,63,D,2695.0,2829.0
10,Behshahr.Group,20040412,2970.0,2925.0,2925.0,163299465,54983,81,D,2829.0,2925.0
11,Behshahr.Group,20040413,3071.0,2781.0,2953.0,6030017997,2041407,883,D,2925.0,2953.0
12,Behshahr.Group,20040414,3100.0,2979.0,3074.0,506116319,164629,91,D,2953.0,3074.0
13,Behshahr.Group,20040417,3215.0,3110.0,3173.0,1807553227,569559,293,D,3074.0,3173.0
14,Behshahr.Group,20040418,3200.0,3100.0,3160.0,1265444670,400406,192,D,3173.0,3160.0
15,Behshahr.Group,20040421,3139.0,3061.0,3104.0,925792549,298242,139,D,3160.0,3104.0
16,Behshahr.Group,20040424,3101.0,2949.0,3056.0,733009808,239849,112,D,3104.0,3056.0
17,Behshahr.Group,20040425,3000.0,2904.0,2912.0,767385718,263441,113,D,3056.0,2912.0
18,Behshahr.Group,20040426,3000.0,2789.0,2936.0,600092467,204342,87,D,2912.0,2936.0
19,Behshahr.Group,20040427,2979.0,2897.0,2911.0,433470426,148887,83,D,2936.0,2911.0
20,Behshahr.Group,20040428,2909.0,2840.0,2899.0,363650567,125425,79,D,2911.0,2899.0
21,Behshahr.Group,20040501,3043.0,2890.0,3023.0,5438810006,1789145,163,D,2899.0,3023.0
22,Behshahr.Group,20040502,3100.0,3000.0,3057.0,563577400,184329,100,D,3023.0,3057.0
23,Behshahr.Group,20040503,3209.0,3082.0,3185.0,363498098,114115,76,D,3057.0,3185.0
24,Behshahr.Group,20040504,3343.0,3209.0,3257.0,1062063858,326013,185,D,3185.0,3257.0
25,Behshahr.Group,20040517,3400.0,2910.0,3060.0,133522596,43629,25,D,3257.0,3060.0
26,Behshahr.Group,20040518,3060.0,3001.0,3035.0,360952623,118913,51,D,3060.0,3035.0
27,Behshahr.Group,20040519,3100.0,3000.0,3058.0,482745975,157840,80,D,3035.0,3058.0
28,Behshahr.Group,20040522,3210.0,3049.0,3137.0,164039990,51562,36,D,3058.0,3137.0
29,Behshahr.Group,20040523,3293.0,3177.0,3177.0,69069515,20975,23,D,3137.0,3177.0
30,Behshahr.Group,20040524,3335.0,3335.0,3335.0,273470000,82000,46,D,3177.0,3335.0
31,Behshahr.Group,20040525,3501.0,3375.0,3375.0,68303250,19510,12,D,3335.0,3375.0
32,Behshahr.Group,20040526,3543.0,3386.0,3386.0,19520360,5510,8,D,3375.0,3386.0
33,Behshahr.Group,20040529,3555.0,3396.0,3396.0,18491520,5202,9,D,3386.0,3396.0
34,Behshahr.Group,20040530,3565.0,3565.0,3565.0,412627360,115744,78,D,3396.0,3565.0
35,Behshahr.Group,20040531,3743.0,3738.0,3738.0,292500428,78146,55,D,3565.0,3738.0
36,Behshahr.Group,20040601,3924.0,3924.0,3924.0,315262008,80342,49,D,3738.0,3924.0
37,Behshahr.Group,20040602,4120.0,3943.0,3943.0,32772830,7955,12,D,3924.0,3943.0
38,Behshahr.Group,20040605,4140.0,4007.0,4007.0,107680070,26010,15,D,3943.0,4007.0
39,Behshahr.Group,20040606,4207.0,4207.0,4207.0,9127284229,2169547,577,D,4007.0,4207.0
40,Behshahr.Group,20040607,4417.0,4235.0,4235.0,48629350,11010,12,D,4207.0,4235.0
41,Behshahr.Group,20040608,4446.0,4446.0,4446.0,756300168,170108,116,D,4235.0,4446.0
42,Behshahr.Group,20040609,4668.0,4474.0,4474.0,47303572,10134,10,D,4446.0,4474.0
43,Behshahr.Group,20040612,4697.0,4696.0,4696.0,375224532,79886,47,D,4474.0,4696.0
44,Behshahr.Group,20040613,4930.0,4462.0,4823.0,6825110605,1415059,552,D,4696.0,4823.0
45,Behshahr.Group,20040614,5064.0,4582.0,4754.0,2260725905,475482,285,D,4823.0,4754.0
46,Behshahr.Group,20040615,4991.0,4991.0,4991.0,1167404882,233902,90,D,4754.0,4991.0
47,Behshahr.Group,20040616,5240.0,5240.0,5240.0,564101720,107653,60,D,4991.0,5240.0
48,Behshahr.Group,20040619,5502.0,5502.0,5502.0,1950128880,354440,136,D,5240.0,5502.0
49,Behshahr.Group,20040620,5777.0,5777.0,5777.0,1848056523,319899,122,D,5502.0,5777.0
50,Behshahr.Group,20040621,6065.0,6065.0,6065.0,503716445,83053,61,D,5777.0,6065.0
51,Behshahr.Group,20040622,6368.0,6368.0,6368.0,814180640,127855,95,D,6065.0,6368.0
52,Behshahr.Group,20040623,6686.0,6686.0,6686.0,1403170762,209867,85,D,6368.0,6686.0
53,Behshahr.Group,20040626,7020.0,6940.0,7019.0,5727102775,815918,343,D,6686.0,7019.0
54,Behshahr.Group,20040627,7000.0,6711.0,6831.0,2907857925,425642,249,D,7019.0,6831.0
55,Behshahr.Group,20040628,7172.0,6490.0,6886.0,4588524918,666338,342,D,6831.0,6886.0
56,Behshahr.Group,20040629,6886.0,6550.0,6666.0,1687882954,253199,144,D,6886.0,6666.0
57,Behshahr.Group,20040630,6850.0,6341.0,6523.0,1518519674,232789,140,D,6666.0,6523.0
58,Behshahr.Group,20040703,6849.0,6689.0,6828.0,687857238,100736,85,D,6523.0,6828.0
59,Behshahr.Group,20040704,7169.0,7169.0,7169.0,1127991967,157343,61,D,6828.0,7169.0
60,Behshahr.Group,20040705,7527.0,7527.0,7527.0,5720346879,759977,342,D,7169.0,7527.0
61,Behshahr.Group,20040706,7903.0,7519.0,7784.0,2599177222,333878,229,D,7527.0,7784.0
62,Behshahr.Group,20040707,8173.0,7890.0,8077.0,2336993434,289316,224,D,7784.0,8077.0
63,Behshahr.Group,20040710,8089.0,7700.0,7895.0,1240718802,157136,131,D,8077.0,7895.0
64,Behshahr.Group,20040711,8070.0,7700.0,7856.0,4351296309,553874,319,D,7895.0,7856.0
65,Behshahr.Group,20040727,5980.0,4000.0,5490.0,4792062959,872818,339,D,7856.0,5490.0
66,Behshahr.Group,20040728,5764.0,5764.0,5764.0,1460776284,253431,81,D,5490.0,5764.0
67,Behshahr.Group,20040731,6052.0,5822.0,5822.0,99008420,16360,16,D,5764.0,5822.0
68,Behshahr.Group,20040801,6113.0,6113.0,6113.0,1073601738,175626,101,D,5822.0,6113.0
69,Behshahr.Group,20040802,6418.0,6418.0,6418.0,13190883310,2055295,541,D,6113.0,6418.0
70,Behshahr.Group,20040809,7800.0,6418.0,7443.0,2426784881,326022,227,D,6418.0,7443.0
71,Behshahr.Group,20040810,7815.0,7080.0,7446.0,2576758569,346014,225,D,7443.0,7446.0
