,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ghand.Shirvan,20120207,8200.0,8200.0,8200.0,40992620000,4999100,254,D,1000.0,8200.0
1,Ghand.Shirvan,20120208,8610.0,8610.0,8610.0,4429956930,514513,111,D,8200.0,8610.0
2,Ghand.Shirvan,20120212,9040.0,9040.0,9040.0,5213259520,576688,320,D,8610.0,9040.0
3,Ghand.Shirvan,20120213,9492.0,9492.0,9492.0,4110890280,433090,122,D,9040.0,9492.0
4,Ghand.Shirvan,20120214,9966.0,9966.0,9966.0,348810000,35000,26,D,9492.0,9966.0
5,Ghand.Shirvan,20120215,10464.0,10464.0,10464.0,4492718400,429350,99,D,9966.0,10464.0
6,Ghand.Shirvan,20120218,10987.0,10987.0,10987.0,3214521525,292575,96,D,10464.0,10987.0
7,Ghand.Shirvan,20120602,7100.0,6150.0,6689.0,15199471566,2272258,1527,D,10987.0,6700.0
8,Ghand.Shirvan,20120605,6891.0,6355.0,6508.0,4811060497,739206,574,D,6689.0,6355.0
9,Ghand.Shirvan,20120606,6250.0,6183.0,6204.0,846076000,136370,95,D,6508.0,6183.0
10,Ghand.Shirvan,20120609,5894.0,5894.0,5894.0,3259382,553,3,D,6204.0,5894.0
11,Ghand.Shirvan,20120610,6099.0,5600.0,5693.0,8000055783,1405271,777,D,5894.0,5653.0
12,Ghand.Shirvan,20120611,5897.0,5600.0,5736.0,1466524118,255674,154,D,5693.0,5772.0
13,Ghand.Shirvan,20120612,5867.0,5500.0,5614.0,1402746834,249859,158,D,5736.0,5585.0
14,Ghand.Shirvan,20120613,5599.0,5334.0,5395.0,2507422201,464776,241,D,5614.0,5358.0
15,Ghand.Shirvan,20120616,5440.0,5127.0,5190.0,1253060354,241427,178,D,5395.0,5190.0
16,Ghand.Shirvan,20120617,5400.0,5100.0,5271.0,1055144144,200166,145,D,5190.0,5289.0
17,Ghand.Shirvan,20120619,5534.0,5434.0,5524.0,2380459186,430907,223,D,5271.0,5534.0
18,Ghand.Shirvan,20120620,5800.0,5669.0,5797.0,9462779163,1632439,639,D,5524.0,5800.0
19,Ghand.Shirvan,20120623,5820.0,5508.0,5548.0,2868244915,516989,234,D,5797.0,5508.0
20,Ghand.Shirvan,20120624,5586.0,5271.0,5362.0,318748335,59444,50,D,5548.0,5271.0
21,Ghand.Shirvan,20120625,5190.0,5094.0,5115.0,326148108,63769,40,D,5362.0,5094.0
22,Ghand.Shirvan,20120626,4870.0,4860.0,4861.0,269858066,55511,29,D,5115.0,4860.0
23,Ghand.Shirvan,20120627,4618.0,4618.0,4618.0,26784400,5800,3,D,4861.0,4618.0
24,Ghand.Shirvan,20120630,4848.0,4460.0,4726.0,2990482180,632836,281,D,4618.0,4704.0
25,Ghand.Shirvan,20120701,4840.0,4490.0,4522.0,475743254,105215,40,D,4726.0,4490.0
26,Ghand.Shirvan,20120702,4450.0,4296.0,4312.0,4914955333,1139810,565,D,4522.0,4298.0
27,Ghand.Shirvan,20120703,4400.0,4097.0,4137.0,1370505666,331283,193,D,4312.0,4097.0
28,Ghand.Shirvan,20120704,4099.0,3931.0,3952.0,2747512954,695216,386,D,4137.0,3931.0
29,Ghand.Shirvan,20120710,4000.0,3700.0,3844.0,1032317287,268543,150,D,3552.0,3860.0
30,Ghand.Shirvan,20120711,3938.0,3700.0,3792.0,705080550,185916,126,D,3844.0,3710.0
31,Ghand.Shirvan,20120714,3705.0,3603.0,3637.0,510670374,140421,93,D,3792.0,3603.0
32,Ghand.Shirvan,20120715,3524.0,3456.0,3464.0,1000675167,288855,127,D,3637.0,3456.0
33,Ghand.Shirvan,20120716,3390.0,3291.0,3308.0,462338333,139781,68,D,3464.0,3291.0
34,Ghand.Shirvan,20120717,3294.0,3143.0,3166.0,729258242,230311,120,D,3308.0,3250.0
35,Ghand.Shirvan,20120718,3324.0,3189.0,3307.0,235155710,71117,38,D,3166.0,3324.0
36,Ghand.Shirvan,20120721,3472.0,3472.0,3472.0,3301872,951,5,D,3307.0,3472.0
37,Ghand.Shirvan,20120722,3645.0,3645.0,3645.0,2187000,600,1,D,3472.0,3645.0
38,Ghand.Shirvan,20120723,3827.0,3827.0,3827.0,1148100,300,1,D,3645.0,3827.0
39,Ghand.Shirvan,20120724,4018.0,3827.0,4005.0,5473068336,1366529,495,D,3827.0,4018.0
40,Ghand.Shirvan,20120725,4205.0,4019.0,4145.0,2800690040,675616,353,D,4005.0,4205.0
41,Ghand.Shirvan,20120728,4352.0,4352.0,4352.0,1071714816,246258,66,D,4145.0,4352.0
42,Ghand.Shirvan,20120729,4569.0,4569.0,4569.0,1233520344,269976,62,D,4352.0,4569.0
43,Ghand.Shirvan,20120730,4797.0,4797.0,4797.0,294204807,61331,15,D,4569.0,4797.0
44,Ghand.Shirvan,20120731,5036.0,5036.0,5036.0,668025400,132650,36,D,4797.0,5036.0
45,Ghand.Shirvan,20120801,5287.0,5100.0,5285.0,12986719068,2457078,964,D,5036.0,5287.0
