,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ghazvin.Sugar,20010407,9420.0,9420.0,9420.0,48889800,5190,6,D,0.0,9420.0
1,Ghazvin.Sugar,20010411,9800.0,9800.0,9800.0,15386000,1570,2,D,9420.0,9800.0
2,Ghazvin.Sugar,20010415,9813.0,9813.0,9813.0,14719500,1500,1,D,9800.0,9813.0
3,Ghazvin.Sugar,20010416,10200.0,9994.0,10200.0,58598108,5757,4,D,9813.0,10200.0
4,Ghazvin.Sugar,20010417,10214.0,10203.0,10214.0,7347500,720,3,D,10200.0,10214.0
5,Ghazvin.Sugar,20010429,10724.0,10724.0,10724.0,19742884,1841,4,D,10214.0,10724.0
6,Ghazvin.Sugar,20010501,11260.0,11260.0,11260.0,5630000,500,1,D,10724.0,11260.0
7,Ghazvin.Sugar,20010502,11271.0,11271.0,11271.0,22542000,2000,3,D,11260.0,11271.0
8,Ghazvin.Sugar,20010505,11271.0,11271.0,11271.0,11710569,1039,4,D,11271.0,11271.0
9,Ghazvin.Sugar,20010506,11271.0,11271.0,11271.0,21505068,1908,2,D,11271.0,11271.0
10,Ghazvin.Sugar,20010508,11274.0,11272.0,11274.0,21914056,1944,9,D,11271.0,11274.0
11,Ghazvin.Sugar,20010509,11274.0,11274.0,11274.0,27655122,2453,5,D,11274.0,11274.0
12,Ghazvin.Sugar,20010512,11274.0,11274.0,11274.0,17801646,1579,3,D,11274.0,11274.0
13,Ghazvin.Sugar,20010513,11274.0,11273.0,11274.0,34948400,3100,8,D,11274.0,11274.0
14,Ghazvin.Sugar,20010515,11274.0,11274.0,11274.0,676440,60,1,D,11274.0,11274.0
15,Ghazvin.Sugar,20010519,11274.0,11274.0,11274.0,2593020,230,1,D,11274.0,11274.0
16,Ghazvin.Sugar,20010520,11275.0,11275.0,11275.0,3382500,300,1,D,11274.0,11275.0
17,Ghazvin.Sugar,20010521,11277.0,11276.0,11277.0,6427490,570,3,D,11275.0,11277.0
18,Ghazvin.Sugar,20010523,11278.0,11276.0,11276.0,19813762,1757,4,D,11277.0,11276.0
19,Ghazvin.Sugar,20010526,11277.0,11276.0,11276.0,16835568,1493,4,D,11276.0,11276.0
20,Ghazvin.Sugar,20010530,11270.0,11270.0,11270.0,47334000,4200,4,D,11276.0,11270.0
21,Ghazvin.Sugar,20010602,11270.0,11269.0,11270.0,16904000,1500,2,D,11270.0,11270.0
22,Ghazvin.Sugar,20010603,11270.0,11270.0,11270.0,5635000,500,1,D,11270.0,11270.0
23,Ghazvin.Sugar,20010606,11300.0,11270.0,11300.0,19833110,1756,2,D,11270.0,11300.0
24,Ghazvin.Sugar,20010609,11300.0,11300.0,11300.0,23357100,2067,3,D,11300.0,11300.0
25,Ghazvin.Sugar,20010612,11300.0,11300.0,11300.0,11300000,1000,1,D,11300.0,11300.0
26,Ghazvin.Sugar,20010620,11300.0,11300.0,11300.0,565000,50,1,D,11300.0,11300.0
27,Ghazvin.Sugar,20010623,11300.0,11300.0,11300.0,18599800,1646,3,D,11300.0,11300.0
28,Ghazvin.Sugar,20010624,11300.0,11299.0,11300.0,96046850,8500,5,D,11300.0,11300.0
29,Ghazvin.Sugar,20010625,11300.0,11300.0,11300.0,11300000,1000,1,D,11300.0,11300.0
30,Ghazvin.Sugar,20010630,11300.0,11299.0,11300.0,25987712,2300,8,D,11300.0,11300.0
31,Ghazvin.Sugar,20010702,11300.0,11299.0,11300.0,3389750,300,2,D,11300.0,11300.0
32,Ghazvin.Sugar,20010703,11300.0,11300.0,11300.0,82354400,7288,9,D,11300.0,11300.0
33,Ghazvin.Sugar,20010704,11300.0,11300.0,11300.0,6780000,600,1,D,11300.0,11300.0
34,Ghazvin.Sugar,20010707,11300.0,11300.0,11300.0,5627400,498,3,D,11300.0,11300.0
35,Ghazvin.Sugar,20010710,11300.0,11300.0,11300.0,7910000,700,1,D,11300.0,11300.0
36,Ghazvin.Sugar,20010711,11300.0,11300.0,11300.0,4181000,370,1,D,11300.0,11300.0
37,Ghazvin.Sugar,20010714,11303.0,11303.0,11303.0,9833610,870,1,D,11300.0,11303.0
38,Ghazvin.Sugar,20010717,11303.0,11303.0,11303.0,3390900,300,2,D,11303.0,11303.0
39,Ghazvin.Sugar,20010724,11317.0,11316.0,11316.0,10184429,900,7,D,11303.0,11316.0
40,Ghazvin.Sugar,20010725,11316.0,11315.0,11315.0,14710629,1300,3,D,11316.0,11315.0
41,Ghazvin.Sugar,20010731,11315.0,11315.0,11315.0,678900,60,1,D,11315.0,11315.0
42,Ghazvin.Sugar,20010805,11316.0,11316.0,11316.0,2704524,239,2,D,11315.0,11316.0
43,Ghazvin.Sugar,20010808,11316.0,11316.0,11316.0,678960,60,1,D,11316.0,11316.0
44,Ghazvin.Sugar,20010812,11316.0,11316.0,11316.0,16974000,1500,2,D,11316.0,11316.0
45,Ghazvin.Sugar,20010813,11880.0,11880.0,11880.0,11880000,1000,1,D,11316.0,11880.0
46,Ghazvin.Sugar,20010815,12474.0,12474.0,12474.0,18711000,1500,6,D,11880.0,12474.0
47,Ghazvin.Sugar,20010818,12474.0,12474.0,12474.0,17301438,1387,2,D,12474.0,12474.0
48,Ghazvin.Sugar,20010819,12476.0,12476.0,12476.0,6238000,500,2,D,12474.0,12476.0
49,Ghazvin.Sugar,20010820,12475.0,12475.0,12475.0,12475000,1000,1,D,12476.0,12475.0
50,Ghazvin.Sugar,20010821,12475.0,12474.0,12475.0,64865800,5200,7,D,12475.0,12475.0
51,Ghazvin.Sugar,20010822,12475.0,12475.0,12475.0,64495750,5170,6,D,12475.0,12475.0
52,Ghazvin.Sugar,20010829,12800.0,12800.0,12800.0,13145600,1027,6,D,12475.0,12800.0
53,Ghazvin.Sugar,20010901,12801.0,12800.0,12800.0,112005000,8750,6,D,12800.0,12800.0
54,Ghazvin.Sugar,20010902,12804.0,12804.0,12804.0,16299492,1273,3,D,12800.0,12804.0
55,Ghazvin.Sugar,20010903,12805.0,12805.0,12805.0,51552930,4026,5,D,12804.0,12805.0
56,Ghazvin.Sugar,20010905,12805.0,12805.0,12805.0,51220000,4000,3,D,12805.0,12805.0
57,Ghazvin.Sugar,20010908,12805.0,12805.0,12805.0,6402500,500,1,D,12805.0,12805.0
58,Ghazvin.Sugar,20010910,13000.0,12807.0,13000.0,43975430,3390,3,D,12805.0,13000.0
59,Ghazvin.Sugar,20010911,13000.0,13000.0,13000.0,49400000,3800,3,D,13000.0,13000.0
60,Ghazvin.Sugar,20010916,13000.0,12900.0,13000.0,329613674,25503,17,D,13000.0,13000.0
61,Ghazvin.Sugar,20010917,13000.0,12900.0,13000.0,71150000,5500,5,D,13000.0,13000.0
62,Ghazvin.Sugar,20010918,13000.0,12999.0,13000.0,77413045,5955,4,D,13000.0,13000.0
63,Ghazvin.Sugar,20010919,13000.0,13000.0,13000.0,17056000,1312,2,D,13000.0,13000.0
