,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Auto-Parts,20031125,12750.0,11000.0,11873.0,25599059143,2156000,947,D,12500.0,11873.0
1,Iran.Auto-Parts,20031129,12466.0,12466.0,12466.0,934950000,75000,33,D,11873.0,12466.0
2,Iran.Auto-Parts,20031130,13089.0,13089.0,13089.0,3795810000,290000,69,D,12466.0,13089.0
3,Iran.Auto-Parts,20031201,13743.0,13743.0,13743.0,549720000,40000,26,D,13089.0,13743.0
4,Iran.Auto-Parts,20031202,13056.0,13056.0,13056.0,600092928,45963,32,D,13743.0,13056.0
5,Iran.Auto-Parts,20031203,12404.0,12404.0,12404.0,272069336,21934,15,D,13056.0,12404.0
6,Iran.Auto-Parts,20031206,11900.0,11784.0,11802.0,4170420190,353340,274,D,12404.0,11802.0
7,Iran.Auto-Parts,20031207,11779.0,11212.0,11272.0,1065792337,94545,83,D,11802.0,11272.0
8,Iran.Auto-Parts,20031208,11272.0,11193.0,11233.0,440028779,39171,50,D,11272.0,11233.0
9,Iran.Auto-Parts,20031209,11233.0,10672.0,10894.0,209296956,19211,21,D,11233.0,10894.0
10,Iran.Auto-Parts,20031210,10400.0,10350.0,10352.0,541948820,52348,34,D,10894.0,10352.0
11,Iran.Auto-Parts,20031213,10698.0,10350.0,10614.0,282117833,26579,34,D,10352.0,10614.0
12,Iran.Auto-Parts,20031214,11144.0,10798.0,10880.0,454947494,41815,29,D,10614.0,10880.0
13,Iran.Auto-Parts,20031215,11424.0,11150.0,11398.0,547307244,48017,39,D,10880.0,11398.0
14,Iran.Auto-Parts,20031216,11681.0,10971.0,11430.0,483191378,42273,43,D,11398.0,11430.0
15,Iran.Auto-Parts,20031217,11500.0,11296.0,11388.0,378526485,33239,33,D,11430.0,11388.0
16,Iran.Auto-Parts,20031221,11388.0,11000.0,11382.0,49091340,4320,7,D,11388.0,11382.0
17,Iran.Auto-Parts,20031222,11066.0,10814.0,11066.0,108255660,10010,6,D,11382.0,11066.0
18,Iran.Auto-Parts,20031223,11000.0,10805.0,10906.0,689860803,63253,35,D,11066.0,10906.0
19,Iran.Auto-Parts,20031227,10862.0,10361.0,10862.0,15132070,1460,5,D,10906.0,10862.0
20,Iran.Auto-Parts,20031228,10373.0,10319.0,10373.0,173942090,16823,18,D,10862.0,10373.0
21,Iran.Auto-Parts,20031229,10319.0,10000.0,10244.0,246702822,24081,28,D,10373.0,10244.0
22,Iran.Auto-Parts,20031230,10211.0,9733.0,10196.0,111935960,11010,6,D,10244.0,10196.0
23,Iran.Auto-Parts,20031231,10024.0,9735.0,10024.0,65313472,6708,10,D,10196.0,10024.0
24,Iran.Auto-Parts,20040103,10000.0,9733.0,9810.0,183347922,18688,18,D,10024.0,9810.0
25,Iran.Auto-Parts,20040104,10210.0,9908.0,9908.0,45711150,4478,6,D,9810.0,9908.0
26,Iran.Auto-Parts,20040105,10210.0,10000.0,10008.0,372687160,37236,15,D,9908.0,10008.0
27,Iran.Auto-Parts,20040106,10207.0,10000.0,10039.0,130764390,13010,11,D,10008.0,10039.0
28,Iran.Auto-Parts,20040107,10207.0,9550.0,10019.0,558962559,55785,39,D,10039.0,10019.0
29,Iran.Auto-Parts,20040110,10000.0,9550.0,9956.0,268923540,27010,16,D,10019.0,9956.0
30,Iran.Auto-Parts,20040111,10000.0,9995.0,9996.0,178901050,17895,13,D,9956.0,9996.0
31,Iran.Auto-Parts,20040113,10000.0,9993.0,9998.0,254675070,25472,17,D,9996.0,9998.0
32,Iran.Auto-Parts,20040114,10000.0,9998.0,9999.0,291437740,29145,8,D,9998.0,9999.0
33,Iran.Auto-Parts,20040119,9860.0,9500.0,9860.0,47598600,5010,7,D,9999.0,9860.0
34,Iran.Auto-Parts,20040121,9756.0,9550.0,9756.0,60361839,6310,9,D,9860.0,9756.0
35,Iran.Auto-Parts,20040126,9746.0,9590.0,9746.0,10023110,1045,3,D,9756.0,9746.0
36,Iran.Auto-Parts,20040127,9531.0,9260.0,9531.0,73712310,7960,5,D,9746.0,9531.0
37,Iran.Auto-Parts,20040128,9523.0,9400.0,9523.0,9495230,1010,2,D,9531.0,9523.0
38,Iran.Auto-Parts,20040131,9522.0,9260.0,9522.0,558220,60,2,D,9523.0,9522.0
39,Iran.Auto-Parts,20040204,9517.0,9228.0,9517.0,2863570,310,4,D,9522.0,9517.0
40,Iran.Auto-Parts,20040207,9228.0,9200.0,9225.0,276855185,30010,10,D,9517.0,9225.0
41,Iran.Auto-Parts,20040208,9251.0,9225.0,9231.0,85195181,9223,12,D,9225.0,9231.0
42,Iran.Auto-Parts,20040209,9350.0,9287.0,9287.0,80502870,8610,2,D,9231.0,9287.0
43,Iran.Auto-Parts,20040217,9210.0,8830.0,9210.0,26849000,3040,5,D,9287.0,9210.0
44,Iran.Auto-Parts,20040218,9000.0,8852.0,8923.0,151234730,16980,8,D,9210.0,8923.0
45,Iran.Auto-Parts,20040223,9280.0,9000.0,9084.0,79998940,8640,5,D,8923.0,9084.0
46,Iran.Auto-Parts,20040224,9500.0,9450.0,9476.0,205416846,21676,13,D,9084.0,9476.0
47,Iran.Auto-Parts,20040225,9475.0,9474.0,9475.0,19802480,2090,4,D,9476.0,9475.0
48,Iran.Auto-Parts,20040228,9468.0,9400.0,9459.0,104036910,11010,8,D,9475.0,9459.0
49,Iran.Auto-Parts,20040229,9468.0,9461.0,9462.0,109397988,11558,8,D,9459.0,9462.0
50,Iran.Auto-Parts,20040303,9458.0,9002.0,9409.0,47890790,5160,3,D,9462.0,9409.0
51,Iran.Auto-Parts,20040306,9550.0,9455.0,9479.0,166110290,17519,10,D,9409.0,9479.0
52,Iran.Auto-Parts,20040307,9480.0,9478.0,9479.0,95890815,10116,9,D,9479.0,9479.0
53,Iran.Auto-Parts,20040308,9950.0,9479.0,9765.0,117116250,11810,7,D,9479.0,9765.0
54,Iran.Auto-Parts,20040309,9754.0,9400.0,9557.0,136956150,14407,12,D,9765.0,9557.0
55,Iran.Auto-Parts,20040310,9556.0,9548.0,9556.0,8024450,840,4,D,9557.0,9556.0
56,Iran.Auto-Parts,20040313,9543.0,9351.0,9517.0,158420953,16651,12,D,9556.0,9517.0
57,Iran.Auto-Parts,20040314,9511.0,9499.0,9511.0,55270110,5818,5,D,9517.0,9511.0
58,Iran.Auto-Parts,20040315,9501.0,9498.0,9501.0,118824126,12510,9,D,9511.0,9501.0
59,Iran.Auto-Parts,20040316,9500.0,9490.0,9499.0,114084990,12010,8,D,9501.0,9499.0
60,Iran.Auto-Parts,20040317,9949.0,9499.0,9625.0,352482990,36620,9,D,9499.0,9625.0
61,Iran.Auto-Parts,20040328,10106.0,9741.0,9741.0,44837664,4441,5,D,9625.0,9741.0
62,Iran.Auto-Parts,20040330,10228.0,10100.0,10199.0,264565766,25938,11,D,9741.0,10199.0
63,Iran.Auto-Parts,20040403,10200.0,10189.0,10197.0,445334945,43673,13,D,10199.0,10197.0
64,Iran.Auto-Parts,20040404,10706.0,10199.0,10620.0,249792059,23497,11,D,10197.0,10620.0
65,Iran.Auto-Parts,20040405,11151.0,11151.0,11151.0,318918600,28600,10,D,10620.0,11151.0
66,Iran.Auto-Parts,20040406,11708.0,11151.0,11452.0,1526738398,133315,47,D,11151.0,11452.0
67,Iran.Auto-Parts,20040407,11700.0,11152.0,11594.0,247456964,21307,21,D,11452.0,11594.0
68,Iran.Auto-Parts,20040410,12000.0,11600.0,11633.0,460230630,39561,18,D,11594.0,11633.0
69,Iran.Auto-Parts,20040412,11900.0,11710.0,11710.0,83417100,7010,7,D,11633.0,11710.0
70,Iran.Auto-Parts,20040413,11800.0,11300.0,11694.0,207425326,17744,10,D,11710.0,11694.0
71,Iran.Auto-Parts,20040414,12000.0,11693.0,11702.0,233761590,19972,11,D,11694.0,11702.0
72,Iran.Auto-Parts,20040417,12000.0,11700.0,11915.0,1168422399,98056,27,D,11702.0,11915.0
73,Iran.Auto-Parts,20040418,11915.0,11910.0,11911.0,438847095,36843,26,D,11915.0,11911.0
74,Iran.Auto-Parts,20040421,11911.0,11910.0,11910.0,47917433,4023,8,D,11911.0,11910.0
75,Iran.Auto-Parts,20040424,11909.0,11900.0,11909.0,6069090,510,2,D,11910.0,11909.0
76,Iran.Auto-Parts,20040425,11894.0,11750.0,11894.0,25780940,2194,3,D,11909.0,11894.0
77,Iran.Auto-Parts,20040502,11894.0,11300.0,11894.0,1158540,102,2,D,11894.0,11894.0
78,Iran.Auto-Parts,20040508,11885.0,11300.0,11885.0,4073850,360,3,D,11894.0,11885.0
79,Iran.Auto-Parts,20040509,11757.0,11291.0,11757.0,58266220,5160,5,D,11885.0,11757.0
80,Iran.Auto-Parts,20040518,11748.0,11170.0,11748.0,4082830,365,2,D,11757.0,11748.0
81,Iran.Auto-Parts,20040522,11161.0,11161.0,11161.0,279025000,25000,12,D,11748.0,11161.0
82,Iran.Auto-Parts,20040523,10681.0,10603.0,10681.0,218719464,20628,14,D,11161.0,10681.0
83,Iran.Auto-Parts,20040524,10210.0,10147.0,10149.0,260304537,25647,13,D,10681.0,10149.0
84,Iran.Auto-Parts,20040525,10148.0,10146.0,10148.0,10247480,1010,2,D,10149.0,10148.0
85,Iran.Auto-Parts,20040526,10085.0,9990.0,10085.0,100085600,10010,9,D,10148.0,10085.0
86,Iran.Auto-Parts,20040529,10057.0,10000.0,10057.0,76520570,7652,9,D,10085.0,10057.0
87,Iran.Auto-Parts,20040530,10021.0,10000.0,10021.0,150100210,15010,7,D,10057.0,10021.0
88,Iran.Auto-Parts,20040601,10016.0,9994.0,10016.0,41961596,4198,4,D,10021.0,10016.0
89,Iran.Auto-Parts,20040602,10010.0,9975.0,10010.0,38844168,3892,6,D,10016.0,10010.0
90,Iran.Auto-Parts,20040605,9999.0,9989.0,9997.0,452633777,45273,15,D,10010.0,9997.0
91,Iran.Auto-Parts,20040606,10002.0,9997.0,10000.0,462895845,46288,17,D,9997.0,10000.0
92,Iran.Auto-Parts,20040607,10100.0,10000.0,10002.0,22306020,2225,5,D,10000.0,10002.0
93,Iran.Auto-Parts,20040621,9502.0,9502.0,9502.0,28315960,2980,2,D,10002.0,9502.0
94,Iran.Auto-Parts,20040626,9442.0,9027.0,9442.0,27175420,3010,2,D,9502.0,9442.0
95,Iran.Auto-Parts,20040627,9435.0,9293.0,9435.0,9387350,1010,2,D,9442.0,9435.0
96,Iran.Auto-Parts,20040628,9378.0,9000.0,9378.0,56346606,6117,12,D,9435.0,9378.0
97,Iran.Auto-Parts,20040629,9304.0,9000.0,9304.0,46904640,5190,8,D,9378.0,9304.0
98,Iran.Auto-Parts,20040630,9232.0,9000.0,9232.0,50673530,5630,12,D,9304.0,9232.0
99,Iran.Auto-Parts,20040704,9209.0,8999.0,9209.0,21241390,2360,5,D,9232.0,9209.0
100,Iran.Auto-Parts,20040705,9205.0,9000.0,9205.0,3566050,396,2,D,9209.0,9205.0
101,Iran.Auto-Parts,20040706,9154.0,8745.0,9154.0,23160850,2648,3,D,9205.0,9154.0
102,Iran.Auto-Parts,20040707,8865.0,8697.0,8865.0,132024350,15180,8,D,9154.0,8865.0
103,Iran.Auto-Parts,20040710,8861.0,8694.0,8861.0,4053074,466,2,D,8865.0,8861.0
104,Iran.Auto-Parts,20040711,8824.0,8420.0,8824.0,16928240,2010,2,D,8861.0,8824.0
105,Iran.Auto-Parts,20040712,8707.0,8421.0,8707.0,59054070,7010,6,D,8824.0,8707.0
106,Iran.Auto-Parts,20040713,8681.0,8500.0,8681.0,34273907,4008,5,D,8707.0,8681.0
107,Iran.Auto-Parts,20040714,8680.0,8659.0,8680.0,519750,60,2,D,8681.0,8680.0
108,Iran.Auto-Parts,20040717,8600.0,8300.0,8600.0,41586000,5010,2,D,8680.0,8600.0
109,Iran.Auto-Parts,20040719,8534.0,8170.0,8534.0,30003880,3672,4,D,8600.0,8534.0
110,Iran.Auto-Parts,20040724,8300.0,8200.0,8296.0,224080063,27010,15,D,8534.0,8296.0
111,Iran.Auto-Parts,20040725,8276.0,8200.0,8276.0,41082760,5010,5,D,8296.0,8276.0
112,Iran.Auto-Parts,20040726,8202.0,8151.0,8202.0,185915490,22678,10,D,8276.0,8202.0
113,Iran.Auto-Parts,20040727,8201.0,8200.0,8201.0,94272210,11496,7,D,8202.0,8201.0
114,Iran.Auto-Parts,20040728,8300.0,8202.0,8202.0,10588650,1286,4,D,8201.0,8202.0
115,Iran.Auto-Parts,20040731,8310.0,8207.0,8207.0,10428020,1255,3,D,8202.0,8207.0
116,Iran.Auto-Parts,20040801,8310.0,8210.0,8210.0,7004330,843,2,D,8207.0,8210.0
117,Iran.Auto-Parts,20040802,8493.0,8286.0,8286.0,135805431,16317,11,D,8210.0,8286.0
118,Iran.Auto-Parts,20040803,8257.0,8160.0,8257.0,45150250,5533,4,D,8286.0,8257.0
119,Iran.Auto-Parts,20040804,8248.0,8201.0,8248.0,30926441,3771,4,D,8257.0,8248.0
120,Iran.Auto-Parts,20040808,8237.0,8159.0,8225.0,58104658,7111,6,D,8248.0,8225.0
121,Iran.Auto-Parts,20040809,8212.0,8100.0,8212.0,20556721,2535,5,D,8225.0,8212.0
122,Iran.Auto-Parts,20040810,8174.0,8150.0,8174.0,125448264,15384,11,D,8212.0,8174.0
123,Iran.Auto-Parts,20040811,8173.0,8159.0,8173.0,4977130,610,2,D,8174.0,8173.0
124,Iran.Auto-Parts,20040814,8129.0,8000.0,8129.0,48081290,6010,2,D,8173.0,8129.0
125,Iran.Auto-Parts,20040816,8128.0,7990.0,8128.0,1072040,134,2,D,8129.0,8128.0
126,Iran.Auto-Parts,20040817,8104.0,7899.0,8104.0,19925440,2522,3,D,8128.0,8104.0
127,Iran.Auto-Parts,20040907,7901.0,7699.0,7901.0,92467010,12010,4,D,8104.0,7901.0
128,Iran.Auto-Parts,20040908,7769.0,7699.0,7769.0,120713321,15679,10,D,7901.0,7769.0
129,Iran.Auto-Parts,20040911,7600.0,7500.0,7598.0,122892080,16342,10,D,7769.0,7598.0
130,Iran.Auto-Parts,20040912,7694.0,7619.0,7619.0,42483006,5522,5,D,7598.0,7619.0
131,Iran.Auto-Parts,20040914,7999.0,7635.0,7635.0,8668173,1087,3,D,7619.0,7635.0
132,Iran.Auto-Parts,20040919,8016.0,7635.0,7635.0,1679550,210,2,D,7635.0,7635.0
133,Iran.Auto-Parts,20040920,8016.0,8016.0,8016.0,342459552,42722,27,D,7635.0,8016.0
134,Iran.Auto-Parts,20040921,8160.0,8022.0,8022.0,9015420,1105,2,D,8016.0,8022.0
135,Iran.Auto-Parts,20040922,8022.0,7900.0,8016.0,32666660,4087,5,D,8022.0,8016.0
136,Iran.Auto-Parts,20040925,8023.0,8016.0,8016.0,30839477,3845,7,D,8016.0,8016.0
137,Iran.Auto-Parts,20041012,8016.0,8016.0,8016.0,15510960,1935,2,D,8016.0,8016.0
138,Iran.Auto-Parts,20041013,8416.0,8058.0,8403.0,257858190,30685,10,D,8016.0,8403.0
139,Iran.Auto-Parts,20041017,8823.0,8475.0,8475.0,36523740,4140,3,D,8403.0,8475.0
140,Iran.Auto-Parts,20041018,8898.0,8898.0,8898.0,285946128,32136,10,D,8475.0,8898.0
141,Iran.Auto-Parts,20041019,9342.0,9342.0,9342.0,290461464,31092,8,D,8898.0,9342.0
142,Iran.Auto-Parts,20041020,9809.0,9809.0,9809.0,243910594,24866,6,D,9342.0,9809.0
143,Iran.Auto-Parts,20041023,10299.0,10299.0,10299.0,282738447,27453,10,D,9809.0,10299.0
144,Iran.Auto-Parts,20041024,10813.0,10399.0,10621.0,805421258,75827,33,D,10299.0,10621.0
145,Iran.Auto-Parts,20041025,10750.0,10490.0,10498.0,2806969468,262580,29,D,10621.0,10498.0
146,Iran.Auto-Parts,20041026,11022.0,10501.0,11020.0,3543631135,321540,50,D,10498.0,11020.0
147,Iran.Auto-Parts,20041030,11162.0,11118.0,11118.0,186725540,16730,8,D,11020.0,11118.0
148,Iran.Auto-Parts,20041031,10990.0,10589.0,10754.0,188335484,17723,11,D,11118.0,10754.0
149,Iran.Auto-Parts,20041101,10755.0,10500.0,10562.0,543469047,51451,24,D,10754.0,10562.0
150,Iran.Auto-Parts,20041102,10563.0,10562.0,10562.0,141324560,13380,6,D,10562.0,10562.0
151,Iran.Auto-Parts,20041103,10563.0,10562.0,10562.0,14998540,1420,3,D,10562.0,10562.0
152,Iran.Auto-Parts,20041106,10975.0,10570.0,10967.0,10888891760,1029076,7,D,10562.0,10967.0
153,Iran.Auto-Parts,20041108,10878.0,10500.0,10878.0,52832446,5010,5,D,10967.0,10878.0
154,Iran.Auto-Parts,20041109,10878.0,10500.0,10622.0,170752090,16260,7,D,10878.0,10622.0
155,Iran.Auto-Parts,20041110,10622.0,10622.0,10622.0,5311000,500,1,D,10622.0,10622.0
156,Iran.Auto-Parts,20041113,10625.0,10622.0,10622.0,2205599991,207625,17,D,10622.0,10622.0
157,Iran.Auto-Parts,20041115,10620.0,10620.0,10620.0,213387660,20093,5,D,10622.0,10620.0
158,Iran.Auto-Parts,20041116,10625.0,10619.0,10619.0,1019855550,96033,24,D,10620.0,10619.0
159,Iran.Auto-Parts,20041120,10850.0,10792.0,10792.0,200743724,18511,12,D,10619.0,10792.0
160,Iran.Auto-Parts,20041121,10850.0,10800.0,10821.0,137224610,12649,8,D,10792.0,10821.0
