,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Hegmatan.Sugar,20010425,7000.0,7000.0,7000.0,7000000,1000,1,D,0.0,7000.0
1,Hegmatan.Sugar,20010812,7350.0,7350.0,7350.0,3675000,500,2,D,7000.0,7350.0
2,Hegmatan.Sugar,20010904,7717.0,7717.0,7717.0,3858500,500,1,D,7350.0,7717.0
3,Hegmatan.Sugar,20010905,7717.0,7717.0,7717.0,1929250,250,1,D,7717.0,7717.0
4,Hegmatan.Sugar,20010908,7717.0,7717.0,7717.0,1157550,150,1,D,7717.0,7717.0
5,Hegmatan.Sugar,20010916,8102.0,8102.0,8102.0,16204000,2000,1,D,7717.0,8102.0
6,Hegmatan.Sugar,20011007,8102.0,8098.0,8102.0,53055500,6550,7,D,8102.0,8102.0
7,Hegmatan.Sugar,20011008,8102.0,8102.0,8102.0,526630,65,1,D,8102.0,8102.0
8,Hegmatan.Sugar,20011010,8507.0,8507.0,8507.0,4253500,500,1,D,8102.0,8507.0
9,Hegmatan.Sugar,20011111,8932.0,8932.0,8932.0,8932000,1000,1,D,8507.0,8932.0
10,Hegmatan.Sugar,20011127,9378.0,9378.0,9378.0,9378000,1000,1,D,8932.0,9378.0
11,Hegmatan.Sugar,20021124,4050.0,4050.0,4050.0,4050000,1000,1,D,9378.0,4050.0
12,Hegmatan.Sugar,20021125,4000.0,4000.0,4000.0,40000000,10000,1,D,4050.0,4000.0
13,Hegmatan.Sugar,20021130,4000.0,4000.0,4000.0,11000000,2750,1,D,4000.0,4000.0
14,Hegmatan.Sugar,20021201,4000.0,4000.0,4000.0,20580000,5145,3,D,4000.0,4000.0
15,Hegmatan.Sugar,20021202,4200.0,4000.0,4200.0,9200000,2200,2,D,4000.0,4200.0
16,Hegmatan.Sugar,20021203,4300.0,4300.0,4300.0,71736900,16683,11,D,4200.0,4300.0
17,Hegmatan.Sugar,20021207,4400.0,4400.0,4400.0,18422800,4187,3,D,4300.0,4400.0
18,Hegmatan.Sugar,20021208,4400.0,4400.0,4400.0,3577200,813,1,D,4400.0,4400.0
19,Hegmatan.Sugar,20021209,4350.0,4350.0,4350.0,12615000,2900,1,D,4400.0,4350.0
20,Hegmatan.Sugar,20021210,4350.0,4350.0,4350.0,2457750,565,2,D,4350.0,4350.0
21,Hegmatan.Sugar,20021216,4350.0,4350.0,4350.0,870000,200,1,D,4350.0,4350.0
22,Hegmatan.Sugar,20021217,4350.0,4350.0,4350.0,435000,100,1,D,4350.0,4350.0
23,Hegmatan.Sugar,20021218,4350.0,4350.0,4350.0,991800,228,1,D,4350.0,4350.0
24,Hegmatan.Sugar,20021221,4350.0,4350.0,4350.0,1087500,250,1,D,4350.0,4350.0
25,Hegmatan.Sugar,20021224,4350.0,4348.0,4350.0,3244608,746,3,D,4350.0,4350.0
26,Hegmatan.Sugar,20030106,4567.0,4567.0,4567.0,4567000,1000,1,D,4350.0,4567.0
27,Hegmatan.Sugar,20030111,4795.0,4795.0,4795.0,4171650,870,1,D,4567.0,4795.0
28,Hegmatan.Sugar,20030113,5034.0,5034.0,5034.0,1006800,200,1,D,4795.0,5034.0
29,Hegmatan.Sugar,20030203,4000.0,4000.0,4000.0,4000000,1000,1,D,5034.0,4000.0
