,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Lorestan.Sugar,20011106,3384.0,3384.0,3384.0,1809137160,534615,60,D,3384.0,3384.0
1,Lorestan.Sugar,20011107,3385.0,3385.0,3385.0,33850000,10000,1,D,3384.0,3385.0
2,Lorestan.Sugar,20011111,3386.0,3386.0,3386.0,406320,120,2,D,3385.0,3386.0
3,Lorestan.Sugar,20011205,3300.0,3300.0,3300.0,3300000,1000,4,D,3386.0,3300.0
4,Lorestan.Sugar,20011218,3301.0,3301.0,3301.0,660200,200,1,D,3300.0,3301.0
5,Lorestan.Sugar,20011223,3465.0,3465.0,3465.0,1732500,500,1,D,3301.0,3465.0
6,Lorestan.Sugar,20011230,3465.0,3465.0,3465.0,519750,150,1,D,3465.0,3465.0
7,Lorestan.Sugar,20020123,3465.0,3464.0,3465.0,2757419,796,2,D,3465.0,3465.0
8,Lorestan.Sugar,20020918,3420.0,3420.0,3420.0,342000,100,1,D,3465.0,3420.0
9,Lorestan.Sugar,20030601,10011.0,10011.0,10011.0,10011000,1000,1,D,3420.0,10011.0
10,Lorestan.Sugar,20030609,10010.0,10010.0,10010.0,1001000,100,1,D,10011.0,10010.0
11,Lorestan.Sugar,20030817,10010.0,10010.0,10010.0,400400,40,1,D,10010.0,10010.0
12,Lorestan.Sugar,20040522,10001.0,10001.0,10001.0,10001000,1000,1,D,10010.0,10001.0
13,Lorestan.Sugar,20040608,10000.0,10000.0,10000.0,7170000,717,1,D,10001.0,10000.0
14,Lorestan.Sugar,20040619,10000.0,10000.0,10000.0,16000000,1600,3,D,10000.0,10000.0
15,Lorestan.Sugar,20040712,10000.0,10000.0,10000.0,7960000,796,1,D,10000.0,10000.0
16,Lorestan.Sugar,20040922,10000.0,10000.0,10000.0,3000000,300,1,D,10000.0,10000.0
17,Lorestan.Sugar,20041006,10000.0,10000.0,10000.0,13890000,1389,1,D,10000.0,10000.0
18,Lorestan.Sugar,20041013,10500.0,10015.0,10015.0,3149515,300,2,D,10000.0,10015.0
19,Lorestan.Sugar,20041101,10515.0,10025.0,10025.0,2203250,210,3,D,10015.0,10025.0
20,Lorestan.Sugar,20041102,10526.0,10073.0,10073.0,9847806,936,3,D,10025.0,10073.0
21,Lorestan.Sugar,20041106,10576.0,10150.0,10150.0,15838588,1498,2,D,10073.0,10150.0
22,Lorestan.Sugar,20041110,10657.0,10223.0,10223.0,14904803,1399,2,D,10150.0,10223.0
23,Lorestan.Sugar,20041221,11000.0,10000.0,10900.0,11009000,1010,3,D,10223.0,10900.0
24,Lorestan.Sugar,20041226,10901.0,10900.0,10900.0,143239040,13140,8,D,10900.0,10900.0
25,Lorestan.Sugar,20041227,11000.0,10910.0,10910.0,11109100,1010,2,D,10900.0,10910.0
26,Lorestan.Sugar,20050111,10909.0,10909.0,10909.0,2607251,239,1,D,10910.0,10909.0
27,Lorestan.Sugar,20050511,10899.0,10362.0,10401.0,8675142,834,5,D,10909.0,10401.0
28,Lorestan.Sugar,20050515,10401.0,10400.0,10400.0,59924980,5762,4,D,10401.0,10400.0
29,Lorestan.Sugar,20050702,10920.0,10488.0,10488.0,18002760,1649,4,D,10400.0,10488.0
30,Lorestan.Sugar,20050913,5250.0,5250.0,5250.0,5775000,1100,1,D,10488.0,5250.0
31,Lorestan.Sugar,20050914,5250.0,5250.0,5250.0,27405000,5220,2,D,5250.0,5250.0
32,Lorestan.Sugar,20050921,5252.0,5250.0,5250.0,19798260,3770,3,D,5250.0,5250.0
33,Lorestan.Sugar,20051004,5250.0,5250.0,5250.0,1050000,200,2,D,5250.0,5250.0
34,Lorestan.Sugar,20051005,5250.0,5250.0,5250.0,1186500,226,1,D,5250.0,5250.0
35,Lorestan.Sugar,20051015,5252.0,5250.0,5250.0,6775060,1290,4,D,5250.0,5250.0
36,Lorestan.Sugar,20051018,5280.0,5251.0,5251.0,5860510,1110,2,D,5250.0,5251.0
37,Lorestan.Sugar,20051030,5300.0,5275.0,5275.0,49936350,9422,14,D,5251.0,5275.0
