,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Melli.Ind..Grp.,20030708,500.0,500.0,500.0,566500,1133,1,D,500.0,500.0
1,Melli.Ind..Grp.,20030716,502.0,502.0,502.0,57228,114,1,D,500.0,502.0
2,Melli.Ind..Grp.,20031014,900.0,900.0,900.0,917100,1019,1,D,502.0,900.0
3,Melli.Ind..Grp.,20040218,400.0,400.0,400.0,400000,1000,1,D,900.0,400.0
4,Melli.Ind..Grp.,20040222,400.0,400.0,400.0,400000,1000,1,D,400.0,400.0
5,Melli.Ind..Grp.,20040224,400.0,400.0,400.0,6400000,16000,3,D,400.0,400.0
6,Melli.Ind..Grp.,20040225,400.0,400.0,400.0,400000,1000,1,D,400.0,400.0
7,Melli.Ind..Grp.,20040229,400.0,400.0,400.0,400000,1000,1,D,400.0,400.0
8,Melli.Ind..Grp.,20040303,401.0,400.0,400.0,405000,1010,2,D,400.0,400.0
9,Melli.Ind..Grp.,20040306,401.0,400.0,400.0,405000,1010,2,D,400.0,400.0
10,Melli.Ind..Grp.,20040307,402.0,400.0,400.0,406000,1010,2,D,400.0,400.0
11,Melli.Ind..Grp.,20040309,406.0,400.0,400.0,410000,1010,2,D,400.0,400.0
12,Melli.Ind..Grp.,20040310,407.0,400.0,400.0,411000,1010,2,D,400.0,400.0
13,Melli.Ind..Grp.,20040313,409.0,400.0,400.0,2049000,5010,2,D,400.0,400.0
14,Melli.Ind..Grp.,20040315,420.0,400.0,400.0,424000,1010,3,D,400.0,400.0
15,Melli.Ind..Grp.,20040316,420.0,400.0,400.0,424000,1010,2,D,400.0,400.0
16,Melli.Ind..Grp.,20040317,420.0,400.0,400.0,424000,1010,2,D,400.0,400.0
17,Melli.Ind..Grp.,20040327,420.0,400.0,400.0,424000,1010,2,D,400.0,400.0
18,Melli.Ind..Grp.,20040328,420.0,400.0,400.0,424000,1010,2,D,400.0,400.0
19,Melli.Ind..Grp.,20040330,420.0,400.0,400.0,11980,29,2,D,400.0,400.0
20,Melli.Ind..Grp.,20040404,420.0,400.0,400.0,424000,1010,3,D,400.0,400.0
21,Melli.Ind..Grp.,20040407,420.0,400.0,400.0,424000,1010,3,D,400.0,400.0
22,Melli.Ind..Grp.,20040410,420.0,400.0,400.0,424000,1010,2,D,400.0,400.0
23,Melli.Ind..Grp.,20040412,420.0,400.0,400.0,424000,1010,2,D,400.0,400.0
24,Melli.Ind..Grp.,20040413,420.0,400.0,400.0,844000,2010,2,D,400.0,400.0
25,Melli.Ind..Grp.,20040417,420.0,400.0,400.0,424000,1010,2,D,400.0,400.0
26,Melli.Ind..Grp.,20040418,420.0,400.0,400.0,424000,1010,2,D,400.0,400.0
27,Melli.Ind..Grp.,20040421,420.0,400.0,400.0,424000,1010,2,D,400.0,400.0
28,Melli.Ind..Grp.,20040425,420.0,400.0,400.0,686920,1636,3,D,400.0,400.0
29,Melli.Ind..Grp.,20040426,420.0,400.0,400.0,424000,1010,3,D,400.0,400.0
30,Melli.Ind..Grp.,20040501,420.0,400.0,400.0,1264000,3010,2,D,400.0,400.0
31,Melli.Ind..Grp.,20040502,420.0,400.0,400.0,1264000,3010,2,D,400.0,400.0
32,Melli.Ind..Grp.,20040503,420.0,400.0,400.0,1264000,3010,2,D,400.0,400.0
33,Melli.Ind..Grp.,20040504,420.0,400.0,400.0,1684000,4010,3,D,400.0,400.0
34,Melli.Ind..Grp.,20040508,420.0,400.0,400.0,1264000,3010,2,D,400.0,400.0
