,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Neyshabour.S.,20010326,6800.0,6800.0,6800.0,4671600,687,2,D,6800.0,6800.0
1,Neyshabour.S.,20010410,7000.0,6800.0,7000.0,2984800,427,3,D,6800.0,7000.0
2,Neyshabour.S.,20010414,7000.0,7000.0,7000.0,7000000,1000,2,D,7000.0,7000.0
3,Neyshabour.S.,20010416,7000.0,7000.0,7000.0,7000000,1000,2,D,7000.0,7000.0
4,Neyshabour.S.,20010418,7000.0,6999.0,7000.0,10778866,1540,5,D,7000.0,7000.0
5,Neyshabour.S.,20010421,7000.0,7000.0,7000.0,8057000,1151,2,D,7000.0,7000.0
6,Neyshabour.S.,20010423,7000.0,7000.0,7000.0,10500000,1500,2,D,7000.0,7000.0
7,Neyshabour.S.,20010424,7000.0,7000.0,7000.0,8400000,1200,5,D,7000.0,7000.0
8,Neyshabour.S.,20010425,7000.0,7000.0,7000.0,18655000,2665,8,D,7000.0,7000.0
9,Neyshabour.S.,20010428,7002.0,7000.0,7000.0,17746670,2535,6,D,7000.0,7000.0
10,Neyshabour.S.,20010429,7000.0,7000.0,7000.0,10696000,1528,2,D,7000.0,7000.0
11,Neyshabour.S.,20010430,7200.0,7200.0,7200.0,7200000,1000,1,D,7000.0,7200.0
12,Neyshabour.S.,20010506,7500.0,7500.0,7500.0,7500000,1000,2,D,7200.0,7500.0
13,Neyshabour.S.,20010507,7500.0,7500.0,7500.0,3015000,402,5,D,7500.0,7500.0
14,Neyshabour.S.,20010508,7800.0,7800.0,7800.0,21060000,2700,3,D,7500.0,7800.0
15,Neyshabour.S.,20010509,7800.0,7800.0,7800.0,70200000,9000,3,D,7800.0,7800.0
16,Neyshabour.S.,20010513,7800.0,7800.0,7800.0,3900000,500,1,D,7800.0,7800.0
17,Neyshabour.S.,20010515,7801.0,7800.0,7800.0,7800111,1000,3,D,7800.0,7800.0
18,Neyshabour.S.,20010516,8190.0,8190.0,8190.0,17788680,2172,2,D,7800.0,8190.0
19,Neyshabour.S.,20010520,8500.0,8500.0,8500.0,28050000,3300,1,D,8190.0,8500.0
20,Neyshabour.S.,20010523,8712.0,8502.0,8701.0,46695560,5400,9,D,8500.0,8701.0
21,Neyshabour.S.,20010526,8900.0,8900.0,8900.0,10243900,1151,2,D,8701.0,8900.0
22,Neyshabour.S.,20010527,9001.0,9001.0,9001.0,19352150,2150,1,D,8900.0,9001.0
23,Neyshabour.S.,20010528,9400.0,9000.0,9000.0,20949900,2248,6,D,9001.0,9000.0
24,Neyshabour.S.,20010529,9450.0,9000.0,9450.0,20742800,2212,6,D,9000.0,9450.0
25,Neyshabour.S.,20010603,9450.0,9450.0,9450.0,1039500,110,2,D,9450.0,9450.0
26,Neyshabour.S.,20010613,9430.0,9430.0,9430.0,2593250,275,2,D,9450.0,9430.0
27,Neyshabour.S.,20010619,9100.0,9050.0,9060.0,28142850,3108,3,D,9430.0,9060.0
28,Neyshabour.S.,20010625,9070.0,9060.0,9060.0,14365460,1584,3,D,9060.0,9060.0
29,Neyshabour.S.,20010626,9060.0,9060.0,9060.0,1431480,158,1,D,9060.0,9060.0
30,Neyshabour.S.,20010728,8650.0,8650.0,8650.0,88057000,10180,8,D,9060.0,8650.0
31,Neyshabour.S.,20010729,8650.0,8650.0,8650.0,42315800,4892,12,D,8650.0,8650.0
32,Neyshabour.S.,20010801,8640.0,8640.0,8640.0,1503360,174,1,D,8650.0,8640.0
33,Neyshabour.S.,20010804,8640.0,8630.0,8640.0,9932606,1150,3,D,8640.0,8640.0
34,Neyshabour.S.,20010812,8650.0,8640.0,8650.0,21609560,2500,7,D,8640.0,8650.0
35,Neyshabour.S.,20010813,8650.0,8650.0,8650.0,64702000,7480,5,D,8650.0,8650.0
36,Neyshabour.S.,20010815,8650.0,8650.0,8650.0,10440550,1207,6,D,8650.0,8650.0
37,Neyshabour.S.,20010820,9039.0,9000.0,9039.0,34334300,3800,3,D,8650.0,9039.0
38,Neyshabour.S.,20010826,9039.0,9039.0,9039.0,388677,43,1,D,9039.0,9039.0
39,Neyshabour.S.,20010829,8850.0,8850.0,8850.0,10903200,1232,2,D,9039.0,8850.0
40,Neyshabour.S.,20010901,8851.0,8851.0,8851.0,1062120,120,1,D,8850.0,8851.0
41,Neyshabour.S.,20010904,8850.0,8850.0,8850.0,4141800,468,1,D,8851.0,8850.0
42,Neyshabour.S.,20010908,8850.0,8850.0,8850.0,10000500,1130,5,D,8850.0,8850.0
43,Neyshabour.S.,20010909,8850.0,8800.0,8800.0,10683000,1213,5,D,8850.0,8800.0
44,Neyshabour.S.,20010911,8800.0,8800.0,8800.0,4039200,459,1,D,8800.0,8800.0
45,Neyshabour.S.,20010924,8785.0,8785.0,8785.0,3232880,368,1,D,8800.0,8785.0
46,Neyshabour.S.,20011007,8346.0,8346.0,8346.0,102655800,12300,12,D,8785.0,8346.0
47,Neyshabour.S.,20011008,8346.0,8346.0,8346.0,1635816,196,1,D,8346.0,8346.0
48,Neyshabour.S.,20011014,8340.0,8340.0,8340.0,49689720,5958,5,D,8346.0,8340.0
49,Neyshabour.S.,20011021,8340.0,8340.0,8340.0,41700000,5000,6,D,8340.0,8340.0
50,Neyshabour.S.,20011022,8344.0,8340.0,8344.0,72076084,8639,10,D,8340.0,8344.0
51,Neyshabour.S.,20011024,8340.0,8340.0,8340.0,5337600,640,2,D,8344.0,8340.0
52,Neyshabour.S.,20011029,8345.0,8343.0,8345.0,14602250,1750,3,D,8340.0,8345.0
53,Neyshabour.S.,20011105,8407.0,8402.0,8407.0,1731172,206,2,D,8345.0,8407.0
54,Neyshabour.S.,20011106,8788.0,8757.0,8788.0,25876024,2948,5,D,8407.0,8788.0
55,Neyshabour.S.,20011107,8790.0,8790.0,8790.0,1722840,196,2,D,8788.0,8790.0
56,Neyshabour.S.,20011111,8794.0,8790.0,8792.0,61545840,7000,11,D,8790.0,8792.0
57,Neyshabour.S.,20011113,8790.0,8790.0,8790.0,5274000,600,1,D,8792.0,8790.0
58,Neyshabour.S.,20011114,8770.0,8770.0,8770.0,1780310,203,1,D,8790.0,8770.0
59,Neyshabour.S.,20011117,8770.0,8770.0,8770.0,11751800,1340,3,D,8770.0,8770.0
60,Neyshabour.S.,20011118,8770.0,8769.0,8769.0,8769436,1000,2,D,8770.0,8769.0
61,Neyshabour.S.,20011120,8601.0,8500.0,8500.0,49324742,5760,8,D,8769.0,8500.0
