,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Gol-E-Gohar.,20040829,12021.0,12000.0,12000.0,18841605000,1570000,2708,D,12000.0,12000.0
1,Gol-E-Gohar.,20040904,12600.0,12600.0,12600.0,12600000000,1000000,849,D,12000.0,12600.0
2,Gol-E-Gohar.,20040905,13230.0,7115.0,13230.0,34449329770,2708823,3887,D,12600.0,13230.0
3,Gol-E-Gohar.,20040907,13891.0,13891.0,13891.0,41395180000,2980000,996,D,13230.0,13891.0
4,Gol-E-Gohar.,20040908,14585.0,14585.0,14585.0,20305659965,1392229,409,D,13891.0,14585.0
5,Gol-E-Gohar.,20040912,15314.0,15314.0,15314.0,9088859000,593500,235,D,14585.0,15314.0
6,Gol-E-Gohar.,20040915,16079.0,15429.0,15429.0,851569498,52962,52,D,15314.0,15429.0
7,Gol-E-Gohar.,20040918,15198.0,14658.0,15198.0,1541895078,105191,99,D,15429.0,15198.0
8,Gol-E-Gohar.,20040919,15187.0,14439.0,15187.0,71263945,4935,11,D,15198.0,15187.0
9,Gol-E-Gohar.,20040920,14785.0,14428.0,14785.0,2683827990,186015,50,D,15187.0,14785.0
10,Gol-E-Gohar.,20040921,14345.0,14046.0,14345.0,2939030168,209243,61,D,14785.0,14345.0
11,Gol-E-Gohar.,20040922,14050.0,13629.0,13772.0,11827222437,858755,1002,D,14345.0,13772.0
12,Gol-E-Gohar.,20040925,13750.0,13400.0,13717.0,2013211923,147584,171,D,13772.0,13717.0
13,Gol-E-Gohar.,20040926,13680.0,13050.0,13380.0,3794393838,285239,234,D,13717.0,13380.0
14,Gol-E-Gohar.,20040927,13495.0,13210.0,13363.0,2521796394,188904,161,D,13380.0,13363.0
15,Gol-E-Gohar.,20040928,13300.0,13000.0,13284.0,65013467888,4999023,136,D,13363.0,13284.0
16,Gol-E-Gohar.,20040929,13390.0,12900.0,13253.0,1159589235,88103,90,D,13284.0,13253.0
17,Gol-E-Gohar.,20041002,13185.0,12600.0,13185.0,555300747,43703,41,D,13253.0,13185.0
18,Gol-E-Gohar.,20041003,12798.0,12526.0,12757.0,3387339682,268317,194,D,13185.0,12757.0
19,Gol-E-Gohar.,20041004,12647.0,12489.0,12647.0,2042565401,163128,131,D,12757.0,12647.0
20,Gol-E-Gohar.,20041005,12492.0,12022.0,12492.0,1455441426,119388,95,D,12647.0,12492.0
21,Gol-E-Gohar.,20041006,12433.0,12000.0,12433.0,720830021,59341,41,D,12492.0,12433.0
22,Gol-E-Gohar.,20041009,12345.0,11812.0,12345.0,842492892,70234,49,D,12433.0,12345.0
23,Gol-E-Gohar.,20041010,12247.0,11751.0,12247.0,1130152513,94323,45,D,12345.0,12247.0
24,Gol-E-Gohar.,20041011,12078.0,11635.0,12078.0,1763039587,148782,72,D,12247.0,12078.0
25,Gol-E-Gohar.,20041012,12032.0,11475.0,12032.0,358419314,30987,31,D,12078.0,12032.0
26,Gol-E-Gohar.,20041013,11934.0,11431.0,11934.0,921364087,79430,47,D,12032.0,11934.0
27,Gol-E-Gohar.,20041016,11560.0,11338.0,11560.0,2580737169,227270,87,D,11934.0,11560.0
28,Gol-E-Gohar.,20041017,11429.0,10982.0,11429.0,874451580,79625,74,D,11560.0,11429.0
29,Gol-E-Gohar.,20041018,11268.0,10858.0,11268.0,1090863680,100374,74,D,11429.0,11268.0
30,Gol-E-Gohar.,20041019,11267.0,10705.0,11267.0,5465170,510,2,D,11268.0,11267.0
31,Gol-E-Gohar.,20041020,11267.0,10704.0,11267.0,5068622,473,2,D,11267.0,11267.0
32,Gol-E-Gohar.,20041023,11139.0,10704.0,11139.0,851622737,79560,75,D,11267.0,11139.0
33,Gol-E-Gohar.,20041024,11033.0,10583.0,11033.0,715514564,67572,45,D,11139.0,11033.0
34,Gol-E-Gohar.,20041025,10994.0,10500.0,10994.0,438823281,41000,37,D,11033.0,10994.0
35,Gol-E-Gohar.,20041026,10917.0,10500.0,10917.0,1088194935,101441,61,D,10994.0,10917.0
36,Gol-E-Gohar.,20041027,10850.0,10373.0,10850.0,511922762,49045,29,D,10917.0,10850.0
37,Gol-E-Gohar.,20041030,10830.0,10500.0,10830.0,227360118,21589,32,D,10850.0,10830.0
38,Gol-E-Gohar.,20041031,10830.0,10450.0,10813.0,190108930,18078,26,D,10830.0,10813.0
39,Gol-E-Gohar.,20041101,10787.0,10400.0,10787.0,230111270,22110,18,D,10813.0,10787.0
40,Gol-E-Gohar.,20041102,10767.0,10300.0,10767.0,192217787,18461,28,D,10787.0,10767.0
41,Gol-E-Gohar.,20041103,10762.0,10403.0,10762.0,47595038,4574,10,D,10767.0,10762.0
42,Gol-E-Gohar.,20041106,10751.0,10412.0,10751.0,173885433,16487,22,D,10762.0,10751.0
43,Gol-E-Gohar.,20041107,11288.0,10699.0,10762.0,157836795,14288,20,D,10751.0,10762.0
44,Gol-E-Gohar.,20041108,10765.0,10761.0,10761.0,71954714,6686,14,D,10762.0,10761.0
45,Gol-E-Gohar.,20041110,10765.0,10500.0,10755.0,97282002,9205,16,D,10761.0,10755.0
46,Gol-E-Gohar.,20041113,10748.0,10450.0,10748.0,81633454,7810,21,D,10755.0,10748.0
47,Gol-E-Gohar.,20041115,10748.0,10600.0,10747.0,26010017,2430,8,D,10748.0,10747.0
48,Gol-E-Gohar.,20041116,10751.0,10600.0,10744.0,145350543,13616,30,D,10747.0,10744.0
49,Gol-E-Gohar.,20041117,10738.0,10207.0,10738.0,41807180,4064,9,D,10744.0,10738.0
50,Gol-E-Gohar.,20041120,10709.0,10206.0,10709.0,229744626,22336,31,D,10738.0,10709.0
51,Gol-E-Gohar.,20041121,10676.0,10202.0,10676.0,254927587,24884,30,D,10709.0,10676.0
52,Gol-E-Gohar.,20041122,10660.0,10469.0,10660.0,353858387,33649,37,D,10676.0,10660.0
53,Gol-E-Gohar.,20041123,10645.0,10300.0,10645.0,214667034,20608,22,D,10660.0,10645.0
54,Gol-E-Gohar.,20041124,10645.0,10497.0,10629.0,424682603,40413,30,D,10645.0,10629.0
55,Gol-E-Gohar.,20041127,10614.0,10210.0,10614.0,245829680,23617,21,D,10629.0,10614.0
56,Gol-E-Gohar.,20041128,10568.0,10200.0,10568.0,467958796,45601,20,D,10614.0,10568.0
57,Gol-E-Gohar.,20041129,10546.0,10201.0,10546.0,216251269,21169,31,D,10568.0,10546.0
58,Gol-E-Gohar.,20041130,10519.0,10200.0,10519.0,276569457,27109,42,D,10546.0,10519.0
59,Gol-E-Gohar.,20041201,10504.0,10180.0,10504.0,163453990,16025,23,D,10519.0,10504.0
60,Gol-E-Gohar.,20041204,10503.0,10160.0,10503.0,2594230,255,2,D,10504.0,10503.0
61,Gol-E-Gohar.,20041205,10438.0,9978.0,10438.0,433174996,43412,51,D,10503.0,10438.0
62,Gol-E-Gohar.,20041206,10392.0,9920.0,10392.0,394695879,39332,45,D,10438.0,10392.0
63,Gol-E-Gohar.,20041207,10345.0,9951.0,10345.0,415304450,41531,31,D,10392.0,10345.0
64,Gol-E-Gohar.,20041211,10339.0,9950.0,10339.0,53088176,5335,4,D,10345.0,10339.0
65,Gol-E-Gohar.,20041212,10322.0,9823.0,10322.0,116685443,11861,21,D,10339.0,10322.0
66,Gol-E-Gohar.,20041214,10221.0,9806.0,10221.0,675049190,68840,48,D,10322.0,10221.0
67,Gol-E-Gohar.,20041215,10214.0,9900.0,10214.0,68515880,6914,9,D,10221.0,10214.0
68,Gol-E-Gohar.,20041218,10207.0,9704.0,10207.0,42324174,4361,8,D,10214.0,10207.0
69,Gol-E-Gohar.,20041219,10181.0,9698.0,10181.0,172165016,17746,29,D,10207.0,10181.0
70,Gol-E-Gohar.,20041220,10166.0,9680.0,10166.0,109976115,11288,17,D,10181.0,10166.0
71,Gol-E-Gohar.,20041221,10155.0,9658.0,10155.0,85655230,8802,17,D,10166.0,10155.0
72,Gol-E-Gohar.,20041222,10095.0,9648.0,10095.0,412402121,42675,28,D,10155.0,10095.0
73,Gol-E-Gohar.,20041225,10060.0,9665.0,10060.0,318329188,32725,17,D,10095.0,10060.0
74,Gol-E-Gohar.,20041226,10040.0,9720.0,10040.0,240411808,24595,27,D,10060.0,10040.0
75,Gol-E-Gohar.,20041227,10031.0,9701.0,10031.0,88795738,9130,14,D,10040.0,10031.0
76,Gol-E-Gohar.,20041228,10017.0,9570.0,10017.0,178800725,18308,21,D,10031.0,10017.0
77,Gol-E-Gohar.,20041229,10014.0,9787.0,10014.0,37419490,3820,9,D,10017.0,10014.0
78,Gol-E-Gohar.,20050101,9970.0,9514.0,9970.0,298661042,31365,23,D,10014.0,9970.0
79,Gol-E-Gohar.,20050102,9958.0,9500.0,9958.0,115814678,12034,10,D,9970.0,9958.0
80,Gol-E-Gohar.,20050103,9949.0,9600.0,9949.0,85829680,8930,17,D,9958.0,9949.0
81,Gol-E-Gohar.,20050104,9934.0,9452.0,9934.0,114950029,12062,18,D,9949.0,9934.0
82,Gol-E-Gohar.,20050105,9909.0,9528.0,9909.0,238595144,24901,25,D,9934.0,9909.0
83,Gol-E-Gohar.,20050108,9878.0,9450.0,9878.0,227328330,24029,17,D,9909.0,9878.0
84,Gol-E-Gohar.,20050109,9865.0,9385.0,9865.0,80894115,8619,12,D,9878.0,9865.0
85,Gol-E-Gohar.,20050110,9843.0,9372.0,9843.0,140776860,15020,15,D,9865.0,9843.0
86,Gol-E-Gohar.,20050111,9830.0,9351.0,9830.0,86567207,9257,6,D,9843.0,9830.0
87,Gol-E-Gohar.,20050115,9781.0,9339.0,9781.0,326975244,35010,28,D,9830.0,9781.0
88,Gol-E-Gohar.,20050119,9776.0,9292.0,9776.0,30324636,3263,6,D,9781.0,9776.0
89,Gol-E-Gohar.,20050122,9769.0,9288.0,9769.0,46537690,5010,12,D,9776.0,9769.0
90,Gol-E-Gohar.,20050123,9699.0,9281.0,9699.0,2977823709,320483,65,D,9769.0,9699.0
91,Gol-E-Gohar.,20050124,9692.0,9223.0,9692.0,42125620,4566,6,D,9699.0,9692.0
92,Gol-E-Gohar.,20050125,9687.0,9488.0,9687.0,82827170,8724,11,D,9692.0,9687.0
93,Gol-E-Gohar.,20050126,9680.0,9251.0,9680.0,46351800,5010,5,D,9687.0,9680.0
94,Gol-E-Gohar.,20050130,9673.0,9250.0,9673.0,52310060,5639,6,D,9680.0,9673.0
95,Gol-E-Gohar.,20050201,9660.0,9200.0,9660.0,94251100,10188,18,D,9673.0,9660.0
96,Gol-E-Gohar.,20050202,9650.0,9178.0,9650.0,64452500,7010,8,D,9660.0,9650.0
97,Gol-E-Gohar.,20050205,9643.0,9168.0,9643.0,46926574,5118,7,D,9650.0,9643.0
98,Gol-E-Gohar.,20050206,9632.0,9161.0,9632.0,72678923,7933,7,D,9643.0,9632.0
99,Gol-E-Gohar.,20050207,9621.0,9151.0,9621.0,73304210,8010,2,D,9632.0,9621.0
100,Gol-E-Gohar.,20050212,9619.0,9140.0,9619.0,9236190,1010,2,D,9621.0,9619.0
101,Gol-E-Gohar.,20050221,9601.0,9139.0,9601.0,118903010,13010,4,D,9619.0,9601.0
102,Gol-E-Gohar.,20050222,9595.0,9121.0,9595.0,37382598,4098,4,D,9601.0,9595.0
103,Gol-E-Gohar.,20050226,9595.0,9116.0,9595.0,998434,109,2,D,9595.0,9595.0
104,Gol-E-Gohar.,20050227,9587.0,9116.0,9587.0,49978622,5482,7,D,9595.0,9587.0
105,Gol-E-Gohar.,20050302,9541.0,9108.0,9541.0,307326466,33742,38,D,9587.0,9541.0
106,Gol-E-Gohar.,20050305,9460.0,9064.0,9460.0,606471437,66537,44,D,9541.0,9460.0
107,Gol-E-Gohar.,20050306,9455.0,8988.0,9455.0,36040268,3983,12,D,9460.0,9455.0
108,Gol-E-Gohar.,20050308,9446.0,9000.0,9446.0,62054580,6894,9,D,9455.0,9446.0
109,Gol-E-Gohar.,20050309,9440.0,9000.0,9440.0,38295165,4254,9,D,9446.0,9440.0
110,Gol-E-Gohar.,20050312,9440.0,9110.0,9438.0,94574087,10080,12,D,9440.0,9438.0
111,Gol-E-Gohar.,20050313,9440.0,9438.0,9438.0,79465900,8418,9,D,9438.0,9438.0
112,Gol-E-Gohar.,20050314,9438.0,9438.0,9438.0,8022300,850,2,D,9438.0,9438.0
113,Gol-E-Gohar.,20050315,9438.0,9430.0,9437.0,17661926,1872,4,D,9438.0,9437.0
114,Gol-E-Gohar.,20050316,9439.0,9437.0,9437.0,7040974,746,3,D,9437.0,9437.0
115,Gol-E-Gohar.,20050326,9441.0,9437.0,9437.0,80656911,8545,5,D,9437.0,9437.0
116,Gol-E-Gohar.,20050327,9440.0,9437.0,9437.0,1038370,110,2,D,9437.0,9437.0
117,Gol-E-Gohar.,20050328,9438.0,9437.0,9437.0,7172752,760,4,D,9437.0,9437.0
118,Gol-E-Gohar.,20050329,9437.0,9437.0,9437.0,7266490,770,1,D,9437.0,9437.0
119,Gol-E-Gohar.,20050330,9437.0,9437.0,9437.0,8653729,917,2,D,9437.0,9437.0
120,Gol-E-Gohar.,20050403,9437.0,9437.0,9437.0,2359250,250,2,D,9437.0,9437.0
121,Gol-E-Gohar.,20050404,9438.0,9437.0,9437.0,2170730,230,3,D,9437.0,9437.0
122,Gol-E-Gohar.,20050405,9443.0,9437.0,9437.0,17494519,1853,4,D,9437.0,9437.0
123,Gol-E-Gohar.,20050406,9460.0,9437.0,9437.0,204574007,21660,14,D,9437.0,9437.0
124,Gol-E-Gohar.,20050410,9908.0,9447.0,9447.0,117885510,12090,11,D,9437.0,9447.0
125,Gol-E-Gohar.,20050411,9919.0,9511.0,9511.0,492796800,49770,14,D,9447.0,9511.0
126,Gol-E-Gohar.,20050412,9900.0,9513.0,9513.0,1198777863,123556,9,D,9511.0,9513.0
127,Gol-E-Gohar.,20050413,9988.0,9517.0,9517.0,33140250,3320,3,D,9513.0,9517.0
128,Gol-E-Gohar.,20050416,9992.0,9525.0,9525.0,66042450,6610,8,D,9517.0,9525.0
129,Gol-E-Gohar.,20050417,10001.0,9569.0,9569.0,330498727,33047,18,D,9525.0,9569.0
130,Gol-E-Gohar.,20050418,10047.0,9574.0,9574.0,48057416,4804,17,D,9569.0,9574.0
131,Gol-E-Gohar.,20050419,9574.0,9570.0,9573.0,32914602,3438,6,D,9574.0,9573.0
132,Gol-E-Gohar.,20050420,9574.0,9490.0,9570.0,108570535,11427,8,D,9573.0,9570.0
133,Gol-E-Gohar.,20050423,9570.0,9570.0,9570.0,3110250,325,3,D,9570.0,9570.0
134,Gol-E-Gohar.,20050424,9569.0,9569.0,9569.0,19138000,2000,1,D,9570.0,9569.0
135,Gol-E-Gohar.,20050425,10000.0,9569.0,9569.0,1954940,197,3,D,9569.0,9569.0
136,Gol-E-Gohar.,20050430,9600.0,9569.0,9569.0,2495690,260,2,D,9569.0,9569.0
137,Gol-E-Gohar.,20050501,9569.0,9500.0,9568.0,106857780,11170,10,D,9569.0,9568.0
138,Gol-E-Gohar.,20050502,9568.0,9568.0,9568.0,3100032,324,1,D,9568.0,9568.0
139,Gol-E-Gohar.,20050503,9889.0,9569.0,9569.0,78515110,8148,13,D,9568.0,9569.0
140,Gol-E-Gohar.,20050504,9600.0,9569.0,9569.0,89201296,9319,9,D,9569.0,9569.0
141,Gol-E-Gohar.,20050507,9569.0,9450.0,9568.0,76427105,8010,7,D,9569.0,9568.0
142,Gol-E-Gohar.,20050508,9568.0,9568.0,9568.0,15347072,1604,2,D,9568.0,9568.0
143,Gol-E-Gohar.,20050509,9647.0,9568.0,9568.0,32242197,3352,7,D,9568.0,9568.0
