,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Kh..Inv.,20061223,2411.0,2350.0,2383.0,28222813038,11840000,455,D,2411.0,2383.0
1,Iran.Kh..Inv.,20061224,2416.0,2386.0,2386.0,894494938,373908,102,D,2383.0,2386.0
2,Iran.Kh..Inv.,20061225,2395.0,2340.0,2376.0,1947938928,821080,169,D,2386.0,2376.0
3,Iran.Kh..Inv.,20061226,2423.0,2351.0,2374.0,1398979721,589895,119,D,2376.0,2374.0
4,Iran.Kh..Inv.,20061227,2400.0,2360.0,2379.0,793901432,332010,75,D,2374.0,2379.0
5,Iran.Kh..Inv.,20061230,2396.0,2360.0,2379.0,133628290,55962,14,D,2379.0,2379.0
6,Iran.Kh..Inv.,20070101,2383.0,2332.0,2376.0,388759435,165131,37,D,2379.0,2376.0
7,Iran.Kh..Inv.,20070102,2376.0,2371.0,2376.0,73232480,30867,9,D,2376.0,2376.0
8,Iran.Kh..Inv.,20070103,2387.0,2350.0,2376.0,79734975,33758,9,D,2376.0,2376.0
9,Iran.Kh..Inv.,20070113,2376.0,2329.0,2376.0,13946522,5988,2,D,2376.0,2376.0
10,Iran.Kh..Inv.,20070131,2376.0,2329.0,2376.0,256660,110,2,D,2376.0,2376.0
11,Iran.Kh..Inv.,20070221,2376.0,2329.0,2376.0,11668760,5010,4,D,2376.0,2376.0
12,Iran.Kh..Inv.,20070224,2376.0,2329.0,2376.0,4914660,2110,2,D,2376.0,2376.0
13,Iran.Kh..Inv.,20070227,2376.0,2329.0,2376.0,17351520,7450,5,D,2376.0,2376.0
14,Iran.Kh..Inv.,20070228,2376.0,2329.0,2376.0,23313760,10010,3,D,2376.0,2376.0
15,Iran.Kh..Inv.,20070303,2342.0,2329.0,2342.0,2044612780,877850,199,D,2376.0,2342.0
16,Iran.Kh..Inv.,20070304,2386.0,2342.0,2343.0,383794831,163214,38,D,2342.0,2343.0
17,Iran.Kh..Inv.,20070305,2384.0,2343.0,2343.0,181848771,77503,23,D,2343.0,2343.0
18,Iran.Kh..Inv.,20070306,2343.0,2336.0,2343.0,240775790,102830,21,D,2343.0,2343.0
19,Iran.Kh..Inv.,20070307,2343.0,2330.0,2343.0,236699350,101034,24,D,2343.0,2343.0
20,Iran.Kh..Inv.,20070311,2343.0,2297.0,2343.0,5984145,2605,3,D,2343.0,2343.0
21,Iran.Kh..Inv.,20070313,2339.0,2297.0,2339.0,237187037,103237,27,D,2343.0,2339.0
22,Iran.Kh..Inv.,20070314,2340.0,2293.0,2339.0,15568927,6661,6,D,2339.0,2339.0
23,Iran.Kh..Inv.,20070317,2340.0,2293.0,2338.0,62114960,27010,8,D,2339.0,2338.0
