,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Petr..Tran.,20040307,7000.0,7000.0,7000.0,3395000000,485000,482,D,0.0,7000.0
1,Petr..Tran.,20040309,7350.0,4175.0,7350.0,1381203100,243372,227,D,7000.0,7350.0
2,Petr..Tran.,20040310,7717.0,7717.0,7717.0,2096153276,271628,68,D,7350.0,7717.0
3,Petr..Tran.,20040313,7717.0,7332.0,7359.0,1087223341,147735,144,D,7717.0,7359.0
4,Petr..Tran.,20040314,7297.0,7200.0,7219.0,287505934,39824,55,D,7359.0,7219.0
5,Petr..Tran.,20040315,7292.0,7080.0,7115.0,31889250,4486,9,D,7219.0,7115.0
6,Petr..Tran.,20040316,7058.0,6760.0,6878.0,64882277,9433,12,D,7115.0,6878.0
7,Petr..Tran.,20040317,6750.0,6550.0,6611.0,47699860,7215,10,D,6878.0,6611.0
8,Petr..Tran.,20040328,6580.0,6281.0,6429.0,95651978,14878,16,D,6611.0,6429.0
9,Petr..Tran.,20040329,6409.0,6108.0,6144.0,34471490,5610,7,D,6429.0,6144.0
10,Petr..Tran.,20040330,6151.0,6144.0,6146.0,48189590,7840,10,D,6144.0,6146.0
11,Petr..Tran.,20040403,6359.0,6184.0,6271.0,52782014,8416,13,D,6146.0,6271.0
12,Petr..Tran.,20040404,6584.0,6350.0,6391.0,23729910,3660,7,D,6271.0,6391.0
13,Petr..Tran.,20040405,6710.0,6581.0,6581.0,25704720,3831,10,D,6391.0,6581.0
14,Petr..Tran.,20040406,6910.0,6601.0,6601.0,2830010,410,2,D,6581.0,6601.0
15,Petr..Tran.,20040407,6931.0,6930.0,6930.0,66223695,9555,6,D,6601.0,6930.0
16,Petr..Tran.,20040410,7051.0,7050.0,7050.0,51535940,7310,13,D,6930.0,7050.0
17,Petr..Tran.,20040412,7050.0,7049.0,7049.0,6013240,853,5,D,7050.0,7049.0
18,Petr..Tran.,20040413,7000.0,6933.0,6972.0,59337720,8510,7,D,7049.0,6972.0
19,Petr..Tran.,20040418,6667.0,6624.0,6667.0,37161070,5610,11,D,6972.0,6667.0
20,Petr..Tran.,20040421,6624.0,6599.0,6613.0,63558030,9610,13,D,6667.0,6613.0
21,Petr..Tran.,20040424,6624.0,6283.0,6561.0,180330496,27482,22,D,6613.0,6561.0
22,Petr..Tran.,20040425,6561.0,6560.0,6560.0,4526797,690,3,D,6561.0,6560.0
23,Petr..Tran.,20040426,6560.0,6549.0,6558.0,232575835,35464,17,D,6560.0,6558.0
24,Petr..Tran.,20040427,6543.0,6543.0,6543.0,65430000,10000,2,D,6558.0,6543.0
