,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Mobil.Tele,20130820,42200.0,42000.0,42001.0,22954618260,546520,69,D,1000.0,42200.0
1,Iran.Mobil.Tele,20130821,43500.0,42005.0,42142.0,6929038912,161499,214,D,42001.0,43400.0
2,Iran.Mobil.Tele,20130824,43300.0,42222.0,42191.0,4724576175,110913,168,D,42142.0,42222.0
3,Iran.Mobil.Tele,20130825,42860.0,42453.0,42213.0,2869908079,67490,94,D,42191.0,42550.0
4,Iran.Mobil.Tele,20130826,42501.0,42036.0,42214.0,6768045157,160307,121,D,42213.0,42050.0
5,Iran.Mobil.Tele,20130827,42000.0,40900.0,41939.0,12507666775,303026,183,D,42214.0,40900.0
6,Iran.Mobil.Tele,20130828,40400.0,40262.0,41764.0,4334256391,107648,166,D,41939.0,40262.0
7,Iran.Mobil.Tele,20130831,40500.0,40094.0,41646.0,3034038845,75569,149,D,41764.0,40279.0
8,Iran.Mobil.Tele,20130901,40749.0,40000.0,41586.0,2250626790,55535,121,D,41646.0,40720.0
9,Iran.Mobil.Tele,20130903,40249.0,40002.0,41488.0,2590271514,64712,106,D,41586.0,40100.0
10,Iran.Mobil.Tele,20130904,40200.0,39829.0,41197.0,7231944731,181559,113,D,41488.0,39900.0
11,Iran.Mobil.Tele,20130907,39700.0,39550.0,41102.0,2366350346,59830,103,D,41197.0,39550.0
12,Iran.Mobil.Tele,20130908,40700.0,39501.0,41077.0,825031458,20697,52,D,41102.0,40697.0
13,Iran.Mobil.Tele,20130909,40900.0,40023.0,41061.0,1132687372,27970,56,D,41077.0,40900.0
14,Iran.Mobil.Tele,20130910,42703.0,41000.0,41358.0,8254635075,193561,128,D,41061.0,42703.0
15,Iran.Mobil.Tele,20130911,43012.0,41600.0,41414.0,1861849075,43630,88,D,41358.0,42389.0
16,Iran.Mobil.Tele,20130914,42499.0,40255.0,41413.0,739193245,17872,33,D,41414.0,41500.0
17,Iran.Mobil.Tele,20130915,41900.0,41130.0,41420.0,2383676553,57376,79,D,41413.0,41130.0
18,Iran.Mobil.Tele,20130916,41248.0,40501.0,41402.0,1400030693,34257,92,D,41420.0,41240.0
19,Iran.Mobil.Tele,20130917,41740.0,40500.0,41384.0,1889793123,46085,109,D,41402.0,40552.0
20,Iran.Mobil.Tele,20130918,43000.0,40630.0,41493.0,5297502592,125280,140,D,41384.0,42000.0
21,Iran.Mobil.Tele,20130921,42690.0,41500.0,41546.0,4661962500,111044,117,D,41493.0,41988.0
22,Iran.Mobil.Tele,20130922,42800.0,41800.0,41805.0,25398865343,604914,109,D,41546.0,41920.0
23,Iran.Mobil.Tele,20130923,42888.0,42070.0,41879.0,4087930190,95947,135,D,41805.0,42500.0
24,Iran.Mobil.Tele,20130924,42500.0,42200.0,41896.0,1876277244,44376,90,D,41879.0,42225.0
25,Iran.Mobil.Tele,20130925,42749.0,42002.0,41927.0,3347339339,79141,60,D,41896.0,42200.0
26,Iran.Mobil.Tele,20130928,42400.0,41700.0,41869.0,16562373908,396445,182,D,41927.0,41700.0
