,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*North.Drilling,20090722,1401.0,1400.0,1400.0,214838661401,153444300,506,D,1400.0,1400.0
1,S*North.Drilling,20090725,1442.0,1442.0,1442.0,33483240000,23220000,2395,D,1400.0,1442.0
2,S*North.Drilling,20090726,1485.0,1485.0,1485.0,59424502500,40016500,930,D,1442.0,1485.0
3,S*North.Drilling,20090727,1529.0,1529.0,1529.0,31584624863,20657047,585,D,1485.0,1529.0
4,S*North.Drilling,20090728,1574.0,1574.0,1574.0,80755505488,51305912,1469,D,1529.0,1574.0
5,S*North.Drilling,20090729,1621.0,1620.0,1621.0,170241929576,105022856,4470,D,1574.0,1621.0
6,S*North.Drilling,20090801,1669.0,1650.0,1668.0,81384771580,48792301,2136,D,1621.0,1669.0
7,S*North.Drilling,20090802,1718.0,1660.0,1697.0,63069840630,37159188,2805,D,1668.0,1660.0
8,S*North.Drilling,20090803,1689.0,1647.0,1660.0,43784458509,26379429,1672,D,1697.0,1647.0
9,S*North.Drilling,20090804,1683.0,1611.0,1635.0,50851675071,31105885,2081,D,1660.0,1683.0
10,S*North.Drilling,20090805,1684.0,1680.0,1684.0,41975052706,24931184,1210,D,1635.0,1684.0
11,S*North.Drilling,20090808,1734.0,1734.0,1725.0,1860845568,1073152,72,D,1684.0,1734.0
12,S*North.Drilling,20090809,1776.0,1776.0,1773.0,2167446384,1220409,64,D,1725.0,1776.0
13,S*North.Drilling,20090810,1826.0,1760.0,1823.0,142777291180,78305255,4317,D,1773.0,1826.0
14,S*North.Drilling,20090811,1877.0,1825.0,1868.0,43169169815,23104730,1413,D,1823.0,1877.0
15,S*North.Drilling,20090812,1924.0,1924.0,1924.0,13570402976,7053224,361,D,1868.0,1924.0
16,S*North.Drilling,20090815,1981.0,1981.0,1981.0,11586960126,5849046,326,D,1924.0,1981.0
17,S*North.Drilling,20090816,2040.0,1999.0,2036.0,150075303614,73706455,4579,D,1981.0,2040.0
18,S*North.Drilling,20090823,2298.0,2140.0,2213.0,89164898933,40283775,3760,D,1986.0,2280.0
19,S*North.Drilling,20090824,2279.0,2210.0,2268.0,44403674366,19577093,1443,D,2213.0,2279.0
20,S*North.Drilling,20090825,2336.0,2256.0,2323.0,61398277777,26429727,2892,D,2268.0,2336.0
21,S*North.Drilling,20090826,2392.0,2350.0,2391.0,50918580750,21296394,2910,D,2323.0,2392.0
22,S*North.Drilling,20090829,2462.0,2320.0,2370.0,76101027532,32108236,6395,D,2391.0,2320.0
23,S*North.Drilling,20090830,2349.0,2299.0,2304.0,9596641261,4164432,855,D,2370.0,2299.0
24,S*North.Drilling,20090831,2340.0,2235.0,2250.0,96464305490,42877882,9005,D,2304.0,2300.0
25,S*North.Drilling,20090901,2317.0,2315.0,2317.0,31060309699,13405447,1821,D,2250.0,2317.0
