,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Argham,20050817,1800.0,1800.0,1800.0,8730000000,4850000,3013,D,0.0,1800.0
1,Iran.Argham,20050820,1890.0,1890.0,1890.0,4725000000,2500000,1324,D,1800.0,1890.0
2,Iran.Argham,20050821,1984.0,1984.0,1984.0,992000000,500000,358,D,1890.0,1984.0
3,Iran.Argham,20050822,2083.0,2083.0,2083.0,1041500000,500000,288,D,1984.0,2083.0
4,Iran.Argham,20050823,2187.0,2187.0,2187.0,610719750,279250,169,D,2083.0,2187.0
5,Iran.Argham,20050824,2296.0,2296.0,2296.0,462368480,201380,165,D,2187.0,2296.0
6,Iran.Argham,20050827,2410.0,2410.0,2410.0,638534320,264952,195,D,2296.0,2410.0
7,Iran.Argham,20050828,2530.0,2530.0,2530.0,708384820,279994,154,D,2410.0,2530.0
8,Iran.Argham,20050829,2656.0,2656.0,2656.0,123174656,46376,43,D,2530.0,2656.0
9,Iran.Argham,20050830,2788.0,2788.0,2788.0,1961497400,703550,516,D,2656.0,2788.0
10,Iran.Argham,20050831,2927.0,2927.0,2927.0,202226430,69090,68,D,2788.0,2927.0
11,Iran.Argham,20050903,3073.0,3073.0,3073.0,261708972,85164,73,D,2927.0,3073.0
12,Iran.Argham,20050904,3226.0,3226.0,3226.0,728463060,225810,161,D,3073.0,3226.0
13,Iran.Argham,20050905,3387.0,3387.0,3387.0,685640571,202433,202,D,3226.0,3387.0
14,Iran.Argham,20050906,3556.0,3556.0,3556.0,16570202572,4659787,2532,D,3387.0,3556.0
15,Iran.Argham,20050925,3733.0,1372.0,3468.0,6979347361,2012333,796,D,3556.0,3468.0
16,Iran.Argham,20050926,3641.0,3641.0,3641.0,4885927079,1341919,593,D,3468.0,3641.0
17,Iran.Argham,20050927,3823.0,3823.0,3823.0,1224178122,320214,191,D,3641.0,3823.0
18,Iran.Argham,20050928,4014.0,4014.0,4014.0,522851598,130257,60,D,3823.0,4014.0
19,Iran.Argham,20051001,4214.0,4204.0,4204.0,160174040,38010,25,D,4014.0,4204.0
20,Iran.Argham,20051002,4414.0,4414.0,4414.0,201477030,45645,27,D,4204.0,4414.0
21,Iran.Argham,20051003,4634.0,4634.0,4634.0,1521110500,328250,147,D,4414.0,4634.0
22,Iran.Argham,20051004,4865.0,4865.0,4865.0,1499981665,308321,149,D,4634.0,4865.0
23,Iran.Argham,20051005,5108.0,5108.0,5108.0,5635993528,1103366,366,D,4865.0,5108.0
24,Iran.Argham,20051008,5363.0,4950.0,5296.0,19310429282,3645636,1333,D,5108.0,5296.0
25,Iran.Argham,20051009,5296.0,5034.0,5065.0,5684733726,1122350,465,D,5296.0,5065.0
26,Iran.Argham,20051010,5030.0,4812.0,4916.0,2965149624,603052,275,D,5065.0,4916.0
27,Iran.Argham,20051126,7999.0,6000.0,6625.0,13830622101,2087418,858,D,4916.0,6625.0
28,Iran.Argham,20051127,6956.0,6493.0,6833.0,13177720399,1928595,612,D,6625.0,6833.0
29,Iran.Argham,20051129,6697.0,6697.0,6697.0,451417982,67406,24,D,6833.0,6697.0
30,Iran.Argham,20051130,6697.0,6564.0,6593.0,14124919750,2142384,518,D,6697.0,6593.0
31,Iran.Argham,20051203,6899.0,6462.0,6565.0,3391512025,516548,228,D,6593.0,6565.0
32,Iran.Argham,20051204,6241.0,6237.0,6237.0,1397999862,224126,84,D,6565.0,6237.0
33,Iran.Argham,20051205,6056.0,5926.0,6056.0,137988210,23285,10,D,6237.0,6056.0
34,Iran.Argham,20051206,5754.0,5754.0,5754.0,294190512,51128,17,D,6056.0,5754.0
35,Iran.Argham,20051210,5467.0,5467.0,5467.0,238361200,43600,14,D,5754.0,5467.0
36,Iran.Argham,20051211,5740.0,5194.0,5235.0,7132236039,1362355,421,D,5467.0,5235.0
37,Iran.Argham,20051212,5266.0,5031.0,5176.0,828784840,160093,78,D,5235.0,5176.0
38,Iran.Argham,20051213,5148.0,4918.0,4929.0,1544249336,313249,124,D,5176.0,4929.0
39,Iran.Argham,20051214,5175.0,4920.0,5159.0,1697461463,328973,112,D,4929.0,5159.0
40,Iran.Argham,20051217,5362.0,4902.0,5077.0,1747124291,344061,134,D,5159.0,5077.0
41,Iran.Argham,20051218,5096.0,4824.0,4852.0,1429573353,294603,110,D,5077.0,4852.0
42,Iran.Argham,20051219,5000.0,4611.0,4783.0,2884899405,603101,204,D,4852.0,4783.0
43,Iran.Argham,20051220,4700.0,4544.0,4560.0,1620260611,355272,158,D,4783.0,4560.0
44,Iran.Argham,20051221,4678.0,4533.0,4589.0,694256284,151286,65,D,4560.0,4589.0
45,Iran.Argham,20051224,4818.0,4658.0,4775.0,1023315518,214286,93,D,4589.0,4775.0
46,Iran.Argham,20051225,4888.0,4537.0,4635.0,2340277400,504822,135,D,4775.0,4635.0
47,Iran.Argham,20051226,4767.0,4603.0,4635.0,1697950628,366328,97,D,4635.0,4635.0
48,Iran.Argham,20051227,4700.0,4635.0,4664.0,230691665,49455,29,D,4635.0,4664.0
49,Iran.Argham,20051228,4750.0,4672.0,4707.0,660592248,140335,66,D,4664.0,4707.0
50,Iran.Argham,20051231,4800.0,4698.0,4737.0,554350989,117013,40,D,4707.0,4737.0
51,Iran.Argham,20060101,4900.0,4737.0,4838.0,965142020,199458,65,D,4737.0,4838.0
52,Iran.Argham,20060102,4950.0,4761.0,4909.0,1205983018,245631,57,D,4838.0,4909.0
53,Iran.Argham,20060103,4950.0,4820.0,4940.0,1179602695,238764,60,D,4909.0,4940.0
54,Iran.Argham,20060104,4940.0,4839.0,4908.0,511273537,104164,38,D,4940.0,4908.0
55,Iran.Argham,20060107,4831.0,4709.0,4831.0,73417065,15580,13,D,4908.0,4831.0
56,Iran.Argham,20060108,4829.0,4601.0,4691.0,364043455,77592,30,D,4831.0,4691.0
57,Iran.Argham,20060109,4795.0,4691.0,4764.0,265428315,55708,18,D,4691.0,4764.0
58,Iran.Argham,20060110,4734.0,4618.0,4732.0,137039150,29025,9,D,4764.0,4732.0
59,Iran.Argham,20060114,4610.0,4496.0,4521.0,424111235,93790,33,D,4732.0,4521.0
60,Iran.Argham,20060115,4468.0,4295.0,4337.0,312790850,72120,40,D,4521.0,4337.0
61,Iran.Argham,20060116,4302.0,4161.0,4208.0,302652580,71910,26,D,4337.0,4208.0
62,Iran.Argham,20060117,4394.0,4221.0,4361.0,344216479,78918,34,D,4208.0,4361.0
63,Iran.Argham,20060118,4411.0,4361.0,4392.0,205906445,46876,25,D,4361.0,4392.0
64,Iran.Argham,20060121,4374.0,4184.0,4374.0,19113192,4510,9,D,4392.0,4374.0
65,Iran.Argham,20060122,4341.0,4192.0,4341.0,35945410,8510,6,D,4374.0,4341.0
66,Iran.Argham,20060123,4196.0,4124.0,4196.0,109552544,26560,20,D,4341.0,4196.0
67,Iran.Argham,20060124,4124.0,4030.0,4090.0,197392099,48252,35,D,4196.0,4090.0
68,Iran.Argham,20060125,4140.0,4005.0,4096.0,67029870,16322,8,D,4090.0,4096.0
69,Iran.Argham,20060128,4096.0,4011.0,4095.0,826681355,201865,25,D,4096.0,4095.0
70,Iran.Argham,20060129,4266.0,4071.0,4125.0,236196059,57251,36,D,4095.0,4125.0
71,Iran.Argham,20060130,4331.0,4100.0,4279.0,9615088416,2318972,135,D,4125.0,4279.0
72,Iran.Argham,20060131,4280.0,4066.0,4114.0,9388218949,2240160,101,D,4279.0,4114.0
73,Iran.Argham,20060201,4235.0,4080.0,4172.0,337908506,80983,48,D,4114.0,4172.0
74,Iran.Argham,20060204,4200.0,4014.0,4098.0,193103755,47110,28,D,4172.0,4098.0
75,Iran.Argham,20060205,4040.0,3894.0,3899.0,1510575434,387396,122,D,4098.0,3899.0
76,Iran.Argham,20060206,3894.0,3760.0,3846.0,368059605,95682,48,D,3899.0,3846.0
77,Iran.Argham,20060207,3859.0,3800.0,3837.0,154574834,40282,33,D,3846.0,3837.0
78,Iran.Argham,20060212,3751.0,3646.0,3684.0,300266048,81484,25,D,3837.0,3684.0
