,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Motorcycle,20010408,1000.0,1000.0,1000.0,548000,548,1,D,1000.0,1000.0
1,Iran.Motorcycle,20010428,1000.0,1000.0,1000.0,84670000,84670,68,D,1000.0,1000.0
2,Iran.Motorcycle,20010429,1000.0,1000.0,1000.0,67078000,67078,22,D,1000.0,1000.0
3,Iran.Motorcycle,20010430,1000.0,1000.0,1000.0,280000,280,1,D,1000.0,1000.0
4,Iran.Motorcycle,20010501,1000.0,1000.0,1000.0,5642000,5642,2,D,1000.0,1000.0
5,Iran.Motorcycle,20010506,1000.0,1000.0,1000.0,1500000,1500,1,D,1000.0,1000.0
6,Iran.Motorcycle,20010509,1000.0,1000.0,1000.0,5000000,5000,2,D,1000.0,1000.0
7,Iran.Motorcycle,20010512,1000.0,1000.0,1000.0,24674000,24674,8,D,1000.0,1000.0
8,Iran.Motorcycle,20010516,1000.0,1000.0,1000.0,20000000,20000,12,D,1000.0,1000.0
9,Iran.Motorcycle,20010519,1000.0,1000.0,1000.0,2700000,2700,2,D,1000.0,1000.0
10,Iran.Motorcycle,20010521,1000.0,1000.0,1000.0,12324000,12324,7,D,1000.0,1000.0
11,Iran.Motorcycle,20010523,1010.0,1010.0,1010.0,26925590,26659,9,D,1000.0,1010.0
12,Iran.Motorcycle,20010526,1010.0,1010.0,1010.0,163620,162,1,D,1010.0,1010.0
13,Iran.Motorcycle,20010528,1010.0,1010.0,1010.0,3151200,3120,5,D,1010.0,1010.0
14,Iran.Motorcycle,20010529,1010.0,1010.0,1010.0,295930,293,1,D,1010.0,1010.0
15,Iran.Motorcycle,20010530,1010.0,1010.0,1010.0,3181500,3150,5,D,1010.0,1010.0
16,Iran.Motorcycle,20010602,1010.0,1010.0,1010.0,12038190,11919,5,D,1010.0,1010.0
17,Iran.Motorcycle,20010603,1010.0,1010.0,1010.0,13211810,13081,4,D,1010.0,1010.0
18,Iran.Motorcycle,20010606,1010.0,1009.0,1010.0,11105474,10996,10,D,1010.0,1010.0
19,Iran.Motorcycle,20010609,1010.0,1000.0,1010.0,26282330,26053,9,D,1010.0,1010.0
20,Iran.Motorcycle,20011009,1000.0,1000.0,1000.0,1000000,1000,3,D,1010.0,1000.0
21,Iran.Motorcycle,20011020,1010.0,1000.0,1010.0,35709000,35609,18,D,1000.0,1010.0
22,Iran.Motorcycle,20011021,1020.0,1000.0,1000.0,12220400,12020,4,D,1010.0,1000.0
23,Iran.Motorcycle,20011022,1001.0,1000.0,1000.0,35059360,35039,13,D,1000.0,1000.0
24,Iran.Motorcycle,20011023,1010.0,1010.0,1010.0,48679980,48198,17,D,1000.0,1010.0
25,Iran.Motorcycle,20011024,1013.0,1010.0,1010.0,9041446294,8943086,34,D,1010.0,1010.0
26,Iran.Motorcycle,20011027,1020.0,1020.0,1020.0,2182800,2140,2,D,1010.0,1020.0
27,Iran.Motorcycle,20011028,1030.0,1030.0,1030.0,1174200,1140,2,D,1020.0,1030.0
28,Iran.Motorcycle,20011030,1040.0,1040.0,1040.0,3459040,3326,7,D,1030.0,1040.0
29,Iran.Motorcycle,20011031,1050.0,1050.0,1050.0,1050000,1000,2,D,1040.0,1050.0
30,Iran.Motorcycle,20011103,1060.0,1060.0,1060.0,2240840,2114,2,D,1050.0,1060.0
31,Iran.Motorcycle,20011104,1070.0,1070.0,1070.0,1070000,1000,3,D,1060.0,1070.0
32,Iran.Motorcycle,20011105,1080.0,1080.0,1080.0,1080000,1000,2,D,1070.0,1080.0
33,Iran.Motorcycle,20011106,1090.0,1090.0,1090.0,1090000,1000,3,D,1080.0,1090.0
34,Iran.Motorcycle,20011110,1100.0,1090.0,1090.0,113378060,103224,29,D,1090.0,1090.0
35,Iran.Motorcycle,20011111,1090.0,1085.0,1090.0,25451190,23364,8,D,1090.0,1090.0
36,Iran.Motorcycle,20011112,1090.0,1090.0,1090.0,490500,450,1,D,1090.0,1090.0
37,Iran.Motorcycle,20011113,1093.0,1090.0,1090.0,12872023,11800,8,D,1090.0,1090.0
38,Iran.Motorcycle,20011119,1091.0,1085.0,1085.0,7043735,6475,8,D,1090.0,1085.0
39,Iran.Motorcycle,20011201,1085.0,1085.0,1085.0,5683230,5238,2,D,1085.0,1085.0
40,Iran.Motorcycle,20011202,1085.0,1080.0,1085.0,2445845,2257,5,D,1085.0,1085.0
41,Iran.Motorcycle,20011203,1084.0,1084.0,1084.0,1626000,1500,1,D,1085.0,1084.0
42,Iran.Motorcycle,20011204,1085.0,1085.0,1085.0,15449315,14239,3,D,1084.0,1085.0
43,Iran.Motorcycle,20011205,1085.0,1083.0,1085.0,128843387,118762,19,D,1085.0,1085.0
44,Iran.Motorcycle,20011212,1085.0,1080.0,1080.0,580060,536,2,D,1085.0,1080.0
45,Iran.Motorcycle,20011215,1085.0,1080.0,1085.0,61148850,56499,13,D,1080.0,1085.0
46,Iran.Motorcycle,20011217,1085.0,1084.0,1085.0,433734,400,3,D,1085.0,1085.0
47,Iran.Motorcycle,20011218,1082.0,1082.0,1082.0,119020,110,1,D,1085.0,1082.0
48,Iran.Motorcycle,20011219,1080.0,1080.0,1080.0,5400000,5000,1,D,1082.0,1080.0
49,Iran.Motorcycle,20011222,1080.0,1079.0,1079.0,10951950,10150,4,D,1080.0,1079.0
50,Iran.Motorcycle,20011223,1078.0,1076.0,1078.0,25871614,24000,7,D,1079.0,1078.0
51,Iran.Motorcycle,20011225,1085.0,1070.0,1085.0,189181108,175000,58,D,1078.0,1085.0
52,Iran.Motorcycle,20011226,1094.0,1085.0,1094.0,321327626,294879,51,D,1085.0,1094.0
53,Iran.Motorcycle,20011230,1104.0,1104.0,1104.0,2208000,2000,1,D,1094.0,1104.0
54,Iran.Motorcycle,20011231,1115.0,1115.0,1115.0,3813300,3420,3,D,1104.0,1115.0
55,Iran.Motorcycle,20020101,1126.0,1126.0,1126.0,34060374,30249,13,D,1115.0,1126.0
56,Iran.Motorcycle,20020102,1137.0,1137.0,1137.0,1732788,1524,2,D,1126.0,1137.0
57,Iran.Motorcycle,20020106,1148.0,1148.0,1148.0,1606052,1399,4,D,1137.0,1148.0
58,Iran.Motorcycle,20020107,1159.0,1159.0,1159.0,1159000,1000,1,D,1148.0,1159.0
59,Iran.Motorcycle,20020112,1170.0,1170.0,1170.0,1170000,1000,1,D,1159.0,1170.0
60,Iran.Motorcycle,20020115,1181.0,1181.0,1181.0,1181000,1000,1,D,1170.0,1181.0
61,Iran.Motorcycle,20020116,1192.0,1192.0,1192.0,1192000,1000,2,D,1181.0,1192.0
62,Iran.Motorcycle,20020119,1203.0,1203.0,1203.0,1203000,1000,2,D,1192.0,1203.0
63,Iran.Motorcycle,20020120,1215.0,1215.0,1215.0,607500,500,2,D,1203.0,1215.0
64,Iran.Motorcycle,20020121,1227.0,1227.0,1227.0,1227000,1000,2,D,1215.0,1227.0
65,Iran.Motorcycle,20020122,1239.0,1239.0,1239.0,1239000,1000,2,D,1227.0,1239.0
66,Iran.Motorcycle,20020123,1251.0,1251.0,1251.0,55669500,44500,15,D,1239.0,1251.0
67,Iran.Motorcycle,20020126,1263.0,1263.0,1263.0,1263000,1000,1,D,1251.0,1263.0
68,Iran.Motorcycle,20020127,1275.0,1275.0,1275.0,6375000,5000,8,D,1263.0,1275.0
69,Iran.Motorcycle,20020128,1287.0,1287.0,1287.0,52540488,40824,12,D,1275.0,1287.0
70,Iran.Motorcycle,20020129,1299.0,1299.0,1299.0,32397060,24940,7,D,1287.0,1299.0
71,Iran.Motorcycle,20020130,1311.0,1311.0,1311.0,1473564,1124,2,D,1299.0,1311.0
72,Iran.Motorcycle,20020202,1324.0,1324.0,1324.0,1324000,1000,1,D,1311.0,1324.0
73,Iran.Motorcycle,20020205,1337.0,1337.0,1337.0,133700,100,1,D,1324.0,1337.0
74,Iran.Motorcycle,20020206,1350.0,1350.0,1350.0,135000,100,1,D,1337.0,1350.0
75,Iran.Motorcycle,20020209,1363.0,1363.0,1363.0,204450,150,1,D,1350.0,1363.0
76,Iran.Motorcycle,20020210,1376.0,1376.0,1376.0,8049600,5850,3,D,1363.0,1376.0
77,Iran.Motorcycle,20021229,1100.0,1100.0,1100.0,1100000,1000,1,D,1376.0,1100.0
78,Iran.Motorcycle,20030119,1051.0,1050.0,1050.0,3152000,3000,3,D,1100.0,1050.0
79,Iran.Motorcycle,20030120,1000.0,1000.0,1000.0,3000000,3000,3,D,1050.0,1000.0
80,Iran.Motorcycle,20030125,1000.0,950.0,1000.0,77821750,81865,25,D,1000.0,1000.0
81,Iran.Motorcycle,20030129,1000.0,950.0,1000.0,39212350,41000,14,D,1000.0,1000.0
82,Iran.Motorcycle,20030202,990.0,990.0,990.0,19800,20,1,D,1000.0,990.0
83,Iran.Motorcycle,20030203,986.0,986.0,986.0,7304288,7408,4,D,990.0,986.0
84,Iran.Motorcycle,20030204,950.0,940.0,950.0,79667700,83966,17,D,986.0,950.0
85,Iran.Motorcycle,20030205,904.0,903.0,903.0,19897672,22024,10,D,950.0,903.0
86,Iran.Motorcycle,20030208,947.0,900.0,947.0,34723380,38216,12,D,903.0,947.0
87,Iran.Motorcycle,20030209,950.0,903.0,903.0,12724550,13889,2,D,947.0,903.0
88,Iran.Motorcycle,20030210,904.0,903.0,903.0,5160836,5715,2,D,903.0,903.0
89,Iran.Motorcycle,20030218,948.0,948.0,948.0,1896000,2000,1,D,903.0,948.0
90,Iran.Motorcycle,20030219,910.0,910.0,910.0,2039310,2241,1,D,948.0,910.0
91,Iran.Motorcycle,20030223,910.0,910.0,910.0,910000,1000,1,D,910.0,910.0
92,Iran.Motorcycle,20030224,910.0,910.0,910.0,105560,116,1,D,910.0,910.0
93,Iran.Motorcycle,20030225,910.0,910.0,910.0,910000,1000,1,D,910.0,910.0
94,Iran.Motorcycle,20030226,944.0,943.0,944.0,7614492,8068,8,D,910.0,944.0
95,Iran.Motorcycle,20030301,946.0,944.0,946.0,2834000,3000,2,D,944.0,946.0
96,Iran.Motorcycle,20030302,947.0,947.0,947.0,1079580,1140,1,D,946.0,947.0
97,Iran.Motorcycle,20030303,990.0,950.0,990.0,2170000,2200,2,D,947.0,990.0
98,Iran.Motorcycle,20030305,990.0,990.0,990.0,59400,60,2,D,990.0,990.0
99,Iran.Motorcycle,20030309,990.0,984.0,990.0,15799344,16000,11,D,990.0,990.0
100,Iran.Motorcycle,20030310,1000.0,990.0,990.0,4967360,5000,2,D,990.0,990.0
101,Iran.Motorcycle,20030312,999.0,999.0,999.0,662005332,662668,1,D,990.0,999.0
102,Iran.Motorcycle,20030318,960.0,960.0,960.0,298560,311,1,D,999.0,960.0
103,Iran.Motorcycle,20030330,1000.0,999.0,999.0,14987736,15000,5,D,960.0,999.0
104,Iran.Motorcycle,20030331,961.0,960.0,960.0,14116200,14695,6,D,999.0,960.0
105,Iran.Motorcycle,20030405,1000.0,950.0,999.0,5060850,5275,3,D,960.0,999.0
106,Iran.Motorcycle,20030406,1000.0,999.0,1000.0,1063000,1064,2,D,999.0,1000.0
107,Iran.Motorcycle,20030407,1000.0,954.0,1000.0,7767050,8000,4,D,1000.0,1000.0
108,Iran.Motorcycle,20030408,1000.0,1000.0,1000.0,1000000,1000,1,D,1000.0,1000.0
109,Iran.Motorcycle,20030409,1000.0,999.0,999.0,5495040,5500,2,D,1000.0,999.0
110,Iran.Motorcycle,20030412,1000.0,999.0,1000.0,1099000,1100,3,D,999.0,1000.0
111,Iran.Motorcycle,20030413,1000.0,1000.0,1000.0,1000000,1000,1,D,1000.0,1000.0
112,Iran.Motorcycle,20030414,1000.0,954.0,1000.0,3151270,3255,3,D,1000.0,1000.0
113,Iran.Motorcycle,20030415,1000.0,999.0,1000.0,19992024,20000,7,D,1000.0,1000.0
114,Iran.Motorcycle,20030416,1000.0,1000.0,1000.0,1000000,1000,1,D,1000.0,1000.0
115,Iran.Motorcycle,20030420,1000.0,953.0,999.0,18809790,19497,14,D,1000.0,999.0
116,Iran.Motorcycle,20030426,1000.0,999.0,1000.0,3399884,3400,3,D,999.0,1000.0
117,Iran.Motorcycle,20030428,1000.0,1000.0,1000.0,10000000,10000,3,D,1000.0,1000.0
118,Iran.Motorcycle,20030429,1000.0,1000.0,1000.0,36891000,36891,22,D,1000.0,1000.0
119,Iran.Motorcycle,20030504,1001.0,1001.0,1001.0,13082069,13069,10,D,1000.0,1001.0
120,Iran.Motorcycle,20030505,1028.0,1003.0,1028.0,34620800,34372,7,D,1001.0,1028.0
121,Iran.Motorcycle,20030506,1079.0,1079.0,1079.0,5395000,5000,1,D,1028.0,1079.0
122,Iran.Motorcycle,20030507,1132.0,1132.0,1132.0,7215368,6374,3,D,1079.0,1132.0
123,Iran.Motorcycle,20030512,1130.0,1129.0,1130.0,4653210,4119,4,D,1132.0,1130.0
124,Iran.Motorcycle,20030513,1135.0,1135.0,1135.0,4540000,4000,2,D,1130.0,1135.0
125,Iran.Motorcycle,20030514,1140.0,1133.0,1140.0,2482605,2185,6,D,1135.0,1140.0
126,Iran.Motorcycle,20030517,1141.0,1141.0,1141.0,992670,870,1,D,1140.0,1141.0
127,Iran.Motorcycle,20030518,1150.0,1140.0,1150.0,6850000,6000,4,D,1141.0,1150.0
128,Iran.Motorcycle,20030521,1188.0,1188.0,1188.0,4752000,4000,1,D,1150.0,1188.0
129,Iran.Motorcycle,20030524,1247.0,1129.0,1247.0,15036560,12294,4,D,1188.0,1247.0
130,Iran.Motorcycle,20030525,1250.0,1250.0,1250.0,1250000,1000,1,D,1247.0,1250.0
131,Iran.Motorcycle,20030526,1250.0,1250.0,1250.0,145000,116,1,D,1250.0,1250.0
132,Iran.Motorcycle,20030527,1250.0,1250.0,1250.0,2355000,1884,1,D,1250.0,1250.0
133,Iran.Motorcycle,20030528,1250.0,1250.0,1250.0,5145000,4116,1,D,1250.0,1250.0
134,Iran.Motorcycle,20030531,1250.0,1188.0,1250.0,2438000,2000,2,D,1250.0,1250.0
