,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Jam.Pilen,20190617,22500.0,22500.0,22500.0,4500000000000,200000000,468443,D,1000.0,22500.0
1,Jam.Pilen,20190618,23625.0,23625.0,23426.0,8644482000,365904,1290,D,22500.0,23625.0
2,Jam.Pilen,20190619,24597.0,24597.0,24597.0,198442028601,8067733,20277,D,23426.0,24597.0
3,Jam.Pilen,20190624,31000.0,28500.0,29579.0,1049361670293,35476160,75834,D,21347.0,29399.0
4,Jam.Pilen,20190625,29250.0,28101.0,28345.0,597089030155,21065215,50121,D,29579.0,28108.0
5,Jam.Pilen,20190626,29500.0,27999.0,28529.0,833838064535,29227967,75556,D,28345.0,28661.0
6,Jam.Pilen,20190630,28895.0,27800.0,28174.0,419070599453,14874614,37954,D,28529.0,27875.0
7,Jam.Pilen,20190701,27950.0,27000.0,27256.0,327507020325,12016146,28584,D,28174.0,27320.0
8,Jam.Pilen,20190702,28195.0,27300.0,27577.0,239092636469,8669950,20925,D,27256.0,27880.0
9,Jam.Pilen,20190703,28412.0,27803.0,27976.0,180904235537,6466293,20231,D,27577.0,27890.0
10,Jam.Pilen,20190706,27900.0,27001.0,27143.0,183003399781,6742298,15957,D,27976.0,27047.0
11,Jam.Pilen,20190707,27220.0,26802.0,27022.0,152199395777,5632324,13005,D,27143.0,27161.0
12,Jam.Pilen,20190708,27100.0,27000.0,27037.0,166071179332,6142395,12774,D,27022.0,27010.0
13,Jam.Pilen,20190709,26730.0,26200.0,26407.0,246777891184,9345260,21991,D,27037.0,26400.0
14,Jam.Pilen,20190710,26330.0,26002.0,26096.0,253283036716,9705642,23752,D,26407.0,26213.0
15,Jam.Pilen,20190713,26200.0,25551.0,25739.0,320653781923,12457854,35145,D,26096.0,26003.0
16,Jam.Pilen,20190714,27025.0,26332.0,26900.0,92941138330,3455051,6829,D,25739.0,27025.0
17,Jam.Pilen,20190715,27991.0,26640.0,27302.0,203473891786,7452808,12525,D,26900.0,26800.0
18,Jam.Pilen,20190716,26700.0,25937.0,26239.0,213198166264,8125349,11267,D,27302.0,26502.0
19,Jam.Pilen,20190717,27222.0,26072.0,26849.0,111476517493,4152000,9142,D,26239.0,26996.0
20,Jam.Pilen,20190720,27101.0,26505.0,26665.0,131443844550,4929441,7573,D,26849.0,26700.0
21,Jam.Pilen,20190721,27898.0,26550.0,27537.0,188894472956,6859635,10719,D,26665.0,27731.0
22,Jam.Pilen,20190722,28913.0,28501.0,28866.0,214263781657,7422780,6664,D,27537.0,28913.0
23,Jam.Pilen,20190723,29480.0,28061.0,28850.0,309936630387,10743156,13327,D,28866.0,28950.0
24,Jam.Pilen,20190724,29006.0,28461.0,28775.0,152714811152,5307134,6325,D,28850.0,28805.0
25,Jam.Pilen,20190727,28759.0,28047.0,28258.0,135074792482,4780075,5870,D,28775.0,28134.0
26,Jam.Pilen,20190728,28100.0,27554.0,27698.0,96257434802,3475246,5143,D,28258.0,27671.0
27,Jam.Pilen,20190729,28100.0,27485.0,27726.0,94189216354,3397109,4490,D,27698.0,27700.0
28,Jam.Pilen,20190730,28100.0,27723.0,27874.0,119577626582,4290006,3423,D,27726.0,27800.0
29,Jam.Pilen,20190731,28200.0,27700.0,27967.0,91737339291,3280164,4638,D,27874.0,28080.0
30,Jam.Pilen,20190803,28080.0,27730.0,27883.0,91188779168,3270460,4149,D,27967.0,27932.0
31,Jam.Pilen,20190804,27932.0,27506.0,27667.0,113950666800,4118693,4573,D,27883.0,27710.0
32,Jam.Pilen,20190805,27650.0,27231.0,27362.0,83592043926,3055073,4397,D,27667.0,27313.0
33,Jam.Pilen,20190806,27400.0,27010.0,27069.0,77503983551,2863190,4314,D,27362.0,27111.0
34,Jam.Pilen,20190807,27270.0,26900.0,27016.0,60461415996,2238022,4601,D,27069.0,27152.0
35,Jam.Pilen,20190810,27010.0,26680.0,26802.0,69839832436,2605756,6870,D,27016.0,26800.0
36,Jam.Pilen,20190811,27248.0,26751.0,26983.0,38709986588,1434583,3488,D,26802.0,26905.0
37,Jam.Pilen,20190813,28061.0,26911.0,27407.0,88869608965,3242545,5087,D,26983.0,27990.0
38,Jam.Pilen,20190814,28080.0,27500.0,27666.0,53993130826,1951614,3646,D,27407.0,27523.0
39,Jam.Pilen,20190817,27554.0,27125.0,27236.0,58640347115,2153075,3723,D,27666.0,27132.0
40,Jam.Pilen,20190818,27400.0,26998.0,27075.0,63631491797,2350200,3810,D,27236.0,27249.0
41,Jam.Pilen,20190819,27500.0,27003.0,27229.0,51473403044,1890399,4353,D,27075.0,27305.0
42,Jam.Pilen,20190821,27800.0,27230.0,27403.0,97556786717,3560125,3974,D,27229.0,27600.0
43,Jam.Pilen,20190824,28050.0,27272.0,27825.0,113306558476,4072154,5201,D,27403.0,28011.0
44,Jam.Pilen,20190825,28100.0,27800.0,27941.0,126545723829,4529084,4336,D,27825.0,28010.0
45,Jam.Pilen,20190826,29338.0,28000.0,28806.0,259575116229,9011182,7583,D,27941.0,29000.0
