,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.China.Clay,20010408,11433.0,11433.0,11433.0,24009300,2100,2,D,0.0,11433.0
1,Iran.China.Clay,20010423,11750.0,11750.0,11750.0,11750000,1000,1,D,11433.0,11750.0
2,Iran.China.Clay,20010501,12006.0,12003.0,12006.0,24009000,2000,8,D,11750.0,12006.0
3,Iran.China.Clay,20010515,12500.0,12500.0,12500.0,28750000,2300,5,D,12006.0,12500.0
4,Iran.China.Clay,20010516,12500.0,12500.0,12500.0,4000000,320,2,D,12500.0,12500.0
5,Iran.China.Clay,20010519,12500.0,12500.0,12500.0,7300000,584,4,D,12500.0,12500.0
6,Iran.China.Clay,20010625,9780.0,9780.0,9780.0,9780000,1000,1,D,12500.0,9780.0
7,Iran.China.Clay,20010807,10269.0,10269.0,10269.0,20538000,2000,3,D,9780.0,10269.0
8,Iran.China.Clay,20010808,10782.0,10782.0,10782.0,60637968,5624,3,D,10269.0,10782.0
9,Iran.China.Clay,20020126,11321.0,11321.0,11321.0,11321000,1000,1,D,10782.0,11321.0
10,Iran.China.Clay,20020803,9010.0,6200.0,9010.0,72995300,11330,4,D,11321.0,9010.0
11,Iran.China.Clay,20020806,9460.0,9460.0,9460.0,898700000,95000,15,D,9010.0,9460.0
12,Iran.China.Clay,20020810,9933.0,9933.0,9933.0,1212342516,122052,29,D,9460.0,9933.0
13,Iran.China.Clay,20020818,10429.0,10429.0,10429.0,20858000,2000,4,D,9933.0,10429.0
14,Iran.China.Clay,20020819,10950.0,10950.0,10950.0,21900000,2000,4,D,10429.0,10950.0
15,Iran.China.Clay,20020827,11497.0,11497.0,11497.0,6294607500,547500,91,D,10950.0,11497.0
16,Iran.China.Clay,20020831,12071.0,12071.0,12071.0,11672657000,967000,144,D,11497.0,12071.0
17,Iran.China.Clay,20020907,12674.0,12674.0,12674.0,48794900,3850,11,D,12071.0,12674.0
18,Iran.China.Clay,20020908,13307.0,13307.0,13307.0,4665434200,350600,38,D,12674.0,13307.0
19,Iran.China.Clay,20020909,13972.0,13000.0,13000.0,682339100,49650,41,D,13307.0,13000.0
20,Iran.China.Clay,20020910,13650.0,13500.0,13650.0,122157000,9007,25,D,13000.0,13650.0
21,Iran.China.Clay,20020911,13650.0,13650.0,13650.0,20475000,1500,1,D,13650.0,13650.0
22,Iran.China.Clay,20020915,13650.0,13650.0,13650.0,28637700,2098,7,D,13650.0,13650.0
23,Iran.China.Clay,20020916,14000.0,13660.0,14000.0,52712000,3770,5,D,13650.0,14000.0
24,Iran.China.Clay,20020917,14108.0,14108.0,14108.0,3244840,230,1,D,14000.0,14108.0
25,Iran.China.Clay,20020918,14813.0,14813.0,14813.0,82952800,5600,2,D,14108.0,14813.0
26,Iran.China.Clay,20020923,15553.0,15553.0,15553.0,17108300,1100,3,D,14813.0,15553.0
27,Iran.China.Clay,20020924,16330.0,16330.0,16330.0,26128000,1600,5,D,15553.0,16330.0
28,Iran.China.Clay,20020925,17146.0,16330.0,17146.0,530958516,31010,33,D,16330.0,17146.0
29,Iran.China.Clay,20020928,17146.0,17146.0,17146.0,14059720,820,3,D,17146.0,17146.0
30,Iran.China.Clay,20020929,18000.0,17990.0,18000.0,30590000,1700,3,D,17146.0,18000.0
31,Iran.China.Clay,20020930,18900.0,17997.0,18900.0,86514560,4776,27,D,18000.0,18900.0
32,Iran.China.Clay,20021001,19000.0,18500.0,18500.0,52745000,2780,5,D,18900.0,18500.0
33,Iran.China.Clay,20021002,18999.0,18500.0,18500.0,33757750,1818,14,D,18500.0,18500.0
34,Iran.China.Clay,20021006,17575.0,17575.0,17575.0,19332500,1100,1,D,18500.0,17575.0
