,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,P..Animal.Feed,20010526,4078.0,4078.0,4078.0,6484020,1590,2,D,0.0,4078.0
1,P..Animal.Feed,20010529,4079.0,4079.0,4079.0,1794760,440,3,D,4078.0,4079.0
2,P..Animal.Feed,20010613,4079.0,4079.0,4079.0,203950,50,1,D,4079.0,4079.0
3,P..Animal.Feed,20010619,4079.0,4078.0,4079.0,5155806,1264,3,D,4079.0,4079.0
4,P..Animal.Feed,20010805,4450.0,4450.0,4450.0,2225000,500,1,D,4079.0,4450.0
5,P..Animal.Feed,20010815,4500.0,4500.0,4500.0,6079500,1351,2,D,4450.0,4500.0
6,P..Animal.Feed,20010819,4725.0,4725.0,4725.0,4725000,1000,1,D,4500.0,4725.0
7,P..Animal.Feed,20011103,4722.0,4722.0,4722.0,2549880,540,1,D,4725.0,4722.0
8,P..Animal.Feed,20020701,4722.0,2722.0,4722.0,2059568800,440400,48,D,4722.0,4722.0
9,P..Animal.Feed,20020702,4721.0,4721.0,4721.0,9442000,2000,2,D,4722.0,4721.0
10,P..Animal.Feed,20020706,4719.0,4719.0,4719.0,2548260,540,1,D,4721.0,4719.0
11,P..Animal.Feed,20020810,4700.0,4700.0,4700.0,705000,150,3,D,4719.0,4700.0
12,P..Animal.Feed,20020928,4690.0,4690.0,4690.0,1088080,232,1,D,4700.0,4690.0
13,P..Animal.Feed,20021104,4656.0,4640.0,4640.0,116320000,25000,3,D,4690.0,4640.0
14,P..Animal.Feed,20021105,4408.0,4408.0,4408.0,88160000,20000,2,D,4640.0,4408.0
15,P..Animal.Feed,20021106,4400.0,4400.0,4400.0,968000,220,1,D,4408.0,4400.0
16,P..Animal.Feed,20021210,4180.0,4180.0,4180.0,4180000,1000,1,D,4400.0,4180.0
17,P..Animal.Feed,20021217,4180.0,4180.0,4180.0,8673500,2075,2,D,4180.0,4180.0
18,P..Animal.Feed,20021218,4180.0,4180.0,4180.0,20900000,5000,1,D,4180.0,4180.0
19,P..Animal.Feed,20030107,4240.0,4180.0,4240.0,7199440,1708,2,D,4180.0,4240.0
20,P..Animal.Feed,20030108,4240.0,4240.0,4240.0,1233840,291,1,D,4240.0,4240.0
21,P..Animal.Feed,20030317,4240.0,4240.0,4240.0,2921360,689,1,D,4240.0,4240.0
22,P..Animal.Feed,20030318,4408.0,4408.0,4408.0,8816000,2000,1,D,4240.0,4408.0
23,P..Animal.Feed,20030319,4408.0,4408.0,4408.0,661200000,150000,1,D,4408.0,4408.0
24,P..Animal.Feed,20030326,4408.0,4188.0,4408.0,628640000,150000,16,D,4408.0,4408.0
25,P..Animal.Feed,20030405,4628.0,4628.0,4628.0,463262800,100100,2,D,4408.0,4628.0
26,P..Animal.Feed,20030407,4859.0,4859.0,4859.0,30567969,6291,2,D,4628.0,4859.0
27,P..Animal.Feed,20030409,5101.0,5101.0,5101.0,28779842,5642,2,D,4859.0,5101.0
28,P..Animal.Feed,20030414,5100.0,5100.0,5100.0,27540000,5400,1,D,5101.0,5100.0
29,P..Animal.Feed,20030503,5100.0,5100.0,5100.0,6451500,1265,1,D,5100.0,5100.0
