,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ghandi.Cables.,20040928,7600.0,3750.0,6805.0,16283852805,2891838,2623,D,0.0,6805.0
1,Ghandi.Cables.,20040929,7145.0,7145.0,7145.0,58524695000,8191000,2537,D,6805.0,7145.0
2,Ghandi.Cables.,20041002,7502.0,7502.0,7502.0,37134900000,4950000,1705,D,7145.0,7502.0
3,Ghandi.Cables.,20041003,7877.0,7877.0,7877.0,38991150000,4950000,1482,D,7502.0,7877.0
4,Ghandi.Cables.,20041004,8270.0,8270.0,8270.0,41167811900,4977970,1359,D,7877.0,8270.0
5,Ghandi.Cables.,20041005,8683.0,8683.0,8683.0,44010575653,5068591,1175,D,8270.0,8683.0
6,Ghandi.Cables.,20041006,9117.0,9117.0,9117.0,85147473906,9339418,2533,D,8683.0,9117.0
7,Ghandi.Cables.,20041009,9401.0,8684.0,9078.0,19784119128,2179143,970,D,9117.0,9078.0
8,Ghandi.Cables.,20041010,8979.0,8625.0,8744.0,8961039032,1024731,550,D,9078.0,8744.0
9,Ghandi.Cables.,20041011,9180.0,8687.0,8893.0,7594834796,854012,373,D,8744.0,8893.0
10,Ghandi.Cables.,20041012,9299.0,8947.0,9086.0,47901626579,5255660,270,D,8893.0,9086.0
11,Ghandi.Cables.,20041013,9249.0,9100.0,9171.0,3747302048,408559,188,D,9086.0,9171.0
12,Ghandi.Cables.,20041016,9140.0,8902.0,9016.0,3215497416,356611,141,D,9171.0,9016.0
13,Ghandi.Cables.,20041017,9000.0,8702.0,8889.0,3357616730,377693,183,D,9016.0,8889.0
14,Ghandi.Cables.,20041018,8800.0,8650.0,8698.0,3510498031,403597,152,D,8889.0,8698.0
15,Ghandi.Cables.,20041019,8677.0,8380.0,8504.0,2923785515,343789,138,D,8698.0,8504.0
16,Ghandi.Cables.,20041020,8400.0,8079.0,8233.0,3205105296,389276,154,D,8504.0,8233.0
17,Ghandi.Cables.,20041023,8644.0,8233.0,8551.0,2642163202,308985,117,D,8233.0,8551.0
