,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khoozestan.CE.,20150407,4450.0,4450.0,4450.0,311500000000,70000000,24252,D,1000.0,4450.0
1,Khoozestan.CE.,20150408,4628.0,4471.0,4552.0,127658355935,28042309,23839,D,4450.0,4491.0
2,Khoozestan.CE.,20150411,4489.0,4410.0,4449.0,53764500606,12083331,8166,D,4552.0,4431.0
3,Khoozestan.CE.,20150412,4451.0,4330.0,4446.0,53414610291,12013649,7412,D,4449.0,4450.0
4,Khoozestan.CE.,20150413,4451.0,4367.0,4446.0,26862471117,6041985,3772,D,4446.0,4450.0
5,Khoozestan.CE.,20150414,4451.0,4382.0,4444.0,13185528439,2967364,2231,D,4446.0,4450.0
6,Khoozestan.CE.,20150415,4621.0,4450.0,4547.0,26045474040,5727661,4274,D,4444.0,4621.0
7,Khoozestan.CE.,20150418,4728.0,4624.0,4697.0,42238096963,8993075,5808,D,4547.0,4728.0
8,Khoozestan.CE.,20150419,4850.0,4510.0,4613.0,15342769583,3326139,1951,D,4697.0,4540.0
9,Khoozestan.CE.,20150420,4490.0,4429.0,4443.0,6180047267,1390872,1174,D,4613.0,4432.0
10,Khoozestan.CE.,20150421,4452.0,4351.0,4390.0,4934278889,1123898,616,D,4443.0,4352.0
11,Khoozestan.CE.,20150422,4449.0,4392.0,4419.0,5189901455,1174475,650,D,4390.0,4446.0
12,Khoozestan.CE.,20150425,4425.0,4350.0,4372.0,2424845748,554609,369,D,4419.0,4350.0
13,Khoozestan.CE.,20150426,4400.0,4310.0,4343.0,2973858814,684698,443,D,4372.0,4378.0
14,Khoozestan.CE.,20150427,4343.0,4210.0,4277.0,3616168578,845579,476,D,4343.0,4240.0
15,Khoozestan.CE.,20150428,4250.0,4106.0,4146.0,7730983445,1864663,1370,D,4277.0,4220.0
16,Khoozestan.CE.,20150429,4189.0,4080.0,4136.0,2314419534,559636,431,D,4146.0,4147.0
17,Khoozestan.CE.,20150503,4199.0,4002.0,4135.0,3999143768,967234,616,D,4136.0,4060.0
18,Khoozestan.CE.,20150504,4180.0,4050.0,4162.0,3159451297,759112,2054,D,4135.0,4170.0
19,Khoozestan.CE.,20150505,4252.0,4132.0,4220.0,2522739474,597812,1266,D,4162.0,4155.0
20,Khoozestan.CE.,20150506,4221.0,4052.0,4181.0,4878506826,1166866,2673,D,4220.0,4220.0
21,Khoozestan.CE.,20150509,4210.0,4140.0,4182.0,3014261729,720757,3781,D,4181.0,4181.0
22,Khoozestan.CE.,20150510,4310.0,4110.0,4255.0,4416798447,1038006,4467,D,4182.0,4300.0
23,Khoozestan.CE.,20150511,4350.0,4255.0,4287.0,1749918552,408223,296,D,4255.0,4350.0
24,Khoozestan.CE.,20150512,4400.0,4330.0,4379.0,2884494839,658741,489,D,4287.0,4389.0
25,Khoozestan.CE.,20150513,4430.0,4390.0,4424.0,51752905781,11698301,606,D,4379.0,4390.0
26,Khoozestan.CE.,20150517,4450.0,4392.0,4440.0,13753016660,3097466,1975,D,4424.0,4400.0
27,Khoozestan.CE.,20150518,4407.0,4400.0,4400.0,1310818170,297906,1408,D,4440.0,4400.0
28,Khoozestan.CE.,20150519,4411.0,4400.0,4404.0,2564021435,582204,329,D,4400.0,4400.0
29,Khoozestan.CE.,20150520,4410.0,4320.0,4388.0,4691541595,1069118,2499,D,4404.0,4330.0
30,Khoozestan.CE.,20150530,3508.0,3470.0,3497.0,280367261,80167,56,D,3508.0,3508.0
31,Khoozestan.CE.,20150531,3501.0,3323.0,3413.0,1515024870,443935,198,D,3497.0,3326.0
32,Khoozestan.CE.,20150601,3300.0,3243.0,3287.0,629366817,194010,94,D,3413.0,3243.0
33,Khoozestan.CE.,20150602,3347.0,3150.0,3251.0,441294282,137109,105,D,3287.0,3220.0
34,Khoozestan.CE.,20150606,3240.0,3154.0,3238.0,154441558,48528,38,D,3251.0,3160.0
35,Khoozestan.CE.,20150607,3270.0,3110.0,3214.0,197726463,62995,63,D,3238.0,3110.0
36,Khoozestan.CE.,20150608,3102.0,3055.0,3145.0,382463875,124606,67,D,3214.0,3070.0
37,Khoozestan.CE.,20150609,3070.0,2988.0,2994.0,964511702,322105,81,D,3145.0,3000.0
38,Khoozestan.CE.,20150610,3040.0,2902.0,2988.0,265857966,89322,60,D,2994.0,3039.0
39,Khoozestan.CE.,20150613,3000.0,2851.0,2978.0,122638809,41883,36,D,2988.0,2915.0
40,Khoozestan.CE.,20150614,2950.0,2912.0,2952.0,390052930,133218,53,D,2978.0,2912.0
41,Khoozestan.CE.,20150615,2939.0,2855.0,2934.0,175834319,61163,40,D,2952.0,2900.0
42,Khoozestan.CE.,20150616,2950.0,2848.0,2904.0,403793705,140266,61,D,2934.0,2950.0
43,Khoozestan.CE.,20150617,3013.0,2850.0,2966.0,548799253,183453,60,D,2904.0,3010.0
44,Khoozestan.CE.,20150620,3112.0,3070.0,3092.0,881210285,285015,86,D,2966.0,3090.0
45,Khoozestan.CE.,20150621,3239.0,3135.0,3199.0,1386463456,433356,138,D,3092.0,3155.0
46,Khoozestan.CE.,20150622,3358.0,3310.0,3337.0,895360903,268345,140,D,3199.0,3358.0
47,Khoozestan.CE.,20150623,3489.0,3358.0,3464.0,922543286,266298,113,D,3337.0,3371.0
48,Khoozestan.CE.,20150624,3478.0,3291.0,3440.0,876345998,254777,195,D,3464.0,3442.0
49,Khoozestan.CE.,20150627,3570.0,3450.0,3555.0,7908564244,2224538,153,D,3440.0,3460.0
50,Khoozestan.CE.,20150628,3381.0,3378.0,3478.0,383538876,113492,21,D,3555.0,3378.0
51,Khoozestan.CE.,20150629,3399.0,3305.0,3449.0,164077285,49310,43,D,3478.0,3320.0
52,Khoozestan.CE.,20150630,3379.0,3280.0,3349.0,680729162,204944,67,D,3449.0,3301.0
53,Khoozestan.CE.,20150701,3210.0,3182.0,3187.0,850918073,267004,98,D,3349.0,3182.0
54,Khoozestan.CE.,20150704,3190.0,3072.0,3137.0,1247970065,397806,155,D,3187.0,3087.0
55,Khoozestan.CE.,20150705,3160.0,3040.0,3079.0,613088987,200233,65,D,3137.0,3101.0
56,Khoozestan.CE.,20150706,3110.0,3061.0,3079.0,367499212,119329,80,D,3079.0,3100.0
57,Khoozestan.CE.,20150707,3160.0,3080.0,3098.0,514670694,165519,104,D,3079.0,3160.0
58,Khoozestan.CE.,20150711,3200.0,3052.0,3140.0,643942848,204291,86,D,3098.0,3135.0
59,Khoozestan.CE.,20150712,3297.0,3250.0,3228.0,486114540,147562,93,D,3140.0,3297.0
60,Khoozestan.CE.,20150713,3389.0,3389.0,3330.0,555626550,163950,61,D,3228.0,3389.0
61,Khoozestan.CE.,20150714,3496.0,3211.0,3446.0,1449168396,420555,162,D,3330.0,3496.0
62,Khoozestan.CE.,20150715,3389.0,3290.0,3400.0,343806800,103219,68,D,3446.0,3290.0
63,Khoozestan.CE.,20150720,3315.0,3230.0,3364.0,212331342,65177,44,D,3400.0,3233.0
64,Khoozestan.CE.,20150721,3299.0,3196.0,3271.0,466995899,146008,33,D,3364.0,3200.0
65,Khoozestan.CE.,20150722,3249.0,3130.0,3256.0,202962212,63240,41,D,3271.0,3200.0
