,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Kaveh.Paper,20010501,7500.0,7500.0,7500.0,7500000,1000,1,D,0.0,7500.0
1,Kaveh.Paper,20010516,7125.0,7125.0,7125.0,14250000,2000,1,D,7500.0,7125.0
2,Kaveh.Paper,20010520,8600.0,8600.0,8600.0,8600000,1000,1,D,7125.0,8600.0
3,Kaveh.Paper,20010521,8400.0,8387.0,8387.0,124361499,14808,4,D,8600.0,8387.0
4,Kaveh.Paper,20010616,8300.0,8300.0,8300.0,20750000,2500,1,D,8387.0,8300.0
5,Kaveh.Paper,20010701,7885.0,7885.0,7885.0,7885000,1000,1,D,8300.0,7885.0
6,Kaveh.Paper,20010721,7730.0,7730.0,7730.0,7730000,1000,2,D,7885.0,7730.0
7,Kaveh.Paper,20010724,7350.0,7350.0,7350.0,14700000,2000,4,D,7730.0,7350.0
8,Kaveh.Paper,20010730,7000.0,6983.0,6983.0,61784669,8843,4,D,7350.0,6983.0
9,Kaveh.Paper,20010731,6800.0,6800.0,6800.0,23800000,3500,9,D,6983.0,6800.0
10,Kaveh.Paper,20010804,6795.0,6795.0,6795.0,14507325,2135,1,D,6800.0,6795.0
11,Kaveh.Paper,20010805,6799.0,6700.0,6799.0,3127861936,460064,7,D,6795.0,6799.0
12,Kaveh.Paper,20010806,6983.0,6900.0,6983.0,24324300,3500,4,D,6799.0,6983.0
13,Kaveh.Paper,20010811,6982.0,6980.0,6982.0,36299664,5200,5,D,6983.0,6982.0
14,Kaveh.Paper,20010812,6982.0,6982.0,6982.0,6947090,995,1,D,6982.0,6982.0
15,Kaveh.Paper,20010815,6981.0,6981.0,6981.0,3951246,566,1,D,6982.0,6981.0
16,Kaveh.Paper,20010819,6982.0,6980.0,6982.0,12565634,1800,3,D,6981.0,6982.0
17,Kaveh.Paper,20010820,7000.0,6970.0,7000.0,122814810,17586,12,D,6982.0,7000.0
18,Kaveh.Paper,20010821,7050.0,7030.0,7030.0,121179270,17209,2,D,7000.0,7030.0
19,Kaveh.Paper,20010825,7030.0,7030.0,7030.0,3978980,566,1,D,7030.0,7030.0
20,Kaveh.Paper,20010826,7030.0,7030.0,7030.0,1406000,200,1,D,7030.0,7030.0
21,Kaveh.Paper,20010827,7031.0,7031.0,7031.0,32441034,4614,7,D,7030.0,7031.0
22,Kaveh.Paper,20010828,7031.0,7020.0,7031.0,18642512,2652,5,D,7031.0,7031.0
23,Kaveh.Paper,20010829,7050.0,7050.0,7050.0,9503400,1348,3,D,7031.0,7050.0
24,Kaveh.Paper,20010901,7050.0,7050.0,7050.0,1981050,281,2,D,7050.0,7050.0
25,Kaveh.Paper,20010902,8500.0,8499.0,8500.0,105420368,12403,7,D,7050.0,8500.0
26,Kaveh.Paper,20010904,8077.0,8075.0,8075.0,40379000,5000,7,D,8500.0,8075.0
27,Kaveh.Paper,20010905,7800.0,7800.0,7800.0,53820000,6900,5,D,8075.0,7800.0
28,Kaveh.Paper,20010908,7700.0,7654.0,7656.0,51827920,6764,8,D,7800.0,7656.0
29,Kaveh.Paper,20010909,7659.0,7652.0,7652.0,49523044,6468,11,D,7656.0,7652.0
30,Kaveh.Paper,20010910,7646.0,7640.0,7646.0,45857208,6000,5,D,7652.0,7646.0
31,Kaveh.Paper,20010911,7616.0,7616.0,7616.0,761600,100,1,D,7646.0,7616.0
32,Kaveh.Paper,20010919,7486.0,7486.0,7486.0,7486000,1000,1,D,7616.0,7486.0
33,Kaveh.Paper,20010922,7400.0,7400.0,7400.0,37000000,5000,2,D,7486.0,7400.0
34,Kaveh.Paper,20010923,7271.0,7250.0,7250.0,16484983,2273,3,D,7400.0,7250.0
35,Kaveh.Paper,20010924,7050.0,6900.0,6900.0,17855400,2566,2,D,7250.0,6900.0
36,Kaveh.Paper,20010925,6900.0,6700.0,6700.0,31886800,4710,7,D,6900.0,6700.0
37,Kaveh.Paper,20010926,6700.0,6700.0,6700.0,20100000,3000,5,D,6700.0,6700.0
38,Kaveh.Paper,20010929,6616.0,6612.0,6612.0,34191040,5170,5,D,6700.0,6612.0
39,Kaveh.Paper,20010930,6616.0,6615.0,6615.0,26965740,4076,4,D,6612.0,6615.0
40,Kaveh.Paper,20011002,6650.0,6622.0,6650.0,81907194,12343,16,D,6615.0,6650.0
41,Kaveh.Paper,20011003,6653.0,6650.0,6653.0,55198900,8300,7,D,6650.0,6653.0
42,Kaveh.Paper,20011007,6898.0,6770.0,6898.0,20820820,3066,5,D,6653.0,6898.0
43,Kaveh.Paper,20011008,6920.0,6911.0,6919.0,61138198,8838,8,D,6898.0,6919.0
44,Kaveh.Paper,20011009,6938.0,6931.0,6938.0,24262000,3500,7,D,6919.0,6938.0
45,Kaveh.Paper,20011010,6939.0,6900.0,6900.0,71492852,10338,15,D,6938.0,6900.0
46,Kaveh.Paper,20011013,6900.0,6900.0,6900.0,7383000,1070,1,D,6900.0,6900.0
47,Kaveh.Paper,20011014,6899.0,6899.0,6899.0,13798000,2000,4,D,6900.0,6899.0
48,Kaveh.Paper,20011016,6894.0,6894.0,6894.0,13788000,2000,2,D,6899.0,6894.0
49,Kaveh.Paper,20011017,6878.0,6876.0,6876.0,26243948,3816,3,D,6894.0,6876.0
50,Kaveh.Paper,20011020,6840.0,6840.0,6840.0,3420000,500,1,D,6876.0,6840.0
51,Kaveh.Paper,20011021,6838.0,6800.0,6800.0,15073400,2215,8,D,6840.0,6800.0
52,Kaveh.Paper,20011022,7000.0,6800.0,7000.0,201214264,29304,31,D,6800.0,7000.0
53,Kaveh.Paper,20011023,7000.0,7000.0,7000.0,30702000,4386,9,D,7000.0,7000.0
54,Kaveh.Paper,20011024,7000.0,7000.0,7000.0,45500000,6500,7,D,7000.0,7000.0
55,Kaveh.Paper,20011027,7000.0,7000.0,7000.0,11942000,1706,2,D,7000.0,7000.0
56,Kaveh.Paper,20011028,7000.0,6997.0,7000.0,76268140,10897,6,D,7000.0,7000.0
57,Kaveh.Paper,20011029,6996.0,6996.0,6996.0,174900,25,1,D,7000.0,6996.0
58,Kaveh.Paper,20011030,7000.0,6987.0,7000.0,215960664,30877,19,D,6996.0,7000.0
59,Kaveh.Paper,20011031,7100.0,7002.0,7100.0,142311544,20237,21,D,7000.0,7100.0
60,Kaveh.Paper,20011103,7200.0,7100.0,7200.0,102115200,14266,14,D,7100.0,7200.0
61,Kaveh.Paper,20011104,7300.0,7299.0,7300.0,160079027,21929,24,D,7200.0,7300.0
62,Kaveh.Paper,20011105,7350.0,7350.0,7350.0,11510100,1566,2,D,7300.0,7350.0
63,Kaveh.Paper,20011106,7650.0,7500.0,7650.0,66302500,8777,9,D,7350.0,7650.0
64,Kaveh.Paper,20011107,7650.0,7650.0,7650.0,42840000,5600,9,D,7650.0,7650.0
65,Kaveh.Paper,20011110,7852.0,7799.0,7850.0,195227215,24932,25,D,7650.0,7850.0
66,Kaveh.Paper,20011111,7844.0,7818.0,7818.0,89048720,11380,9,D,7850.0,7818.0
67,Kaveh.Paper,20011112,7750.0,7750.0,7750.0,5704000,736,2,D,7818.0,7750.0
68,Kaveh.Paper,20011113,7602.0,7480.0,7483.0,37323557,4982,6,D,7750.0,7483.0
69,Kaveh.Paper,20011114,7483.0,7200.0,7200.0,48732622,6659,11,D,7483.0,7200.0
70,Kaveh.Paper,20011117,7320.0,7299.0,7320.0,126731575,17358,16,D,7200.0,7320.0
71,Kaveh.Paper,20011118,7399.0,7300.0,7399.0,207817986,28363,23,D,7320.0,7399.0
72,Kaveh.Paper,20011120,7326.0,7326.0,7326.0,6915744,944,1,D,7399.0,7326.0
73,Kaveh.Paper,20011124,7298.0,7295.0,7298.0,123442221,16916,24,D,7326.0,7298.0
74,Kaveh.Paper,20011125,7300.0,7288.0,7288.0,22686266,3109,12,D,7298.0,7288.0
75,Kaveh.Paper,20011126,7284.0,7269.0,7270.0,14411832,1981,5,D,7288.0,7270.0
76,Kaveh.Paper,20011128,7200.0,7100.0,7100.0,51388300,7232,9,D,7270.0,7100.0
77,Kaveh.Paper,20011201,7099.0,7000.0,7000.0,77500000,11000,8,D,7100.0,7000.0
78,Kaveh.Paper,20011202,7104.0,7000.0,7104.0,152830566,21703,23,D,7000.0,7104.0
79,Kaveh.Paper,20011203,7280.0,7200.0,7220.0,159887290,22081,23,D,7104.0,7220.0
80,Kaveh.Paper,20011204,7200.0,7100.0,7100.0,59805560,8391,9,D,7220.0,7100.0
81,Kaveh.Paper,20011205,7100.0,6900.0,6900.0,123390300,17682,19,D,7100.0,6900.0
82,Kaveh.Paper,20011208,6900.0,6850.0,6900.0,41805400,6066,5,D,6900.0,6900.0
83,Kaveh.Paper,20011209,6900.0,6800.0,6800.0,99880600,14542,19,D,6900.0,6800.0
84,Kaveh.Paper,20011210,6651.0,6645.0,6650.0,97657120,14690,14,D,6800.0,6650.0
85,Kaveh.Paper,20020102,6651.0,6400.0,6400.0,69846700,10678,13,D,6650.0,6400.0
86,Kaveh.Paper,20020105,6350.0,6150.0,6150.0,29470000,4725,6,D,6400.0,6150.0
87,Kaveh.Paper,20020106,5901.0,5900.0,5900.0,53838500,9125,8,D,6150.0,5900.0
88,Kaveh.Paper,20020107,6120.0,5952.0,6120.0,22479132,3722,9,D,5900.0,6120.0
89,Kaveh.Paper,20020108,6155.0,6131.0,6155.0,30485150,4960,7,D,6120.0,6155.0
90,Kaveh.Paper,20020112,6200.0,6155.0,6200.0,14472525,2344,5,D,6155.0,6200.0
91,Kaveh.Paper,20020113,6297.0,6200.0,6200.0,144021863,23205,30,D,6200.0,6200.0
92,Kaveh.Paper,20020115,6201.0,6200.0,6200.0,22109510,3566,4,D,6200.0,6200.0
93,Kaveh.Paper,20020116,6200.0,6100.0,6100.0,40986400,6717,9,D,6200.0,6100.0
94,Kaveh.Paper,20020119,6188.0,6182.0,6185.0,289773330,46843,12,D,6100.0,6185.0
95,Kaveh.Paper,20020122,6105.0,6100.0,6100.0,92799900,15209,9,D,6185.0,6100.0
96,Kaveh.Paper,20020123,6100.0,5999.0,6000.0,119235933,19798,19,D,6100.0,6000.0
97,Kaveh.Paper,20020126,6000.0,5999.0,6000.0,71999500,12000,14,D,6000.0,6000.0
98,Kaveh.Paper,20020127,6000.0,6000.0,6000.0,6000000,1000,1,D,6000.0,6000.0
99,Kaveh.Paper,20020128,6000.0,6000.0,6000.0,35112000,5852,11,D,6000.0,6000.0
100,Kaveh.Paper,20020130,5999.0,5999.0,5999.0,6238960,1040,1,D,6000.0,5999.0
101,Kaveh.Paper,20020202,5996.0,5900.0,5900.0,12913320,2170,3,D,5999.0,5900.0
102,Kaveh.Paper,20020203,5800.0,5798.0,5798.0,10438400,1800,2,D,5900.0,5798.0
103,Kaveh.Paper,20020205,5600.0,5600.0,5600.0,11200000,2000,2,D,5798.0,5600.0
104,Kaveh.Paper,20020206,5500.0,5500.0,5500.0,36701500,6673,3,D,5600.0,5500.0
105,Kaveh.Paper,20020209,5400.0,5250.0,5250.0,70992750,13427,11,D,5500.0,5250.0
106,Kaveh.Paper,20020210,5300.0,5150.0,5300.0,119060409,22950,18,D,5250.0,5300.0
107,Kaveh.Paper,20020212,5205.0,5200.0,5200.0,36410000,7000,3,D,5300.0,5200.0
108,Kaveh.Paper,20020213,5250.0,5201.0,5250.0,25412177,4843,3,D,5200.0,5250.0
109,Kaveh.Paper,20020218,5251.0,5251.0,5251.0,13474066,2566,1,D,5250.0,5251.0
110,Kaveh.Paper,20020219,5300.0,5256.0,5300.0,18479720,3495,5,D,5251.0,5300.0
111,Kaveh.Paper,20020220,5302.0,5302.0,5302.0,18694852,3526,2,D,5300.0,5302.0
112,Kaveh.Paper,20020226,5321.0,5314.0,5321.0,6321307,1189,3,D,5302.0,5321.0
113,Kaveh.Paper,20020227,5400.0,5330.0,5400.0,53770000,10000,10,D,5321.0,5400.0
114,Kaveh.Paper,20020302,5401.0,5400.0,5400.0,9974800,1847,3,D,5400.0,5400.0
115,Kaveh.Paper,20020305,5406.0,5400.0,5404.0,24682668,4568,7,D,5400.0,5404.0
116,Kaveh.Paper,20020312,7000.0,7000.0,7000.0,14000000,2000,1,D,5404.0,7000.0
117,Kaveh.Paper,20020820,4000.0,4000.0,4000.0,2000000,500,1,D,7000.0,4000.0
118,Kaveh.Paper,20020824,3800.0,3800.0,3800.0,1976000,520,1,D,4000.0,3800.0
119,Kaveh.Paper,20021014,3610.0,3610.0,3610.0,9299360,2576,3,D,3800.0,3610.0
120,Kaveh.Paper,20021019,3430.0,3430.0,3430.0,65660490,19143,13,D,3610.0,3430.0
121,Kaveh.Paper,20021029,3389.0,3389.0,3389.0,13437385,3965,3,D,3430.0,3389.0
