,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Kaveh.Company,20171018,1760.0,1760.0,1760.0,633670400000,360040000,151449,D,1000.0,1760.0
1,Kaveh.Company,20171021,1848.0,1848.0,1847.0,5132058624,2777088,257,D,1760.0,1848.0
2,Kaveh.Company,20171022,1939.0,1939.0,1939.0,20658111817,10654003,581,D,1847.0,1939.0
3,Kaveh.Company,20171023,2035.0,1946.0,2005.0,443032525278,220994535,98521,D,1939.0,1949.0
4,Kaveh.Company,20171024,2020.0,1909.0,1967.0,162515179970,82611006,32149,D,2005.0,1990.0
5,Kaveh.Company,20171025,2050.0,2000.0,2030.0,84504250229,41633732,11974,D,1967.0,2035.0
6,Kaveh.Company,20171028,2131.0,2030.0,2103.0,83679629987,39789824,7702,D,2030.0,2131.0
7,Kaveh.Company,20171029,2200.0,2115.0,2150.0,94098625265,43761522,7039,D,2103.0,2121.0
8,Kaveh.Company,20171030,2140.0,2090.0,2103.0,43061094933,20477306,4821,D,2150.0,2105.0
9,Kaveh.Company,20171031,2169.0,2101.0,2138.0,37151503319,17376154,3068,D,2103.0,2107.0
10,Kaveh.Company,20171101,2144.0,2106.0,2122.0,27630184557,13020853,2393,D,2138.0,2140.0
11,Kaveh.Company,20171104,2228.0,2124.0,2206.0,93896715547,42558074,6025,D,2122.0,2200.0
12,Kaveh.Company,20171105,2265.0,2172.0,2213.0,39146327147,17687999,2593,D,2206.0,2172.0
13,Kaveh.Company,20171106,2195.0,2162.0,2174.0,21586547311,9929712,1739,D,2213.0,2190.0
14,Kaveh.Company,20171107,2205.0,2170.0,2196.0,18524784445,8434467,1533,D,2174.0,2200.0
15,Kaveh.Company,20171108,2203.0,2171.0,2184.0,18157974910,8315712,1035,D,2196.0,2180.0
16,Kaveh.Company,20171111,2190.0,2160.0,2168.0,14194834967,6548922,1274,D,2184.0,2184.0
17,Kaveh.Company,20171112,2261.0,2165.0,2211.0,22134603701,10012516,2006,D,2168.0,2241.0
18,Kaveh.Company,20171113,2299.0,2230.0,2266.0,30059229878,13265050,1866,D,2211.0,2250.0
19,Kaveh.Company,20171114,2289.0,2250.0,2264.0,16884540981,7456675,1019,D,2266.0,2261.0
20,Kaveh.Company,20171115,2298.0,2252.0,2266.0,11970817011,5283761,945,D,2264.0,2265.0
21,Kaveh.Company,20171118,2270.0,2234.0,2248.0,15052152262,6696415,735,D,2266.0,2245.0
22,Kaveh.Company,20171120,2250.0,2200.0,2221.0,15733372693,7083440,982,D,2248.0,2229.0
23,Kaveh.Company,20171121,2299.0,2211.0,2269.0,21223859296,9355169,1293,D,2221.0,2280.0
24,Kaveh.Company,20171122,2382.0,2280.0,2369.0,69644180990,29395535,2538,D,2269.0,2367.0
25,Kaveh.Company,20171125,2477.0,2380.0,2426.0,33830835292,13943635,1614,D,2369.0,2380.0
26,Kaveh.Company,20171126,2398.0,2332.0,2361.0,21414998089,9071495,1177,D,2426.0,2374.0
27,Kaveh.Company,20171128,2420.0,2341.0,2383.0,18184459692,7631687,987,D,2361.0,2377.0
28,Kaveh.Company,20171129,2385.0,2330.0,2341.0,13846950159,5913895,735,D,2383.0,2340.0
29,Kaveh.Company,20171202,2359.0,2310.0,2338.0,6177198410,2642677,683,D,2341.0,2320.0
30,Kaveh.Company,20171203,2340.0,2285.0,2300.0,23590306041,10254864,836,D,2338.0,2300.0
31,Kaveh.Company,20171204,2388.0,2285.0,2327.0,18256937446,7846085,933,D,2300.0,2334.0
32,Kaveh.Company,20171205,2420.0,2351.0,2384.0,11364036975,4766865,688,D,2327.0,2395.0
33,Kaveh.Company,20171209,2470.0,2390.0,2436.0,20644660089,8475020,974,D,2384.0,2438.0
34,Kaveh.Company,20171210,2465.0,2401.0,2416.0,10664581545,4413704,660,D,2436.0,2410.0
35,Kaveh.Company,20171211,2412.0,2362.0,2389.0,28964235897,12126014,1111,D,2416.0,2412.0
36,Kaveh.Company,20171212,2508.0,2365.0,2495.0,57621900744,23093067,2033,D,2389.0,2508.0
37,Kaveh.Company,20171213,2590.0,2483.0,2544.0,22616152908,8889433,1165,D,2495.0,2537.0
38,Kaveh.Company,20171216,2648.0,2540.0,2584.0,31731632017,12282179,1164,D,2544.0,2614.0
39,Kaveh.Company,20171217,2713.0,2602.0,2692.0,59490752048,22098127,1929,D,2584.0,2674.0
40,Kaveh.Company,20171218,2730.0,2611.0,2649.0,11127378825,4200399,829,D,2692.0,2650.0
41,Kaveh.Company,20171219,2670.0,2604.0,2625.0,7796267663,2970549,892,D,2649.0,2613.0
