,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Brake.L.,20010326,5798.0,5798.0,5798.0,1182792,204,1,D,0.0,5798.0
1,Iran.Brake.L.,20010328,5797.0,5797.0,5797.0,1159400,200,1,D,5798.0,5797.0
2,Iran.Brake.L.,20010409,5779.0,5779.0,5779.0,1976418,342,1,D,5797.0,5779.0
3,Iran.Brake.L.,20010410,5779.0,5779.0,5779.0,16938249,2931,5,D,5779.0,5779.0
4,Iran.Brake.L.,20010411,5796.0,5796.0,5796.0,6711768,1158,1,D,5779.0,5796.0
5,Iran.Brake.L.,20010414,5850.0,5797.0,5850.0,4167572,714,2,D,5796.0,5850.0
6,Iran.Brake.L.,20010416,5855.0,5851.0,5855.0,6735221,1151,3,D,5850.0,5855.0
7,Iran.Brake.L.,20010417,5859.0,5857.0,5859.0,5635358,962,2,D,5855.0,5859.0
8,Iran.Brake.L.,20010418,6000.0,5866.0,6000.0,33144564,5554,8,D,5859.0,6000.0
9,Iran.Brake.L.,20010421,6100.0,6100.0,6100.0,6039000,990,1,D,6000.0,6100.0
10,Iran.Brake.L.,20010424,6405.0,6405.0,6405.0,4694865,733,1,D,6100.0,6405.0
11,Iran.Brake.L.,20010425,6725.0,6411.0,6412.0,22396825,3377,7,D,6405.0,6412.0
12,Iran.Brake.L.,20010428,6732.0,6501.0,6732.0,25165544,3767,5,D,6412.0,6732.0
13,Iran.Brake.L.,20010429,6750.0,6730.0,6732.0,437133816,64904,29,D,6732.0,6732.0
14,Iran.Brake.L.,20010430,7068.0,6732.0,6732.0,340649000,50500,26,D,6732.0,6732.0
15,Iran.Brake.L.,20010501,6738.0,6737.0,6737.0,90950500,13500,17,D,6732.0,6737.0
16,Iran.Brake.L.,20010502,6737.0,6737.0,6737.0,33685000,5000,8,D,6737.0,6737.0
17,Iran.Brake.L.,20010505,6737.0,6736.0,6737.0,37293032,5536,7,D,6737.0,6737.0
18,Iran.Brake.L.,20010506,6737.0,6737.0,6737.0,23599711,3503,2,D,6737.0,6737.0
19,Iran.Brake.L.,20010507,6737.0,6730.0,6737.0,21348090,3170,5,D,6737.0,6737.0
20,Iran.Brake.L.,20010508,6737.0,6690.0,6737.0,67305952,10000,8,D,6737.0,6737.0
21,Iran.Brake.L.,20010509,6737.0,6737.0,6737.0,18392010,2730,2,D,6737.0,6737.0
22,Iran.Brake.L.,20010512,6500.0,6500.0,6500.0,19500000,3000,4,D,6737.0,6500.0
23,Iran.Brake.L.,20010513,6522.0,6500.0,6500.0,133530624,20517,18,D,6500.0,6500.0
24,Iran.Brake.L.,20010515,6511.0,6500.0,6500.0,100769342,15491,10,D,6500.0,6500.0
25,Iran.Brake.L.,20010516,6825.0,6500.0,6750.0,106700000,15945,16,D,6500.0,6750.0
26,Iran.Brake.L.,20010519,6900.0,6802.0,6823.0,40697545,5918,10,D,6750.0,6823.0
27,Iran.Brake.L.,20010520,6833.0,6832.0,6832.0,15714600,2300,6,D,6823.0,6832.0
28,Iran.Brake.L.,20010521,6835.0,6835.0,6835.0,8202000,1200,3,D,6832.0,6835.0
29,Iran.Brake.L.,20010523,7150.0,7000.0,7003.0,37705600,5365,6,D,6835.0,7003.0
30,Iran.Brake.L.,20010526,7350.0,7022.0,7022.0,16103400,2200,3,D,7003.0,7022.0
31,Iran.Brake.L.,20010527,7373.0,7045.0,7100.0,19568500,2700,4,D,7022.0,7100.0
32,Iran.Brake.L.,20010529,7350.0,7112.0,7112.0,10624950,1465,2,D,7100.0,7112.0
33,Iran.Brake.L.,20010530,7114.0,7111.0,7112.0,3556120,500,4,D,7112.0,7112.0
34,Iran.Brake.L.,20010602,7122.0,7115.0,7122.0,58507125,8220,8,D,7112.0,7122.0
35,Iran.Brake.L.,20010603,7122.0,7120.0,7120.0,31726275,4455,9,D,7122.0,7120.0
36,Iran.Brake.L.,20010606,7350.0,7121.0,7350.0,32263285,4465,8,D,7120.0,7350.0
37,Iran.Brake.L.,20010611,7502.0,7501.0,7502.0,13503200,1800,2,D,7350.0,7502.0
38,Iran.Brake.L.,20010612,7521.0,7490.0,7490.0,61934201,8247,16,D,7502.0,7490.0
39,Iran.Brake.L.,20010613,7490.0,7480.0,7485.0,50430229,6736,14,D,7490.0,7485.0
40,Iran.Brake.L.,20010617,7464.0,7463.0,7463.0,10748020,1440,2,D,7485.0,7463.0
