,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iranian.Lizing,20140203,1877.0,1805.0,1850.0,4784820024,2587065,560,D,1000.0,1865.0
1,Iranian.Lizing,20140204,1900.0,1776.0,1812.0,4826415275,2663513,640,D,1850.0,1776.0
2,Iranian.Lizing,20140205,1740.0,1740.0,1798.0,163794900,94135,26,D,1812.0,1740.0
3,Iranian.Lizing,20140208,1727.0,1727.0,1798.0,5384786,3118,5,D,1798.0,1727.0
4,Iranian.Lizing,20140209,1727.0,1727.0,1792.0,73437221,42523,9,D,1798.0,1727.0
5,Iranian.Lizing,20140210,1721.0,1721.0,1791.0,7537980,4380,1,D,1792.0,1721.0
6,Iranian.Lizing,20140212,1720.0,1720.0,1790.0,7048560,4098,6,D,1791.0,1720.0
7,Iranian.Lizing,20140215,1719.0,1719.0,1790.0,1719000,1000,1,D,1790.0,1719.0
8,Iranian.Lizing,20140216,1787.0,1719.0,1731.0,4073129522,2353281,396,D,1790.0,1731.0
9,Iranian.Lizing,20140217,1770.0,1665.0,1731.0,4312017668,2491484,355,D,1731.0,1731.0
10,Iranian.Lizing,20140218,1731.0,1662.0,1675.0,1657725807,989566,111,D,1731.0,1675.0
11,Iranian.Lizing,20140219,1720.0,1674.0,1702.0,1916462763,1126202,142,D,1675.0,1702.0
12,Iranian.Lizing,20140222,1770.0,1702.0,1759.0,1821809099,1035829,156,D,1702.0,1759.0
13,Iranian.Lizing,20140223,1780.0,1701.0,1729.0,672913940,391048,83,D,1759.0,1729.0
14,Iranian.Lizing,20140224,1701.0,1672.0,1683.0,1576972614,937047,157,D,1729.0,1672.0
15,Iranian.Lizing,20140225,1631.0,1616.0,1630.0,674872627,416652,63,D,1683.0,1616.0
16,Iranian.Lizing,20140226,1601.0,1565.0,1583.0,1314599879,830520,115,D,1630.0,1565.0
17,Iranian.Lizing,20140301,1624.0,1541.0,1594.0,787063463,493575,86,D,1583.0,1594.0
18,Iranian.Lizing,20140302,1589.0,1531.0,1545.0,777635502,503239,70,D,1594.0,1546.0
19,Iranian.Lizing,20140303,1501.0,1484.0,1486.0,785934816,528778,66,D,1545.0,1484.0
20,Iranian.Lizing,20140304,1490.0,1432.0,1461.0,812431260,556171,74,D,1486.0,1464.0
21,Iranian.Lizing,20140305,1519.0,1499.0,1501.0,529604322,348938,45,D,1461.0,1519.0
22,Iranian.Lizing,20140308,1561.0,1561.0,1561.0,1378102313,882833,55,D,1501.0,1561.0
23,Iranian.Lizing,20140309,1623.0,1511.0,1616.0,2994558731,1853383,183,D,1561.0,1616.0
24,Iranian.Lizing,20140310,1650.0,1555.0,1600.0,1382732876,864467,91,D,1616.0,1600.0
25,Iranian.Lizing,20140311,1625.0,1536.0,1568.0,408679279,265576,45,D,1600.0,1568.0
26,Iranian.Lizing,20140312,1597.0,1506.0,1536.0,1270167416,826945,106,D,1568.0,1531.0
27,Iranian.Lizing,20140315,1597.0,1543.0,1594.0,1386239644,869703,76,D,1536.0,1597.0
28,Iranian.Lizing,20140316,1657.0,1600.0,1652.0,1065614293,644979,76,D,1594.0,1657.0
29,Iranian.Lizing,20140317,1718.0,1670.0,1701.0,1374713613,808412,75,D,1652.0,1718.0
30,Iranian.Lizing,20140318,1768.0,1636.0,1707.0,823079288,482054,53,D,1701.0,1650.0
31,Iranian.Lizing,20140319,1700.0,1639.0,1657.0,1088347543,656930,81,D,1707.0,1640.0
32,Iranian.Lizing,20140325,1717.0,1591.0,1624.0,466909519,291636,51,D,1657.0,1591.0
33,Iranian.Lizing,20140326,1674.0,1560.0,1609.0,257270408,163099,27,D,1624.0,1599.0
34,Iranian.Lizing,20140329,1600.0,1545.0,1598.0,157196076,101032,30,D,1609.0,1565.0
35,Iranian.Lizing,20140330,1661.0,1620.0,1621.0,436586146,266038,42,D,1598.0,1661.0
36,Iranian.Lizing,20140331,1685.0,1623.0,1678.0,1299740565,774502,81,D,1621.0,1684.0
37,Iranian.Lizing,20140405,1721.0,1620.0,1660.0,867813054,522636,59,D,1678.0,1630.0
38,Iranian.Lizing,20140406,1670.0,1596.0,1645.0,252238091,156483,20,D,1660.0,1607.0
39,Iranian.Lizing,20140407,1660.0,1580.0,1589.0,981148242,617456,87,D,1645.0,1582.0
40,Iranian.Lizing,20140408,1652.0,1591.0,1625.0,584975494,356763,53,D,1589.0,1630.0
41,Iranian.Lizing,20140409,1619.0,1560.0,1596.0,359666435,230200,44,D,1625.0,1560.0
42,Iranian.Lizing,20140412,1630.0,1533.0,1553.0,551323534,358949,66,D,1596.0,1534.0
43,Iranian.Lizing,20140413,1538.0,1491.0,1494.0,1153412928,772272,119,D,1553.0,1510.0
44,Iranian.Lizing,20140414,1530.0,1435.0,1448.0,825365979,570093,49,D,1494.0,1435.0
45,Iranian.Lizing,20140415,1494.0,1395.0,1450.0,178522205,122622,33,D,1448.0,1422.0
46,Iranian.Lizing,20140416,1505.0,1430.0,1471.0,516075008,348640,87,D,1450.0,1490.0
47,Iranian.Lizing,20140419,1450.0,1413.0,1458.0,173250537,122249,35,D,1471.0,1413.0
48,Iranian.Lizing,20140420,1516.0,1442.0,1475.0,543017191,366579,62,D,1458.0,1516.0
49,Iranian.Lizing,20140421,1534.0,1518.0,1533.0,2396530098,1562935,150,D,1475.0,1534.0
50,Iranian.Lizing,20140422,1580.0,1491.0,1527.0,497486427,326378,42,D,1533.0,1538.0
51,Iranian.Lizing,20140423,1547.0,1466.0,1470.0,2231198372,1517947,109,D,1527.0,1466.0
52,Iranian.Lizing,20140426,1528.0,1500.0,1521.0,1077349092,708485,79,D,1470.0,1528.0
53,Iranian.Lizing,20140427,1581.0,1528.0,1568.0,1998083864,1274494,134,D,1521.0,1529.0
54,Iranian.Lizing,20140428,1540.0,1506.0,1512.0,1348081942,891882,95,D,1568.0,1510.0
55,Iranian.Lizing,20140429,1510.0,1474.0,1501.0,661436388,441084,38,D,1512.0,1500.0
56,Iranian.Lizing,20140430,1561.0,1516.0,1557.0,1528234092,981711,87,D,1501.0,1561.0
57,Iranian.Lizing,20140503,1619.0,1580.0,1614.0,3403109051,2108096,165,D,1557.0,1600.0
58,Iranian.Lizing,20140504,1618.0,1570.0,1603.0,2990105995,1865741,165,D,1614.0,1615.0
59,Iranian.Lizing,20140505,1665.0,1603.0,1630.0,996046403,611256,103,D,1603.0,1649.0
60,Iranian.Lizing,20140506,1636.0,1571.0,1592.0,1347230838,846289,107,D,1630.0,1571.0
61,Iranian.Lizing,20140507,1655.0,1561.0,1644.0,3611255461,2196638,195,D,1592.0,1655.0
62,Iranian.Lizing,20140510,1709.0,1676.0,1708.0,4324933722,2531769,226,D,1644.0,1702.0
63,Iranian.Lizing,20140511,1733.0,1680.0,1698.0,2350985423,1384514,102,D,1708.0,1700.0
64,Iranian.Lizing,20140512,1765.0,1695.0,1748.0,3932891833,2249456,184,D,1698.0,1765.0
65,Iranian.Lizing,20140514,1817.0,1762.0,1807.0,2124658270,1175898,140,D,1748.0,1817.0
66,Iranian.Lizing,20140517,1736.0,1735.0,1735.0,2741004125,1579775,79,D,1807.0,1735.0
67,Iranian.Lizing,20140518,1804.0,1721.0,1794.0,1701935997,948887,68,D,1735.0,1804.0
68,Iranian.Lizing,20140519,1865.0,1810.0,1857.0,11319288167,6095330,307,D,1794.0,1865.0
69,Iranian.Lizing,20140520,1931.0,1865.0,1917.0,6401431500,3339939,224,D,1857.0,1931.0
70,Iranian.Lizing,20140521,1993.0,1960.0,1992.0,14028672517,7041350,257,D,1917.0,1993.0
71,Iranian.Lizing,20140524,2071.0,2015.0,2070.0,22979687325,11102557,430,D,1992.0,2071.0
72,Iranian.Lizing,20140525,2072.0,1988.0,2005.0,11387555038,5678304,455,D,2070.0,1991.0
73,Iranian.Lizing,20140526,2085.0,1950.0,2077.0,13417475715,6461361,498,D,2005.0,2085.0
74,Iranian.Lizing,20140608,1990.0,1912.0,1950.0,3439318065,1763757,134,D,2077.0,1947.0
75,Iranian.Lizing,20140609,2028.0,1950.0,1998.0,9482877887,4746708,386,D,1950.0,1995.0
76,Iranian.Lizing,20140610,1994.0,1923.0,1954.0,1692666783,866120,103,D,1998.0,1926.0
77,Iranian.Lizing,20140611,1950.0,1876.0,1877.0,3269403488,1741638,144,D,1954.0,1876.0
78,Iranian.Lizing,20140614,1806.0,1802.0,1870.0,81667530,45265,11,D,1877.0,1802.0
79,Iranian.Lizing,20140615,1796.0,1796.0,1796.0,1176430288,655028,72,D,1870.0,1796.0
80,Iranian.Lizing,20140616,1860.0,1746.0,1800.0,347465175,192400,38,D,1796.0,1829.0
81,Iranian.Lizing,20140617,1740.0,1728.0,1743.0,711370792,410902,37,D,1800.0,1733.0
82,Iranian.Lizing,20140618,1812.0,1700.0,1807.0,917032501,507399,58,D,1743.0,1812.0
83,Iranian.Lizing,20140621,1879.0,1813.0,1877.0,6837719992,3643079,276,D,1807.0,1879.0
84,Iranian.Lizing,20140622,1920.0,1827.0,1874.0,1265002732,674879,74,D,1877.0,1831.0
85,Iranian.Lizing,20140623,1802.0,1800.0,1843.0,376722960,209229,20,D,1874.0,1800.0
86,Iranian.Lizing,20140624,1800.0,1770.0,1773.0,2644064321,1490923,94,D,1843.0,1772.0
87,Iranian.Lizing,20140625,1808.0,1703.0,1721.0,2359569519,1370796,96,D,1773.0,1703.0
88,Iranian.Lizing,20140628,1670.0,1653.0,1680.0,524378782,316654,48,D,1721.0,1653.0
89,Iranian.Lizing,20140629,1613.0,1613.0,1678.0,22967507,14239,2,D,1680.0,1613.0
90,Iranian.Lizing,20140630,1739.0,1611.0,1629.0,1105493996,678650,113,D,1678.0,1611.0
91,Iranian.Lizing,20140701,1694.0,1690.0,1660.0,404494166,238798,24,D,1629.0,1694.0
