,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.M..&.P..M.,20010326,4699.0,4699.0,4699.0,7010908,1492,1,D,4699.0,4699.0
1,Iran.M..&.P..M.,20010327,4699.0,4699.0,4699.0,119185436,25364,19,D,4699.0,4699.0
2,Iran.M..&.P..M.,20010328,4699.0,4699.0,4699.0,14021816,2984,2,D,4699.0,4699.0
3,Iran.M..&.P..M.,20010331,4697.0,4697.0,4697.0,12461141,2653,7,D,4699.0,4697.0
4,Iran.M..&.P..M.,20010407,4694.0,4694.0,4694.0,76033412,16198,26,D,4697.0,4694.0
5,Iran.M..&.P..M.,20010408,4690.0,4690.0,4690.0,787920,168,1,D,4694.0,4690.0
6,Iran.M..&.P..M.,20010409,4688.0,4688.0,4688.0,8438400,1800,3,D,4690.0,4688.0
7,Iran.M..&.P..M.,20010410,4688.0,4686.0,4687.0,5775374,1232,5,D,4688.0,4687.0
8,Iran.M..&.P..M.,20010414,4682.0,4682.0,4682.0,383924,82,1,D,4687.0,4682.0
9,Iran.M..&.P..M.,20010415,4681.0,4668.0,4668.0,135316246,28929,42,D,4682.0,4668.0
10,Iran.M..&.P..M.,20010416,4658.0,4657.0,4657.0,6250365,1342,2,D,4668.0,4657.0
11,Iran.M..&.P..M.,20010417,4657.0,4657.0,4657.0,4824652,1036,4,D,4657.0,4657.0
12,Iran.M..&.P..M.,20010421,4645.0,4630.0,4637.0,136603394,29437,46,D,4657.0,4637.0
13,Iran.M..&.P..M.,20010422,4626.0,4619.0,4619.0,6203395,1342,2,D,4637.0,4619.0
14,Iran.M..&.P..M.,20010423,4620.0,4607.0,4607.0,12844906,2781,12,D,4619.0,4607.0
15,Iran.M..&.P..M.,20010430,4589.0,4589.0,4589.0,9237657,2013,3,D,4607.0,4589.0
16,Iran.M..&.P..M.,20010501,4580.0,4580.0,4580.0,12292720,2684,2,D,4589.0,4580.0
17,Iran.M..&.P..M.,20010502,4500.0,4498.0,4498.0,7297898,1622,6,D,4580.0,4498.0
18,Iran.M..&.P..M.,20010505,4498.0,4498.0,4498.0,7093346,1577,1,D,4498.0,4498.0
19,Iran.M..&.P..M.,20010507,4498.0,4400.0,4400.0,68172800,15427,14,D,4498.0,4400.0
20,Iran.M..&.P..M.,20010508,4400.0,4390.0,4398.0,20396602,4637,5,D,4400.0,4398.0
21,Iran.M..&.P..M.,20010515,4383.0,4369.0,4370.0,50207813,11474,18,D,4398.0,4370.0
22,Iran.M..&.P..M.,20010516,4370.0,4370.0,4370.0,1013840,232,1,D,4370.0,4370.0
23,Iran.M..&.P..M.,20010519,4400.0,4368.0,4400.0,70738058,16153,19,D,4370.0,4400.0
24,Iran.M..&.P..M.,20010520,4310.0,4310.0,4310.0,6077100,1410,6,D,4400.0,4310.0
25,Iran.M..&.P..M.,20010521,4311.0,4311.0,4311.0,1060506,246,4,D,4310.0,4311.0
26,Iran.M..&.P..M.,20010526,4401.0,4351.0,4401.0,16447524,3753,5,D,4311.0,4401.0
27,Iran.M..&.P..M.,20010527,4420.0,4401.0,4420.0,18816760,4262,2,D,4401.0,4420.0
28,Iran.M..&.P..M.,20010529,4480.0,4472.0,4480.0,2773296,620,2,D,4420.0,4480.0
29,Iran.M..&.P..M.,20010530,4620.0,4495.0,4620.0,16268076,3542,6,D,4480.0,4620.0
30,Iran.M..&.P..M.,20010602,4851.0,4679.0,4851.0,5186244,1084,4,D,4620.0,4851.0
31,Iran.M..&.P..M.,20010603,4854.0,4851.0,4854.0,34153928,7038,6,D,4851.0,4854.0
32,Iran.M..&.P..M.,20010606,4870.0,4855.0,4861.0,16382923,3367,7,D,4854.0,4861.0
33,Iran.M..&.P..M.,20010609,4863.0,4863.0,4863.0,398766,82,1,D,4861.0,4863.0
34,Iran.M..&.P..M.,20010611,4886.0,4884.0,4886.0,10569140,2164,4,D,4863.0,4886.0
35,Iran.M..&.P..M.,20010612,4901.0,4888.0,4901.0,45046398,9192,8,D,4886.0,4901.0
36,Iran.M..&.P..M.,20010613,4920.0,4901.0,4920.0,18406630,3747,12,D,4901.0,4920.0
37,Iran.M..&.P..M.,20010616,4999.0,4895.0,4999.0,29897055,6029,12,D,4920.0,4999.0
38,Iran.M..&.P..M.,20010617,5000.0,4999.0,5000.0,45561548,9113,12,D,4999.0,5000.0
39,Iran.M..&.P..M.,20010618,5000.0,4857.0,5000.0,35566737,7209,12,D,5000.0,5000.0
40,Iran.M..&.P..M.,20010623,4948.0,4900.0,4900.0,20166656,4079,5,D,5000.0,4900.0
41,Iran.M..&.P..M.,20010625,4800.0,4750.0,4750.0,121609806,25374,26,D,4900.0,4750.0
42,Iran.M..&.P..M.,20010626,4750.0,4700.0,4700.0,34989400,7402,12,D,4750.0,4700.0
43,Iran.M..&.P..M.,20010627,4701.0,4701.0,4701.0,9402000,2000,3,D,4700.0,4701.0
44,Iran.M..&.P..M.,20010630,4690.0,4688.0,4690.0,20143862,4296,8,D,4701.0,4690.0
45,Iran.M..&.P..M.,20010701,4690.0,4690.0,4690.0,12953780,2762,10,D,4690.0,4690.0
46,Iran.M..&.P..M.,20010702,4700.0,4680.0,4680.0,32786048,7000,13,D,4690.0,4680.0
47,Iran.M..&.P..M.,20010703,4680.0,4680.0,4680.0,50768640,10848,12,D,4680.0,4680.0
48,Iran.M..&.P..M.,20010704,4681.0,4675.0,4680.0,71592778,15298,18,D,4680.0,4680.0
49,Iran.M..&.P..M.,20010707,4670.0,4670.0,4670.0,21155100,4530,5,D,4680.0,4670.0
50,Iran.M..&.P..M.,20010708,4682.0,4680.0,4681.0,22806898,4873,6,D,4670.0,4681.0
51,Iran.M..&.P..M.,20010709,4681.0,4680.0,4680.0,23858738,5098,4,D,4681.0,4680.0
52,Iran.M..&.P..M.,20010710,4680.0,4680.0,4680.0,22412520,4789,7,D,4680.0,4680.0
53,Iran.M..&.P..M.,20010711,4680.0,4680.0,4680.0,31903560,6817,8,D,4680.0,4680.0
54,Iran.M..&.P..M.,20010714,4700.0,4680.0,4700.0,17916800,3816,11,D,4680.0,4700.0
55,Iran.M..&.P..M.,20010715,4701.0,4700.0,4701.0,38519748,8194,10,D,4700.0,4701.0
56,Iran.M..&.P..M.,20010716,4700.0,4700.0,4700.0,11750000,2500,14,D,4701.0,4700.0
