,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pak.Dairy,20010326,4320.0,4320.0,4320.0,28762560,6658,2,D,4320.0,4320.0
1,Pak.Dairy,20010327,4322.0,4320.0,4322.0,6326480,1464,2,D,4320.0,4322.0
2,Pak.Dairy,20010331,4330.0,4330.0,4330.0,450320,104,1,D,4322.0,4330.0
3,Pak.Dairy,20010407,4351.0,4351.0,4351.0,4803504,1104,4,D,4330.0,4351.0
4,Pak.Dairy,20010409,4410.0,4361.0,4410.0,7336425,1675,6,D,4351.0,4410.0
5,Pak.Dairy,20010410,4451.0,4441.0,4451.0,13874429,3122,6,D,4410.0,4451.0
6,Pak.Dairy,20010411,4600.0,4500.0,4600.0,34874250,7615,6,D,4451.0,4600.0
7,Pak.Dairy,20010414,4670.0,4600.0,4670.0,59378420,12747,8,D,4600.0,4670.0
8,Pak.Dairy,20010415,4701.0,4670.0,4701.0,64175162,13658,14,D,4670.0,4701.0
9,Pak.Dairy,20010416,4701.0,4689.0,4700.0,144319843,30713,21,D,4701.0,4700.0
10,Pak.Dairy,20010417,4700.0,4700.0,4700.0,145380400,30932,13,D,4700.0,4700.0
11,Pak.Dairy,20010418,4650.0,4650.0,4650.0,13159500,2830,3,D,4700.0,4650.0
12,Pak.Dairy,20010421,4630.0,4600.0,4600.0,119476000,25960,7,D,4650.0,4600.0
13,Pak.Dairy,20010422,4601.0,4560.0,4560.0,138603843,30193,23,D,4600.0,4560.0
14,Pak.Dairy,20010423,4602.0,4560.0,4600.0,69006120,15061,11,D,4560.0,4600.0
15,Pak.Dairy,20010424,4601.0,4600.0,4601.0,95536500,20768,13,D,4600.0,4601.0
16,Pak.Dairy,20010425,4650.0,4606.0,4650.0,41923470,9057,11,D,4601.0,4650.0
17,Pak.Dairy,20010428,4701.0,4650.0,4700.0,27564210,5870,10,D,4650.0,4700.0
18,Pak.Dairy,20010429,4708.0,4701.0,4705.0,85210005,18113,16,D,4700.0,4705.0
19,Pak.Dairy,20010430,4703.0,4650.0,4703.0,146754532,31249,19,D,4705.0,4703.0
20,Pak.Dairy,20010501,4704.0,4700.0,4700.0,83187088,17697,13,D,4703.0,4700.0
21,Pak.Dairy,20010502,4702.0,4700.0,4702.0,62490250,13295,11,D,4700.0,4702.0
22,Pak.Dairy,20010505,4704.0,4701.0,4702.0,209299190,44511,18,D,4702.0,4702.0
23,Pak.Dairy,20010506,4702.0,4702.0,4702.0,954506,203,2,D,4702.0,4702.0
24,Pak.Dairy,20010507,4700.0,4696.0,4700.0,28686698,6105,12,D,4702.0,4700.0
25,Pak.Dairy,20010509,4644.0,4500.0,4500.0,11582804,2541,3,D,4700.0,4500.0
26,Pak.Dairy,20010512,4502.0,4411.0,4502.0,68021711,15156,19,D,4500.0,4502.0
