,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Lotos.Investment,20190123,2050.0,2050.0,2050.0,1036015802100,505373562,360083,D,1000.0,2050.0
1,Lotos.Investment,20190126,2152.0,2152.0,2062.0,521354280,242265,232,D,2050.0,2152.0
2,Lotos.Investment,20190127,2165.0,2165.0,2159.0,4088266925,1888345,918,D,2062.0,2165.0
3,Lotos.Investment,20190129,2266.0,2266.0,2266.0,5447912668,2404198,927,D,2159.0,2266.0
4,Lotos.Investment,20190130,2379.0,2379.0,2379.0,16499230956,6935364,3926,D,2266.0,2379.0
5,Lotos.Investment,20190202,2497.0,2261.0,2443.0,343496256018,140628139,86809,D,2379.0,2284.0
6,Lotos.Investment,20190203,2350.0,2321.0,2322.0,154055999752,66345970,41491,D,2443.0,2321.0
7,Lotos.Investment,20190204,2349.0,2211.0,2274.0,257824904259,113377785,69429,D,2322.0,2254.0
8,Lotos.Investment,20190205,2301.0,2228.0,2255.0,90681135535,40208386,22325,D,2274.0,2253.0
9,Lotos.Investment,20190206,2288.0,2231.0,2245.0,69692375545,31042916,13598,D,2255.0,2241.0
10,Lotos.Investment,20190210,2289.0,2220.0,2253.0,78914994252,35020203,17493,D,2245.0,2252.0
11,Lotos.Investment,20190212,2349.0,2242.0,2294.0,115529533113,50358618,22214,D,2253.0,2284.0
12,Lotos.Investment,20190213,2329.0,2262.0,2296.0,108142702633,47108163,29317,D,2294.0,2296.0
13,Lotos.Investment,20190216,2330.0,2256.0,2300.0,84901372715,36915874,19366,D,2296.0,2315.0
14,Lotos.Investment,20190217,2322.0,2291.0,2302.0,56986568111,24754828,6480,D,2300.0,2294.0
15,Lotos.Investment,20190218,2299.0,2282.0,2289.0,46025997112,20103569,5774,D,2302.0,2290.0
16,Lotos.Investment,20190219,2293.0,2260.0,2283.0,39082664220,17120344,5784,D,2289.0,2264.0
