,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Lotos.Investment-R,20190923,2300.0,2130.0,2209.0,4066409956,1841158,792,D,1000.0,2249.0
1,Lotos.Investment-R,20190924,2280.0,2051.0,2163.0,6087975391,2814470,1306,D,2209.0,2100.0
2,Lotos.Investment-R,20190925,2120.0,2054.0,2088.0,4759785344,2280021,917,D,2163.0,2110.0
3,Lotos.Investment-R,20190928,2139.0,2050.0,2104.0,5837801160,2775259,606,D,2088.0,2088.0
4,Lotos.Investment-R,20190929,2170.0,2042.0,2109.0,8603174144,4079004,786,D,2104.0,2135.0
5,Lotos.Investment-R,20190930,2319.0,2109.0,2282.0,9112985465,3993993,643,D,2109.0,2319.0
6,Lotos.Investment-R,20191001,2440.0,2284.0,2365.0,7174571996,3033833,467,D,2282.0,2300.0
7,Lotos.Investment-R,20191002,2410.0,2214.0,2329.0,1228012087,527166,137,D,2365.0,2327.0
8,Lotos.Investment-R,20191005,2350.0,2232.0,2277.0,4409994988,1936787,264,D,2329.0,2300.0
9,Lotos.Investment-R,20191006,2300.0,2142.0,2264.0,1561907495,689872,152,D,2277.0,2278.0
10,Lotos.Investment-R,20191007,2320.0,2162.0,2268.0,2166643804,955400,210,D,2264.0,2228.0
11,Lotos.Investment-R,20191008,2300.0,2070.0,2169.0,7008272709,3231281,324,D,2268.0,2160.0
12,Lotos.Investment-R,20191009,2220.0,2106.0,2159.0,1853634606,858504,238,D,2169.0,2220.0
13,Lotos.Investment-R,20191012,2225.0,2123.0,2161.0,796246375,368471,222,D,2159.0,2139.0
14,Lotos.Investment-R,20191013,2190.0,2050.0,2106.0,496255026,235627,183,D,2161.0,2080.0
15,Lotos.Investment-R,20191014,2177.0,2018.0,2097.0,952493596,454260,123,D,2106.0,2108.0
16,Lotos.Investment-R,20191015,2149.0,1951.0,2037.0,1475384613,724356,183,D,2097.0,2052.0
17,Lotos.Investment-R,20191016,2089.0,1922.0,1987.0,3160597993,1590635,203,D,2037.0,1999.0
18,Lotos.Investment-R,20191020,2000.0,1851.0,1912.0,1201672148,628503,130,D,1987.0,1871.0
19,Lotos.Investment-R,20191021,2000.0,1900.0,1972.0,318427262,161465,84,D,1912.0,1944.0
20,Lotos.Investment-R,20191022,2040.0,1916.0,1989.0,1120243037,563322,183,D,1972.0,1952.0
21,Lotos.Investment-R,20191023,2000.0,1862.0,1903.0,1256442245,660338,178,D,1989.0,1870.0
22,Lotos.Investment-R,20191026,1968.0,1792.0,1869.0,1421022080,760329,104,D,1903.0,1850.0
23,Lotos.Investment-R,20191028,1929.0,1860.0,1904.0,566301681,297440,108,D,1869.0,1923.0
24,Lotos.Investment-R,20191030,1950.0,1910.0,1922.0,444595662,231341,136,D,1904.0,1918.0
25,Lotos.Investment-R,20191102,1920.0,1856.0,1887.0,964504277,511046,118,D,1922.0,1899.0
26,Lotos.Investment-R,20191103,2052.0,1850.0,1964.0,2103500631,1070883,216,D,1887.0,1922.0
27,Lotos.Investment-R,20191104,2030.0,1902.0,1934.0,752948833,389264,133,D,1964.0,1951.0
28,Lotos.Investment-R,20191105,2127.0,1900.0,2110.0,8053095032,3815997,421,D,1934.0,2127.0
29,Lotos.Investment-R,20191109,2299.0,2137.0,2234.0,2151541321,963014,251,D,2110.0,2180.0
30,Lotos.Investment-R,20191110,2208.0,2020.0,2094.0,1550746620,740539,161,D,2234.0,2107.0
31,Lotos.Investment-R,20191111,2167.0,2024.0,2103.0,1862310775,885375,138,D,2094.0,2100.0
32,Lotos.Investment-R,20191112,2148.0,2012.0,2102.0,1355332217,644847,156,D,2103.0,2082.0
33,Lotos.Investment-R,20191113,2251.0,2016.0,2120.0,3398296512,1603150,256,D,2102.0,2110.0
34,Lotos.Investment-R,20191116,2150.0,2067.0,2084.0,1793518271,860422,146,D,2120.0,2100.0
35,Lotos.Investment-R,20191117,2180.0,2017.0,2038.0,330268696,162071,74,D,2084.0,2029.0
36,Lotos.Investment-R,20191118,2240.0,2016.0,2200.0,5004400040,2274626,325,D,2038.0,2185.0
37,Lotos.Investment-R,20191119,2216.0,2014.0,2060.0,4847804708,2352905,249,D,2200.0,2062.0
38,Lotos.Investment-R,20191120,2266.0,2033.0,2191.0,8959642838,4088881,734,D,2060.0,2266.0
39,Lotos.Investment-R,20200127,3850.0,3500.0,3544.0,25404716506,7168903,175,D,2191.0,3600.0
40,Lotos.Investment-R,20200128,3898.0,3770.0,3770.0,1039923528,275828,70,D,3544.0,3770.0
