,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Leasing.Iran,20040823,2700.0,2500.0,2600.0,2600000000,1000000,752,D,0.0,2600.0
1,Leasing.Iran,20040829,2730.0,2730.0,2730.0,1096095000,401500,184,D,2600.0,2730.0
2,Leasing.Iran,20040901,2866.0,2749.0,2749.0,12981810,4530,7,D,2730.0,2749.0
3,Leasing.Iran,20040911,2886.0,2886.0,2886.0,1178931000,408500,127,D,2749.0,2886.0
4,Leasing.Iran,20040912,3030.0,3030.0,3030.0,1273812000,420400,248,D,2886.0,3030.0
5,Leasing.Iran,20040914,3181.0,3030.0,3030.0,1938900,610,3,D,3030.0,3030.0
6,Leasing.Iran,20040915,3181.0,3037.0,3037.0,4801870,1510,3,D,3030.0,3037.0
7,Leasing.Iran,20040918,3188.0,3188.0,3188.0,1280300800,401600,242,D,3037.0,3188.0
8,Leasing.Iran,20040919,3347.0,3231.0,3231.0,29218150,8730,10,D,3188.0,3231.0
9,Leasing.Iran,20040920,3392.0,3290.0,3290.0,40221316,11858,17,D,3231.0,3290.0
10,Leasing.Iran,20040921,3454.0,3454.0,3454.0,727488388,210622,125,D,3290.0,3454.0
11,Leasing.Iran,20040922,3626.0,3454.0,3454.0,1847540,510,2,D,3454.0,3454.0
12,Leasing.Iran,20040925,3626.0,3626.0,3626.0,205909662,56787,44,D,3454.0,3626.0
13,Leasing.Iran,20040926,3807.0,3709.0,3709.0,55999990,14710,22,D,3626.0,3709.0
14,Leasing.Iran,20040927,3894.0,3724.0,3724.0,10473160,2690,8,D,3709.0,3724.0
15,Leasing.Iran,20040928,3910.0,3771.0,3771.0,32330400,8269,14,D,3724.0,3771.0
16,Leasing.Iran,20040929,3959.0,3959.0,3959.0,171060472,43208,59,D,3771.0,3959.0
17,Leasing.Iran,20041002,4156.0,3894.0,4144.0,4298584712,1037134,620,D,3959.0,4144.0
18,Leasing.Iran,20041003,4351.0,4351.0,4351.0,815399155,187405,151,D,4144.0,4351.0
19,Leasing.Iran,20041004,4568.0,4568.0,4568.0,1517137864,332123,244,D,4351.0,4568.0
20,Leasing.Iran,20041005,4796.0,4796.0,4796.0,420935328,87768,81,D,4568.0,4796.0
21,Leasing.Iran,20041006,5035.0,4800.0,4988.0,1983436835,397648,188,D,4796.0,4988.0
22,Leasing.Iran,20041009,4850.0,4739.0,4764.0,303732526,63744,64,D,4988.0,4764.0
23,Leasing.Iran,20041010,4798.0,4599.0,4658.0,959858536,206023,147,D,4764.0,4658.0
24,Leasing.Iran,20041011,4890.0,4610.0,4787.0,134777309,28040,31,D,4658.0,4787.0
25,Leasing.Iran,20041012,5026.0,4966.0,4966.0,120522880,23980,23,D,4787.0,4966.0
26,Leasing.Iran,20041013,5214.0,5148.0,5148.0,123101880,23610,35,D,4966.0,5148.0
27,Leasing.Iran,20041016,5405.0,5160.0,5384.0,5119922733,950798,240,D,5148.0,5384.0
28,Leasing.Iran,20041017,5653.0,5523.0,5523.0,93917642,16614,16,D,5384.0,5523.0
29,Leasing.Iran,20041018,5799.0,5655.0,5789.0,1669541633,288352,165,D,5523.0,5789.0
30,Leasing.Iran,20041019,6000.0,5698.0,5858.0,1003048183,171199,83,D,5789.0,5858.0
