,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Arak.M..Mfg.,20010513,1500.0,1500.0,1500.0,600000,400,1,D,0.0,1500.0
1,S*Arak.M..Mfg.,20010603,1500.0,1500.0,1500.0,600000,400,1,D,1500.0,1500.0
2,S*Arak.M..Mfg.,20010715,1500.0,1460.0,1500.0,368000,250,5,D,1500.0,1500.0
3,S*Arak.M..Mfg.,20020114,2500.0,2500.0,2500.0,2500000,1000,1,D,1500.0,2500.0
4,S*Arak.M..Mfg.,20020615,2625.0,2625.0,2625.0,3675000,1400,1,D,2500.0,2625.0
5,S*Arak.M..Mfg.,20020805,4236.0,3255.0,4223.0,3838300000,1000000,332,D,2625.0,4223.0
6,S*Arak.M..Mfg.,20020806,4434.0,4434.0,4434.0,4434000000,1000000,282,D,4223.0,4434.0
7,S*Arak.M..Mfg.,20020807,4544.0,4544.0,4544.0,6816000000,1500000,412,D,4434.0,4544.0
8,S*Arak.M..Mfg.,20020810,4657.0,4657.0,4657.0,2794200000,600000,189,D,4544.0,4657.0
9,S*Arak.M..Mfg.,20020811,4773.0,4698.0,4773.0,2532429350,530865,308,D,4657.0,4773.0
10,S*Arak.M..Mfg.,20020813,4773.0,4654.0,4654.0,472616960,101305,56,D,4773.0,4654.0
11,S*Arak.M..Mfg.,20020814,4598.0,4538.0,4538.0,120000220,26380,27,D,4654.0,4538.0
12,S*Arak.M..Mfg.,20020817,4425.0,4425.0,4425.0,28417350,6422,8,D,4538.0,4425.0
13,S*Arak.M..Mfg.,20020818,4315.0,4315.0,4315.0,29018375,6725,2,D,4425.0,4315.0
14,S*Arak.M..Mfg.,20020819,4390.0,4100.0,4305.0,1332977792,312046,122,D,4315.0,4305.0
15,S*Arak.M..Mfg.,20020820,4292.0,4200.0,4292.0,604082631,141382,49,D,4305.0,4292.0
16,S*Arak.M..Mfg.,20020821,4370.0,4270.0,4318.0,3083393840,715697,128,D,4292.0,4318.0
17,S*Arak.M..Mfg.,20020827,4318.0,4317.0,4318.0,171638500,39750,15,D,4318.0,4318.0
18,S*Arak.M..Mfg.,20020828,4400.0,4318.0,4319.0,330747778,75940,36,D,4318.0,4319.0
19,S*Arak.M..Mfg.,20020831,4400.0,4320.0,4400.0,273195963,62213,21,D,4319.0,4400.0
20,S*Arak.M..Mfg.,20020901,4550.0,2775.0,4550.0,16388382800,5884094,3160,D,4400.0,4550.0
21,S*Arak.M..Mfg.,20020902,4700.0,4420.0,4420.0,7884450778,1778552,88,D,4550.0,4420.0
22,S*Arak.M..Mfg.,20020903,4571.0,4428.0,4450.0,903234807,199762,75,D,4420.0,4450.0
23,S*Arak.M..Mfg.,20020904,4600.0,4420.0,4420.0,8241954040,1863429,150,D,4450.0,4420.0
24,S*Arak.M..Mfg.,20020907,4455.0,4420.0,4422.0,1382802839,312178,50,D,4420.0,4422.0
25,S*Arak.M..Mfg.,20020908,4450.0,4350.0,4350.0,100329852,22665,21,D,4422.0,4350.0
26,S*Arak.M..Mfg.,20020909,4399.0,4200.0,4350.0,327412230,76478,31,D,4350.0,4350.0
27,S*Arak.M..Mfg.,20020910,4354.0,4206.0,4350.0,1375501850,316220,57,D,4350.0,4350.0
28,S*Arak.M..Mfg.,20020911,4388.0,4350.0,4352.0,1919353358,440718,70,D,4350.0,4352.0
29,S*Arak.M..Mfg.,20020914,4499.0,4352.0,4401.0,2745944120,623822,94,D,4352.0,4401.0
30,S*Arak.M..Mfg.,20020915,4550.0,4470.0,4492.0,3055397112,680716,91,D,4401.0,4492.0
31,S*Arak.M..Mfg.,20020916,4716.0,4551.0,4710.0,587642424,125109,65,D,4492.0,4710.0
32,S*Arak.M..Mfg.,20020917,4900.0,4711.0,4850.0,3639331443,753414,110,D,4710.0,4850.0
33,S*Arak.M..Mfg.,20020918,5003.0,4870.0,4870.0,4673189410,956480,165,D,4850.0,4870.0
34,S*Arak.M..Mfg.,20020922,4903.0,4870.0,4870.0,619902662,126986,48,D,4870.0,4870.0
35,S*Arak.M..Mfg.,20020923,4875.0,4860.0,4870.0,1747283258,358546,90,D,4870.0,4870.0
36,S*Arak.M..Mfg.,20020924,4750.0,4627.0,4627.0,129685167,28001,16,D,4870.0,4627.0
37,S*Arak.M..Mfg.,20020925,4627.0,4580.0,4580.0,66980000,14500,9,D,4627.0,4580.0
38,S*Arak.M..Mfg.,20020928,4574.0,4475.0,4480.0,142989294,31586,28,D,4580.0,4480.0
39,S*Arak.M..Mfg.,20020929,4600.0,4480.0,4500.0,359393002,79303,57,D,4480.0,4500.0
40,S*Arak.M..Mfg.,20020930,4631.0,4620.0,4631.0,303238286,65531,27,D,4500.0,4631.0
41,S*Arak.M..Mfg.,20021001,4750.0,4660.0,4662.0,1835937658,392562,99,D,4631.0,4662.0
42,S*Arak.M..Mfg.,20021002,4730.0,4663.0,4724.0,100554487,21321,19,D,4662.0,4724.0
43,S*Arak.M..Mfg.,20021006,4674.0,4561.0,4600.0,152141100,32746,15,D,4724.0,4600.0
44,S*Arak.M..Mfg.,20021007,4565.0,4500.0,4500.0,111544080,24752,10,D,4600.0,4500.0
45,S*Arak.M..Mfg.,20021008,4400.0,4275.0,4275.0,45178000,10370,4,D,4500.0,4275.0
46,S*Arak.M..Mfg.,20021009,4280.0,4105.0,4105.0,495058613,116092,52,D,4275.0,4105.0
47,S*Arak.M..Mfg.,20021012,4250.0,4120.0,4200.0,279018380,66104,27,D,4105.0,4200.0
48,S*Arak.M..Mfg.,20021013,4200.0,4175.0,4175.0,102800038,24520,17,D,4200.0,4175.0
49,S*Arak.M..Mfg.,20021014,4175.0,3967.0,3967.0,351496467,87624,49,D,4175.0,3967.0
50,S*Arak.M..Mfg.,20021015,4002.0,3967.0,3990.0,173013150,43350,23,D,3967.0,3990.0
51,S*Arak.M..Mfg.,20021016,4020.0,4000.0,4020.0,170521460,42473,19,D,3990.0,4020.0
52,S*Arak.M..Mfg.,20021019,4221.0,4070.0,4221.0,211931109,51729,12,D,4020.0,4221.0
53,S*Arak.M..Mfg.,20021020,4432.0,4432.0,4432.0,17275936,3898,5,D,4221.0,4432.0
54,S*Arak.M..Mfg.,20021021,4653.0,4214.0,4432.0,1231871534,268717,73,D,4432.0,4432.0
55,S*Arak.M..Mfg.,20021023,4433.0,4231.0,4432.0,245979247,55642,37,D,4432.0,4432.0
56,S*Arak.M..Mfg.,20021026,4650.0,4432.0,4602.0,3472489276,748792,107,D,4432.0,4602.0
57,S*Arak.M..Mfg.,20021027,4756.0,4639.0,4740.0,1368637341,291568,76,D,4602.0,4740.0
58,S*Arak.M..Mfg.,20021028,4830.0,4790.0,4800.0,1736826911,360933,182,D,4740.0,4800.0
59,S*Arak.M..Mfg.,20021029,4810.0,4750.0,4800.0,1587612148,330827,100,D,4800.0,4800.0
60,S*Arak.M..Mfg.,20021030,5040.0,4850.0,5040.0,2107574090,418525,85,D,4800.0,5040.0
61,S*Arak.M..Mfg.,20021102,5292.0,5292.0,5292.0,1212873480,229190,44,D,5040.0,5292.0
62,S*Arak.M..Mfg.,20021103,5556.0,5290.0,5540.0,3761130686,683896,167,D,5292.0,5540.0
63,S*Arak.M..Mfg.,20021104,5560.0,5400.0,5402.0,776472493,141923,53,D,5540.0,5402.0
64,S*Arak.M..Mfg.,20021105,5515.0,5250.0,5515.0,2370599063,441515,177,D,5402.0,5515.0
65,S*Arak.M..Mfg.,20021106,5790.0,5790.0,5790.0,328229310,56689,22,D,5515.0,5790.0
66,S*Arak.M..Mfg.,20021109,6079.0,6079.0,6079.0,75409995,12405,11,D,5790.0,6079.0
67,S*Arak.M..Mfg.,20021110,6382.0,6079.0,6382.0,5584368371,879573,214,D,6079.0,6382.0
68,S*Arak.M..Mfg.,20021111,6382.0,6063.0,6171.0,2055238487,334245,123,D,6382.0,6171.0
69,S*Arak.M..Mfg.,20021112,6180.0,5863.0,5998.0,3629965159,595085,143,D,6171.0,5998.0
